count,date,close,ma200,deviation,average,sigma
1,2011-03-01,1430.699951171875,0.0,0.0,0.0,0.0
2,2011-03-02,1437.199951171875,0.0,0.0,0.0,0.0
3,2011-03-03,1416.0,0.0,0.0,0.0,0.0
4,2011-03-04,1428.199951171875,0.0,0.0,0.0,0.0
5,2011-03-07,1434.0999755859375,0.0,0.0,0.0,0.0
6,2011-03-08,1426.9000244140625,0.0,0.0,0.0,0.0
7,2011-03-09,1429.300048828125,0.0,0.0,0.0,0.0
8,2011-03-10,1412.199951171875,0.0,0.0,0.0,0.0
9,2011-03-11,1421.5,0.0,0.0,0.0,0.0
10,2011-03-14,1424.5999755859375,0.0,0.0,0.0,0.0
11,2011-03-15,1392.5999755859375,0.0,0.0,0.0,0.0
12,2011-03-16,1396.0,0.0,0.0,0.0,0.0
13,2011-03-17,1404.0,0.0,0.0,0.0,0.0
14,2011-03-18,1415.9000244140625,0.0,0.0,0.0,0.0
15,2011-03-21,1426.199951171875,0.0,0.0,0.0,0.0
16,2011-03-22,1427.5,0.0,0.0,0.0,0.0
17,2011-03-23,1437.9000244140625,0.0,0.0,0.0,0.0
18,2011-03-24,1434.800048828125,0.0,0.0,0.0,0.0
19,2011-03-25,1426.0999755859375,0.0,0.0,0.0,0.0
20,2011-03-28,1419.800048828125,0.0,0.0,0.0,0.0
21,2011-03-29,1416.0,0.0,0.0,0.0,0.0
22,2011-03-30,1423.800048828125,0.0,0.0,0.0,0.0
23,2011-03-31,1438.9000244140625,0.0,0.0,0.0,0.0
24,2011-04-01,1428.0999755859375,0.0,0.0,0.0,0.0
25,2011-04-04,1432.199951171875,0.0,0.0,0.0,0.0
26,2011-04-05,1451.800048828125,0.0,0.0,0.0,0.0
27,2011-04-06,1457.699951171875,0.0,0.0,0.0,0.0
28,2011-04-07,1458.5,0.0,0.0,0.0,0.0
29,2011-04-08,1473.4000244140625,0.0,0.0,0.0,0.0
30,2011-04-11,1467.4000244140625,0.0,0.0,0.0,0.0
31,2011-04-12,1452.9000244140625,0.0,0.0,0.0,0.0
32,2011-04-13,1454.9000244140625,0.0,0.0,0.0,0.0
33,2011-04-14,1471.699951171875,0.0,0.0,0.0,0.0
34,2011-04-15,1485.300048828125,0.0,0.0,0.0,0.0
35,2011-04-18,1492.300048828125,0.0,0.0,0.0,0.0
36,2011-04-19,1494.5,0.0,0.0,0.0,0.0
37,2011-04-20,1498.300048828125,0.0,0.0,0.0,0.0
38,2011-04-21,1503.199951171875,0.0,0.0,0.0,0.0
39,2011-04-25,1508.5999755859375,0.0,0.0,0.0,0.0
40,2011-04-26,1503.0,0.0,0.0,0.0,0.0
41,2011-04-27,1516.699951171875,0.0,0.0,0.0,0.0
42,2011-04-28,1530.800048828125,0.0,0.0,0.0,0.0
43,2011-04-29,1556.0,0.0,0.0,0.0,0.0
44,2011-05-02,1556.699951171875,0.0,0.0,0.0,0.0
45,2011-05-03,1540.0999755859375,0.0,0.0,0.0,0.0
46,2011-05-04,1514.9000244140625,0.0,0.0,0.0,0.0
47,2011-05-05,1480.9000244140625,0.0,0.0,0.0,0.0
48,2011-05-06,1491.199951171875,0.0,0.0,0.0,0.0
49,2011-05-09,1502.9000244140625,0.0,0.0,0.0,0.0
50,2011-05-10,1516.5999755859375,0.0,0.0,0.0,0.0
51,2011-05-11,1501.0999755859375,0.0,0.0,0.0,0.0
52,2011-05-12,1506.5999755859375,0.0,0.0,0.0,0.0
53,2011-05-13,1493.4000244140625,0.0,0.0,0.0,0.0
54,2011-05-16,1490.4000244140625,0.0,0.0,0.0,0.0
55,2011-05-17,1479.800048828125,0.0,0.0,0.0,0.0
56,2011-05-18,1495.5999755859375,0.0,0.0,0.0,0.0
57,2011-05-19,1492.199951171875,0.0,0.0,0.0,0.0
58,2011-05-20,1508.800048828125,0.0,0.0,0.0,0.0
59,2011-05-23,1515.300048828125,0.0,0.0,0.0,0.0
60,2011-05-24,1523.199951171875,0.0,0.0,0.0,0.0
61,2011-05-25,1526.5999755859375,0.0,0.0,0.0,0.0
62,2011-05-26,1522.800048828125,0.0,0.0,0.0,0.0
63,2011-05-27,1536.300048828125,0.0,0.0,0.0,0.0
64,2011-05-31,1535.9000244140625,0.0,0.0,0.0,0.0
65,2011-06-01,1542.4000244140625,0.0,0.0,0.0,0.0
66,2011-06-02,1532.0,0.0,0.0,0.0,0.0
67,2011-06-03,1541.699951171875,0.0,0.0,0.0,0.0
68,2011-06-06,1546.5,0.0,0.0,0.0,0.0
69,2011-06-07,1543.300048828125,0.0,0.0,0.0,0.0
70,2011-06-08,1538.0999755859375,0.0,0.0,0.0,0.0
71,2011-06-09,1542.0999755859375,0.0,0.0,0.0,0.0
72,2011-06-10,1528.5999755859375,0.0,0.0,0.0,0.0
73,2011-06-13,1515.0,0.0,0.0,0.0,0.0
74,2011-06-14,1523.800048828125,0.0,0.0,0.0,0.0
75,2011-06-15,1525.5999755859375,0.0,0.0,0.0,0.0
76,2011-06-16,1529.300048828125,0.0,0.0,0.0,0.0
77,2011-06-17,1538.5999755859375,0.0,0.0,0.0,0.0
78,2011-06-20,1541.5,0.0,0.0,0.0,0.0
79,2011-06-21,1546.0,0.0,0.0,0.0,0.0
80,2011-06-22,1552.9000244140625,0.0,0.0,0.0,0.0
81,2011-06-23,1520.0999755859375,0.0,0.0,0.0,0.0
82,2011-06-24,1500.5,0.0,0.0,0.0,0.0
83,2011-06-27,1496.0,0.0,0.0,0.0,0.0
84,2011-06-28,1499.699951171875,0.0,0.0,0.0,0.0
85,2011-06-29,1509.9000244140625,0.0,0.0,0.0,0.0
86,2011-06-30,1502.300048828125,0.0,0.0,0.0,0.0
87,2011-07-01,1482.300048828125,0.0,0.0,0.0,0.0
88,2011-07-05,1512.300048828125,0.0,0.0,0.0,0.0
89,2011-07-06,1528.699951171875,0.0,0.0,0.0,0.0
90,2011-07-07,1530.199951171875,0.0,0.0,0.0,0.0
91,2011-07-08,1541.199951171875,0.0,0.0,0.0,0.0
92,2011-07-11,1548.800048828125,0.0,0.0,0.0,0.0
93,2011-07-12,1561.9000244140625,0.0,0.0,0.0,0.0
94,2011-07-13,1585.199951171875,0.0,0.0,0.0,0.0
95,2011-07-14,1589.0,0.0,0.0,0.0,0.0
96,2011-07-15,1589.800048828125,0.0,0.0,0.0,0.0
97,2011-07-18,1602.0999755859375,0.0,0.0,0.0,0.0
98,2011-07-19,1600.9000244140625,0.0,0.0,0.0,0.0
99,2011-07-20,1596.699951171875,0.0,0.0,0.0,0.0
100,2011-07-21,1586.800048828125,0.0,0.0,0.0,0.0
101,2011-07-22,1601.300048828125,0.0,0.0,0.0,0.0
102,2011-07-25,1612.0,0.0,0.0,0.0,0.0
103,2011-07-26,1616.5999755859375,0.0,0.0,0.0,0.0
104,2011-07-27,1615.0,0.0,0.0,0.0,0.0
105,2011-07-28,1613.4000244140625,0.0,0.0,0.0,0.0
106,2011-07-29,1628.300048828125,0.0,0.0,0.0,0.0
107,2011-08-01,1619.0,0.0,0.0,0.0,0.0
108,2011-08-02,1641.9000244140625,0.0,0.0,0.0,0.0
109,2011-08-03,1663.4000244140625,0.0,0.0,0.0,0.0
110,2011-08-04,1656.199951171875,0.0,0.0,0.0,0.0
111,2011-08-05,1648.800048828125,0.0,0.0,0.0,0.0
