count,date,close,ma200,deviation,average,sigma
1,2011-03-01,10.745816230773926,0.0,0.0,0.0,0.0
2,2011-03-02,10.832259178161621,0.0,0.0,0.0,0.0
3,2011-03-03,11.061138153076172,0.0,0.0,0.0,0.0
4,2011-03-04,11.074674606323242,0.0,0.0,0.0,0.0
5,2011-03-07,10.931933403015137,0.0,0.0,0.0,0.0
6,2011-03-08,10.944238662719727,0.0,0.0,0.0,0.0
7,2011-03-09,10.843025207519531,0.0,0.0,0.0,0.0
8,2011-03-10,10.664602279663086,0.0,0.0,0.0,0.0
9,2011-03-11,10.828258514404297,0.0,0.0,0.0,0.0
10,2011-03-14,10.87656021118164,0.0,0.0,0.0,0.0
11,2011-03-15,10.626457214355469,0.0,0.0,0.0,0.0
12,2011-03-16,10.152091026306152,0.0,0.0,0.0,0.0
13,2011-03-17,10.294526100158691,0.0,0.0,0.0,0.0
14,2011-03-18,10.172394752502441,0.0,0.0,0.0,0.0
15,2011-03-21,10.437878608703613,0.0,0.0,0.0,0.0
16,2011-03-22,10.496328353881836,0.0,0.0,0.0,0.0
17,2011-03-23,10.434494018554688,0.0,0.0,0.0,0.0
18,2011-03-24,10.61230754852295,0.0,0.0,0.0,0.0
19,2011-03-25,10.814416885375977,0.0,0.0,0.0,0.0
20,2011-03-28,10.78057861328125,0.0,0.0,0.0,0.0
21,2011-03-29,10.796575546264648,0.0,0.0,0.0,0.0
22,2011-03-30,10.724896430969238,0.0,0.0,0.0,0.0
23,2011-03-31,10.721203804016113,0.0,0.0,0.0,0.0
24,2011-04-01,10.599690437316895,0.0,0.0,0.0,0.0
25,2011-04-04,10.496021270751953,0.0,0.0,0.0,0.0
26,2011-04-05,10.425268173217773,0.0,0.0,0.0,0.0
27,2011-04-06,10.399117469787598,0.0,0.0,0.0,0.0
28,2011-04-07,10.400349617004395,0.0,0.0,0.0,0.0
29,2011-04-08,10.307443618774414,0.0,0.0,0.0,0.0
30,2011-04-11,10.176393508911133,0.0,0.0,0.0,0.0
31,2011-04-12,10.225615501403809,0.0,0.0,0.0,0.0
32,2011-04-13,10.340360641479492,0.0,0.0,0.0,0.0
33,2011-04-14,10.226229667663574,0.0,0.0,0.0,0.0
34,2011-04-15,10.07364273071289,0.0,0.0,0.0,0.0
35,2011-04-18,10.208694458007812,0.0,0.0,0.0,0.0
36,2011-04-19,10.39358139038086,0.0,0.0,0.0,0.0
37,2011-04-20,10.533554077148438,0.0,0.0,0.0,0.0
38,2011-04-21,10.78857707977295,0.0,0.0,0.0,0.0
39,2011-04-25,10.859639167785645,0.0,0.0,0.0,0.0
40,2011-04-26,10.779964447021484,0.0,0.0,0.0,0.0
41,2011-04-27,10.771657943725586,0.0,0.0,0.0,0.0
42,2011-04-28,10.667064666748047,0.0,0.0,0.0,0.0
43,2011-04-29,10.77104377746582,0.0,0.0,0.0,0.0
44,2011-05-02,10.652606010437012,0.0,0.0,0.0,0.0
45,2011-05-03,10.711669921875,0.0,0.0,0.0,0.0
46,2011-05-04,10.753814697265625,0.0,0.0,0.0,0.0
47,2011-05-05,10.667064666748047,0.0,0.0,0.0,0.0
48,2011-05-06,10.664294242858887,0.0,0.0,0.0,0.0
49,2011-05-09,10.693214416503906,0.0,0.0,0.0,0.0
50,2011-05-10,10.7501220703125,0.0,0.0,0.0,0.0
51,2011-05-11,10.681831359863281,0.0,0.0,0.0,0.0
52,2011-05-12,10.661524772644043,0.0,0.0,0.0,0.0
53,2011-05-13,10.4747953414917,0.0,0.0,0.0,0.0
54,2011-05-16,10.253303527832031,0.0,0.0,0.0,0.0
55,2011-05-17,10.340668678283691,0.0,0.0,0.0,0.0
56,2011-05-18,10.455413818359375,0.0,0.0,0.0,0.0
57,2011-05-19,10.475717544555664,0.0,0.0,0.0,0.0
58,2011-05-20,10.31236743927002,0.0,0.0,0.0,0.0
59,2011-05-23,10.287140846252441,0.0,0.0,0.0,0.0
60,2011-05-24,10.219155311584473,0.0,0.0,0.0,0.0
61,2011-05-25,10.360356330871582,0.0,0.0,0.0,0.0
62,2011-05-26,10.305598258972168,0.0,0.0,0.0,0.0
63,2011-05-27,10.379735946655273,0.0,0.0,0.0,0.0
64,2011-05-31,10.700284957885742,0.0,0.0,0.0,0.0
65,2011-06-01,10.628917694091797,0.0,0.0,0.0,0.0
66,2011-06-02,10.647065162658691,0.0,0.0,0.0,0.0
67,2011-06-03,10.565235137939453,0.0,0.0,0.0,0.0
68,2011-06-06,10.399117469787598,0.0,0.0,0.0,0.0
69,2011-06-07,10.214540481567383,0.0,0.0,0.0,0.0
70,2011-06-08,10.220694541931152,0.0,0.0,0.0,0.0
71,2011-06-09,10.19762134552002,0.0,0.0,0.0,0.0
72,2011-06-10,10.025656700134277,0.0,0.0,0.0,0.0
73,2011-06-13,10.047189712524414,0.0,0.0,0.0,0.0
74,2011-06-14,10.22684383392334,0.0,0.0,0.0,0.0
75,2011-06-15,10.051804542541504,0.0,0.0,0.0,0.0
76,2011-06-16,10.002890586853027,0.0,0.0,0.0,0.0
77,2011-06-17,9.85214900970459,0.0,0.0,0.0,0.0
78,2011-06-20,9.700181007385254,0.0,0.0,0.0,0.0
79,2011-06-21,10.007197380065918,0.0,0.0,0.0,0.0
80,2011-06-22,9.924443244934082,0.0,0.0,0.0,0.0
81,2011-06-23,10.189623832702637,0.0,0.0,0.0,0.0
82,2011-06-24,10.03950023651123,0.0,0.0,0.0,0.0
83,2011-06-27,10.214540481567383,0.0,0.0,0.0,0.0
84,2011-06-28,10.313596725463867,0.0,0.0,0.0,0.0
85,2011-06-29,10.276065826416016,0.0,0.0,0.0,0.0
86,2011-06-30,10.32620906829834,0.0,0.0,0.0,0.0
87,2011-07-01,10.559701919555664,0.0,0.0,0.0,0.0
88,2011-07-05,10.749507904052734,0.0,0.0,0.0,0.0
89,2011-07-06,10.821184158325195,0.0,0.0,0.0,0.0
90,2011-07-07,10.988534927368164,0.0,0.0,0.0,0.0
91,2011-07-08,11.065752029418945,0.0,0.0,0.0,0.0
92,2011-07-11,10.890098571777344,0.0,0.0,0.0,0.0
93,2011-07-12,10.882405281066895,0.0,0.0,0.0,0.0
94,2011-07-13,11.013765335083008,0.0,0.0,0.0,0.0
95,2011-07-14,11.006072044372559,0.0,0.0,0.0,0.0
96,2011-07-15,11.226028442382812,0.0,0.0,0.0,0.0
97,2011-07-18,11.499200820922852,0.0,0.0,0.0,0.0
98,2011-07-19,11.59303092956543,0.0,0.0,0.0,0.0
99,2011-07-20,11.902195930480957,0.0,0.0,0.0,0.0
100,2011-07-21,11.914196014404297,0.0,0.0,0.0,0.0
101,2011-07-22,12.099081993103027,0.0,0.0,0.0,0.0
102,2011-07-25,12.259047508239746,0.0,0.0,0.0,0.0
103,2011-07-26,12.41009521484375,0.0,0.0,0.0,0.0
104,2011-07-27,12.077241897583008,0.0,0.0,0.0,0.0
105,2011-07-28,12.053549766540527,0.0,0.0,0.0,0.0
106,2011-07-29,12.01232624053955,0.0,0.0,0.0,0.0
107,2011-08-01,12.205211639404297,0.0,0.0,0.0,0.0
108,2011-08-02,11.964031219482422,0.0,0.0,0.0,0.0
109,2011-08-03,12.07662296295166,0.0,0.0,0.0,0.0
110,2011-08-04,11.609024047851562,0.0,0.0,0.0,0.0
111,2011-08-05,11.49366283416748,0.0,0.0,0.0,0.0
112,2011-08-08,10.865795135498047,0.0,0.0,0.0,0.0
113,2011-08-09,11.50566291809082,0.0,0.0,0.0,0.0
114,2011-08-10,11.188191413879395,0.0,0.0,0.0,0.0
115,2011-08-11,11.496124267578125,0.0,0.0,0.0,0.0
116,2011-08-12,11.597336769104004,0.0,0.0,0.0,0.0
117,2011-08-15,11.79483413696289,0.0,0.0,0.0,0.0
118,2011-08-16,11.704697608947754,0.0,0.0,0.0,0.0
119,2011-08-17,11.703469276428223,0.0,0.0,0.0,0.0
120,2011-08-18,11.260788917541504,0.0,0.0,0.0,0.0
121,2011-08-19,10.952542304992676,0.0,0.0,0.0,0.0
122,2011-08-22,10.965158462524414,0.0,0.0,0.0,0.0
123,2011-08-23,11.493048667907715,0.0,0.0,0.0,0.0
124,2011-08-24,11.572418212890625,0.0,0.0,0.0,0.0
125,2011-08-25,11.496740341186523,0.0,0.0,0.0,0.0
126,2011-08-26,11.800060272216797,0.0,0.0,0.0,0.0
127,2011-08-29,11.996639251708984,0.0,0.0,0.0,0.0
128,2011-08-30,11.997255325317383,0.0,0.0,0.0,0.0
129,2011-08-31,11.838518142700195,0.0,0.0,0.0,0.0
130,2011-09-01,11.721616744995117,0.0,0.0,0.0,0.0
131,2011-09-02,11.506895065307617,0.0,0.0,0.0,0.0
132,2011-09-06,11.681937217712402,0.0,0.0,0.0,0.0
133,2011-09-07,11.810832977294922,0.0,0.0,0.0,0.0
134,2011-09-08,11.817292213439941,0.0,0.0,0.0,0.0
135,2011-09-09,11.612408638000488,0.0,0.0,0.0,0.0
136,2011-09-12,11.68808650970459,0.0,0.0,0.0,0.0
137,2011-09-13,11.832056999206543,0.0,0.0,0.0,0.0
138,2011-09-14,11.976027488708496,0.0,0.0,0.0,0.0
139,2011-09-15,12.088619232177734,0.0,0.0,0.0,0.0
140,2011-09-16,12.320572853088379,0.0,0.0,0.0,0.0
141,2011-09-19,12.6629638671875,0.0,0.0,0.0,0.0
142,2011-09-20,12.718955039978027,0.0,0.0,0.0,0.0
143,2011-09-21,12.678658485412598,0.0,0.0,0.0,0.0
144,2011-09-22,12.36118221282959,0.0,0.0,0.0,0.0
145,2011-09-23,12.437475204467773,0.0,0.0,0.0,0.0
146,2011-09-26,12.402710914611816,0.0,0.0,0.0,0.0
147,2011-09-27,12.282424926757812,0.0,0.0,0.0,0.0
148,2011-09-28,12.213211059570312,0.0,0.0,0.0,0.0
149,2011-09-29,12.015097618103027,0.0,0.0,0.0,0.0
150,2011-09-30,11.730541229248047,0.0,0.0,0.0,0.0
151,2011-10-03,11.523815155029297,0.0,0.0,0.0,0.0
152,2011-10-04,11.459211349487305,0.0,0.0,0.0,0.0
153,2011-10-05,11.63609790802002,0.0,0.0,0.0,0.0
154,2011-10-06,11.609024047851562,0.0,0.0,0.0,0.0
155,2011-10-07,11.376152038574219,0.0,0.0,0.0,0.0
156,2011-10-10,11.960954666137695,0.0,0.0,0.0,0.0
157,2011-10-11,12.314114570617676,0.0,0.0,0.0,0.0
158,2011-10-12,12.372562408447266,0.0,0.0,0.0,0.0
159,2011-10-13,12.56452465057373,0.0,0.0,0.0,0.0
160,2011-10-14,12.981977462768555,0.0,0.0,0.0,0.0
161,2011-10-17,12.920141220092773,0.0,0.0,0.0,0.0
162,2011-10-18,12.989360809326172,0.0,0.0,0.0,0.0
163,2011-10-19,12.262739181518555,0.0,0.0,0.0,0.0
164,2011-10-20,12.160910606384277,0.0,0.0,0.0,0.0
165,2011-10-21,12.085851669311523,0.0,0.0,0.0,0.0
166,2011-10-24,12.482695579528809,0.0,0.0,0.0,0.0
167,2011-10-25,12.236590385437012,0.0,0.0,0.0,0.0
168,2011-10-26,12.323650360107422,0.0,0.0,0.0,0.0
169,2011-10-27,12.449468612670898,0.0,0.0,0.0,0.0
170,2011-10-28,12.45746898651123,0.0,0.0,0.0,0.0
171,2011-10-31,12.452240943908691,0.0,0.0,0.0,0.0
172,2011-11-01,12.197826385498047,0.0,0.0,0.0,0.0
173,2011-11-02,12.225516319274902,0.0,0.0,0.0,0.0
174,2011-11-03,12.399633407592773,0.0,0.0,0.0,0.0
175,2011-11-04,12.312578201293945,0.0,0.0,0.0,0.0
176,2011-11-07,12.296883583068848,0.0,0.0,0.0,0.0
177,2011-11-08,12.496847152709961,0.0,0.0,0.0,0.0
178,2011-11-09,12.159989356994629,0.0,0.0,0.0,0.0
179,2011-11-10,11.850516319274902,0.0,0.0,0.0,0.0
180,2011-11-11,11.832056999206543,0.0,0.0,0.0,0.0
181,2011-11-14,11.667165756225586,0.0,0.0,0.0,0.0
182,2011-11-15,11.961567878723145,0.0,0.0,0.0,0.0
183,2011-11-16,11.83667278289795,0.0,0.0,0.0,0.0
184,2011-11-17,11.61025333404541,0.0,0.0,0.0,0.0
185,2011-11-18,11.534269332885742,0.0,0.0,0.0,0.0
186,2011-11-21,11.351847648620605,0.0,0.0,0.0,0.0
187,2011-11-22,11.582571029663086,0.0,0.0,0.0,0.0
188,2011-11-23,11.289704322814941,0.0,0.0,0.0,0.0
