count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,27.931230545043945,0.0,0.0,0.0,0.0,27.931230545043945,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,28.121292114257812,0.0,0.0,0.0,0.0,28.121292114257812,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,27.82479476928711,0.0,0.0,0.0,0.0,27.82479476928711,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,26.950517654418945,0.0,0.0,0.0,0.0,26.950517654418945,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,27.437068939208984,0.0,0.0,0.0,0.0,27.437068939208984,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,27.216602325439453,0.0,0.0,0.0,0.0,27.216602325439453,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,26.988527297973633,0.0,0.0,0.0,0.0,26.988527297973633,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,26.18267059326172,0.0,0.0,0.0,0.0,26.18267059326172,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,26.41834831237793,0.0,0.0,0.0,0.0,26.41834831237793,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,26.57799530029297,0.0,0.0,0.0,0.0,26.57799530029297,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,27.277420043945312,0.0,0.0,0.0,0.0,27.277420043945312,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,27.39906120300293,0.0,0.0,0.0,0.0,27.39906120300293,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,27.452272415161133,0.0,0.0,0.0,0.0,27.452272415161133,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,27.421857833862305,0.0,0.0,0.0,0.0,27.421857833862305,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,26.836484909057617,0.0,0.0,0.0,0.0,26.836484909057617,0.0,0.0,0.0,0.0,0.0
16,2011-03-28,26.874486923217773,0.0,0.0,0.0,0.0,26.874486923217773,0.0,0.0,0.0,0.0,0.0
17,2011-03-29,27.155771255493164,0.0,0.0,0.0,0.0,27.155771255493164,0.0,0.0,0.0,0.0,0.0
18,2011-03-30,27.323034286499023,0.0,0.0,0.0,0.0,27.323034286499023,0.0,0.0,0.0,0.0,0.0
19,2011-03-31,27.376249313354492,0.0,0.0,0.0,0.0,27.376249313354492,0.0,0.0,0.0,0.0,0.0
20,2011-04-01,27.733562469482422,0.0,0.0,0.0,0.0,27.733562469482422,0.0,0.0,0.0,0.0,0.0
21,2011-04-04,27.916011810302734,0.0,0.0,0.0,0.0,27.916011810302734,0.0,0.0,0.0,0.0,0.0
22,2011-04-05,28.144088745117188,0.0,0.0,0.0,0.0,28.144088745117188,0.0,0.0,0.0,0.0,0.0
23,2011-04-06,27.794376373291016,0.0,0.0,0.0,0.0,27.794376373291016,0.0,0.0,0.0,0.0,0.0
24,2011-04-07,27.72595977783203,0.0,0.0,0.0,0.0,27.72595977783203,0.0,0.0,0.0,0.0,0.0
25,2011-04-08,26.813669204711914,0.0,0.0,0.0,0.0,26.813669204711914,0.0,0.0,0.0,0.0,0.0
26,2011-04-11,27.041744232177734,0.0,0.0,0.0,0.0,27.041744232177734,0.0,0.0,0.0,0.0,0.0
27,2011-04-12,27.01894187927246,0.0,0.0,0.0,0.0,27.01894187927246,0.0,0.0,0.0,0.0,0.0
28,2011-04-13,26.714845657348633,0.0,0.0,0.0,0.0,26.714845657348633,0.0,0.0,0.0,0.0,0.0
29,2011-04-14,26.638824462890625,0.0,0.0,0.0,0.0,26.638824462890625,0.0,0.0,0.0,0.0,0.0
30,2011-04-15,26.47916603088379,0.0,0.0,0.0,0.0,26.47916603088379,0.0,0.0,0.0,0.0,0.0
31,2011-04-18,26.190265655517578,0.0,0.0,0.0,0.0,26.190265655517578,0.0,0.0,0.0,0.0,0.0
32,2011-04-19,26.57799530029297,0.0,0.0,0.0,0.0,26.57799530029297,0.0,0.0,0.0,0.0,0.0
33,2011-04-20,27.224199295043945,0.0,0.0,0.0,0.0,27.224199295043945,0.0,0.0,0.0,0.0,0.0
34,2011-04-21,27.406660079956055,0.0,0.0,0.0,0.0,27.406660079956055,0.0,0.0,0.0,0.0,0.0
35,2011-04-25,27.132966995239258,0.0,0.0,0.0,0.0,27.132966995239258,0.0,0.0,0.0,0.0,0.0
36,2011-04-26,27.634727478027344,0.0,0.0,0.0,0.0,27.634727478027344,0.0,0.0,0.0,0.0,0.0
37,2011-04-27,27.604320526123047,0.0,0.0,0.0,0.0,27.604320526123047,0.0,0.0,0.0,0.0,0.0
38,2011-04-28,27.627124786376953,0.0,0.0,0.0,0.0,27.627124786376953,0.0,0.0,0.0,0.0,0.0
39,2011-04-29,28.144088745117188,0.0,0.0,0.0,0.0,28.144088745117188,0.0,0.0,0.0,0.0,0.0
40,2011-05-02,28.128883361816406,0.0,0.0,0.0,0.0,28.128883361816406,0.0,0.0,0.0,0.0,0.0
41,2011-05-03,26.23587989807129,0.0,0.0,0.0,0.0,26.23587989807129,0.0,0.0,0.0,0.0,0.0
42,2011-05-04,26.395545959472656,0.0,0.0,0.0,0.0,26.395545959472656,0.0,0.0,0.0,0.0,0.0
43,2011-05-05,25.908992767333984,0.0,0.0,0.0,0.0,25.908992767333984,0.0,0.0,0.0,0.0,0.0
44,2011-05-06,25.82535743713379,0.0,0.0,0.0,0.0,25.82535743713379,0.0,0.0,0.0,0.0,0.0
45,2011-05-09,25.931787490844727,0.0,0.0,0.0,0.0,25.931787490844727,0.0,0.0,0.0,0.0,0.0
46,2011-05-10,25.399627685546875,0.0,0.0,0.0,0.0,25.399627685546875,0.0,0.0,0.0,0.0,0.0
47,2011-05-11,24.768625259399414,0.0,0.0,0.0,0.0,24.768625259399414,0.0,0.0,0.0,0.0,0.0
48,2011-05-12,24.555757522583008,0.0,0.0,0.0,0.0,24.555757522583008,0.0,0.0,0.0,0.0,0.0
49,2011-05-13,24.479736328125,0.0,0.0,0.0,0.0,24.479736328125,0.0,0.0,0.0,0.0,0.0
50,2011-05-16,24.33528709411621,0.0,0.0,0.0,0.0,24.33528709411621,0.0,0.0,0.0,0.0,0.0
51,2011-05-17,24.304725646972656,0.0,0.0,0.0,0.0,24.304725646972656,0.0,0.0,0.0,0.0,0.0
52,2011-05-18,24.266523361206055,0.0,0.0,0.0,0.0,24.426523361206055,0.0,0.0,0.0,0.0,0.16
53,2011-05-19,24.060222625732422,0.0,0.0,0.0,0.0,24.220222625732422,0.0,0.0,0.0,0.0,0.16
54,2011-05-20,23.88449478149414,0.0,0.0,0.0,0.0,24.04449478149414,0.0,0.0,0.0,0.0,0.16
55,2011-05-23,23.66291618347168,0.0,0.0,0.0,0.0,23.82291618347168,0.0,0.0,0.0,0.0,0.16
56,2011-05-24,23.6552677154541,0.0,0.0,0.0,0.0,23.8152677154541,0.0,0.0,0.0,0.0,0.16
57,2011-05-25,23.708763122558594,0.0,0.0,0.0,0.0,23.868763122558594,0.0,0.0,0.0,0.0,0.16
58,2011-05-26,23.945619583129883,0.0,0.0,0.0,0.0,24.105619583129883,0.0,0.0,0.0,0.0,0.16
59,2011-05-27,24.610349655151367,0.0,0.0,0.0,0.0,24.770349655151367,0.0,0.0,0.0,0.0,0.16
60,2011-05-31,24.763158798217773,0.0,0.0,0.0,0.0,24.923158798217774,0.0,0.0,0.0,0.0,0.16
61,2011-06-01,23.769882202148438,0.0,0.0,0.0,0.0,23.929882202148438,0.0,0.0,0.0,0.0,0.16
62,2011-06-02,23.448976516723633,0.0,0.0,0.0,0.0,23.608976516723633,0.0,0.0,0.0,0.0,0.16
63,2011-06-03,23.21976089477539,0.0,0.0,0.0,0.0,23.37976089477539,0.0,0.0,0.0,0.0,0.16
64,2011-06-06,23.12042999267578,0.0,0.0,0.0,0.0,23.28042999267578,0.0,0.0,0.0,0.0,0.16
65,2011-06-07,23.02110481262207,0.0,0.0,0.0,0.0,23.18110481262207,0.0,0.0,0.0,0.0,0.16
66,2011-06-08,22.73076057434082,0.0,0.0,0.0,0.0,22.89076057434082,0.0,0.0,0.0,0.0,0.16
67,2011-06-09,22.99054527282715,0.0,0.0,0.0,0.0,23.15054527282715,0.0,0.0,0.0,0.0,0.16
68,2011-06-10,22.57030487060547,0.0,0.0,0.0,0.0,22.73030487060547,0.0,0.0,0.0,0.0,0.16
69,2011-06-13,22.768962860107422,0.0,0.0,0.0,0.0,22.928962860107422,0.0,0.0,0.0,0.0,0.16
70,2011-06-14,23.143356323242188,0.0,0.0,0.0,0.0,23.303356323242188,0.0,0.0,0.0,0.0,0.16
71,2011-06-15,22.600872039794922,0.0,0.0,0.0,0.0,22.760872039794922,0.0,0.0,0.0,0.0,0.16
72,2011-06-16,22.555028915405273,0.0,0.0,0.0,0.0,22.715028915405274,0.0,0.0,0.0,0.0,0.16
73,2011-06-17,23.05167007446289,0.0,0.0,0.0,0.0,23.21167007446289,0.0,0.0,0.0,0.0,0.16
74,2011-06-20,23.257965087890625,0.0,0.0,0.0,0.0,23.417965087890625,0.0,0.0,0.0,0.0,0.16
75,2011-06-21,23.357288360595703,0.0,0.0,0.0,0.0,23.517288360595703,0.0,0.0,0.0,0.0,0.16
76,2011-06-22,23.15099334716797,0.0,0.0,0.0,0.0,23.31099334716797,0.0,0.0,0.0,0.0,0.16
77,2011-06-23,22.547382354736328,0.0,0.0,0.0,0.0,22.70738235473633,0.0,0.0,0.0,0.0,0.16
78,2011-06-24,22.386938095092773,0.0,0.0,0.0,0.0,22.546938095092774,0.0,0.0,0.0,0.0,0.16
79,2011-06-27,22.63143539428711,0.0,0.0,0.0,0.0,22.79143539428711,0.0,0.0,0.0,0.0,0.16
80,2011-06-28,22.61615753173828,0.0,0.0,0.0,0.0,22.77615753173828,0.0,0.0,0.0,0.0,0.16
81,2011-06-29,23.158634185791016,0.0,0.0,0.0,0.0,23.318634185791016,0.0,0.0,0.0,0.0,0.16
82,2011-06-30,23.03638458251953,0.0,0.0,0.0,0.0,23.19638458251953,0.0,0.0,0.0,0.0,0.16
