count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,34.47471237182617,0.0,0.0,0.0,0.0,34.47471237182617,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,35.03241729736328,0.0,0.0,0.0,0.0,35.03241729736328,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,35.30286407470703,0.0,0.0,0.0,0.0,35.30286407470703,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,34.94227600097656,0.0,0.0,0.0,0.0,35.25834300097656,0.0,0.0,0.0,0.0,0.316067
5,2011-03-11,34.95613479614258,0.0,0.0,0.0,0.0,35.272201796142575,0.0,0.0,0.0,0.0,0.316067
6,2011-03-14,34.74117660522461,0.0,0.0,0.0,0.0,35.057243605224606,0.0,0.0,0.0,0.0,0.316067
7,2011-03-15,34.20722579956055,0.0,0.0,0.0,0.0,34.523292799560544,0.0,0.0,0.0,0.0,0.316067
8,2011-03-16,33.53459548950195,0.0,0.0,0.0,0.0,33.85066248950195,0.0,0.0,0.0,0.0,0.316067
9,2011-03-17,33.81890869140625,0.0,0.0,0.0,0.0,34.13497569140625,0.0,0.0,0.0,0.0,0.316067
10,2011-03-18,34.19335174560547,0.0,0.0,0.0,0.0,34.509418745605466,0.0,0.0,0.0,0.0,0.316067
11,2011-03-21,34.60248565673828,0.0,0.0,0.0,0.0,34.91855265673828,0.0,0.0,0.0,0.0,0.316067
12,2011-03-22,34.71342849731445,0.0,0.0,0.0,0.0,35.02949549731445,0.0,0.0,0.0,0.0,0.316067
13,2011-03-23,34.74117660522461,0.0,0.0,0.0,0.0,35.057243605224606,0.0,0.0,0.0,0.0,0.316067
14,2011-03-24,34.92145919799805,0.0,0.0,0.0,0.0,35.237526197998044,0.0,0.0,0.0,0.0,0.316067
15,2011-03-25,34.92839813232422,0.0,0.0,0.0,0.0,35.244465132324216,0.0,0.0,0.0,0.0,0.316067
16,2011-03-28,34.914527893066406,0.0,0.0,0.0,0.0,35.2305948930664,0.0,0.0,0.0,0.0,0.316067
17,2011-03-29,35.11561965942383,0.0,0.0,0.0,0.0,35.431686659423825,0.0,0.0,0.0,0.0,0.316067
18,2011-03-30,35.46928405761719,0.0,0.0,0.0,0.0,35.785351057617184,0.0,0.0,0.0,0.0,0.316067
19,2011-03-31,35.580238342285156,0.0,0.0,0.0,0.0,35.89630534228515,0.0,0.0,0.0,0.0,0.316067
20,2011-04-01,35.83681106567383,0.0,0.0,0.0,0.0,36.152878065673825,0.0,0.0,0.0,0.0,0.316067
21,2011-04-04,36.06563949584961,0.0,0.0,0.0,0.0,36.381706495849606,0.0,0.0,0.0,0.0,0.316067
22,2011-04-05,35.9130744934082,0.0,0.0,0.0,0.0,36.2291414934082,0.0,0.0,0.0,0.0,0.316067
23,2011-04-06,36.59263610839844,0.0,0.0,0.0,0.0,36.908703108398434,0.0,0.0,0.0,0.0,0.316067
24,2011-04-07,36.70360565185547,0.0,0.0,0.0,0.0,37.019672651855466,0.0,0.0,0.0,0.0,0.316067
25,2011-04-08,36.370750427246094,0.0,0.0,0.0,0.0,36.68681742724609,0.0,0.0,0.0,0.0,0.316067
26,2011-04-11,36.34994125366211,0.0,0.0,0.0,0.0,36.666008253662106,0.0,0.0,0.0,0.0,0.316067
27,2011-04-12,36.08644104003906,0.0,0.0,0.0,0.0,36.40250804003906,0.0,0.0,0.0,0.0,0.316067
28,2011-04-13,36.10030746459961,0.0,0.0,0.0,0.0,36.416374464599606,0.0,0.0,0.0,0.0,0.316067
29,2011-04-14,36.08644104003906,0.0,0.0,0.0,0.0,36.40250804003906,0.0,0.0,0.0,0.0,0.316067
30,2011-04-15,36.141910552978516,0.0,0.0,0.0,0.0,36.45797755297851,0.0,0.0,0.0,0.0,0.316067
31,2011-04-18,35.86453628540039,0.0,0.0,0.0,0.0,36.18060328540039,0.0,0.0,0.0,0.0,0.316067
32,2011-04-19,35.96855163574219,0.0,0.0,0.0,0.0,36.284618635742184,0.0,0.0,0.0,0.0,0.316067
33,2011-04-20,36.58571243286133,0.0,0.0,0.0,0.0,36.901779432861325,0.0,0.0,0.0,0.0,0.316067
34,2011-04-21,36.75213623046875,0.0,0.0,0.0,0.0,37.06820323046875,0.0,0.0,0.0,0.0,0.316067
35,2011-04-25,36.870025634765625,0.0,0.0,0.0,0.0,37.18609263476562,0.0,0.0,0.0,0.0,0.316067
36,2011-04-26,37.32074737548828,0.0,0.0,0.0,0.0,37.63681437548828,0.0,0.0,0.0,0.0,0.316067
37,2011-04-27,37.639732360839844,0.0,0.0,0.0,0.0,37.95579936083984,0.0,0.0,0.0,0.0,0.316067
38,2011-04-28,37.5911979675293,0.0,0.0,0.0,0.0,37.907264967529294,0.0,0.0,0.0,0.0,0.316067
39,2011-04-29,37.69520950317383,0.0,0.0,0.0,0.0,38.011276503173825,0.0,0.0,0.0,0.0,0.316067
