count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,22.10512351989746,0.0,0.0,0.0,0.0,22.10512351989746,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,22.272584915161133,0.0,0.0,0.0,0.0,22.272584915161133,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,22.12459373474121,0.0,0.0,0.0,0.0,22.12459373474121,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,21.69230842590332,0.0,0.0,0.0,0.0,21.69230842590332,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,21.633892059326172,0.0,0.0,0.0,0.0,21.633892059326172,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,20.99129867553711,0.0,0.0,0.0,0.0,20.99129867553711,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,19.819055557250977,0.0,0.0,0.0,0.0,19.819055557250977,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,19.733375549316406,0.0,0.0,0.0,0.0,19.733375549316406,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,19.647695541381836,0.0,0.0,0.0,0.0,19.647695541381836,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,19.733375549316406,0.0,0.0,0.0,0.0,19.733375549316406,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,20.457754135131836,0.0,0.0,0.0,0.0,20.457754135131836,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,20.57848358154297,0.0,0.0,0.0,0.0,20.57848358154297,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,20.430492401123047,0.0,0.0,0.0,0.0,20.430492401123047,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,20.66805648803711,0.0,0.0,0.0,0.0,20.66805648803711,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,20.504487991333008,0.0,0.0,0.0,0.0,20.504487991333008,0.0,0.0,0.0,0.0,0.0
16,2011-03-28,20.523958206176758,0.0,0.0,0.0,0.0,20.523958206176758,0.0,0.0,0.0,0.0,0.0
17,2011-03-29,20.309764862060547,0.0,0.0,0.0,0.0,20.309764862060547,0.0,0.0,0.0,0.0,0.0
18,2011-03-30,20.453859329223633,0.0,0.0,0.0,0.0,20.453859329223633,0.0,0.0,0.0,0.0,0.0
19,2011-03-31,20.555116653442383,0.0,0.0,0.0,0.0,20.555116653442383,0.0,0.0,0.0,0.0,0.0
20,2011-04-01,20.83551788330078,0.0,0.0,0.0,0.0,20.83551788330078,0.0,0.0,0.0,0.0,0.0
21,2011-04-04,21.166547775268555,0.0,0.0,0.0,0.0,21.166547775268555,0.0,0.0,0.0,0.0,0.0
22,2011-04-05,21.17434310913086,0.0,0.0,0.0,0.0,21.17434310913086,0.0,0.0,0.0,0.0,0.0
23,2011-04-06,21.322328567504883,0.0,0.0,0.0,0.0,21.322328567504883,0.0,0.0,0.0,0.0,0.0
24,2011-04-07,21.131500244140625,0.0,0.0,0.0,0.0,21.131500244140625,0.0,0.0,0.0,0.0,0.0
25,2011-04-08,20.897829055786133,0.0,0.0,0.0,0.0,20.897829055786133,0.0,0.0,0.0,0.0,0.0
26,2011-04-11,20.964038848876953,0.0,0.0,0.0,0.0,20.964038848876953,0.0,0.0,0.0,0.0,0.0
27,2011-04-12,20.68753433227539,0.0,0.0,0.0,0.0,20.68753433227539,0.0,0.0,0.0,0.0,0.0
28,2011-04-13,20.411014556884766,0.0,0.0,0.0,0.0,20.411014556884766,0.0,0.0,0.0,0.0,0.0
29,2011-04-14,20.251338958740234,0.0,0.0,0.0,0.0,20.251338958740234,0.0,0.0,0.0,0.0,0.0
30,2011-04-15,20.348703384399414,0.0,0.0,0.0,0.0,20.348703384399414,0.0,0.0,0.0,0.0,0.0
31,2011-04-18,20.0877742767334,0.0,0.0,0.0,0.0,20.0877742767334,0.0,0.0,0.0,0.0,0.0
32,2011-04-19,20.259136199951172,0.0,0.0,0.0,0.0,20.259136199951172,0.0,0.0,0.0,0.0,0.0
33,2011-04-20,20.726472854614258,0.0,0.0,0.0,0.0,20.726472854614258,0.0,0.0,0.0,0.0,0.0
34,2011-04-21,20.897829055786133,0.0,0.0,0.0,0.0,20.897829055786133,0.0,0.0,0.0,0.0,0.0
35,2011-04-25,20.726472854614258,0.0,0.0,0.0,0.0,20.726472854614258,0.0,0.0,0.0,0.0,0.0
36,2011-04-26,20.99519157409668,0.0,0.0,0.0,0.0,20.99519157409668,0.0,0.0,0.0,0.0,0.0
37,2011-04-27,21.143178939819336,0.0,0.0,0.0,0.0,21.143178939819336,0.0,0.0,0.0,0.0,0.0
38,2011-04-28,22.19858741760254,0.0,0.0,0.0,0.0,22.19858741760254,0.0,0.0,0.0,0.0,0.0
39,2011-04-29,21.88313865661621,0.0,0.0,0.0,0.0,21.88313865661621,0.0,0.0,0.0,0.0,0.0
40,2011-05-02,21.867563247680664,0.0,0.0,0.0,0.0,21.867563247680664,0.0,0.0,0.0,0.0,0.0
