count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,48.400123596191406,0.0,0.0,0.0,0.0,48.400123596191406,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,48.43424606323242,0.0,0.0,0.0,0.0,48.43424606323242,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,48.12715148925781,0.0,0.0,0.0,0.0,48.12715148925781,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,46.81351852416992,0.0,0.0,0.0,0.0,46.81351852416992,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,46.9718132019043,0.0,0.0,0.0,0.0,46.9718132019043,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,48.015621185302734,0.0,0.0,0.0,0.0,48.18062118530273,0.0,0.0,0.0,0.0,0.165
7,2011-03-15,46.749359130859375,0.0,0.0,0.0,0.0,46.914359130859374,0.0,0.0,0.0,0.0,0.165
8,2011-03-16,45.423179626464844,0.0,0.0,0.0,0.0,45.58817962646484,0.0,0.0,0.0,0.0,0.165
9,2011-03-17,46.064876556396484,0.0,0.0,0.0,0.0,46.22987655639648,0.0,0.0,0.0,0.0,0.165
10,2011-03-18,46.26166534423828,0.0,0.0,0.0,0.0,46.42666534423828,0.0,0.0,0.0,0.0,0.165
11,2011-03-21,47.502254486083984,0.0,0.0,0.0,0.0,47.66725448608398,0.0,0.0,0.0,0.0,0.165
12,2011-03-22,47.288352966308594,0.0,0.0,0.0,0.0,47.45335296630859,0.0,0.0,0.0,0.0,0.165
13,2011-03-23,47.65626907348633,0.0,0.0,0.0,0.0,47.82126907348633,0.0,0.0,0.0,0.0,0.165
14,2011-03-24,48.40065002441406,0.0,0.0,0.0,0.0,48.56565002441406,0.0,0.0,0.0,0.0,0.165
15,2011-03-25,48.96532440185547,0.0,0.0,0.0,0.0,49.13032440185547,0.0,0.0,0.0,0.0,0.165
16,2011-03-28,49.41022491455078,0.0,0.0,0.0,0.0,49.57522491455078,0.0,0.0,0.0,0.0,0.165
17,2011-03-29,50.00913619995117,0.0,0.0,0.0,0.0,50.17413619995117,0.0,0.0,0.0,0.0,0.165
18,2011-03-30,50.796287536621094,0.0,0.0,0.0,0.0,50.96128753662109,0.0,0.0,0.0,0.0,0.165
19,2011-03-31,51.13852310180664,0.0,0.0,0.0,0.0,51.30352310180664,0.0,0.0,0.0,0.0,0.165
20,2011-04-01,51.42085647583008,0.0,0.0,0.0,0.0,51.58585647583008,0.0,0.0,0.0,0.0,0.165
21,2011-04-04,51.1727294921875,0.0,0.0,0.0,0.0,51.3377294921875,0.0,0.0,0.0,0.0,0.165
22,2011-04-05,51.21552276611328,0.0,0.0,0.0,0.0,51.38052276611328,0.0,0.0,0.0,0.0,0.165
23,2011-04-06,51.60908508300781,0.0,0.0,0.0,0.0,51.77408508300781,0.0,0.0,0.0,0.0,0.165
24,2011-04-07,51.48931121826172,0.0,0.0,0.0,0.0,51.65431121826172,0.0,0.0,0.0,0.0,0.165
25,2011-04-08,51.37806701660156,0.0,0.0,0.0,0.0,51.54306701660156,0.0,0.0,0.0,0.0,0.165
26,2011-04-11,50.59093475341797,0.0,0.0,0.0,0.0,50.75593475341797,0.0,0.0,0.0,0.0,0.165
27,2011-04-12,49.52145004272461,0.0,0.0,0.0,0.0,49.68645004272461,0.0,0.0,0.0,0.0,0.165
28,2011-04-13,49.47867202758789,0.0,0.0,0.0,0.0,49.64367202758789,0.0,0.0,0.0,0.0,0.165
29,2011-04-14,49.47867202758789,0.0,0.0,0.0,0.0,49.64367202758789,0.0,0.0,0.0,0.0,0.165
30,2011-04-15,49.75246047973633,0.0,0.0,0.0,0.0,49.91746047973633,0.0,0.0,0.0,0.0,0.165
31,2011-04-18,48.6915283203125,0.0,0.0,0.0,0.0,48.8565283203125,0.0,0.0,0.0,0.0,0.165
32,2011-04-19,49.47011184692383,0.0,0.0,0.0,0.0,49.63511184692383,0.0,0.0,0.0,0.0,0.165
33,2011-04-20,55.50202941894531,0.0,0.0,0.0,0.0,55.66702941894531,0.0,0.0,0.0,0.0,0.165
34,2011-04-21,55.604698181152344,0.0,0.0,0.0,0.0,55.76969818115234,0.0,0.0,0.0,0.0,0.165
35,2011-04-25,59.51471710205078,0.0,0.0,0.0,0.0,59.67971710205078,0.0,0.0,0.0,0.0,0.165
36,2011-04-26,58.616363525390625,0.0,0.0,0.0,0.0,58.781363525390624,0.0,0.0,0.0,0.0,0.165
37,2011-04-27,58.26557922363281,0.0,0.0,0.0,0.0,58.43057922363281,0.0,0.0,0.0,0.0,0.165
38,2011-04-28,58.80458068847656,0.0,0.0,0.0,0.0,58.96958068847656,0.0,0.0,0.0,0.0,0.165
39,2011-04-29,60.36175537109375,0.0,0.0,0.0,0.0,60.52675537109375,0.0,0.0,0.0,0.0,0.165
40,2011-05-02,59.85694885253906,0.0,0.0,0.0,0.0,60.02194885253906,0.0,0.0,0.0,0.0,0.165
41,2011-05-03,58.41957092285156,0.0,0.0,0.0,0.0,58.58457092285156,0.0,0.0,0.0,0.0,0.165
42,2011-05-04,56.55438232421875,0.0,0.0,0.0,0.0,56.71938232421875,0.0,0.0,0.0,0.0,0.165
43,2011-05-05,58.137237548828125,0.0,0.0,0.0,0.0,58.302237548828124,0.0,0.0,0.0,0.0,0.165
44,2011-05-06,59.03559875488281,0.0,0.0,0.0,0.0,59.20059875488281,0.0,0.0,0.0,0.0,0.165
45,2011-05-09,59.27515411376953,0.0,0.0,0.0,0.0,59.44015411376953,0.0,0.0,0.0,0.0,0.165
46,2011-05-10,60.84089279174805,0.0,0.0,0.0,0.0,61.005892791748046,0.0,0.0,0.0,0.0,0.165
47,2011-05-11,59.788509368896484,0.0,0.0,0.0,0.0,59.95350936889648,0.0,0.0,0.0,0.0,0.165
48,2011-05-12,59.00135040283203,0.0,0.0,0.0,0.0,59.16635040283203,0.0,0.0,0.0,0.0,0.165
49,2011-05-13,58.402462005615234,0.0,0.0,0.0,0.0,58.56746200561523,0.0,0.0,0.0,0.0,0.165
50,2011-05-16,57.97467803955078,0.0,0.0,0.0,0.0,58.13967803955078,0.0,0.0,0.0,0.0,0.165
51,2011-05-17,57.5639762878418,0.0,0.0,0.0,0.0,57.728976287841796,0.0,0.0,0.0,0.0,0.165
52,2011-05-18,59.360713958740234,0.0,0.0,0.0,0.0,59.52571395874023,0.0,0.0,0.0,0.0,0.165
53,2011-05-19,59.08692169189453,0.0,0.0,0.0,0.0,59.25192169189453,0.0,0.0,0.0,0.0,0.165
