count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,17.628870010375977,0.0,0.0,0.0,0.0,17.628870010375977,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,17.9632511138916,0.0,0.0,0.0,0.0,17.9632511138916,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,18.15766143798828,0.0,0.0,0.0,0.0,18.15766143798828,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,18.1965389251709,0.0,0.0,0.0,0.0,18.1965389251709,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,18.1187744140625,0.0,0.0,0.0,0.0,18.1187744140625,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,18.1187744140625,0.0,0.0,0.0,0.0,18.1187744140625,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,17.44223976135254,0.0,0.0,0.0,0.0,17.44223976135254,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,17.434465408325195,0.0,0.0,0.0,0.0,17.434465408325195,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,17.862159729003906,0.0,0.0,0.0,0.0,17.862159729003906,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,17.846607208251953,0.0,0.0,0.0,0.0,17.846607208251953,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,17.706634521484375,0.0,0.0,0.0,0.0,17.706634521484375,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,17.691083908081055,0.0,0.0,0.0,0.0,17.691083908081055,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,17.691083908081055,0.0,0.0,0.0,0.0,17.691083908081055,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,17.6988582611084,0.0,0.0,0.0,0.0,17.6988582611084,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,17.6988582611084,0.0,0.0,0.0,0.0,17.6988582611084,0.0,0.0,0.0,0.0,0.0
16,2011-03-28,17.527780532836914,0.0,0.0,0.0,0.0,17.527780532836914,0.0,0.0,0.0,0.0,0.0
17,2011-03-29,17.496673583984375,0.0,0.0,0.0,0.0,17.496673583984375,0.0,0.0,0.0,0.0,0.0
18,2011-03-30,16.68016242980957,0.0,0.0,0.0,0.0,16.68016242980957,0.0,0.0,0.0,0.0,0.0
19,2011-03-31,16.68016242980957,0.0,0.0,0.0,0.0,16.68016242980957,0.0,0.0,0.0,0.0,0.0
20,2011-04-01,16.68016242980957,0.0,0.0,0.0,0.0,16.68016242980957,0.0,0.0,0.0,0.0,0.0
21,2011-04-04,16.68016242980957,0.0,0.0,0.0,0.0,16.68016242980957,0.0,0.0,0.0,0.0,0.0
22,2011-04-05,16.672388076782227,0.0,0.0,0.0,0.0,16.672388076782227,0.0,0.0,0.0,0.0,0.0
23,2011-04-06,16.68016242980957,0.0,0.0,0.0,0.0,16.68016242980957,0.0,0.0,0.0,0.0,0.0
24,2011-04-07,16.719043731689453,0.0,0.0,0.0,0.0,16.719043731689453,0.0,0.0,0.0,0.0,0.0
25,2011-04-08,16.719043731689453,0.0,0.0,0.0,0.0,16.719043731689453,0.0,0.0,0.0,0.0,0.0
26,2011-04-11,17.317819595336914,0.0,0.0,0.0,0.0,17.317819595336914,0.0,0.0,0.0,0.0,0.0
27,2011-04-12,17.115633010864258,0.0,0.0,0.0,0.0,17.115633010864258,0.0,0.0,0.0,0.0,0.0
28,2011-04-13,17.115633010864258,0.0,0.0,0.0,0.0,17.115633010864258,0.0,0.0,0.0,0.0,0.0
29,2011-04-14,17.115633010864258,0.0,0.0,0.0,0.0,17.115633010864258,0.0,0.0,0.0,0.0,0.0
30,2011-04-15,17.24005699157715,0.0,0.0,0.0,0.0,17.24005699157715,0.0,0.0,0.0,0.0,0.0
31,2011-04-18,17.24005699157715,0.0,0.0,0.0,0.0,17.24005699157715,0.0,0.0,0.0,0.0,0.0
32,2011-04-19,17.263385772705078,0.0,0.0,0.0,0.0,17.263385772705078,0.0,0.0,0.0,0.0,0.0
33,2011-04-20,17.325597763061523,0.0,0.0,0.0,0.0,17.325597763061523,0.0,0.0,0.0,0.0,0.0
34,2011-04-21,17.325597763061523,0.0,0.0,0.0,0.0,17.325597763061523,0.0,0.0,0.0,0.0,0.0
35,2011-04-26,17.387807846069336,0.0,0.0,0.0,0.0,17.387807846069336,0.0,0.0,0.0,0.0,0.0
36,2011-04-27,17.496673583984375,0.0,0.0,0.0,0.0,17.496673583984375,0.0,0.0,0.0,0.0,0.0
37,2011-04-28,17.574440002441406,0.0,0.0,0.0,0.0,17.574440002441406,0.0,0.0,0.0,0.0,0.0
38,2011-04-29,17.4888973236084,0.0,0.0,0.0,0.0,17.4888973236084,0.0,0.0,0.0,0.0,0.0
39,2011-05-02,17.4888973236084,0.0,0.0,0.0,0.0,17.4888973236084,0.0,0.0,0.0,0.0,0.0
40,2011-05-03,17.4888973236084,0.0,0.0,0.0,0.0,17.4888973236084,0.0,0.0,0.0,0.0,0.0
41,2011-05-04,17.45001792907715,0.0,0.0,0.0,0.0,17.45001792907715,0.0,0.0,0.0,0.0,0.0
42,2011-05-05,17.496673583984375,0.0,0.0,0.0,0.0,17.496673583984375,0.0,0.0,0.0,0.0,0.0
43,2011-05-06,17.348926544189453,0.0,0.0,0.0,0.0,17.348926544189453,0.0,0.0,0.0,0.0,0.0
44,2011-05-09,17.29448890686035,0.0,0.0,0.0,0.0,17.29448890686035,0.0,0.0,0.0,0.0,0.0
45,2011-05-10,17.29448890686035,0.0,0.0,0.0,0.0,17.29448890686035,0.0,0.0,0.0,0.0,0.0
46,2011-05-11,17.302265167236328,0.0,0.0,0.0,0.0,17.302265167236328,0.0,0.0,0.0,0.0,0.0
47,2011-05-12,17.302265167236328,0.0,0.0,0.0,0.0,17.302265167236328,0.0,0.0,0.0,0.0,0.0
48,2011-05-13,17.068979263305664,0.0,0.0,0.0,0.0,17.068979263305664,0.0,0.0,0.0,0.0,0.0
49,2011-05-16,16.719043731689453,0.0,0.0,0.0,0.0,16.719043731689453,0.0,0.0,0.0,0.0,0.0
50,2011-05-17,16.89012336730957,0.0,0.0,0.0,0.0,16.89012336730957,0.0,0.0,0.0,0.0,0.0
51,2011-05-18,16.617952346801758,0.0,0.0,0.0,0.0,16.617952346801758,0.0,0.0,0.0,0.0,0.0
52,2011-05-19,16.594621658325195,0.0,0.0,0.0,0.0,16.594621658325195,0.0,0.0,0.0,0.0,0.0
53,2011-05-20,16.703489303588867,0.0,0.0,0.0,0.0,16.703489303588867,0.0,0.0,0.0,0.0,0.0
54,2011-05-23,16.68016242980957,0.0,0.0,0.0,0.0,16.68016242980957,0.0,0.0,0.0,0.0,0.0
55,2011-05-24,16.719043731689453,0.0,0.0,0.0,0.0,16.719043731689453,0.0,0.0,0.0,0.0,0.0
56,2011-05-25,16.719043731689453,0.0,0.0,0.0,0.0,16.719043731689453,0.0,0.0,0.0,0.0,0.0
57,2011-05-26,16.859018325805664,0.0,0.0,0.0,0.0,16.859018325805664,0.0,0.0,0.0,0.0,0.0
58,2011-05-27,16.859018325805664,0.0,0.0,0.0,0.0,16.859018325805664,0.0,0.0,0.0,0.0,0.0
59,2011-05-30,16.8356876373291,0.0,0.0,0.0,0.0,16.8356876373291,0.0,0.0,0.0,0.0,0.0
60,2011-05-31,16.8356876373291,0.0,0.0,0.0,0.0,16.8356876373291,0.0,0.0,0.0,0.0,0.0
61,2011-06-01,16.84346580505371,0.0,0.0,0.0,0.0,16.84346580505371,0.0,0.0,0.0,0.0,0.0
62,2011-06-02,16.84346580505371,0.0,0.0,0.0,0.0,16.84346580505371,0.0,0.0,0.0,0.0,0.0
63,2011-06-03,16.8356876373291,0.0,0.0,0.0,0.0,16.8356876373291,0.0,0.0,0.0,0.0,0.0
64,2011-06-06,16.8356876373291,0.0,0.0,0.0,0.0,16.8356876373291,0.0,0.0,0.0,0.0,0.0
65,2011-06-07,16.8356876373291,0.0,0.0,0.0,0.0,16.8356876373291,0.0,0.0,0.0,0.0,0.0
66,2011-06-08,16.84346580505371,0.0,0.0,0.0,0.0,16.84346580505371,0.0,0.0,0.0,0.0,0.0
67,2011-06-09,17.15451431274414,0.0,0.0,0.0,0.0,17.15451431274414,0.0,0.0,0.0,0.0,0.0
68,2011-06-10,17.224504470825195,0.0,0.0,0.0,0.0,17.224504470825195,0.0,0.0,0.0,0.0,0.0
69,2011-06-13,17.216726303100586,0.0,0.0,0.0,0.0,17.216726303100586,0.0,0.0,0.0,0.0,0.0
70,2011-06-14,17.387807846069336,0.0,0.0,0.0,0.0,17.387807846069336,0.0,0.0,0.0,0.0,0.0
71,2011-06-15,17.574440002441406,0.0,0.0,0.0,0.0,17.574440002441406,0.0,0.0,0.0,0.0,0.0
72,2011-06-16,17.613317489624023,0.0,0.0,0.0,0.0,17.613317489624023,0.0,0.0,0.0,0.0,0.0
73,2011-06-17,18.180187225341797,0.0,0.0,0.0,0.0,18.180187225341797,0.0,0.0,0.0,0.0,0.0
74,2011-06-20,18.058712005615234,0.0,0.0,0.0,0.0,18.958712005615233,0.0,0.0,0.0,0.0,0.9
75,2011-06-21,18.058712005615234,0.0,0.0,0.0,0.0,18.958712005615233,0.0,0.0,0.0,0.0,0.9
76,2011-06-22,18.058712005615234,0.0,0.0,0.0,0.0,18.958712005615233,0.0,0.0,0.0,0.0,0.9
77,2011-06-23,17.61331558227539,0.0,0.0,0.0,0.0,18.51331558227539,0.0,0.0,0.0,0.0,0.9
78,2011-06-24,17.912948608398438,0.0,0.0,0.0,0.0,18.812948608398436,0.0,0.0,0.0,0.0,0.9
79,2011-06-27,17.81576919555664,0.0,0.0,0.0,0.0,18.71576919555664,0.0,0.0,0.0,0.0,0.9
80,2011-06-28,17.645709991455078,0.0,0.0,0.0,0.0,18.545709991455077,0.0,0.0,0.0,0.0,0.9
81,2011-06-29,17.653804779052734,0.0,0.0,0.0,0.0,18.553804779052733,0.0,0.0,0.0,0.0,0.9
82,2011-06-30,17.63761329650879,0.0,0.0,0.0,0.0,18.537613296508788,0.0,0.0,0.0,0.0,0.9
83,2011-07-01,17.645709991455078,0.0,0.0,0.0,0.0,18.545709991455077,0.0,0.0,0.0,0.0,0.9
84,2011-07-04,17.653804779052734,0.0,0.0,0.0,0.0,18.553804779052733,0.0,0.0,0.0,0.0,0.9
85,2011-07-05,17.81576919555664,0.0,0.0,0.0,0.0,18.71576919555664,0.0,0.0,0.0,0.0,0.9
86,2011-07-06,17.81576919555664,0.0,0.0,0.0,0.0,18.71576919555664,0.0,0.0,0.0,0.0,0.9
87,2011-07-07,17.81576919555664,0.0,0.0,0.0,0.0,18.71576919555664,0.0,0.0,0.0,0.0,0.9
88,2011-07-08,17.81576919555664,0.0,0.0,0.0,0.0,18.71576919555664,0.0,0.0,0.0,0.0,0.9
89,2011-07-11,17.653804779052734,0.0,0.0,0.0,0.0,18.553804779052733,0.0,0.0,0.0,0.0,0.9
90,2011-07-12,17.41086769104004,0.0,0.0,0.0,0.0,18.310867691040038,0.0,0.0,0.0,0.0,0.9
91,2011-07-13,17.718591690063477,0.0,0.0,0.0,0.0,18.618591690063475,0.0,0.0,0.0,0.0,0.9
