count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,11.825545310974121,0.0,0.0,0.0,0.0,11.825545310974121,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,11.581933975219727,0.0,0.0,0.0,0.0,11.581933975219727,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,11.685160636901855,0.0,0.0,0.0,0.0,11.685160636901855,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,11.358966827392578,0.0,0.0,0.0,0.0,11.358966827392578,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,11.197935104370117,0.0,0.0,0.0,0.0,11.197935104370117,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,11.164902687072754,0.0,0.0,0.0,0.0,11.164902687072754,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,11.041030883789062,0.0,0.0,0.0,0.0,11.041030883789062,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,10.859354019165039,0.0,0.0,0.0,0.0,10.859354019165039,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,11.065805435180664,0.0,0.0,0.0,0.0,11.065805435180664,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,10.879998207092285,0.0,0.0,0.0,0.0,10.879998207092285,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,11.156644821166992,0.0,0.0,0.0,0.0,11.156644821166992,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,11.148386001586914,0.0,0.0,0.0,0.0,11.148386001586914,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,11.297030448913574,0.0,0.0,0.0,0.0,11.297030448913574,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,11.614965438842773,0.0,0.0,0.0,0.0,11.614965438842773,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,11.301159858703613,0.0,0.0,0.0,0.0,11.301159858703613,0.0,0.0,0.0,0.0,0.0
16,2011-03-28,11.39612865447998,0.0,0.0,0.0,0.0,11.39612865447998,0.0,0.0,0.0,0.0,0.0
17,2011-03-29,11.350708961486816,0.0,0.0,0.0,0.0,11.350708961486816,0.0,0.0,0.0,0.0,0.0
18,2011-03-30,11.387869834899902,0.0,0.0,0.0,0.0,11.387869834899902,0.0,0.0,0.0,0.0,0.0
19,2011-03-31,11.148386001586914,0.0,0.0,0.0,0.0,11.148386001586914,0.0,0.0,0.0,0.0,0.0
20,2011-04-01,11.210322380065918,0.0,0.0,0.0,0.0,11.210322380065918,0.0,0.0,0.0,0.0,0.0
21,2011-04-04,10.99148178100586,0.0,0.0,0.0,0.0,10.99148178100586,0.0,0.0,0.0,0.0,0.0
22,2011-04-05,10.900644302368164,0.0,0.0,0.0,0.0,10.900644302368164,0.0,0.0,0.0,0.0,0.0
23,2011-04-06,11.193806648254395,0.0,0.0,0.0,0.0,11.193806648254395,0.0,0.0,0.0,0.0,0.0
24,2011-04-07,11.433290481567383,0.0,0.0,0.0,0.0,11.433290481567383,0.0,0.0,0.0,0.0,0.0
25,2011-04-08,11.313549041748047,0.0,0.0,0.0,0.0,11.313549041748047,0.0,0.0,0.0,0.0,0.0
26,2011-04-11,11.379612922668457,0.0,0.0,0.0,0.0,11.379612922668457,0.0,0.0,0.0,0.0,0.0
27,2011-04-12,11.301159858703613,0.0,0.0,0.0,0.0,11.301159858703613,0.0,0.0,0.0,0.0,0.0
28,2011-04-13,11.780126571655273,0.0,0.0,0.0,0.0,11.780126571655273,0.0,0.0,0.0,0.0,0.0
29,2011-04-14,11.784258842468262,0.0,0.0,0.0,0.0,11.784258842468262,0.0,0.0,0.0,0.0,0.0
30,2011-04-15,11.792516708374023,0.0,0.0,0.0,0.0,11.792516708374023,0.0,0.0,0.0,0.0,0.0
