count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,169.0800018310547,0.0,0.0,0.0,0.0,169.0800018310547,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,166.88999938964844,0.0,0.0,0.0,0.0,166.88999938964844,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,169.0500030517578,0.0,0.0,0.0,0.0,169.0500030517578,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,166.13999938964844,0.0,0.0,0.0,0.0,166.13999938964844,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,168.07000732421875,0.0,0.0,0.0,0.0,168.07000732421875,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,166.72999572753906,0.0,0.0,0.0,0.0,166.72999572753906,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,165.0800018310547,0.0,0.0,0.0,0.0,165.0800018310547,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,164.6999969482422,0.0,0.0,0.0,0.0,164.6999969482422,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,160.97000122070312,0.0,0.0,0.0,0.0,160.97000122070312,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,161.82000732421875,0.0,0.0,0.0,0.0,161.82000732421875,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,164.52000427246094,0.0,0.0,0.0,0.0,164.52000427246094,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,162.60000610351562,0.0,0.0,0.0,0.0,162.60000610351562,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,165.32000732421875,0.0,0.0,0.0,0.0,165.32000732421875,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,171.10000610351562,0.0,0.0,0.0,0.0,171.10000610351562,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,170.97999572753906,0.0,0.0,0.0,0.0,170.97999572753906,0.0,0.0,0.0,0.0,0.0
16,2011-03-28,169.35000610351562,0.0,0.0,0.0,0.0,169.35000610351562,0.0,0.0,0.0,0.0,0.0
17,2011-03-29,174.6199951171875,0.0,0.0,0.0,0.0,174.6199951171875,0.0,0.0,0.0,0.0,0.0
18,2011-03-30,179.4199981689453,0.0,0.0,0.0,0.0,179.4199981689453,0.0,0.0,0.0,0.0,0.0
19,2011-03-31,180.1300048828125,0.0,0.0,0.0,0.0,180.1300048828125,0.0,0.0,0.0,0.0,0.0
20,2011-04-01,180.1300048828125,0.0,0.0,0.0,0.0,180.1300048828125,0.0,0.0,0.0,0.0,0.0
21,2011-04-04,182.94000244140625,0.0,0.0,0.0,0.0,182.94000244140625,0.0,0.0,0.0,0.0,0.0
22,2011-04-05,185.2899932861328,0.0,0.0,0.0,0.0,185.2899932861328,0.0,0.0,0.0,0.0,0.0
23,2011-04-06,182.75999450683594,0.0,0.0,0.0,0.0,182.75999450683594,0.0,0.0,0.0,0.0,0.0
24,2011-04-07,184.91000366210938,0.0,0.0,0.0,0.0,184.91000366210938,0.0,0.0,0.0,0.0,0.0
25,2011-04-08,184.7100067138672,0.0,0.0,0.0,0.0,184.7100067138672,0.0,0.0,0.0,0.0,0.0
26,2011-04-11,184.0399932861328,0.0,0.0,0.0,0.0,184.0399932861328,0.0,0.0,0.0,0.0,0.0
27,2011-04-12,180.47999572753906,0.0,0.0,0.0,0.0,180.47999572753906,0.0,0.0,0.0,0.0,0.0
28,2011-04-13,182.2899932861328,0.0,0.0,0.0,0.0,182.2899932861328,0.0,0.0,0.0,0.0,0.0
