count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,8.959115982055664,0.0,0.0,0.0,0.0,8.959115982055664,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,9.219684600830078,0.0,0.0,0.0,0.0,9.219684600830078,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,9.289169311523438,0.0,0.0,0.0,0.0,9.289169311523438,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,8.974321365356445,0.0,0.0,0.0,0.0,8.974321365356445,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,9.121970176696777,0.0,0.0,0.0,0.0,9.121970176696777,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,9.121970176696777,0.0,0.0,0.0,0.0,9.121970176696777,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,9.10242748260498,0.0,0.0,0.0,0.0,9.10242748260498,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,9.028603553771973,0.0,0.0,0.0,0.0,9.028603553771973,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,9.093744277954102,0.0,0.0,0.0,0.0,9.093744277954102,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,9.208827018737793,0.0,0.0,0.0,0.0,9.208827018737793,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,9.3847074508667,0.0,0.0,0.0,0.0,9.3847074508667,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,9.267452239990234,0.0,0.0,0.0,0.0,9.267452239990234,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,9.258766174316406,0.0,0.0,0.0,0.0,9.258766174316406,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,9.334765434265137,0.0,0.0,0.0,0.0,9.334765434265137,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,9.343452453613281,0.0,0.0,0.0,0.0,9.343452453613281,0.0,0.0,0.0,0.0,0.0
16,2011-03-28,9.380366325378418,0.0,0.0,0.0,0.0,9.380366325378418,0.0,0.0,0.0,0.0,0.0
17,2011-03-29,9.467220306396484,0.0,0.0,0.0,0.0,9.467220306396484,0.0,0.0,0.0,0.0,0.0
18,2011-03-30,9.51282024383545,0.0,0.0,0.0,0.0,9.51282024383545,0.0,0.0,0.0,0.0,0.0
19,2011-03-31,9.627901077270508,0.0,0.0,0.0,0.0,9.627901077270508,0.0,0.0,0.0,0.0,0.0
20,2011-04-01,9.590988159179688,0.0,0.0,0.0,0.0,9.590988159179688,0.0,0.0,0.0,0.0,0.0
21,2011-04-04,9.630073547363281,0.0,0.0,0.0,0.0,9.630073547363281,0.0,0.0,0.0,0.0,0.0
22,2011-04-05,9.506301879882812,0.0,0.0,0.0,0.0,9.506301879882812,0.0,0.0,0.0,0.0,0.0
23,2011-04-06,9.436824798583984,0.0,0.0,0.0,0.0,9.436824798583984,0.0,0.0,0.0,0.0,0.0
24,2011-04-07,9.345623970031738,0.0,0.0,0.0,0.0,9.345623970031738,0.0,0.0,0.0,0.0,0.0
25,2011-04-08,9.184938430786133,0.0,0.0,0.0,0.0,9.184938430786133,0.0,0.0,0.0,0.0,0.0
26,2011-04-11,9.152368545532227,0.0,0.0,0.0,0.0,9.152368545532227,0.0,0.0,0.0,0.0,0.0
27,2011-04-12,9.113286018371582,0.0,0.0,0.0,0.0,9.113286018371582,0.0,0.0,0.0,0.0,0.0
28,2011-04-13,9.13934326171875,0.0,0.0,0.0,0.0,9.13934326171875,0.0,0.0,0.0,0.0,0.0
29,2011-04-14,9.171913146972656,0.0,0.0,0.0,0.0,9.171913146972656,0.0,0.0,0.0,0.0,0.0
30,2011-04-15,9.252249717712402,0.0,0.0,0.0,0.0,9.252249717712402,0.0,0.0,0.0,0.0,0.0
31,2011-04-18,9.119800567626953,0.0,0.0,0.0,0.0,9.119800567626953,0.0,0.0,0.0,0.0,0.0
32,2011-04-19,9.013404846191406,0.0,0.0,0.0,0.0,9.013404846191406,0.0,0.0,0.0,0.0,0.0
33,2011-04-20,9.217510223388672,0.0,0.0,0.0,0.0,9.217510223388672,0.0,0.0,0.0,0.0,0.0
34,2011-04-21,9.315224647521973,0.0,0.0,0.0,0.0,9.315224647521973,0.0,0.0,0.0,0.0,0.0
35,2011-04-25,9.286993980407715,0.0,0.0,0.0,0.0,9.286993980407715,0.0,0.0,0.0,0.0,0.0
36,2011-04-26,9.369505882263184,0.0,0.0,0.0,0.0,9.369505882263184,0.0,0.0,0.0,0.0,0.0
37,2011-04-27,9.471894264221191,0.0,0.0,0.0,0.0,9.471894264221191,0.0,0.0,0.0,0.0,0.0
38,2011-04-28,9.552495002746582,0.0,0.0,0.0,0.0,9.587495002746582,0.0,0.0,0.0,0.0,0.035
39,2011-04-29,9.578638076782227,0.0,0.0,0.0,0.0,9.613638076782227,0.0,0.0,0.0,0.0,0.035
40,2011-05-02,9.504573822021484,0.0,0.0,0.0,0.0,9.539573822021485,0.0,0.0,0.0,0.0,0.035
41,2011-05-03,9.34118938446045,0.0,0.0,0.0,0.0,9.37618938446045,0.0,0.0,0.0,0.0,0.035
42,2011-05-04,9.105916023254395,0.0,0.0,0.0,0.0,9.140916023254395,0.0,0.0,0.0,0.0,0.035
43,2011-05-05,9.075419425964355,0.0,0.0,0.0,0.0,9.110419425964356,0.0,0.0,0.0,0.0,0.035
44,2011-05-06,9.151662826538086,0.0,0.0,0.0,0.0,9.186662826538086,0.0,0.0,0.0,0.0,0.035
45,2011-05-09,9.323759078979492,0.0,0.0,0.0,0.0,9.358759078979492,0.0,0.0,0.0,0.0,0.035
46,2011-05-10,9.445755004882812,0.0,0.0,0.0,0.0,9.480755004882813,0.0,0.0,0.0,0.0,0.035
47,2011-05-11,9.264942169189453,0.0,0.0,0.0,0.0,9.299942169189453,0.0,0.0,0.0,0.0,0.035
48,2011-05-12,9.12552261352539,0.0,0.0,0.0,0.0,9.16052261352539,0.0,0.0,0.0,0.0,0.035
49,2011-05-13,8.944709777832031,0.0,0.0,0.0,0.0,8.979709777832031,0.0,0.0,0.0,0.0,0.035
50,2011-05-16,8.83143138885498,0.0,0.0,0.0,0.0,8.86643138885498,0.0,0.0,0.0,0.0,0.035
51,2011-05-17,8.848857879638672,0.0,0.0,0.0,0.0,8.883857879638672,0.0,0.0,0.0,0.0,0.035
52,2011-05-18,8.885895729064941,0.0,0.0,0.0,0.0,8.920895729064942,0.0,0.0,0.0,0.0,0.035
53,2011-05-19,8.892427444458008,0.0,0.0,0.0,0.0,8.927427444458008,0.0,0.0,0.0,0.0,0.035
54,2011-05-20,8.748650550842285,0.0,0.0,0.0,0.0,8.783650550842285,0.0,0.0,0.0,0.0,0.035
55,2011-05-23,8.604874610900879,0.0,0.0,0.0,0.0,8.639874610900879,0.0,0.0,0.0,0.0,0.035
56,2011-05-24,8.530806541442871,0.0,0.0,0.0,0.0,8.565806541442871,0.0,0.0,0.0,0.0,0.035
57,2011-05-25,8.53951644897461,0.0,0.0,0.0,0.0,8.57451644897461,0.0,0.0,0.0,0.0,0.035
58,2011-05-26,8.750826835632324,0.0,0.0,0.0,0.0,8.785826835632324,0.0,0.0,0.0,0.0,0.035
59,2011-05-27,8.733399391174316,0.0,0.0,0.0,0.0,8.768399391174317,0.0,0.0,0.0,0.0,0.035
60,2011-05-31,9.034025192260742,0.0,0.0,0.0,0.0,9.069025192260742,0.0,0.0,0.0,0.0,0.035
61,2011-06-01,8.718149185180664,0.0,0.0,0.0,0.0,8.753149185180664,0.0,0.0,0.0,0.0,0.035
62,2011-06-02,8.766077995300293,0.0,0.0,0.0,0.0,8.801077995300293,0.0,0.0,0.0,0.0,0.035
63,2011-06-03,8.583087921142578,0.0,0.0,0.0,0.0,8.618087921142578,0.0,0.0,0.0,0.0,0.035
64,2011-06-06,8.67022705078125,0.0,0.0,0.0,0.0,8.70522705078125,0.0,0.0,0.0,0.0,0.035
65,2011-06-07,8.648446083068848,0.0,0.0,0.0,0.0,8.683446083068848,0.0,0.0,0.0,0.0,0.035
66,2011-06-08,8.60922622680664,0.0,0.0,0.0,0.0,8.64422622680664,0.0,0.0,0.0,0.0,0.035
67,2011-06-09,8.650622367858887,0.0,0.0,0.0,0.0,8.685622367858887,0.0,0.0,0.0,0.0,0.035
68,2011-06-10,8.519913673400879,0.0,0.0,0.0,0.0,8.554913673400879,0.0,0.0,0.0,0.0,0.035
69,2011-06-13,8.504660606384277,0.0,0.0,0.0,0.0,8.539660606384277,0.0,0.0,0.0,0.0,0.035
70,2011-06-14,8.726865768432617,0.0,0.0,0.0,0.0,8.761865768432617,0.0,0.0,0.0,0.0,0.035
