count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-08-29,2.3022000789642334,0.0,0.0,0.0,0.0,2.3022000789642334,0.0,0.0,0.0,0.0,0.0
2,2013-02-14,0.8064000010490417,0.0,0.0,0.0,0.0,0.8064000010490417,0.0,0.0,0.0,0.0,0.0
3,2013-02-15,0.8021000027656555,0.0,0.0,0.0,0.0,0.8021000027656555,0.0,0.0,0.0,0.0,0.0
4,2013-02-19,0.800000011920929,0.0,0.0,0.0,0.0,0.800000011920929,0.0,0.0,0.0,0.0,0.0
5,2013-02-20,0.800000011920929,0.0,0.0,0.0,0.0,0.800000011920929,0.0,0.0,0.0,0.0,0.0
6,2013-02-21,0.800000011920929,0.0,0.0,0.0,0.0,0.800000011920929,0.0,0.0,0.0,0.0,0.0
7,2013-02-22,0.800000011920929,0.0,0.0,0.0,0.0,0.800000011920929,0.0,0.0,0.0,0.0,0.0
8,2013-02-25,0.800000011920929,0.0,0.0,0.0,0.0,0.800000011920929,0.0,0.0,0.0,0.0,0.0
9,2013-02-26,0.6769999861717224,0.0,0.0,0.0,0.0,0.6769999861717224,0.0,0.0,0.0,0.0,0.0
10,2013-02-27,0.6769999861717224,0.0,0.0,0.0,0.0,0.6769999861717224,0.0,0.0,0.0,0.0,0.0
11,2013-02-28,0.6769999861717224,0.0,0.0,0.0,0.0,0.6769999861717224,0.0,0.0,0.0,0.0,0.0
12,2013-03-01,0.6769999861717224,0.0,0.0,0.0,0.0,0.6769999861717224,0.0,0.0,0.0,0.0,0.0
13,2013-03-04,0.6769999861717224,0.0,0.0,0.0,0.0,0.6769999861717224,0.0,0.0,0.0,0.0,0.0
14,2013-03-05,0.6769999861717224,0.0,0.0,0.0,0.0,0.6769999861717224,0.0,0.0,0.0,0.0,0.0
15,2013-03-06,0.656499981880188,0.0,0.0,0.0,0.0,0.656499981880188,0.0,0.0,0.0,0.0,0.0
16,2013-03-07,0.656499981880188,0.0,0.0,0.0,0.0,0.656499981880188,0.0,0.0,0.0,0.0,0.0
17,2013-03-08,0.656499981880188,0.0,0.0,0.0,0.0,0.656499981880188,0.0,0.0,0.0,0.0,0.0
18,2013-03-11,0.656499981880188,0.0,0.0,0.0,0.0,0.656499981880188,0.0,0.0,0.0,0.0,0.0
19,2013-03-12,0.656499981880188,0.0,0.0,0.0,0.0,0.656499981880188,0.0,0.0,0.0,0.0,0.0
20,2013-03-13,0.656499981880188,0.0,0.0,0.0,0.0,0.656499981880188,0.0,0.0,0.0,0.0,0.0
21,2013-03-14,0.656499981880188,0.0,0.0,0.0,0.0,0.656499981880188,0.0,0.0,0.0,0.0,0.0
22,2013-03-15,0.656499981880188,0.0,0.0,0.0,0.0,0.656499981880188,0.0,0.0,0.0,0.0,0.0
23,2013-03-18,0.656499981880188,0.0,0.0,0.0,0.0,0.656499981880188,0.0,0.0,0.0,0.0,0.0
24,2013-03-19,0.656499981880188,0.0,0.0,0.0,0.0,0.656499981880188,0.0,0.0,0.0,0.0,0.0
