count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,26.25469970703125,0.0,0.0,0.0,0.0,26.25469970703125,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,26.367767333984375,0.0,0.0,0.0,0.0,26.367767333984375,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,26.224557876586914,0.0,0.0,0.0,0.0,26.224557876586914,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,25.568750381469727,0.0,0.0,0.0,0.0,25.568750381469727,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,25.636585235595703,0.0,0.0,0.0,0.0,25.636585235595703,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,25.433067321777344,0.0,0.0,0.0,0.0,25.433067321777344,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,24.928022384643555,0.0,0.0,0.0,0.0,24.928022384643555,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,24.837566375732422,0.0,0.0,0.0,0.0,24.837566375732422,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,24.882795333862305,0.0,0.0,0.0,0.0,24.882795333862305,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,25.048627853393555,0.0,0.0,0.0,0.0,25.048627853393555,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,25.55367088317871,0.0,0.0,0.0,0.0,25.55367088317871,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,25.38030242919922,0.0,0.0,0.0,0.0,25.38030242919922,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,25.282312393188477,0.0,0.0,0.0,0.0,25.282312393188477,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,25.304920196533203,0.0,0.0,0.0,0.0,25.304920196533203,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,25.38030242919922,0.0,0.0,0.0,0.0,25.38030242919922,0.0,0.0,0.0,0.0,0.0
16,2011-03-28,25.274768829345703,0.0,0.0,0.0,0.0,25.274768829345703,0.0,0.0,0.0,0.0,0.0
17,2011-03-29,25.252153396606445,0.0,0.0,0.0,0.0,25.252153396606445,0.0,0.0,0.0,0.0,0.0
18,2011-03-30,25.515979766845703,0.0,0.0,0.0,0.0,25.515979766845703,0.0,0.0,0.0,0.0,0.0
19,2011-03-31,25.704429626464844,0.0,0.0,0.0,0.0,25.704429626464844,0.0,0.0,0.0,0.0,0.0
20,2011-04-01,26.06624984741211,0.0,0.0,0.0,0.0,26.06624984741211,0.0,0.0,0.0,0.0,0.0
21,2011-04-04,25.96826171875,0.0,0.0,0.0,0.0,25.96826171875,0.0,0.0,0.0,0.0,0.0
22,2011-04-05,25.975799560546875,0.0,0.0,0.0,0.0,25.975799560546875,0.0,0.0,0.0,0.0,0.0
23,2011-04-06,25.907955169677734,0.0,0.0,0.0,0.0,25.907955169677734,0.0,0.0,0.0,0.0,0.0
24,2011-04-07,25.523527145385742,0.0,0.0,0.0,0.0,25.523527145385742,0.0,0.0,0.0,0.0,0.0
25,2011-04-08,25.478290557861328,0.0,0.0,0.0,0.0,25.478290557861328,0.0,0.0,0.0,0.0,0.0
26,2011-04-11,25.259695053100586,0.0,0.0,0.0,0.0,25.259695053100586,0.0,0.0,0.0,0.0,0.0
27,2011-04-12,24.830039978027344,0.0,0.0,0.0,0.0,24.830039978027344,0.0,0.0,0.0,0.0,0.0
28,2011-04-13,24.882795333862305,0.0,0.0,0.0,0.0,24.882795333862305,0.0,0.0,0.0,0.0,0.0
29,2011-04-14,25.01848030090332,0.0,0.0,0.0,0.0,25.01848030090332,0.0,0.0,0.0,0.0,0.0
30,2011-04-15,25.282312393188477,0.0,0.0,0.0,0.0,25.282312393188477,0.0,0.0,0.0,0.0,0.0
31,2011-04-18,24.837566375732422,0.0,0.0,0.0,0.0,24.837566375732422,0.0,0.0,0.0,0.0,0.0
32,2011-04-19,24.852642059326172,0.0,0.0,0.0,0.0,24.852642059326172,0.0,0.0,0.0,0.0,0.0
33,2011-04-20,25.23707389831543,0.0,0.0,0.0,0.0,25.23707389831543,0.0,0.0,0.0,0.0,0.0
34,2011-04-21,25.191844940185547,0.0,0.0,0.0,0.0,25.191844940185547,0.0,0.0,0.0,0.0,0.0
35,2011-04-25,25.214466094970703,0.0,0.0,0.0,0.0,25.214466094970703,0.0,0.0,0.0,0.0,0.0
36,2011-04-26,25.629058837890625,0.0,0.0,0.0,0.0,25.629058837890625,0.0,0.0,0.0,0.0,0.0
37,2011-04-27,25.94564437866211,0.0,0.0,0.0,0.0,25.94564437866211,0.0,0.0,0.0,0.0,0.0
38,2011-04-28,26.15671157836914,0.0,0.0,0.0,0.0,26.15671157836914,0.0,0.0,0.0,0.0,0.0
39,2011-04-29,26.299928665161133,0.0,0.0,0.0,0.0,26.299928665161133,0.0,0.0,0.0,0.0,0.0
40,2011-05-02,26.0888671875,0.0,0.0,0.0,0.0,26.0888671875,0.0,0.0,0.0,0.0,0.0
41,2011-05-03,26.096405029296875,0.0,0.0,0.0,0.0,26.096405029296875,0.0,0.0,0.0,0.0,0.0
42,2011-05-04,25.794889450073242,0.0,0.0,0.0,0.0,25.794889450073242,0.0,0.0,0.0,0.0,0.0
43,2011-05-05,25.59136390686035,0.0,0.0,0.0,0.0,25.59136390686035,0.0,0.0,0.0,0.0,0.0
44,2011-05-06,25.77981185913086,0.0,0.0,0.0,0.0,25.77981185913086,0.0,0.0,0.0,0.0,0.0
45,2011-05-09,26.0888671875,0.0,0.0,0.0,0.0,26.0888671875,0.0,0.0,0.0,0.0,0.0
46,2011-05-10,26.33761215209961,0.0,0.0,0.0,0.0,26.33761215209961,0.0,0.0,0.0,0.0,0.0
47,2011-05-11,25.938114166259766,0.0,0.0,0.0,0.0,25.938114166259766,0.0,0.0,0.0,0.0,0.0
48,2011-05-12,25.89288330078125,0.0,0.0,0.0,0.0,25.89288330078125,0.0,0.0,0.0,0.0,0.0
49,2011-05-13,25.6667423248291,0.0,0.0,0.0,0.0,25.6667423248291,0.0,0.0,0.0,0.0,0.0
