count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,263.25,0.0,0.0,0.0,0.0,263.25,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,267.9599914550781,0.0,0.0,0.0,0.0,267.9599914550781,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,268.2099914550781,0.0,0.0,0.0,0.0,268.2099914550781,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,266.7099914550781,0.0,0.0,0.0,0.0,266.7099914550781,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,265.92999267578125,0.0,0.0,0.0,0.0,265.92999267578125,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,264.80999755859375,0.0,0.0,0.0,0.0,264.80999755859375,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,263.1400146484375,0.0,0.0,0.0,0.0,263.1400146484375,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,261.30999755859375,0.0,0.0,0.0,0.0,261.30999755859375,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,261.95001220703125,0.0,0.0,0.0,0.0,261.95001220703125,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,262.9800109863281,0.0,0.0,0.0,0.0,262.9800109863281,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,264.0899963378906,0.0,0.0,0.0,0.0,264.0899963378906,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,264.7200012207031,0.0,0.0,0.0,0.0,264.7200012207031,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,270.05999755859375,0.0,0.0,0.0,0.0,270.05999755859375,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,272.1099853515625,0.0,0.0,0.0,0.0,272.1099853515625,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,275.489990234375,0.0,0.0,0.0,0.0,275.489990234375,0.0,0.0,0.0,0.0,0.0
16,2011-03-28,270.92999267578125,0.0,0.0,0.0,0.0,270.92999267578125,0.0,0.0,0.0,0.0,0.0
17,2011-03-29,273.44000244140625,0.0,0.0,0.0,0.0,273.44000244140625,0.0,0.0,0.0,0.0,0.0
18,2011-03-30,273.94000244140625,0.0,0.0,0.0,0.0,273.94000244140625,0.0,0.0,0.0,0.0,0.0
19,2011-03-31,273.55999755859375,0.0,0.0,0.0,0.0,273.55999755859375,0.0,0.0,0.0,0.0,0.0
20,2011-04-01,274.6700134277344,0.0,0.0,0.0,0.0,274.6700134277344,0.0,0.0,0.0,0.0,0.0
21,2011-04-04,274.2799987792969,0.0,0.0,0.0,0.0,274.2799987792969,0.0,0.0,0.0,0.0,0.0
22,2011-04-05,276.6400146484375,0.0,0.0,0.0,0.0,276.6400146484375,0.0,0.0,0.0,0.0,0.0
23,2011-04-06,276.5899963378906,0.0,0.0,0.0,0.0,276.5899963378906,0.0,0.0,0.0,0.0,0.0
24,2011-04-07,275.8399963378906,0.0,0.0,0.0,0.0,275.8399963378906,0.0,0.0,0.0,0.0,0.0
25,2011-04-08,276.260009765625,0.0,0.0,0.0,0.0,276.260009765625,0.0,0.0,0.0,0.0,0.0
26,2011-04-11,272.92999267578125,0.0,0.0,0.0,0.0,272.92999267578125,0.0,0.0,0.0,0.0,0.0
27,2011-04-12,277.7699890136719,0.0,0.0,0.0,0.0,277.7699890136719,0.0,0.0,0.0,0.0,0.0
28,2011-04-13,279.760009765625,0.0,0.0,0.0,0.0,279.760009765625,0.0,0.0,0.0,0.0,0.0
29,2011-04-14,278.8500061035156,0.0,0.0,0.0,0.0,278.8500061035156,0.0,0.0,0.0,0.0,0.0
30,2011-04-15,280.0799865722656,0.0,0.0,0.0,0.0,280.0799865722656,0.0,0.0,0.0,0.0,0.0
31,2011-04-18,279.32000732421875,0.0,0.0,0.0,0.0,279.32000732421875,0.0,0.0,0.0,0.0,0.0
32,2011-04-19,278.2799987792969,0.0,0.0,0.0,0.0,278.2799987792969,0.0,0.0,0.0,0.0,0.0
33,2011-04-20,283.9599914550781,0.0,0.0,0.0,0.0,283.9599914550781,0.0,0.0,0.0,0.0,0.0
