count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2014-09-19,93.88999938964844,0.0,0.0,0.0,0.0,93.88999938964844,0.0,0.0,0.0,0.0,0.0
2,2014-09-22,89.88999938964844,0.0,0.0,0.0,0.0,89.88999938964844,0.0,0.0,0.0,0.0,0.0
3,2014-09-23,87.16999816894531,0.0,0.0,0.0,0.0,87.16999816894531,0.0,0.0,0.0,0.0,0.0
4,2014-09-24,90.56999969482422,0.0,0.0,0.0,0.0,90.56999969482422,0.0,0.0,0.0,0.0,0.0
5,2014-09-25,88.91999816894531,0.0,0.0,0.0,0.0,88.91999816894531,0.0,0.0,0.0,0.0,0.0
6,2014-09-26,90.45999908447266,0.0,0.0,0.0,0.0,90.45999908447266,0.0,0.0,0.0,0.0,0.0
7,2014-09-29,88.75,0.0,0.0,0.0,0.0,88.75,0.0,0.0,0.0,0.0,0.0
8,2014-09-30,88.8499984741211,0.0,0.0,0.0,0.0,88.8499984741211,0.0,0.0,0.0,0.0,0.0
9,2014-10-01,86.0999984741211,0.0,0.0,0.0,0.0,86.0999984741211,0.0,0.0,0.0,0.0,0.0
10,2014-10-02,87.05999755859375,0.0,0.0,0.0,0.0,87.05999755859375,0.0,0.0,0.0,0.0,0.0
11,2014-10-03,88.0999984741211,0.0,0.0,0.0,0.0,88.0999984741211,0.0,0.0,0.0,0.0,0.0
12,2014-10-06,88.30999755859375,0.0,0.0,0.0,0.0,88.30999755859375,0.0,0.0,0.0,0.0,0.0
13,2014-10-07,87.66999816894531,0.0,0.0,0.0,0.0,87.66999816894531,0.0,0.0,0.0,0.0,0.0
14,2014-10-08,88.30000305175781,0.0,0.0,0.0,0.0,88.30000305175781,0.0,0.0,0.0,0.0,0.0
15,2014-10-09,88.79000091552734,0.0,0.0,0.0,0.0,88.79000091552734,0.0,0.0,0.0,0.0,0.0
16,2014-10-10,85.87999725341797,0.0,0.0,0.0,0.0,85.87999725341797,0.0,0.0,0.0,0.0,0.0
17,2014-10-13,85.12000274658203,0.0,0.0,0.0,0.0,85.12000274658203,0.0,0.0,0.0,0.0,0.0
18,2014-10-14,84.94999694824219,0.0,0.0,0.0,0.0,84.94999694824219,0.0,0.0,0.0,0.0,0.0
19,2014-10-15,85.5999984741211,0.0,0.0,0.0,0.0,85.5999984741211,0.0,0.0,0.0,0.0,0.0
20,2014-10-16,88.8499984741211,0.0,0.0,0.0,0.0,88.8499984741211,0.0,0.0,0.0,0.0,0.0
21,2014-10-17,87.91000366210938,0.0,0.0,0.0,0.0,87.91000366210938,0.0,0.0,0.0,0.0,0.0
22,2014-10-20,88.26000213623047,0.0,0.0,0.0,0.0,88.26000213623047,0.0,0.0,0.0,0.0,0.0
23,2014-10-21,90.9000015258789,0.0,0.0,0.0,0.0,90.9000015258789,0.0,0.0,0.0,0.0,0.0
24,2014-10-22,91.62999725341797,0.0,0.0,0.0,0.0,91.62999725341797,0.0,0.0,0.0,0.0,0.0
25,2014-10-23,94.44999694824219,0.0,0.0,0.0,0.0,94.44999694824219,0.0,0.0,0.0,0.0,0.0
26,2014-10-24,95.76000213623047,0.0,0.0,0.0,0.0,95.76000213623047,0.0,0.0,0.0,0.0,0.0
27,2014-10-27,97.79000091552734,0.0,0.0,0.0,0.0,97.79000091552734,0.0,0.0,0.0,0.0,0.0
28,2014-10-28,99.68000030517578,0.0,0.0,0.0,0.0,99.68000030517578,0.0,0.0,0.0,0.0,0.0
29,2014-10-29,98.30999755859375,0.0,0.0,0.0,0.0,98.30999755859375,0.0,0.0,0.0,0.0,0.0
30,2014-10-30,98.7300033569336,0.0,0.0,0.0,0.0,98.7300033569336,0.0,0.0,0.0,0.0,0.0
31,2014-10-31,98.5999984741211,0.0,0.0,0.0,0.0,98.5999984741211,0.0,0.0,0.0,0.0,0.0
32,2014-11-03,101.80000305175781,0.0,0.0,0.0,0.0,101.80000305175781,0.0,0.0,0.0,0.0,0.0
33,2014-11-04,106.06999969482422,0.0,0.0,0.0,0.0,106.06999969482422,0.0,0.0,0.0,0.0,0.0
34,2014-11-05,108.66999816894531,0.0,0.0,0.0,0.0,108.66999816894531,0.0,0.0,0.0,0.0,0.0
35,2014-11-06,111.56999969482422,0.0,0.0,0.0,0.0,111.56999969482422,0.0,0.0,0.0,0.0,0.0
36,2014-11-07,114.55999755859375,0.0,0.0,0.0,0.0,114.55999755859375,0.0,0.0,0.0,0.0,0.0
37,2014-11-10,119.1500015258789,0.0,0.0,0.0,0.0,119.1500015258789,0.0,0.0,0.0,0.0,0.0
38,2014-11-11,114.54000091552734,0.0,0.0,0.0,0.0,114.54000091552734,0.0,0.0,0.0,0.0,0.0
39,2014-11-12,118.19999694824219,0.0,0.0,0.0,0.0,118.19999694824219,0.0,0.0,0.0,0.0,0.0
40,2014-11-13,114.83999633789062,0.0,0.0,0.0,0.0,114.83999633789062,0.0,0.0,0.0,0.0,0.0
41,2014-11-14,115.0999984741211,0.0,0.0,0.0,0.0,115.0999984741211,0.0,0.0,0.0,0.0,0.0
42,2014-11-17,114.25,0.0,0.0,0.0,0.0,114.25,0.0,0.0,0.0,0.0,0.0
43,2014-11-18,110.80999755859375,0.0,0.0,0.0,0.0,110.80999755859375,0.0,0.0,0.0,0.0,0.0
44,2014-11-19,108.81999969482422,0.0,0.0,0.0,0.0,108.81999969482422,0.0,0.0,0.0,0.0,0.0
45,2014-11-20,109.81999969482422,0.0,0.0,0.0,0.0,109.81999969482422,0.0,0.0,0.0,0.0,0.0
46,2014-11-21,110.7300033569336,0.0,0.0,0.0,0.0,110.7300033569336,0.0,0.0,0.0,0.0,0.0
47,2014-11-24,113.91999816894531,0.0,0.0,0.0,0.0,113.91999816894531,0.0,0.0,0.0,0.0,0.0
48,2014-11-25,113.47000122070312,0.0,0.0,0.0,0.0,113.47000122070312,0.0,0.0,0.0,0.0,0.0
49,2014-11-26,112.66999816894531,0.0,0.0,0.0,0.0,112.66999816894531,0.0,0.0,0.0,0.0,0.0
50,2014-11-28,111.63999938964844,0.0,0.0,0.0,0.0,111.63999938964844,0.0,0.0,0.0,0.0,0.0
51,2014-12-01,105.98999786376953,0.0,0.0,0.0,0.0,105.98999786376953,0.0,0.0,0.0,0.0,0.0
52,2014-12-02,109.88999938964844,0.0,0.0,0.0,0.0,109.88999938964844,0.0,0.0,0.0,0.0,0.0
