count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,10.164152145385742,0.0,0.0,0.0,0.0,10.164152145385742,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,10.344902992248535,0.0,0.0,0.0,0.0,10.344902992248535,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,10.322311401367188,0.0,0.0,0.0,0.0,10.322311401367188,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,10.093143463134766,0.0,0.0,0.0,0.0,10.093143463134766,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,10.196428298950195,0.0,0.0,0.0,0.0,10.196428298950195,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,10.15124225616455,0.0,0.0,0.0,0.0,10.15124225616455,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,9.934980392456055,0.0,0.0,0.0,0.0,9.934980392456055,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,9.828465461730957,0.0,0.0,0.0,0.0,9.828465461730957,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,9.964034080505371,0.0,0.0,0.0,0.0,9.964034080505371,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,10.164152145385742,0.0,0.0,0.0,0.0,10.164152145385742,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,10.26421070098877,0.0,0.0,0.0,0.0,10.26421070098877,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,10.20934009552002,0.0,0.0,0.0,0.0,10.20934009552002,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,10.15124225616455,0.0,0.0,0.0,0.0,10.15124225616455,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,10.167377471923828,0.0,0.0,0.0,0.0,10.167377471923828,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,10.160923957824707,0.0,0.0,0.0,0.0,10.160923957824707,0.0,0.0,0.0,0.0,0.0
16,2011-03-28,10.122190475463867,0.0,0.0,0.0,0.0,10.122190475463867,0.0,0.0,0.0,0.0,0.0
17,2011-03-29,10.244843482971191,0.0,0.0,0.0,0.0,10.244843482971191,0.0,0.0,0.0,0.0,0.0
