count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,4.993556499481201,0.0,0.0,0.0,0.0,4.993556499481201,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,5.050139427185059,0.0,0.0,0.0,0.0,5.050139427185059,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,5.096001625061035,0.0,0.0,0.0,0.0,5.096001625061035,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,5.00784969329834,0.0,0.0,0.0,0.0,5.00784969329834,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,5.074559688568115,0.0,0.0,0.0,0.0,5.074559688568115,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,5.248474597930908,0.0,0.0,0.0,0.0,5.248474597930908,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,5.294933319091797,0.0,0.0,0.0,0.0,5.294933319091797,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,5.0840888023376465,0.0,0.0,0.0,0.0,5.0840888023376465,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,5.160921573638916,0.0,0.0,0.0,0.0,5.160921573638916,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,5.110293865203857,0.0,0.0,0.0,0.0,5.110293865203857,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,5.271109104156494,0.0,0.0,0.0,0.0,5.271109104156494,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,5.324713230133057,0.0,0.0,0.0,0.0,5.324713230133057,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,5.330668926239014,0.0,0.0,0.0,0.0,5.330668926239014,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,5.395590782165527,0.0,0.0,0.0,0.0,5.395590782165527,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,5.328883171081543,0.0,0.0,0.0,0.0,5.328883171081543,0.0,0.0,0.0,0.0,0.0
16,2011-03-28,5.35151481628418,0.0,0.0,0.0,0.0,5.35151481628418,0.0,0.0,0.0,0.0,0.0
17,2011-03-29,5.271109104156494,0.0,0.0,0.0,0.0,5.271109104156494,0.0,0.0,0.0,0.0,0.0
18,2011-03-30,5.253239631652832,0.0,0.0,0.0,0.0,5.253239631652832,0.0,0.0,0.0,0.0,0.0
19,2011-03-31,5.098978042602539,0.0,0.0,0.0,0.0,5.098978042602539,0.0,0.0,0.0,0.0,0.0
20,2011-04-01,5.227482795715332,0.0,0.0,0.0,0.0,5.227482795715332,0.0,0.0,0.0,0.0,0.0
21,2011-04-04,5.225059986114502,0.0,0.0,0.0,0.0,5.374059986114502,0.0,0.0,0.0,0.0,0.149
22,2011-04-05,5.168080806732178,0.0,0.0,0.0,0.0,5.317080806732178,0.0,0.0,0.0,0.0,0.149
23,2011-04-06,5.332347393035889,0.0,0.0,0.0,0.0,5.481347393035889,0.0,0.0,0.0,0.0,0.149
24,2011-04-07,5.346896648406982,0.0,0.0,0.0,0.0,5.495896648406982,0.0,0.0,0.0,0.0,0.149
