count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,15.456635475158691,0.0,0.0,0.0,0.0,15.456635475158691,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,16.192127227783203,0.0,0.0,0.0,0.0,16.2774602277832,0.0,0.0,0.0,0.0,0.085333
3,2011-03-09,16.256275177001953,0.0,0.0,0.0,0.0,16.34160817700195,0.0,0.0,0.0,0.0,0.085333
4,2011-03-10,15.928634643554688,0.0,0.0,0.0,0.0,16.013967643554686,0.0,0.0,0.0,0.0,0.085333
5,2011-03-11,15.807198524475098,0.0,0.0,0.0,0.0,15.892531524475098,0.0,0.0,0.0,0.0,0.085333
6,2011-03-14,15.552868843078613,0.0,0.0,0.0,0.0,15.638201843078614,0.0,0.0,0.0,0.0,0.085333
7,2011-03-15,15.35352897644043,0.0,0.0,0.0,0.0,15.43886197644043,0.0,0.0,0.0,0.0,0.085333
8,2011-03-16,15.000682830810547,0.0,0.0,0.0,0.0,15.086015830810547,0.0,0.0,0.0,0.0,0.085333
9,2011-03-17,15.229804992675781,0.0,0.0,0.0,0.0,15.315137992675782,0.0,0.0,0.0,0.0,0.085333
10,2011-03-18,15.234390258789062,0.0,0.0,0.0,0.0,15.319723258789063,0.0,0.0,0.0,0.0,0.085333
11,2011-03-21,15.50246524810791,0.0,0.0,0.0,0.0,15.58779824810791,0.0,0.0,0.0,0.0,0.085333
12,2011-03-22,15.406228065490723,0.0,0.0,0.0,0.0,15.491561065490723,0.0,0.0,0.0,0.0,0.085333
13,2011-03-23,15.355826377868652,0.0,0.0,0.0,0.0,15.441159377868653,0.0,0.0,0.0,0.0,0.085333
14,2011-03-24,15.44518756866455,0.0,0.0,0.0,0.0,15.530520568664551,0.0,0.0,0.0,0.0,0.085333
15,2011-03-25,15.500173568725586,0.0,0.0,0.0,0.0,15.585506568725586,0.0,0.0,0.0,0.0,0.085333
16,2011-03-28,15.45205307006836,0.0,0.0,0.0,0.0,15.53738607006836,0.0,0.0,0.0,0.0,0.085333
17,2011-03-29,15.516210556030273,0.0,0.0,0.0,0.0,15.601543556030274,0.0,0.0,0.0,0.0,0.085333
18,2011-03-30,15.598694801330566,0.0,0.0,0.0,0.0,15.684027801330567,0.0,0.0,0.0,0.0,0.085333
19,2011-03-31,15.649100303649902,0.0,0.0,0.0,0.0,15.734433303649903,0.0,0.0,0.0,0.0,0.085333
20,2011-04-01,15.72470760345459,0.0,0.0,0.0,0.0,15.81004060345459,0.0,0.0,0.0,0.0,0.085333
21,2011-04-04,15.763660430908203,0.0,0.0,0.0,0.0,15.848993430908203,0.0,0.0,0.0,0.0,0.085333
22,2011-04-05,15.752204895019531,0.0,0.0,0.0,0.0,15.837537895019532,0.0,0.0,0.0,0.0,0.085333
23,2011-04-06,15.740752220153809,0.0,0.0,0.0,0.0,15.826085220153809,0.0,0.0,0.0,0.0,0.085333
24,2011-04-07,15.706380844116211,0.0,0.0,0.0,0.0,15.791713844116211,0.0,0.0,0.0,0.0,0.085333
25,2011-04-08,15.617021560668945,0.0,0.0,0.0,0.0,15.702354560668946,0.0,0.0,0.0,0.0,0.085333
26,2011-04-11,15.527671813964844,0.0,0.0,0.0,0.0,15.613004813964844,0.0,0.0,0.0,0.0,0.085333
27,2011-04-12,15.930922508239746,0.0,0.0,0.0,0.0,16.016255508239745,0.0,0.0,0.0,0.0,0.085333
28,2011-04-13,15.901143074035645,0.0,0.0,0.0,0.0,15.986476074035645,0.0,0.0,0.0,0.0,0.085333
29,2011-04-14,16.02256965637207,0.0,0.0,0.0,0.0,16.10790265637207,0.0,0.0,0.0,0.0,0.085333
30,2011-04-15,16.24024200439453,0.0,0.0,0.0,0.0,16.32557500439453,0.0,0.0,0.0,0.0,0.085333
31,2011-04-18,15.997367858886719,0.0,0.0,0.0,0.0,16.082700858886717,0.0,0.0,0.0,0.0,0.085333
32,2011-04-19,16.169208526611328,0.0,0.0,0.0,0.0,16.254541526611327,0.0,0.0,0.0,0.0,0.085333
33,2011-04-20,16.382299423217773,0.0,0.0,0.0,0.0,16.467632423217772,0.0,0.0,0.0,0.0,0.085333
34,2011-04-21,16.414371490478516,0.0,0.0,0.0,0.0,16.499704490478514,0.0,0.0,0.0,0.0,0.085333
