count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,466.69000244140625,0.0,0.0,0.0,0.0,466.69000244140625,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,469.0799865722656,0.0,0.0,0.0,0.0,469.0799865722656,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,468.5199890136719,0.0,0.0,0.0,0.0,468.5199890136719,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,464.4100036621094,0.0,0.0,0.0,0.0,464.4100036621094,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,463.19000244140625,0.0,0.0,0.0,0.0,463.19000244140625,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,463.6099853515625,0.0,0.0,0.0,0.0,463.6099853515625,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,461.3399963378906,0.0,0.0,0.0,0.0,461.3399963378906,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,455.9599914550781,0.0,0.0,0.0,0.0,455.9599914550781,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,452.19000244140625,0.0,0.0,0.0,0.0,452.19000244140625,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,449.5400085449219,0.0,0.0,0.0,0.0,449.5400085449219,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,456.92999267578125,0.0,0.0,0.0,0.0,456.92999267578125,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,455.70001220703125,0.0,0.0,0.0,0.0,455.70001220703125,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,466.260009765625,0.0,0.0,0.0,0.0,466.260009765625,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,476.010009765625,0.0,0.0,0.0,0.0,476.010009765625,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,487.0,0.0,0.0,0.0,0.0,487.0,0.0,0.0,0.0,0.0,0.0
16,2011-03-28,483.989990234375,0.0,0.0,0.0,0.0,483.989990234375,0.0,0.0,0.0,0.0,0.0
17,2011-03-29,491.69000244140625,0.0,0.0,0.0,0.0,491.69000244140625,0.0,0.0,0.0,0.0,0.0
18,2011-03-30,504.0,0.0,0.0,0.0,0.0,504.0,0.0,0.0,0.0,0.0,0.0
19,2011-03-31,506.44000244140625,0.0,0.0,0.0,0.0,506.44000244140625,0.0,0.0,0.0,0.0,0.0
20,2011-04-01,513.8499755859375,0.0,0.0,0.0,0.0,513.8499755859375,0.0,0.0,0.0,0.0,0.0
21,2011-04-04,518.5900268554688,0.0,0.0,0.0,0.0,518.5900268554688,0.0,0.0,0.0,0.0,0.0
22,2011-04-05,516.9400024414062,0.0,0.0,0.0,0.0,516.9400024414062,0.0,0.0,0.0,0.0,0.0
23,2011-04-06,506.2699890136719,0.0,0.0,0.0,0.0,506.2699890136719,0.0,0.0,0.0,0.0,0.0
24,2011-04-07,508.8599853515625,0.0,0.0,0.0,0.0,508.8599853515625,0.0,0.0,0.0,0.0,0.0
25,2011-04-08,506.82000732421875,0.0,0.0,0.0,0.0,506.82000732421875,0.0,0.0,0.0,0.0,0.0
26,2011-04-11,512.4500122070312,0.0,0.0,0.0,0.0,512.4500122070312,0.0,0.0,0.0,0.0,0.0
27,2011-04-12,512.1400146484375,0.0,0.0,0.0,0.0,512.1400146484375,0.0,0.0,0.0,0.0,0.0
28,2011-04-13,514.8099975585938,0.0,0.0,0.0,0.0,514.8099975585938,0.0,0.0,0.0,0.0,0.0
29,2011-04-14,512.6500244140625,0.0,0.0,0.0,0.0,512.6500244140625,0.0,0.0,0.0,0.0,0.0
30,2011-04-15,520.0700073242188,0.0,0.0,0.0,0.0,520.0700073242188,0.0,0.0,0.0,0.0,0.0
31,2011-04-18,516.780029296875,0.0,0.0,0.0,0.0,516.780029296875,0.0,0.0,0.0,0.0,0.0
32,2011-04-19,525.530029296875,0.0,0.0,0.0,0.0,525.530029296875,0.0,0.0,0.0,0.0,0.0
33,2011-04-20,531.3499755859375,0.0,0.0,0.0,0.0,531.3499755859375,0.0,0.0,0.0,0.0,0.0
34,2011-04-21,543.9500122070312,0.0,0.0,0.0,0.0,543.9500122070312,0.0,0.0,0.0,0.0,0.0
35,2011-04-25,544.3099975585938,0.0,0.0,0.0,0.0,544.3099975585938,0.0,0.0,0.0,0.0,0.0
36,2011-04-26,537.6900024414062,0.0,0.0,0.0,0.0,537.6900024414062,0.0,0.0,0.0,0.0,0.0
37,2011-04-27,539.4500122070312,0.0,0.0,0.0,0.0,539.4500122070312,0.0,0.0,0.0,0.0,0.0
38,2011-04-28,550.030029296875,0.0,0.0,0.0,0.0,550.030029296875,0.0,0.0,0.0,0.0,0.0
39,2011-04-29,547.010009765625,0.0,0.0,0.0,0.0,547.010009765625,0.0,0.0,0.0,0.0,0.0
40,2011-05-02,555.6500244140625,0.0,0.0,0.0,0.0,555.6500244140625,0.0,0.0,0.0,0.0,0.0
41,2011-05-03,540.1099853515625,0.0,0.0,0.0,0.0,540.1099853515625,0.0,0.0,0.0,0.0,0.0
42,2011-05-04,537.5599975585938,0.0,0.0,0.0,0.0,537.5599975585938,0.0,0.0,0.0,0.0,0.0
43,2011-05-05,533.969970703125,0.0,0.0,0.0,0.0,533.969970703125,0.0,0.0,0.0,0.0,0.0
44,2011-05-06,519.030029296875,0.0,0.0,0.0,0.0,519.030029296875,0.0,0.0,0.0,0.0,0.0
45,2011-05-09,529.2000122070312,0.0,0.0,0.0,0.0,529.2000122070312,0.0,0.0,0.0,0.0,0.0
46,2011-05-10,528.5,0.0,0.0,0.0,0.0,528.5,0.0,0.0,0.0,0.0,0.0
47,2011-05-11,520.989990234375,0.0,0.0,0.0,0.0,520.989990234375,0.0,0.0,0.0,0.0,0.0
48,2011-05-12,523.9600219726562,0.0,0.0,0.0,0.0,523.9600219726562,0.0,0.0,0.0,0.0,0.0
49,2011-05-13,520.6099853515625,0.0,0.0,0.0,0.0,520.6099853515625,0.0,0.0,0.0,0.0,0.0
50,2011-05-16,503.3800048828125,0.0,0.0,0.0,0.0,503.3800048828125,0.0,0.0,0.0,0.0,0.0
51,2011-05-17,504.3999938964844,0.0,0.0,0.0,0.0,504.3999938964844,0.0,0.0,0.0,0.0,0.0
52,2011-05-18,518.3800048828125,0.0,0.0,0.0,0.0,518.3800048828125,0.0,0.0,0.0,0.0,0.0
53,2011-05-19,522.0999755859375,0.0,0.0,0.0,0.0,522.0999755859375,0.0,0.0,0.0,0.0,0.0
54,2011-05-20,520.0800170898438,0.0,0.0,0.0,0.0,520.0800170898438,0.0,0.0,0.0,0.0,0.0
55,2011-05-23,501.6600036621094,0.0,0.0,0.0,0.0,501.6600036621094,0.0,0.0,0.0,0.0,0.0
56,2011-05-24,490.9200134277344,0.0,0.0,0.0,0.0,490.9200134277344,0.0,0.0,0.0,0.0,0.0
57,2011-05-25,498.80999755859375,0.0,0.0,0.0,0.0,498.80999755859375,0.0,0.0,0.0,0.0,0.0
58,2011-05-26,505.1099853515625,0.0,0.0,0.0,0.0,505.1099853515625,0.0,0.0,0.0,0.0,0.0
59,2011-05-27,501.44000244140625,0.0,0.0,0.0,0.0,501.44000244140625,0.0,0.0,0.0,0.0,0.0
60,2011-05-31,515.1900024414062,0.0,0.0,0.0,0.0,515.1900024414062,0.0,0.0,0.0,0.0,0.0
61,2011-06-01,507.05999755859375,0.0,0.0,0.0,0.0,507.05999755859375,0.0,0.0,0.0,0.0,0.0
62,2011-06-02,512.780029296875,0.0,0.0,0.0,0.0,512.780029296875,0.0,0.0,0.0,0.0,0.0
63,2011-06-03,507.79998779296875,0.0,0.0,0.0,0.0,507.79998779296875,0.0,0.0,0.0,0.0,0.0
64,2011-06-06,502.8699951171875,0.0,0.0,0.0,0.0,502.8699951171875,0.0,0.0,0.0,0.0,0.0
65,2011-06-07,506.1199951171875,0.0,0.0,0.0,0.0,506.1199951171875,0.0,0.0,0.0,0.0,0.0
66,2011-06-08,500.67999267578125,0.0,0.0,0.0,0.0,500.67999267578125,0.0,0.0,0.0,0.0,0.0
67,2011-06-09,503.1700134277344,0.0,0.0,0.0,0.0,503.1700134277344,0.0,0.0,0.0,0.0,0.0
68,2011-06-10,493.17999267578125,0.0,0.0,0.0,0.0,493.17999267578125,0.0,0.0,0.0,0.0,0.0
69,2011-06-13,482.1300048828125,0.0,0.0,0.0,0.0,482.1300048828125,0.0,0.0,0.0,0.0,0.0
70,2011-06-14,480.7200012207031,0.0,0.0,0.0,0.0,480.7200012207031,0.0,0.0,0.0,0.0,0.0
71,2011-06-15,471.1700134277344,0.0,0.0,0.0,0.0,471.1700134277344,0.0,0.0,0.0,0.0,0.0
72,2011-06-16,461.7099914550781,0.0,0.0,0.0,0.0,461.7099914550781,0.0,0.0,0.0,0.0,0.0
73,2011-06-17,462.3500061035156,0.0,0.0,0.0,0.0,462.3500061035156,0.0,0.0,0.0,0.0,0.0
74,2011-06-20,458.7799987792969,0.0,0.0,0.0,0.0,458.7799987792969,0.0,0.0,0.0,0.0,0.0
75,2011-06-21,487.6099853515625,0.0,0.0,0.0,0.0,487.6099853515625,0.0,0.0,0.0,0.0,0.0
76,2011-06-22,480.6600036621094,0.0,0.0,0.0,0.0,480.6600036621094,0.0,0.0,0.0,0.0,0.0
77,2011-06-23,490.0,0.0,0.0,0.0,0.0,490.0,0.0,0.0,0.0,0.0,0.0
78,2011-06-24,482.9700012207031,0.0,0.0,0.0,0.0,482.9700012207031,0.0,0.0,0.0,0.0,0.0
79,2011-06-27,487.1000061035156,0.0,0.0,0.0,0.0,487.1000061035156,0.0,0.0,0.0,0.0,0.0
80,2011-06-28,495.3999938964844,0.0,0.0,0.0,0.0,495.3999938964844,0.0,0.0,0.0,0.0,0.0
81,2011-06-29,503.8800048828125,0.0,0.0,0.0,0.0,503.8800048828125,0.0,0.0,0.0,0.0,0.0
82,2011-06-30,511.92999267578125,0.0,0.0,0.0,0.0,511.92999267578125,0.0,0.0,0.0,0.0,0.0
83,2011-07-01,524.7999877929688,0.0,0.0,0.0,0.0,524.7999877929688,0.0,0.0,0.0,0.0,0.0
84,2011-07-05,535.3699951171875,0.0,0.0,0.0,0.0,535.3699951171875,0.0,0.0,0.0,0.0,0.0
85,2011-07-06,536.1300048828125,0.0,0.0,0.0,0.0,536.1300048828125,0.0,0.0,0.0,0.0,0.0
86,2011-07-07,547.3400268554688,0.0,0.0,0.0,0.0,547.3400268554688,0.0,0.0,0.0,0.0,0.0
87,2011-07-08,552.1500244140625,0.0,0.0,0.0,0.0,552.1500244140625,0.0,0.0,0.0,0.0,0.0
88,2011-07-11,536.5499877929688,0.0,0.0,0.0,0.0,536.5499877929688,0.0,0.0,0.0,0.0,0.0
89,2011-07-12,528.5700073242188,0.0,0.0,0.0,0.0,528.5700073242188,0.0,0.0,0.0,0.0,0.0
90,2011-07-13,532.27001953125,0.0,0.0,0.0,0.0,532.27001953125,0.0,0.0,0.0,0.0,0.0
91,2011-07-14,519.719970703125,0.0,0.0,0.0,0.0,519.719970703125,0.0,0.0,0.0,0.0,0.0
92,2011-07-15,522.5,0.0,0.0,0.0,0.0,522.5,0.0,0.0,0.0,0.0,0.0
93,2011-07-18,516.6599731445312,0.0,0.0,0.0,0.0,516.6599731445312,0.0,0.0,0.0,0.0,0.0
94,2011-07-19,537.5,0.0,0.0,0.0,0.0,537.5,0.0,0.0,0.0,0.0,0.0
95,2011-07-20,529.9500122070312,0.0,0.0,0.0,0.0,529.9500122070312,0.0,0.0,0.0,0.0,0.0
96,2011-07-21,526.010009765625,0.0,0.0,0.0,0.0,526.010009765625,0.0,0.0,0.0,0.0,0.0
97,2011-07-22,530.3699951171875,0.0,0.0,0.0,0.0,530.3699951171875,0.0,0.0,0.0,0.0,0.0
98,2011-07-25,529.75,0.0,0.0,0.0,0.0,529.75,0.0,0.0,0.0,0.0,0.0
99,2011-07-26,533.6699829101562,0.0,0.0,0.0,0.0,533.6699829101562,0.0,0.0,0.0,0.0,0.0
100,2011-07-27,517.2100219726562,0.0,0.0,0.0,0.0,517.2100219726562,0.0,0.0,0.0,0.0,0.0
101,2011-07-28,522.2899780273438,0.0,0.0,0.0,0.0,522.2899780273438,0.0,0.0,0.0,0.0,0.0
102,2011-07-29,537.6500244140625,0.0,0.0,0.0,0.0,537.6500244140625,0.0,0.0,0.0,0.0,0.0
103,2011-08-01,538.8599853515625,0.0,0.0,0.0,0.0,538.8599853515625,0.0,0.0,0.0,0.0,0.0
104,2011-08-02,518.3200073242188,0.0,0.0,0.0,0.0,518.3200073242188,0.0,0.0,0.0,0.0,0.0
105,2011-08-03,521.969970703125,0.0,0.0,0.0,0.0,521.969970703125,0.0,0.0,0.0,0.0,0.0
106,2011-08-04,483.3399963378906,0.0,0.0,0.0,0.0,483.3399963378906,0.0,0.0,0.0,0.0,0.0
107,2011-08-05,527.8099975585938,0.0,0.0,0.0,0.0,527.8099975585938,0.0,0.0,0.0,0.0,0.0
108,2011-08-08,505.0,0.0,0.0,0.0,0.0,505.0,0.0,0.0,0.0,0.0,0.0
109,2011-08-09,517.4199829101562,0.0,0.0,0.0,0.0,517.4199829101562,0.0,0.0,0.0,0.0,0.0
110,2011-08-10,498.79998779296875,0.0,0.0,0.0,0.0,498.79998779296875,0.0,0.0,0.0,0.0,0.0
111,2011-08-11,500.1600036621094,0.0,0.0,0.0,0.0,500.1600036621094,0.0,0.0,0.0,0.0,0.0
112,2011-08-12,503.1099853515625,0.0,0.0,0.0,0.0,503.1099853515625,0.0,0.0,0.0,0.0,0.0
113,2011-08-15,514.3499755859375,0.0,0.0,0.0,0.0,514.3499755859375,0.0,0.0,0.0,0.0,0.0
114,2011-08-16,497.32000732421875,0.0,0.0,0.0,0.0,497.32000732421875,0.0,0.0,0.0,0.0,0.0
115,2011-08-17,491.8500061035156,0.0,0.0,0.0,0.0,491.8500061035156,0.0,0.0,0.0,0.0,0.0
116,2011-08-18,458.79998779296875,0.0,0.0,0.0,0.0,458.79998779296875,0.0,0.0,0.0,0.0,0.0
117,2011-08-19,448.95001220703125,0.0,0.0,0.0,0.0,448.95001220703125,0.0,0.0,0.0,0.0,0.0
