count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,85.04000091552734,0.0,0.0,0.0,0.0,85.04000091552734,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,86.3499984741211,0.0,0.0,0.0,0.0,86.3499984741211,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,86.0199966430664,0.0,0.0,0.0,0.0,86.0199966430664,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,84.9800033569336,0.0,0.0,0.0,0.0,84.9800033569336,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,85.30000305175781,0.0,0.0,0.0,0.0,85.30000305175781,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,84.20999908447266,0.0,0.0,0.0,0.0,84.20999908447266,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,82.5199966430664,0.0,0.0,0.0,0.0,82.5199966430664,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,80.94999694824219,0.0,0.0,0.0,0.0,80.94999694824219,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,82.7300033569336,0.0,0.0,0.0,0.0,82.7300033569336,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,83.4800033569336,0.0,0.0,0.0,0.0,83.4800033569336,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,85.16999816894531,0.0,0.0,0.0,0.0,85.16999816894531,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,84.9800033569336,0.0,0.0,0.0,0.0,84.9800033569336,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,84.73999786376953,0.0,0.0,0.0,0.0,84.73999786376953,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,85.16000366210938,0.0,0.0,0.0,0.0,85.16000366210938,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,85.23999786376953,0.0,0.0,0.0,0.0,85.23999786376953,0.0,0.0,0.0,0.0,0.0
16,2011-03-28,84.37000274658203,0.0,0.0,0.0,0.0,84.37000274658203,0.0,0.0,0.0,0.0,0.0
17,2011-03-29,84.70999908447266,0.0,0.0,0.0,0.0,84.70999908447266,0.0,0.0,0.0,0.0,0.0
18,2011-03-30,85.45999908447266,0.0,0.0,0.0,0.0,85.45999908447266,0.0,0.0,0.0,0.0,0.0
19,2011-03-31,83.62999725341797,0.0,0.0,0.0,0.0,83.62999725341797,0.0,0.0,0.0,0.0,0.0
20,2011-04-01,83.68000030517578,0.0,0.0,0.0,0.0,83.68000030517578,0.0,0.0,0.0,0.0,0.0
21,2011-04-04,83.0999984741211,0.0,0.0,0.0,0.0,83.0999984741211,0.0,0.0,0.0,0.0,0.0
22,2011-04-05,82.04000091552734,0.0,0.0,0.0,0.0,82.04000091552734,0.0,0.0,0.0,0.0,0.0
23,2011-04-06,81.98999786376953,0.0,0.0,0.0,0.0,81.98999786376953,0.0,0.0,0.0,0.0,0.0
24,2011-04-07,81.93000030517578,0.0,0.0,0.0,0.0,81.93000030517578,0.0,0.0,0.0,0.0,0.0
25,2011-04-08,81.80000305175781,0.0,0.0,0.0,0.0,81.80000305175781,0.0,0.0,0.0,0.0,0.0
26,2011-04-11,82.26000213623047,0.0,0.0,0.0,0.0,82.26000213623047,0.0,0.0,0.0,0.0,0.0
27,2011-04-12,81.68000030517578,0.0,0.0,0.0,0.0,81.68000030517578,0.0,0.0,0.0,0.0,0.0
28,2011-04-13,80.76000213623047,0.0,0.0,0.0,0.0,80.76000213623047,0.0,0.0,0.0,0.0,0.0
29,2011-04-14,80.73999786376953,0.0,0.0,0.0,0.0,80.73999786376953,0.0,0.0,0.0,0.0,0.0
30,2011-04-15,80.88999938964844,0.0,0.0,0.0,0.0,80.88999938964844,0.0,0.0,0.0,0.0,0.0
31,2011-04-18,80.30000305175781,0.0,0.0,0.0,0.0,80.30000305175781,0.0,0.0,0.0,0.0,0.0
32,2011-04-19,80.5,0.0,0.0,0.0,0.0,80.5,0.0,0.0,0.0,0.0,0.0
33,2011-04-20,81.72000122070312,0.0,0.0,0.0,0.0,81.72000122070312,0.0,0.0,0.0,0.0,0.0
34,2011-04-21,82.36000061035156,0.0,0.0,0.0,0.0,82.36000061035156,0.0,0.0,0.0,0.0,0.0
35,2011-04-25,82.37999725341797,0.0,0.0,0.0,0.0,82.37999725341797,0.0,0.0,0.0,0.0,0.0
36,2011-04-26,82.91999816894531,0.0,0.0,0.0,0.0,82.91999816894531,0.0,0.0,0.0,0.0,0.0
37,2011-04-27,82.98999786376953,0.0,0.0,0.0,0.0,82.98999786376953,0.0,0.0,0.0,0.0,0.0
38,2011-04-28,83.2699966430664,0.0,0.0,0.0,0.0,83.2699966430664,0.0,0.0,0.0,0.0,0.0
39,2011-04-29,83.30000305175781,0.0,0.0,0.0,0.0,83.30000305175781,0.0,0.0,0.0,0.0,0.0
40,2011-05-02,81.91999816894531,0.0,0.0,0.0,0.0,81.91999816894531,0.0,0.0,0.0,0.0,0.0
41,2011-05-03,82.31999969482422,0.0,0.0,0.0,0.0,82.31999969482422,0.0,0.0,0.0,0.0,0.0
42,2011-05-04,81.58000183105469,0.0,0.0,0.0,0.0,81.58000183105469,0.0,0.0,0.0,0.0,0.0
43,2011-05-05,79.66000366210938,0.0,0.0,0.0,0.0,79.66000366210938,0.0,0.0,0.0,0.0,0.0
44,2011-05-06,80.20999908447266,0.0,0.0,0.0,0.0,80.20999908447266,0.0,0.0,0.0,0.0,0.0
45,2011-05-09,80.7300033569336,0.0,0.0,0.0,0.0,80.7300033569336,0.0,0.0,0.0,0.0,0.0
