count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2014-09-16,457.3340148925781,0.0,0.0,0.0,0.0,457.3340148925781,0.0,0.0,0.0,0.0,0.0
2,2014-09-17,424.44000244140625,0.0,0.0,0.0,0.0,424.44000244140625,0.0,0.0,0.0,0.0,0.0
3,2014-09-18,394.7959899902344,0.0,0.0,0.0,0.0,394.7959899902344,0.0,0.0,0.0,0.0,0.0
4,2014-09-19,408.90399169921875,0.0,0.0,0.0,0.0,408.90399169921875,0.0,0.0,0.0,0.0,0.0
5,2014-09-20,398.8210144042969,0.0,0.0,0.0,0.0,398.8210144042969,0.0,0.0,0.0,0.0,0.0
6,2014-09-21,402.1520080566406,0.0,0.0,0.0,0.0,402.1520080566406,0.0,0.0,0.0,0.0,0.0
7,2014-09-22,435.7909851074219,0.0,0.0,0.0,0.0,435.7909851074219,0.0,0.0,0.0,0.0,0.0
8,2014-09-23,423.2049865722656,0.0,0.0,0.0,0.0,423.2049865722656,0.0,0.0,0.0,0.0,0.0
9,2014-09-24,411.5740051269531,0.0,0.0,0.0,0.0,411.5740051269531,0.0,0.0,0.0,0.0,0.0
10,2014-09-25,404.42498779296875,0.0,0.0,0.0,0.0,404.42498779296875,0.0,0.0,0.0,0.0,0.0
11,2014-09-26,399.5199890136719,0.0,0.0,0.0,0.0,399.5199890136719,0.0,0.0,0.0,0.0,0.0
12,2014-09-27,377.1809997558594,0.0,0.0,0.0,0.0,377.1809997558594,0.0,0.0,0.0,0.0,0.0
13,2014-09-28,375.4670104980469,0.0,0.0,0.0,0.0,375.4670104980469,0.0,0.0,0.0,0.0,0.0
14,2014-09-29,386.9440002441406,0.0,0.0,0.0,0.0,386.9440002441406,0.0,0.0,0.0,0.0,0.0
15,2014-09-30,383.614990234375,0.0,0.0,0.0,0.0,383.614990234375,0.0,0.0,0.0,0.0,0.0
16,2014-10-01,375.0719909667969,0.0,0.0,0.0,0.0,375.0719909667969,0.0,0.0,0.0,0.0,0.0
17,2014-10-02,359.5119934082031,0.0,0.0,0.0,0.0,359.5119934082031,0.0,0.0,0.0,0.0,0.0
18,2014-10-03,328.8659973144531,0.0,0.0,0.0,0.0,328.8659973144531,0.0,0.0,0.0,0.0,0.0
19,2014-10-04,320.510009765625,0.0,0.0,0.0,0.0,320.510009765625,0.0,0.0,0.0,0.0,0.0
20,2014-10-05,330.0790100097656,0.0,0.0,0.0,0.0,330.0790100097656,0.0,0.0,0.0,0.0,0.0
21,2014-10-06,336.18701171875,0.0,0.0,0.0,0.0,336.18701171875,0.0,0.0,0.0,0.0,0.0
22,2014-10-07,352.94000244140625,0.0,0.0,0.0,0.0,352.94000244140625,0.0,0.0,0.0,0.0,0.0
23,2014-10-08,365.0260009765625,0.0,0.0,0.0,0.0,365.0260009765625,0.0,0.0,0.0,0.0,0.0
24,2014-10-09,361.56201171875,0.0,0.0,0.0,0.0,361.56201171875,0.0,0.0,0.0,0.0,0.0
25,2014-10-10,362.29901123046875,0.0,0.0,0.0,0.0,362.29901123046875,0.0,0.0,0.0,0.0,0.0
26,2014-10-11,378.54901123046875,0.0,0.0,0.0,0.0,378.54901123046875,0.0,0.0,0.0,0.0,0.0
27,2014-10-12,390.41400146484375,0.0,0.0,0.0,0.0,390.41400146484375,0.0,0.0,0.0,0.0,0.0
28,2014-10-13,400.8699951171875,0.0,0.0,0.0,0.0,400.8699951171875,0.0,0.0,0.0,0.0,0.0
29,2014-10-14,394.77301025390625,0.0,0.0,0.0,0.0,394.77301025390625,0.0,0.0,0.0,0.0,0.0
30,2014-10-15,382.5559997558594,0.0,0.0,0.0,0.0,382.5559997558594,0.0,0.0,0.0,0.0,0.0
31,2014-10-16,383.75799560546875,0.0,0.0,0.0,0.0,383.75799560546875,0.0,0.0,0.0,0.0,0.0
32,2014-10-17,391.4419860839844,0.0,0.0,0.0,0.0,391.4419860839844,0.0,0.0,0.0,0.0,0.0
33,2014-10-18,389.5459899902344,0.0,0.0,0.0,0.0,389.5459899902344,0.0,0.0,0.0,0.0,0.0
34,2014-10-19,382.8450012207031,0.0,0.0,0.0,0.0,382.8450012207031,0.0,0.0,0.0,0.0,0.0
35,2014-10-20,386.4750061035156,0.0,0.0,0.0,0.0,386.4750061035156,0.0,0.0,0.0,0.0,0.0
36,2014-10-21,383.1579895019531,0.0,0.0,0.0,0.0,383.1579895019531,0.0,0.0,0.0,0.0,0.0
37,2014-10-22,358.4169921875,0.0,0.0,0.0,0.0,358.4169921875,0.0,0.0,0.0,0.0,0.0
38,2014-10-23,358.3450012207031,0.0,0.0,0.0,0.0,358.3450012207031,0.0,0.0,0.0,0.0,0.0
39,2014-10-24,347.27099609375,0.0,0.0,0.0,0.0,347.27099609375,0.0,0.0,0.0,0.0,0.0
