count,date,close,ma200,deviation,average,sigma
1,2011-03-01,115.41999816894531,0.0,0.0,0.0,0.0
2,2011-03-02,116.3499984741211,0.0,0.0,0.0,0.0
3,2011-03-03,114.79000091552734,0.0,0.0,0.0,0.0
4,2011-03-04,115.97000122070312,0.0,0.0,0.0,0.0
5,2011-03-07,115.04000091552734,0.0,0.0,0.0,0.0
6,2011-03-08,113.05999755859375,0.0,0.0,0.0,0.0
7,2011-03-09,115.94000244140625,0.0,0.0,0.0,0.0
8,2011-03-10,115.43000030517578,0.0,0.0,0.0,0.0
9,2011-03-11,113.83999633789062,0.0,0.0,0.0,0.0
10,2011-03-14,113.66999816894531,0.0,0.0,0.0,0.0
11,2011-03-15,108.5199966430664,0.0,0.0,0.0,0.0
12,2011-03-16,110.62000274658203,0.0,0.0,0.0,0.0
13,2011-03-17,114.9000015258789,0.0,0.0,0.0,0.0
14,2011-03-18,113.93000030517578,0.0,0.0,0.0,0.0
15,2011-03-21,114.95999908447266,0.0,0.0,0.0,0.0
16,2011-03-22,115.69999694824219,0.0,0.0,0.0,0.0
17,2011-03-23,115.55000305175781,0.0,0.0,0.0,0.0
18,2011-03-24,115.72000122070312,0.0,0.0,0.0,0.0
19,2011-03-25,115.58999633789062,0.0,0.0,0.0,0.0
20,2011-03-28,114.80000305175781,0.0,0.0,0.0,0.0
21,2011-03-30,115.12999725341797,0.0,0.0,0.0,0.0
22,2011-03-31,117.36000061035156,0.0,0.0,0.0,0.0
23,2011-04-01,118.69999694824219,0.0,0.0,0.0,0.0
24,2011-04-04,121.05999755859375,0.0,0.0,0.0,0.0
25,2011-04-05,122.22000122070312,0.0,0.0,0.0,0.0
26,2011-04-06,122.30000305175781,0.0,0.0,0.0,0.0
27,2011-04-07,122.66999816894531,0.0,0.0,0.0,0.0
28,2011-04-08,126.6500015258789,0.0,0.0,0.0,0.0
29,2011-04-11,123.9800033569336,0.0,0.0,0.0,0.0
30,2011-04-12,120.91999816894531,0.0,0.0,0.0,0.0
31,2011-04-13,122.87999725341797,0.0,0.0,0.0,0.0
32,2011-04-14,122.36000061035156,0.0,0.0,0.0,0.0
33,2011-04-15,123.44999694824219,0.0,0.0,0.0,0.0
34,2011-04-18,121.61000061035156,0.0,0.0,0.0,0.0
35,2011-04-19,121.33000183105469,0.0,0.0,0.0,0.0
36,2011-04-21,123.98999786376953,0.0,0.0,0.0,0.0
37,2011-04-25,123.66000366210938,0.0,0.0,0.0,0.0
38,2011-04-26,124.13999938964844,0.0,0.0,0.0,0.0
39,2011-04-27,125.12999725341797,0.0,0.0,0.0,0.0
40,2011-04-28,125.0199966430664,0.0,0.0,0.0,0.0
41,2011-04-29,125.88999938964844,0.0,0.0,0.0,0.0
42,2011-05-02,125.12000274658203,0.0,0.0,0.0,0.0
43,2011-05-03,122.44999694824219,0.0,0.0,0.0,0.0
44,2011-05-04,121.19000244140625,0.0,0.0,0.0,0.0
45,2011-05-05,110.80000305175781,0.0,0.0,0.0,0.0
46,2011-05-06,109.12999725341797,0.0,0.0,0.0,0.0
47,2011-05-09,115.9000015258789,0.0,0.0,0.0,0.0
48,2011-05-10,117.62999725341797,0.0,0.0,0.0,0.0
49,2011-05-11,112.56999969482422,0.0,0.0,0.0,0.0
50,2011-05-12,112.9800033569336,0.0,0.0,0.0,0.0
51,2011-05-13,113.83000183105469,0.0,0.0,0.0,0.0
52,2011-05-16,112.7300033569336,0.0,0.0,0.0,0.0
53,2011-05-17,109.98999786376953,0.0,0.0,0.0,0.0
54,2011-05-18,112.30000305175781,0.0,0.0,0.0,0.0
55,2011-05-19,111.41999816894531,0.0,0.0,0.0,0.0
56,2011-05-20,112.38999938964844,0.0,0.0,0.0,0.0
57,2011-05-23,110.0999984741211,0.0,0.0,0.0,0.0
58,2011-05-24,112.52999877929688,0.0,0.0,0.0,0.0
59,2011-05-25,114.93000030517578,0.0,0.0,0.0,0.0
60,2011-05-26,115.05000305175781,0.0,0.0,0.0,0.0
61,2011-05-27,115.02999877929688,0.0,0.0,0.0,0.0
62,2011-05-31,116.7300033569336,0.0,0.0,0.0,0.0
63,2011-06-01,114.52999877929688,0.0,0.0,0.0,0.0
64,2011-06-02,115.54000091552734,0.0,0.0,0.0,0.0
65,2011-06-03,115.83999633789062,0.0,0.0,0.0,0.0
66,2011-06-06,114.4800033569336,0.0,0.0,0.0,0.0
67,2011-06-07,116.77999877929688,0.0,0.0,0.0,0.0
68,2011-06-08,117.8499984741211,0.0,0.0,0.0,0.0
69,2011-06-09,119.56999969482422,0.0,0.0,0.0,0.0
70,2011-06-10,118.77999877929688,0.0,0.0,0.0,0.0
71,2011-06-13,119.0999984741211,0.0,0.0,0.0,0.0
72,2011-06-14,120.16000366210938,0.0,0.0,0.0,0.0
73,2011-06-15,117.0999984741211,0.0,0.0,0.0,0.0
74,2011-06-16,114.0199966430664,0.0,0.0,0.0,0.0
75,2011-06-17,113.20999908447266,0.0,0.0,0.0,0.0
76,2011-06-20,111.69000244140625,0.0,0.0,0.0,0.0
77,2011-06-21,110.94999694824219,0.0,0.0,0.0,0.0
78,2011-06-22,114.20999908447266,0.0,0.0,0.0,0.0
79,2011-06-23,107.26000213623047,0.0,0.0,0.0,0.0
80,2011-06-24,105.12000274658203,0.0,0.0,0.0,0.0
