count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,70.79000091552734,0.0,0.0,0.0,0.0,70.79000091552734,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,70.8499984741211,0.0,0.0,0.0,0.0,70.8499984741211,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,72.5,0.0,0.0,0.0,0.0,72.5,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,69.80000305175781,0.0,0.0,0.0,0.0,69.80000305175781,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,68.76000213623047,0.0,0.0,0.0,0.0,68.76000213623047,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,68.0999984741211,0.0,0.0,0.0,0.0,68.0999984741211,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,68.12000274658203,0.0,0.0,0.0,0.0,68.12000274658203,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,68.16999816894531,0.0,0.0,0.0,0.0,68.16999816894531,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,68.1500015258789,0.0,0.0,0.0,0.0,68.1500015258789,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,68.56999969482422,0.0,0.0,0.0,0.0,68.56999969482422,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,69.80999755859375,0.0,0.0,0.0,0.0,69.80999755859375,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,69.91000366210938,0.0,0.0,0.0,0.0,69.91000366210938,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,69.9000015258789,0.0,0.0,0.0,0.0,69.9000015258789,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,69.66000366210938,0.0,0.0,0.0,0.0,69.66000366210938,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,70.02999877929688,0.0,0.0,0.0,0.0,70.02999877929688,0.0,0.0,0.0,0.0,0.0
16,2011-03-28,69.69999694824219,0.0,0.0,0.0,0.0,69.69999694824219,0.0,0.0,0.0,0.0,0.0
17,2011-03-29,69.5,0.0,0.0,0.0,0.0,69.5,0.0,0.0,0.0,0.0,0.0
18,2011-03-30,69.77999877929688,0.0,0.0,0.0,0.0,69.77999877929688,0.0,0.0,0.0,0.0,0.0
19,2011-03-31,70.95999908447266,0.0,0.0,0.0,0.0,70.95999908447266,0.0,0.0,0.0,0.0,0.0
20,2011-04-01,74.41000366210938,0.0,0.0,0.0,0.0,74.41000366210938,0.0,0.0,0.0,0.0,0.0
21,2011-04-04,74.68000030517578,0.0,0.0,0.0,0.0,74.68000030517578,0.0,0.0,0.0,0.0,0.0
22,2011-04-05,75.33999633789062,0.0,0.0,0.0,0.0,75.33999633789062,0.0,0.0,0.0,0.0,0.0
23,2011-04-06,76.86000061035156,0.0,0.0,0.0,0.0,76.86000061035156,0.0,0.0,0.0,0.0,0.0
24,2011-04-07,76.5199966430664,0.0,0.0,0.0,0.0,76.5199966430664,0.0,0.0,0.0,0.0,0.0
25,2011-04-08,76.69000244140625,0.0,0.0,0.0,0.0,76.69000244140625,0.0,0.0,0.0,0.0,0.0
26,2011-04-11,76.18000030517578,0.0,0.0,0.0,0.0,76.18000030517578,0.0,0.0,0.0,0.0,0.0
27,2011-04-12,75.38999938964844,0.0,0.0,0.0,0.0,75.38999938964844,0.0,0.0,0.0,0.0,0.0
28,2011-04-13,75.11000061035156,0.0,0.0,0.0,0.0,75.11000061035156,0.0,0.0,0.0,0.0,0.0
