count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,32.16525650024414,0.0,0.0,0.0,0.0,32.16525650024414,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,32.34919357299805,0.0,0.0,0.0,0.0,32.34919357299805,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,32.48712921142578,0.0,0.0,0.0,0.0,32.48712921142578,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,31.55213165283203,0.0,0.0,0.0,0.0,31.55213165283203,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,31.138286590576172,0.0,0.0,0.0,0.0,31.138286590576172,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,30.877721786499023,0.0,0.0,0.0,0.0,30.877721786499023,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,30.73211669921875,0.0,0.0,0.0,0.0,30.73211669921875,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,30.10367774963379,0.0,0.0,0.0,0.0,30.10367774963379,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,30.86240005493164,0.0,0.0,0.0,0.0,30.86240005493164,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,31.000341415405273,0.0,0.0,0.0,0.0,31.000341415405273,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,31.345218658447266,0.0,0.0,0.0,0.0,31.345218658447266,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,31.322229385375977,0.0,0.0,0.0,0.0,31.322229385375977,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,30.73977279663086,0.0,0.0,0.0,0.0,30.73977279663086,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,31.207265853881836,0.0,0.0,0.0,0.0,31.207265853881836,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,31.667112350463867,0.0,0.0,0.0,0.0,31.667112350463867,0.0,0.0,0.0,0.0,0.0
16,2011-03-28,31.797391891479492,0.0,0.0,0.0,0.0,31.797391891479492,0.0,0.0,0.0,0.0,0.0
17,2011-03-29,31.87403106689453,0.0,0.0,0.0,0.0,31.87403106689453,0.0,0.0,0.0,0.0,0.0
18,2011-03-30,31.99337387084961,0.0,0.0,0.0,0.0,31.99337387084961,0.0,0.0,0.0,0.0,0.0
19,2011-03-31,31.669981002807617,0.0,0.0,0.0,0.0,31.864981002807617,0.0,0.0,0.0,0.0,0.195
20,2011-04-01,32.5015754699707,0.0,0.0,0.0,0.0,32.6965754699707,0.0,0.0,0.0,0.0,0.195
21,2011-04-04,32.38607406616211,0.0,0.0,0.0,0.0,32.58107406616211,0.0,0.0,0.0,0.0,0.195
22,2011-04-05,32.23207092285156,0.0,0.0,0.0,0.0,32.42707092285156,0.0,0.0,0.0,0.0,0.195
23,2011-04-06,32.50927734375,0.0,0.0,0.0,0.0,32.70427734375,0.0,0.0,0.0,0.0,0.195
24,2011-04-07,32.52467727661133,0.0,0.0,0.0,0.0,32.71967727661133,0.0,0.0,0.0,0.0,0.195
25,2011-04-08,32.478477478027344,0.0,0.0,0.0,0.0,32.673477478027344,0.0,0.0,0.0,0.0,0.195
26,2011-04-11,32.324459075927734,0.0,0.0,0.0,0.0,32.519459075927735,0.0,0.0,0.0,0.0,0.195
27,2011-04-12,31.71617889404297,0.0,0.0,0.0,0.0,31.91117889404297,0.0,0.0,0.0,0.0,0.195
28,2011-04-13,31.6314697265625,0.0,0.0,0.0,0.0,31.8264697265625,0.0,0.0,0.0,0.0,0.195
29,2011-04-14,31.300384521484375,0.0,0.0,0.0,0.0,31.495384521484375,0.0,0.0,0.0,0.0,0.195
30,2011-04-15,31.546777725219727,0.0,0.0,0.0,0.0,31.741777725219727,0.0,0.0,0.0,0.0,0.195
31,2011-04-18,31.770071029663086,0.0,0.0,0.0,0.0,31.965071029663086,0.0,0.0,0.0,0.0,0.195
32,2011-04-19,32.324459075927734,0.0,0.0,0.0,0.0,32.519459075927735,0.0,0.0,0.0,0.0,0.195
33,2011-04-20,32.8018684387207,0.0,0.0,0.0,0.0,32.9968684387207,0.0,0.0,0.0,0.0,0.195
34,2011-04-21,33.07908248901367,0.0,0.0,0.0,0.0,33.27408248901367,0.0,0.0,0.0,0.0,0.195
35,2011-04-25,33.02518081665039,0.0,0.0,0.0,0.0,33.22018081665039,0.0,0.0,0.0,0.0,0.195
36,2011-04-26,33.294677734375,0.0,0.0,0.0,0.0,33.489677734375,0.0,0.0,0.0,0.0,0.195
37,2011-04-27,33.96457290649414,0.0,0.0,0.0,0.0,34.15957290649414,0.0,0.0,0.0,0.0,0.195
38,2011-04-28,33.48716354370117,0.0,0.0,0.0,0.0,33.68216354370117,0.0,0.0,0.0,0.0,0.195
39,2011-04-29,33.64116287231445,0.0,0.0,0.0,0.0,33.83616287231445,0.0,0.0,0.0,0.0,0.195
40,2011-05-02,34.12626647949219,0.0,0.0,0.0,0.0,34.32126647949219,0.0,0.0,0.0,0.0,0.195
41,2011-05-03,34.27256393432617,0.0,0.0,0.0,0.0,34.46756393432617,0.0,0.0,0.0,0.0,0.195
42,2011-05-04,34.31106948852539,0.0,0.0,0.0,0.0,34.50606948852539,0.0,0.0,0.0,0.0,0.195
43,2011-05-05,34.37266540527344,0.0,0.0,0.0,0.0,34.56766540527344,0.0,0.0,0.0,0.0,0.195
44,2011-05-06,34.32646560668945,0.0,0.0,0.0,0.0,34.52146560668945,0.0,0.0,0.0,0.0,0.195
45,2011-05-09,34.8808708190918,0.0,0.0,0.0,0.0,35.0758708190918,0.0,0.0,0.0,0.0,0.195
46,2011-05-10,34.927066802978516,0.0,0.0,0.0,0.0,35.122066802978516,0.0,0.0,0.0,0.0,0.195
47,2011-05-11,34.549766540527344,0.0,0.0,0.0,0.0,34.744766540527344,0.0,0.0,0.0,0.0,0.195
48,2011-05-12,34.557464599609375,0.0,0.0,0.0,0.0,34.752464599609375,0.0,0.0,0.0,0.0,0.195
49,2011-05-13,34.22636795043945,0.0,0.0,0.0,0.0,34.42136795043945,0.0,0.0,0.0,0.0,0.195
50,2011-05-16,34.60365676879883,0.0,0.0,0.0,0.0,34.79865676879883,0.0,0.0,0.0,0.0,0.195
51,2011-05-17,34.48046875,0.0,0.0,0.0,0.0,34.67546875,0.0,0.0,0.0,0.0,0.195
52,2011-05-18,35.06565475463867,0.0,0.0,0.0,0.0,35.26065475463867,0.0,0.0,0.0,0.0,0.195
53,2011-05-19,34.84236526489258,0.0,0.0,0.0,0.0,35.03736526489258,0.0,0.0,0.0,0.0,0.195
54,2011-05-20,34.5882568359375,0.0,0.0,0.0,0.0,34.7832568359375,0.0,0.0,0.0,0.0,0.195
55,2011-05-23,34.21097946166992,0.0,0.0,0.0,0.0,34.40597946166992,0.0,0.0,0.0,0.0,0.195
56,2011-05-24,34.43425750732422,0.0,0.0,0.0,0.0,34.62925750732422,0.0,0.0,0.0,0.0,0.195
57,2011-05-25,34.68067169189453,0.0,0.0,0.0,0.0,34.87567169189453,0.0,0.0,0.0,0.0,0.195
58,2011-05-26,34.927066802978516,0.0,0.0,0.0,0.0,35.122066802978516,0.0,0.0,0.0,0.0,0.195
59,2011-05-27,34.91936492919922,0.0,0.0,0.0,0.0,35.11436492919922,0.0,0.0,0.0,0.0,0.195
60,2011-05-31,34.97324752807617,0.0,0.0,0.0,0.0,35.16824752807617,0.0,0.0,0.0,0.0,0.195
61,2011-06-01,34.27256393432617,0.0,0.0,0.0,0.0,34.46756393432617,0.0,0.0,0.0,0.0,0.195
62,2011-06-02,34.1955680847168,0.0,0.0,0.0,0.0,34.3905680847168,0.0,0.0,0.0,0.0,0.195
63,2011-06-03,33.918365478515625,0.0,0.0,0.0,0.0,34.113365478515625,0.0,0.0,0.0,0.0,0.195
64,2011-06-06,33.97227478027344,0.0,0.0,0.0,0.0,34.16727478027344,0.0,0.0,0.0,0.0,0.195
65,2011-06-07,33.918365478515625,0.0,0.0,0.0,0.0,34.113365478515625,0.0,0.0,0.0,0.0,0.195
