count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,77.24314880371094,0.0,0.0,0.0,0.0,77.24314880371094,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,78.75579833984375,0.0,0.0,0.0,0.0,78.75579833984375,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,77.41707611083984,0.0,0.0,0.0,0.0,77.41707611083984,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,74.41449737548828,0.0,0.0,0.0,0.0,74.41449737548828,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,75.64729309082031,0.0,0.0,0.0,0.0,75.64729309082031,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,77.2204360961914,0.0,0.0,0.0,0.0,77.2204360961914,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,76.19940185546875,0.0,0.0,0.0,0.0,76.19940185546875,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,75.93473815917969,0.0,0.0,0.0,0.0,75.93473815917969,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,77.99190521240234,0.0,0.0,0.0,0.0,77.99190521240234,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,79.45915985107422,0.0,0.0,0.0,0.0,79.45915985107422,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,81.37264251708984,0.0,0.0,0.0,0.0,81.37264251708984,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,80.76761627197266,0.0,0.0,0.0,0.0,80.76761627197266,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,80.7448959350586,0.0,0.0,0.0,0.0,80.7448959350586,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,81.96259307861328,0.0,0.0,0.0,0.0,81.96259307861328,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,82.50715637207031,0.0,0.0,0.0,0.0,82.50715637207031,0.0,0.0,0.0,0.0,0.0
16,2011-03-28,82.74160766601562,0.0,0.0,0.0,0.0,82.74160766601562,0.0,0.0,0.0,0.0,0.0
17,2011-03-29,83.60381317138672,0.0,0.0,0.0,0.0,83.60381317138672,0.0,0.0,0.0,0.0,0.0
18,2011-03-30,84.35258483886719,0.0,0.0,0.0,0.0,84.35258483886719,0.0,0.0,0.0,0.0,0.0
19,2011-03-31,84.2164306640625,0.0,0.0,0.0,0.0,84.2164306640625,0.0,0.0,0.0,0.0,0.0
20,2011-04-01,85.55509948730469,0.0,0.0,0.0,0.0,85.55509948730469,0.0,0.0,0.0,0.0,0.0
21,2011-04-04,85.75173950195312,0.0,0.0,0.0,0.0,85.75173950195312,0.0,0.0,0.0,0.0,0.0
22,2011-04-05,84.94251251220703,0.0,0.0,0.0,0.0,84.94251251220703,0.0,0.0,0.0,0.0,0.0
23,2011-04-06,83.95171356201172,0.0,0.0,0.0,0.0,83.95171356201172,0.0,0.0,0.0,0.0,0.0
24,2011-04-07,83.08192443847656,0.0,0.0,0.0,0.0,83.08192443847656,0.0,0.0,0.0,0.0,0.0
25,2011-04-08,83.05924224853516,0.0,0.0,0.0,0.0,83.05924224853516,0.0,0.0,0.0,0.0,0.0
26,2011-04-11,82.49201202392578,0.0,0.0,0.0,0.0,82.49201202392578,0.0,0.0,0.0,0.0,0.0
27,2011-04-12,80.60120391845703,0.0,0.0,0.0,0.0,80.60120391845703,0.0,0.0,0.0,0.0,0.0
28,2011-04-13,81.40289306640625,0.0,0.0,0.0,0.0,81.40289306640625,0.0,0.0,0.0,0.0,0.0
29,2011-04-14,81.36509704589844,0.0,0.0,0.0,0.0,81.36509704589844,0.0,0.0,0.0,0.0,0.0
30,2011-04-15,81.08526611328125,0.0,0.0,0.0,0.0,81.08526611328125,0.0,0.0,0.0,0.0,0.0
31,2011-04-18,78.58181762695312,0.0,0.0,0.0,0.0,78.58181762695312,0.0,0.0,0.0,0.0,0.0
32,2011-04-19,80.24574279785156,0.0,0.0,0.0,0.0,80.24574279785156,0.0,0.0,0.0,0.0,0.0
33,2011-04-20,82.23555755615234,0.0,0.0,0.0,0.0,82.23555755615234,0.0,0.0,0.0,0.0,0.0
34,2011-04-21,83.10134887695312,0.0,0.0,0.0,0.0,83.54134887695312,0.0,0.0,0.0,0.0,0.44
35,2011-04-25,82.66845703125,0.0,0.0,0.0,0.0,83.10845703125,0.0,0.0,0.0,0.0,0.44
36,2011-04-26,85.0152359008789,0.0,0.0,0.0,0.0,85.4552359008789,0.0,0.0,0.0,0.0,0.44
37,2011-04-27,85.52407836914062,0.0,0.0,0.0,0.0,85.96407836914062,0.0,0.0,0.0,0.0,0.44
38,2011-04-28,85.54686737060547,0.0,0.0,0.0,0.0,85.98686737060547,0.0,0.0,0.0,0.0,0.44
39,2011-04-29,87.65058898925781,0.0,0.0,0.0,0.0,88.09058898925781,0.0,0.0,0.0,0.0,0.44
40,2011-05-02,86.8607406616211,0.0,0.0,0.0,0.0,87.30074066162109,0.0,0.0,0.0,0.0,0.44
41,2011-05-03,86.02532958984375,0.0,0.0,0.0,0.0,86.46532958984375,0.0,0.0,0.0,0.0,0.44
42,2011-05-04,84.12664794921875,0.0,0.0,0.0,0.0,84.56664794921875,0.0,0.0,0.0,0.0,0.44
43,2011-05-05,83.07856750488281,0.0,0.0,0.0,0.0,83.51856750488281,0.0,0.0,0.0,0.0,0.44
44,2011-05-06,83.80007934570312,0.0,0.0,0.0,0.0,84.24007934570312,0.0,0.0,0.0,0.0,0.44
45,2011-05-09,84.80255889892578,0.0,0.0,0.0,0.0,85.24255889892578,0.0,0.0,0.0,0.0,0.44
46,2011-05-10,85.72152709960938,0.0,0.0,0.0,0.0,86.16152709960937,0.0,0.0,0.0,0.0,0.44
47,2011-05-11,83.52667236328125,0.0,0.0,0.0,0.0,83.96667236328125,0.0,0.0,0.0,0.0,0.44
48,2011-05-12,82.50135803222656,0.0,0.0,0.0,0.0,82.94135803222656,0.0,0.0,0.0,0.0,0.44
49,2011-05-13,80.75458526611328,0.0,0.0,0.0,0.0,81.19458526611328,0.0,0.0,0.0,0.0,0.44
50,2011-05-16,80.57232666015625,0.0,0.0,0.0,0.0,81.01232666015625,0.0,0.0,0.0,0.0,0.44
51,2011-05-17,77.52684020996094,0.0,0.0,0.0,0.0,77.96684020996094,0.0,0.0,0.0,0.0,0.44
52,2011-05-18,79.93436431884766,0.0,0.0,0.0,0.0,80.37436431884765,0.0,0.0,0.0,0.0,0.44
53,2011-05-19,79.97234344482422,0.0,0.0,0.0,0.0,80.41234344482422,0.0,0.0,0.0,0.0,0.44
54,2011-05-20,79.23563385009766,0.0,0.0,0.0,0.0,79.67563385009765,0.0,0.0,0.0,0.0,0.44
55,2011-05-23,77.38252258300781,0.0,0.0,0.0,0.0,77.82252258300781,0.0,0.0,0.0,0.0,0.44
