count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,49.35476303100586,0.0,0.0,0.0,0.0,49.35476303100586,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,49.736202239990234,0.0,0.0,0.0,0.0,49.736202239990234,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,49.48985290527344,0.0,0.0,0.0,0.0,49.48985290527344,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,48.512451171875,0.0,0.0,0.0,0.0,48.512451171875,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,48.78264236450195,0.0,0.0,0.0,0.0,48.78264236450195,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,48.54423522949219,0.0,0.0,0.0,0.0,48.54423522949219,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,47.79728317260742,0.0,0.0,0.0,0.0,47.79728317260742,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,47.90852737426758,0.0,0.0,0.0,0.0,47.90852737426758,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,48.32173538208008,0.0,0.0,0.0,0.0,48.32173538208008,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,48.3376350402832,0.0,0.0,0.0,0.0,48.3376350402832,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,49.3388786315918,0.0,0.0,0.0,0.0,49.3388786315918,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,49.06870651245117,0.0,0.0,0.0,0.0,49.06870651245117,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,49.06870651245117,0.0,0.0,0.0,0.0,49.06870651245117,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,49.378597259521484,0.0,0.0,0.0,0.0,49.378597259521484,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,49.561370849609375,0.0,0.0,0.0,0.0,49.561370849609375,0.0,0.0,0.0,0.0,0.0
16,2011-03-28,50.21297073364258,0.0,0.0,0.0,0.0,50.21297073364258,0.0,0.0,0.0,0.0,0.0
17,2011-03-29,50.86457443237305,0.0,0.0,0.0,0.0,50.86457443237305,0.0,0.0,0.0,0.0,0.0
18,2011-03-30,51.25597381591797,0.0,0.0,0.0,0.0,51.25597381591797,0.0,0.0,0.0,0.0,0.0
19,2011-03-31,51.679290771484375,0.0,0.0,0.0,0.0,52.00929077148437,0.0,0.0,0.0,0.0,0.33
20,2011-04-01,52.589866638183594,0.0,0.0,0.0,0.0,52.91986663818359,0.0,0.0,0.0,0.0,0.33
21,2011-04-04,53.48448944091797,0.0,0.0,0.0,0.0,53.81448944091797,0.0,0.0,0.0,0.0,0.33
22,2011-04-05,53.06114959716797,0.0,0.0,0.0,0.0,53.39114959716797,0.0,0.0,0.0,0.0,0.33
23,2011-04-06,53.101078033447266,0.0,0.0,0.0,0.0,53.431078033447264,0.0,0.0,0.0,0.0,0.33
24,2011-04-07,52.565921783447266,0.0,0.0,0.0,0.0,52.895921783447264,0.0,0.0,0.0,0.0,0.33
25,2011-04-08,52.549949645996094,0.0,0.0,0.0,0.0,52.87994964599609,0.0,0.0,0.0,0.0,0.33
26,2011-04-11,53.212921142578125,0.0,0.0,0.0,0.0,53.54292114257812,0.0,0.0,0.0,0.0,0.33
27,2011-04-12,53.204925537109375,0.0,0.0,0.0,0.0,53.53492553710937,0.0,0.0,0.0,0.0,0.33
28,2011-04-13,53.03718566894531,0.0,0.0,0.0,0.0,53.36718566894531,0.0,0.0,0.0,0.0,0.33
29,2011-04-14,52.87742614746094,0.0,0.0,0.0,0.0,53.207426147460936,0.0,0.0,0.0,0.0,0.33
30,2011-04-15,52.6218376159668,0.0,0.0,0.0,0.0,52.951837615966795,0.0,0.0,0.0,0.0,0.33
31,2011-04-18,51.79912185668945,0.0,0.0,0.0,0.0,52.12912185668945,0.0,0.0,0.0,0.0,0.33
32,2011-04-19,51.50358200073242,0.0,0.0,0.0,0.0,51.83358200073242,0.0,0.0,0.0,0.0,0.33
33,2011-04-20,51.375770568847656,0.0,0.0,0.0,0.0,51.705770568847655,0.0,0.0,0.0,0.0,0.33
34,2011-04-21,52.17452621459961,0.0,0.0,0.0,0.0,52.50452621459961,0.0,0.0,0.0,0.0,0.33
35,2011-04-25,52.27837371826172,0.0,0.0,0.0,0.0,52.60837371826172,0.0,0.0,0.0,0.0,0.33
36,2011-04-26,52.21446228027344,0.0,0.0,0.0,0.0,52.544462280273436,0.0,0.0,0.0,0.0,0.33
37,2011-04-27,52.86945343017578,0.0,0.0,0.0,0.0,53.19945343017578,0.0,0.0,0.0,0.0,0.33
38,2011-04-28,53.740089416503906,0.0,0.0,0.0,0.0,54.070089416503905,0.0,0.0,0.0,0.0,0.33
39,2011-04-29,53.716129302978516,0.0,0.0,0.0,0.0,54.046129302978514,0.0,0.0,0.0,0.0,0.33
40,2011-05-02,53.356666564941406,0.0,0.0,0.0,0.0,53.686666564941405,0.0,0.0,0.0,0.0,0.33
41,2011-05-03,53.92380142211914,0.0,0.0,0.0,0.0,54.25380142211914,0.0,0.0,0.0,0.0,0.33
42,2011-05-04,53.09308624267578,0.0,0.0,0.0,0.0,53.42308624267578,0.0,0.0,0.0,0.0,0.33
