count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,5.99136209487915,0.0,0.0,0.0,0.0,5.99136209487915,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,5.99136209487915,0.0,0.0,0.0,0.0,5.99136209487915,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,5.955050945281982,0.0,0.0,0.0,0.0,5.955050945281982,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,5.9623122215271,0.0,0.0,0.0,0.0,5.9623122215271,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,5.8098063468933105,0.0,0.0,0.0,0.0,5.8098063468933105,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,5.773494720458984,0.0,0.0,0.0,0.0,5.773494720458984,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,5.591938018798828,0.0,0.0,0.0,0.0,5.591938018798828,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,5.591938018798828,0.0,0.0,0.0,0.0,5.591938018798828,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,5.591938018798828,0.0,0.0,0.0,0.0,5.591938018798828,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,5.6282501220703125,0.0,0.0,0.0,0.0,5.6282501220703125,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,5.591938018798828,0.0,0.0,0.0,0.0,5.591938018798828,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,5.700872421264648,0.0,0.0,0.0,0.0,5.700872421264648,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,5.715397357940674,0.0,0.0,0.0,0.0,5.715397357940674,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,5.911477565765381,0.0,0.0,0.0,0.0,5.911477565765381,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,5.911477565765381,0.0,0.0,0.0,0.0,5.911477565765381,0.0,0.0,0.0,0.0,0.0
16,2011-03-28,5.8461174964904785,0.0,0.0,0.0,0.0,5.8461174964904785,0.0,0.0,0.0,0.0,0.0
17,2011-03-29,5.8098063468933105,0.0,0.0,0.0,0.0,5.8098063468933105,0.0,0.0,0.0,0.0,0.0
18,2011-03-30,5.8098063468933105,0.0,0.0,0.0,0.0,5.8098063468933105,0.0,0.0,0.0,0.0,0.0
19,2011-03-31,5.8098063468933105,0.0,0.0,0.0,0.0,5.8098063468933105,0.0,0.0,0.0,0.0,0.0
20,2011-04-01,5.8098063468933105,0.0,0.0,0.0,0.0,5.8098063468933105,0.0,0.0,0.0,0.0,0.0
21,2011-04-04,5.78801965713501,0.0,0.0,0.0,0.0,5.78801965713501,0.0,0.0,0.0,0.0,0.0
22,2011-04-05,5.78801965713501,0.0,0.0,0.0,0.0,5.78801965713501,0.0,0.0,0.0,0.0,0.0
23,2011-04-06,5.773494720458984,0.0,0.0,0.0,0.0,5.773494720458984,0.0,0.0,0.0,0.0,0.0
24,2011-04-07,5.773494720458984,0.0,0.0,0.0,0.0,5.773494720458984,0.0,0.0,0.0,0.0,0.0
25,2011-04-08,5.744445323944092,0.0,0.0,0.0,0.0,5.744445323944092,0.0,0.0,0.0,0.0,0.0
26,2011-04-11,5.8098063468933105,0.0,0.0,0.0,0.0,5.8098063468933105,0.0,0.0,0.0,0.0,0.0
27,2011-04-12,5.8098063468933105,0.0,0.0,0.0,0.0,5.8098063468933105,0.0,0.0,0.0,0.0,0.0
28,2011-04-13,5.882429122924805,0.0,0.0,0.0,0.0,5.882429122924805,0.0,0.0,0.0,0.0,0.0
29,2011-04-14,5.882429122924805,0.0,0.0,0.0,0.0,5.882429122924805,0.0,0.0,0.0,0.0,0.0
30,2011-04-15,5.882429122924805,0.0,0.0,0.0,0.0,5.882429122924805,0.0,0.0,0.0,0.0,0.0
31,2011-04-18,5.911477565765381,0.0,0.0,0.0,0.0,5.911477565765381,0.0,0.0,0.0,0.0,0.0
32,2011-04-19,5.918739318847656,0.0,0.0,0.0,0.0,5.918739318847656,0.0,0.0,0.0,0.0,0.0
33,2011-04-20,5.918739318847656,0.0,0.0,0.0,0.0,5.918739318847656,0.0,0.0,0.0,0.0,0.0
34,2011-04-21,5.918739318847656,0.0,0.0,0.0,0.0,5.918739318847656,0.0,0.0,0.0,0.0,0.0
35,2011-04-26,5.882429122924805,0.0,0.0,0.0,0.0,5.882429122924805,0.0,0.0,0.0,0.0,0.0
36,2011-04-27,5.882429122924805,0.0,0.0,0.0,0.0,5.882429122924805,0.0,0.0,0.0,0.0,0.0
37,2011-04-28,5.918739318847656,0.0,0.0,0.0,0.0,5.918739318847656,0.0,0.0,0.0,0.0,0.0
38,2011-04-29,5.918739318847656,0.0,0.0,0.0,0.0,5.918739318847656,0.0,0.0,0.0,0.0,0.0
39,2011-05-02,5.918739318847656,0.0,0.0,0.0,0.0,5.918739318847656,0.0,0.0,0.0,0.0,0.0
40,2011-05-03,5.918739318847656,0.0,0.0,0.0,0.0,5.918739318847656,0.0,0.0,0.0,0.0,0.0
41,2011-05-04,5.918739318847656,0.0,0.0,0.0,0.0,5.918739318847656,0.0,0.0,0.0,0.0,0.0
42,2011-05-05,5.918739318847656,0.0,0.0,0.0,0.0,5.918739318847656,0.0,0.0,0.0,0.0,0.0
43,2011-05-06,5.918739318847656,0.0,0.0,0.0,0.0,5.918739318847656,0.0,0.0,0.0,0.0,0.0
44,2011-05-09,5.918739318847656,0.0,0.0,0.0,0.0,5.918739318847656,0.0,0.0,0.0,0.0,0.0
45,2011-05-10,5.860640525817871,0.0,0.0,0.0,0.0,5.860640525817871,0.0,0.0,0.0,0.0,0.0
46,2011-05-11,6.260066032409668,0.0,0.0,0.0,0.0,6.260066032409668,0.0,0.0,0.0,0.0,0.0
47,2011-05-12,5.918739318847656,0.0,0.0,0.0,0.0,5.918739318847656,0.0,0.0,0.0,0.0,0.0
48,2011-05-13,5.911477565765381,0.0,0.0,0.0,0.0,5.911477565765381,0.0,0.0,0.0,0.0,0.0
49,2011-05-16,5.911477565765381,0.0,0.0,0.0,0.0,5.911477565765381,0.0,0.0,0.0,0.0,0.0
50,2011-05-17,5.918739318847656,0.0,0.0,0.0,0.0,5.918739318847656,0.0,0.0,0.0,0.0,0.0
51,2011-05-18,5.918739318847656,0.0,0.0,0.0,0.0,5.918739318847656,0.0,0.0,0.0,0.0,0.0
52,2011-05-19,5.918739318847656,0.0,0.0,0.0,0.0,5.918739318847656,0.0,0.0,0.0,0.0,0.0
53,2011-05-20,5.918739318847656,0.0,0.0,0.0,0.0,5.918739318847656,0.0,0.0,0.0,0.0,0.0
54,2011-05-23,5.918739318847656,0.0,0.0,0.0,0.0,5.918739318847656,0.0,0.0,0.0,0.0,0.0
55,2011-05-24,5.882429122924805,0.0,0.0,0.0,0.0,5.882429122924805,0.0,0.0,0.0,0.0,0.0
