count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,16.364973068237305,0.0,0.0,0.0,0.0,16.364973068237305,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,16.633872985839844,0.0,0.0,0.0,0.0,16.633872985839844,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,16.61039924621582,0.0,0.0,0.0,0.0,16.61039924621582,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,16.42045783996582,0.0,0.0,0.0,0.0,16.42045783996582,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,16.467416763305664,0.0,0.0,0.0,0.0,16.467416763305664,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,16.388446807861328,0.0,0.0,0.0,0.0,16.388446807861328,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,16.3436279296875,0.0,0.0,0.0,0.0,16.3436279296875,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,16.428998947143555,0.0,0.0,0.0,0.0,16.428998947143555,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,16.580522537231445,0.0,0.0,0.0,0.0,16.580522537231445,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,16.811016082763672,0.0,0.0,0.0,0.0,16.811016082763672,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,17.165287017822266,0.0,0.0,0.0,0.0,17.165287017822266,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,16.88570785522461,0.0,0.0,0.0,0.0,16.88570785522461,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,16.800344467163086,0.0,0.0,0.0,0.0,16.800344467163086,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,16.85157012939453,0.0,0.0,0.0,0.0,16.85157012939453,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,16.881444931030273,0.0,0.0,0.0,0.0,16.881444931030273,0.0,0.0,0.0,0.0,0.0
16,2011-03-28,17.06070899963379,0.0,0.0,0.0,0.0,17.06070899963379,0.0,0.0,0.0,0.0,0.0
17,2011-03-29,17.1780948638916,0.0,0.0,0.0,0.0,17.1780948638916,0.0,0.0,0.0,0.0,0.0
18,2011-03-30,17.073516845703125,0.0,0.0,0.0,0.0,17.073516845703125,0.0,0.0,0.0,0.0,0.0
19,2011-03-31,16.932662963867188,0.0,0.0,0.0,0.0,16.932662963867188,0.0,0.0,0.0,0.0,0.0
20,2011-04-01,17.0457763671875,0.0,0.0,0.0,0.0,17.0457763671875,0.0,0.0,0.0,0.0,0.0
21,2011-04-04,17.064985275268555,0.0,0.0,0.0,0.0,17.064985275268555,0.0,0.0,0.0,0.0,0.0
22,2011-04-05,16.934795379638672,0.0,0.0,0.0,0.0,16.934795379638672,0.0,0.0,0.0,0.0,0.0
23,2011-04-06,17.103403091430664,0.0,0.0,0.0,0.0,17.103403091430664,0.0,0.0,0.0,0.0,0.0
24,2011-04-07,17.000957489013672,0.0,0.0,0.0,0.0,17.000957489013672,0.0,0.0,0.0,0.0,0.0
25,2011-04-08,16.866498947143555,0.0,0.0,0.0,0.0,16.866498947143555,0.0,0.0,0.0,0.0,0.0
26,2011-04-11,16.98175048828125,0.0,0.0,0.0,0.0,16.98175048828125,0.0,0.0,0.0,0.0,0.0
27,2011-04-12,17.047910690307617,0.0,0.0,0.0,0.0,17.047910690307617,0.0,0.0,0.0,0.0,0.0
28,2011-04-13,17.07779312133789,0.0,0.0,0.0,0.0,17.07779312133789,0.0,0.0,0.0,0.0,0.0
29,2011-04-14,17.06284523010254,0.0,0.0,0.0,0.0,17.06284523010254,0.0,0.0,0.0,0.0,0.0
30,2011-04-15,17.25705909729004,0.0,0.0,0.0,0.0,17.25705909729004,0.0,0.0,0.0,0.0,0.0
31,2011-04-18,16.9881534576416,0.0,0.0,0.0,0.0,16.9881534576416,0.0,0.0,0.0,0.0,0.0
32,2011-04-19,16.887847900390625,0.0,0.0,0.0,0.0,16.887847900390625,0.0,0.0,0.0,0.0,0.0
33,2011-04-20,17.005220413208008,0.0,0.0,0.0,0.0,17.005220413208008,0.0,0.0,0.0,0.0,0.0
34,2011-04-21,17.02229881286621,0.0,0.0,0.0,0.0,17.02229881286621,0.0,0.0,0.0,0.0,0.0
35,2011-04-25,16.665891647338867,0.0,0.0,0.0,0.0,16.665891647338867,0.0,0.0,0.0,0.0,0.0
36,2011-04-26,16.83022117614746,0.0,0.0,0.0,0.0,16.83022117614746,0.0,0.0,0.0,0.0,0.0
37,2011-04-27,16.97321128845215,0.0,0.0,0.0,0.0,16.97321128845215,0.0,0.0,0.0,0.0,0.0
38,2011-04-28,17.455541610717773,0.0,0.0,0.0,0.0,17.455541610717773,0.0,0.0,0.0,0.0,0.0
39,2011-04-29,17.602800369262695,0.0,0.0,0.0,0.0,17.602800369262695,0.0,0.0,0.0,0.0,0.0
