count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,23.160104751586914,0.0,0.0,0.0,0.0,23.160104751586914,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,23.545991897583008,0.0,0.0,0.0,0.0,23.545991897583008,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,23.4898624420166,0.0,0.0,0.0,0.0,23.4898624420166,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,23.132041931152344,0.0,0.0,0.0,0.0,23.132041931152344,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,23.20921516418457,0.0,0.0,0.0,0.0,23.20921516418457,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,23.033817291259766,0.0,0.0,0.0,0.0,23.033817291259766,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,22.697044372558594,0.0,0.0,0.0,0.0,22.697044372558594,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,22.444461822509766,0.0,0.0,0.0,0.0,22.444461822509766,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,22.718095779418945,0.0,0.0,0.0,0.0,22.718095779418945,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,22.872446060180664,0.0,0.0,0.0,0.0,22.872446060180664,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,23.355466842651367,0.0,0.0,0.0,0.0,23.355466842651367,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,23.149477005004883,0.0,0.0,0.0,0.0,23.54947700500488,0.0,0.0,0.0,0.0,0.4
13,2011-03-23,22.96478843688965,0.0,0.0,0.0,0.0,23.364788436889647,0.0,0.0,0.0,0.0,0.4
14,2011-03-24,23.042917251586914,0.0,0.0,0.0,0.0,23.442917251586913,0.0,0.0,0.0,0.0,0.4
15,2011-03-25,23.06422996520996,0.0,0.0,0.0,0.0,23.46422996520996,0.0,0.0,0.0,0.0,0.4
16,2011-03-28,23.000307083129883,0.0,0.0,0.0,0.0,23.40030708312988,0.0,0.0,0.0,0.0,0.4
17,2011-03-29,23.128158569335938,0.0,0.0,0.0,0.0,23.528158569335936,0.0,0.0,0.0,0.0,0.4
18,2011-03-30,23.419395446777344,0.0,0.0,0.0,0.0,23.819395446777342,0.0,0.0,0.0,0.0,0.4
19,2011-03-31,23.291536331176758,0.0,0.0,0.0,0.0,23.691536331176756,0.0,0.0,0.0,0.0,0.4
20,2011-04-01,23.433605194091797,0.0,0.0,0.0,0.0,23.833605194091795,0.0,0.0,0.0,0.0,0.4
21,2011-04-04,23.682214736938477,0.0,0.0,0.0,0.0,24.082214736938475,0.0,0.0,0.0,0.0,0.4
22,2011-04-05,23.589874267578125,0.0,0.0,0.0,0.0,23.989874267578124,0.0,0.0,0.0,0.0,0.4
23,2011-04-06,23.817174911499023,0.0,0.0,0.0,0.0,24.217174911499022,0.0,0.0,0.0,0.0,0.4
24,2011-04-07,23.5827693939209,0.0,0.0,0.0,0.0,23.982769393920897,0.0,0.0,0.0,0.0,0.4
25,2011-04-08,23.383878707885742,0.0,0.0,0.0,0.0,23.78387870788574,0.0,0.0,0.0,0.0,0.4
26,2011-04-11,23.440704345703125,0.0,0.0,0.0,0.0,23.840704345703124,0.0,0.0,0.0,0.0,0.4
27,2011-04-12,23.06422996520996,0.0,0.0,0.0,0.0,23.46422996520996,0.0,0.0,0.0,0.0,0.4
28,2011-04-13,22.92926788330078,0.0,0.0,0.0,0.0,23.32926788330078,0.0,0.0,0.0,0.0,0.4
29,2011-04-14,22.75168800354004,0.0,0.0,0.0,0.0,23.151688003540038,0.0,0.0,0.0,0.0,0.4
30,2011-04-15,22.858243942260742,0.0,0.0,0.0,0.0,23.25824394226074,0.0,0.0,0.0,0.0,0.4
31,2011-04-18,22.467561721801758,0.0,0.0,0.0,0.0,22.867561721801756,0.0,0.0,0.0,0.0,0.4
32,2011-04-19,22.417835235595703,0.0,0.0,0.0,0.0,22.8178352355957,0.0,0.0,0.0,0.0,0.4
33,2011-04-20,22.630937576293945,0.0,0.0,0.0,0.0,23.030937576293944,0.0,0.0,0.0,0.0,0.4
34,2011-04-21,22.81561851501465,0.0,0.0,0.0,0.0,23.215618515014647,0.0,0.0,0.0,0.0,0.4
35,2011-04-25,22.85114097595215,0.0,0.0,0.0,0.0,23.251140975952147,0.0,0.0,0.0,0.0,0.4
36,2011-04-26,23.021615982055664,0.0,0.0,0.0,0.0,23.421615982055663,0.0,0.0,0.0,0.0,0.4
37,2011-04-27,23.184982299804688,0.0,0.0,0.0,0.0,23.584982299804686,0.0,0.0,0.0,0.0,0.4
38,2011-04-28,22.45335578918457,0.0,0.0,0.0,0.0,22.85335578918457,0.0,0.0,0.0,0.0,0.4
39,2011-04-29,22.503068923950195,0.0,0.0,0.0,0.0,22.903068923950194,0.0,0.0,0.0,0.0,0.4
40,2011-05-02,22.332599639892578,0.0,0.0,0.0,0.0,22.732599639892577,0.0,0.0,0.0,0.0,0.4
41,2011-05-03,22.233156204223633,0.0,0.0,0.0,0.0,22.63315620422363,0.0,0.0,0.0,0.0,0.4
42,2011-05-04,22.17632293701172,0.0,0.0,0.0,0.0,22.576322937011717,0.0,0.0,0.0,0.0,0.4
43,2011-05-05,21.856679916381836,0.0,0.0,0.0,0.0,22.256679916381835,0.0,0.0,0.0,0.0,0.4
44,2011-05-06,21.984539031982422,0.0,0.0,0.0,0.0,22.38453903198242,0.0,0.0,0.0,0.0,0.4
45,2011-05-09,22.211843490600586,0.0,0.0,0.0,0.0,22.611843490600585,0.0,0.0,0.0,0.0,0.4
46,2011-05-10,22.396530151367188,0.0,0.0,0.0,0.0,22.796530151367186,0.0,0.0,0.0,0.0,0.4
47,2011-05-11,22.03426742553711,0.0,0.0,0.0,0.0,22.434267425537108,0.0,0.0,0.0,0.0,0.4
48,2011-05-12,22.22605323791504,0.0,0.0,0.0,0.0,22.626053237915038,0.0,0.0,0.0,0.0,0.4
49,2011-05-13,21.95612907409668,0.0,0.0,0.0,0.0,22.35612907409668,0.0,0.0,0.0,0.0,0.4
50,2011-05-16,21.963232040405273,0.0,0.0,0.0,0.0,22.363232040405272,0.0,0.0,0.0,0.0,0.4
51,2011-05-17,21.97032928466797,0.0,0.0,0.0,0.0,22.370329284667967,0.0,0.0,0.0,0.0,0.4
52,2011-05-18,22.119503021240234,0.0,0.0,0.0,0.0,22.519503021240233,0.0,0.0,0.0,0.0,0.4
53,2011-05-19,22.020050048828125,0.0,0.0,0.0,0.0,22.420050048828124,0.0,0.0,0.0,0.0,0.4
54,2011-05-20,21.799846649169922,0.0,0.0,0.0,0.0,22.19984664916992,0.0,0.0,0.0,0.0,0.4
55,2011-05-23,21.4446964263916,0.0,0.0,0.0,0.0,21.8446964263916,0.0,0.0,0.0,0.0,0.4
56,2011-05-24,21.238697052001953,0.0,0.0,0.0,0.0,21.63869705200195,0.0,0.0,0.0,0.0,0.4
57,2011-05-25,21.21739387512207,0.0,0.0,0.0,0.0,21.61739387512207,0.0,0.0,0.0,0.0,0.4
58,2011-05-26,21.38787269592285,0.0,0.0,0.0,0.0,21.78787269592285,0.0,0.0,0.0,0.0,0.4
59,2011-05-27,21.37366485595703,0.0,0.0,0.0,0.0,21.77366485595703,0.0,0.0,0.0,0.0,0.4
60,2011-05-31,21.608064651489258,0.0,0.0,0.0,0.0,22.008064651489256,0.0,0.0,0.0,0.0,0.4
61,2011-06-01,21.146358489990234,0.0,0.0,0.0,0.0,21.546358489990233,0.0,0.0,0.0,0.0,0.4
62,2011-06-02,21.0753231048584,0.0,0.0,0.0,0.0,21.475323104858397,0.0,0.0,0.0,0.0,0.4
63,2011-06-03,20.911951065063477,0.0,0.0,0.0,0.0,21.311951065063475,0.0,0.0,0.0,0.0,0.4
64,2011-06-06,20.727264404296875,0.0,0.0,0.0,0.0,21.127264404296874,0.0,0.0,0.0,0.0,0.4
65,2011-06-07,20.79829216003418,0.0,0.0,0.0,0.0,21.19829216003418,0.0,0.0,0.0,0.0,0.4
66,2011-06-08,20.642024993896484,0.0,0.0,0.0,0.0,21.042024993896483,0.0,0.0,0.0,0.0,0.4
67,2011-06-09,20.897743225097656,0.0,0.0,0.0,0.0,21.297743225097655,0.0,0.0,0.0,0.0,0.4
68,2011-06-10,20.73436737060547,0.0,0.0,0.0,0.0,21.134367370605467,0.0,0.0,0.0,0.0,0.4
69,2011-06-13,20.49995994567871,0.0,0.0,0.0,0.0,20.89995994567871,0.0,0.0,0.0,0.0,0.4
70,2011-06-14,20.755674362182617,0.0,0.0,0.0,0.0,21.155674362182616,0.0,0.0,0.0,0.0,0.4
71,2011-06-15,20.386308670043945,0.0,0.0,0.0,0.0,20.786308670043944,0.0,0.0,0.0,0.0,0.4
72,2011-06-16,20.514169692993164,0.0,0.0,0.0,0.0,20.914169692993163,0.0,0.0,0.0,0.0,0.4
73,2011-06-17,20.514169692993164,0.0,0.0,0.0,0.0,20.914169692993163,0.0,0.0,0.0,0.0,0.4
74,2011-06-20,20.557384490966797,0.0,0.0,0.0,0.0,20.957384490966795,0.0,0.0,0.0,0.0,0.4
75,2011-06-21,20.557384490966797,0.0,0.0,0.0,0.0,21.357384490966798,0.0,0.0,0.0,0.0,0.8
76,2011-06-22,20.41332244873047,0.0,0.0,0.0,0.0,21.21332244873047,0.0,0.0,0.0,0.0,0.8
77,2011-06-23,20.29807472229004,0.0,0.0,0.0,0.0,21.09807472229004,0.0,0.0,0.0,0.0,0.8
78,2011-06-24,20.262065887451172,0.0,0.0,0.0,0.0,21.062065887451173,0.0,0.0,0.0,0.0,0.8
79,2011-06-27,20.420520782470703,0.0,0.0,0.0,0.0,21.220520782470704,0.0,0.0,0.0,0.0,0.8
80,2011-06-28,20.499757766723633,0.0,0.0,0.0,0.0,21.299757766723634,0.0,0.0,0.0,0.0,0.8
81,2011-06-29,20.881521224975586,0.0,0.0,0.0,0.0,21.681521224975587,0.0,0.0,0.0,0.0,0.8
82,2011-06-30,21.018375396728516,0.0,0.0,0.0,0.0,21.818375396728516,0.0,0.0,0.0,0.0,0.8
83,2011-07-01,21.227266311645508,0.0,0.0,0.0,0.0,22.02726631164551,0.0,0.0,0.0,0.0,0.8
84,2011-07-05,21.032787322998047,0.0,0.0,0.0,0.0,21.832787322998048,0.0,0.0,0.0,0.0,0.8
85,2011-07-06,20.953548431396484,0.0,0.0,0.0,0.0,21.753548431396485,0.0,0.0,0.0,0.0,0.8
86,2011-07-07,21.169641494750977,0.0,0.0,0.0,0.0,21.969641494750977,0.0,0.0,0.0,0.0,0.8
87,2011-07-08,20.90313148498535,0.0,0.0,0.0,0.0,21.703131484985352,0.0,0.0,0.0,0.0,0.8
88,2011-07-11,20.5069637298584,0.0,0.0,0.0,0.0,21.3069637298584,0.0,0.0,0.0,0.0,0.8
89,2011-07-12,20.492557525634766,0.0,0.0,0.0,0.0,21.292557525634766,0.0,0.0,0.0,0.0,0.8
90,2011-07-13,20.434932708740234,0.0,0.0,0.0,0.0,21.234932708740235,0.0,0.0,0.0,0.0,0.8
91,2011-07-14,20.226049423217773,0.0,0.0,0.0,0.0,21.026049423217774,0.0,0.0,0.0,0.0,0.8
92,2011-07-15,20.038772583007812,0.0,0.0,0.0,0.0,20.838772583007813,0.0,0.0,0.0,0.0,0.8
93,2011-07-18,19.779462814331055,0.0,0.0,0.0,0.0,20.579462814331055,0.0,0.0,0.0,0.0,0.8
94,2011-07-19,20.067583084106445,0.0,0.0,0.0,0.0,20.867583084106446,0.0,0.0,0.0,0.0,0.8
95,2011-07-20,20.089189529418945,0.0,0.0,0.0,0.0,20.889189529418946,0.0,0.0,0.0,0.0,0.8
96,2011-07-21,20.58618927001953,0.0,0.0,0.0,0.0,21.386189270019532,0.0,0.0,0.0,0.0,0.8
97,2011-07-22,20.456539154052734,0.0,0.0,0.0,0.0,21.256539154052735,0.0,0.0,0.0,0.0,0.8
98,2011-07-25,20.427730560302734,0.0,0.0,0.0,0.0,21.227730560302735,0.0,0.0,0.0,0.0,0.8
99,2011-07-26,20.37731170654297,0.0,0.0,0.0,0.0,21.17731170654297,0.0,0.0,0.0,0.0,0.8
100,2011-07-27,19.981143951416016,0.0,0.0,0.0,0.0,20.781143951416016,0.0,0.0,0.0,0.0,0.8
101,2011-07-28,19.95953369140625,0.0,0.0,0.0,0.0,20.75953369140625,0.0,0.0,0.0,0.0,0.8
102,2011-07-29,19.685821533203125,0.0,0.0,0.0,0.0,20.485821533203126,0.0,0.0,0.0,0.0,0.8
103,2011-08-01,19.5057430267334,0.0,0.0,0.0,0.0,20.3057430267334,0.0,0.0,0.0,0.0,0.8
104,2011-08-02,19.123987197875977,0.0,0.0,0.0,0.0,19.923987197875977,0.0,0.0,0.0,0.0,0.8
105,2011-08-03,19.4265079498291,0.0,0.0,0.0,0.0,20.226507949829102,0.0,0.0,0.0,0.0,0.8
106,2011-08-04,18.828659057617188,0.0,0.0,0.0,0.0,19.628659057617188,0.0,0.0,0.0,0.0,0.8
107,2011-08-05,18.706212997436523,0.0,0.0,0.0,0.0,19.506212997436524,0.0,0.0,0.0,0.0,0.8
108,2011-08-08,17.32323455810547,0.0,0.0,0.0,0.0,18.12323455810547,0.0,0.0,0.0,0.0,0.8
109,2011-08-09,18.338857650756836,0.0,0.0,0.0,0.0,19.138857650756837,0.0,0.0,0.0,0.0,0.8
110,2011-08-10,17.3088321685791,0.0,0.0,0.0,0.0,18.108832168579102,0.0,0.0,0.0,0.0,0.8
111,2011-08-11,18.461305618286133,0.0,0.0,0.0,0.0,19.261305618286134,0.0,0.0,0.0,0.0,0.8
112,2011-08-12,18.3748722076416,0.0,0.0,0.0,0.0,19.174872207641602,0.0,0.0,0.0,0.0,0.8
113,2011-08-15,19.051959991455078,0.0,0.0,0.0,0.0,19.85195999145508,0.0,0.0,0.0,0.0,0.8
114,2011-08-16,18.95831298828125,0.0,0.0,0.0,0.0,19.75831298828125,0.0,0.0,0.0,0.0,0.8
115,2011-08-17,19.023147583007812,0.0,0.0,0.0,0.0,19.823147583007813,0.0,0.0,0.0,0.0,0.8
116,2011-08-18,18.518932342529297,0.0,0.0,0.0,0.0,19.318932342529298,0.0,0.0,0.0,0.0,0.8
117,2011-08-19,18.432498931884766,0.0,0.0,0.0,0.0,19.232498931884766,0.0,0.0,0.0,0.0,0.8
118,2011-08-22,18.3172550201416,0.0,0.0,0.0,0.0,19.117255020141602,0.0,0.0,0.0,0.0,0.8
119,2011-08-23,19.015939712524414,0.0,0.0,0.0,0.0,19.815939712524415,0.0,0.0,0.0,0.0,0.8
120,2011-08-24,19.4769344329834,0.0,0.0,0.0,0.0,20.2769344329834,0.0,0.0,0.0,0.0,0.8
121,2011-08-25,19.080768585205078,0.0,0.0,0.0,0.0,19.88076858520508,0.0,0.0,0.0,0.0,0.8
122,2011-08-26,19.145601272583008,0.0,0.0,0.0,0.0,19.94560127258301,0.0,0.0,0.0,0.0,0.8
123,2011-08-29,19.894712448120117,0.0,0.0,0.0,0.0,20.694712448120118,0.0,0.0,0.0,0.0,0.8
124,2011-08-30,19.829879760742188,0.0,0.0,0.0,0.0,20.629879760742188,0.0,0.0,0.0,0.0,0.8
125,2011-08-31,20.110801696777344,0.0,0.0,0.0,0.0,20.910801696777344,0.0,0.0,0.0,0.0,0.8
126,2011-09-01,19.750648498535156,0.0,0.0,0.0,0.0,20.550648498535157,0.0,0.0,0.0,0.0,0.8
