count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,51.27579116821289,0.0,0.0,0.0,0.0,51.27579116821289,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,51.509857177734375,0.0,0.0,0.0,0.0,51.509857177734375,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,51.4418830871582,0.0,0.0,0.0,0.0,51.4418830871582,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,51.1776237487793,0.0,0.0,0.0,0.0,51.1776237487793,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,51.40413284301758,0.0,0.0,0.0,0.0,51.40413284301758,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,51.05681610107422,0.0,0.0,0.0,0.0,51.05681610107422,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,51.109676361083984,0.0,0.0,0.0,0.0,51.109676361083984,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,51.04925537109375,0.0,0.0,0.0,0.0,51.04925537109375,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,51.2984504699707,0.0,0.0,0.0,0.0,51.2984504699707,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,51.955318450927734,0.0,0.0,0.0,0.0,51.955318450927734,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,52.5291633605957,0.0,0.0,0.0,0.0,52.5291633605957,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,52.2120475769043,0.0,0.0,0.0,0.0,52.2120475769043,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,51.97797775268555,0.0,0.0,0.0,0.0,51.97797775268555,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,52.58957290649414,0.0,0.0,0.0,0.0,52.58957290649414,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,52.46122360229492,0.0,0.0,0.0,0.0,52.46122360229492,0.0,0.0,0.0,0.0,0.0
16,2011-03-28,52.61223602294922,0.0,0.0,0.0,0.0,52.61223602294922,0.0,0.0,0.0,0.0,0.0
17,2011-03-29,52.853843688964844,0.0,0.0,0.0,0.0,52.853843688964844,0.0,0.0,0.0,0.0,0.0
18,2011-03-30,52.876495361328125,0.0,0.0,0.0,0.0,52.876495361328125,0.0,0.0,0.0,0.0,0.0
19,2011-03-31,52.90669250488281,0.0,0.0,0.0,0.0,52.90669250488281,0.0,0.0,0.0,0.0,0.0
20,2011-04-01,53.50320053100586,0.0,0.0,0.0,0.0,53.50320053100586,0.0,0.0,0.0,0.0,0.0
21,2011-04-04,53.31443786621094,0.0,0.0,0.0,0.0,53.31443786621094,0.0,0.0,0.0,0.0,0.0
22,2011-04-05,52.61977005004883,0.0,0.0,0.0,0.0,52.61977005004883,0.0,0.0,0.0,0.0,0.0
23,2011-04-06,53.14832305908203,0.0,0.0,0.0,0.0,53.14832305908203,0.0,0.0,0.0,0.0,0.0
24,2011-04-07,52.9821891784668,0.0,0.0,0.0,0.0,52.9821891784668,0.0,0.0,0.0,0.0,0.0
25,2011-04-08,52.415924072265625,0.0,0.0,0.0,0.0,52.415924072265625,0.0,0.0,0.0,0.0,0.0
26,2011-04-11,52.80855178833008,0.0,0.0,0.0,0.0,52.80855178833008,0.0,0.0,0.0,0.0,0.0
27,2011-04-12,52.959571838378906,0.0,0.0,0.0,0.0,52.959571838378906,0.0,0.0,0.0,0.0,0.0
28,2011-04-13,52.415924072265625,0.0,0.0,0.0,0.0,52.415924072265625,0.0,0.0,0.0,0.0,0.0
29,2011-04-14,52.582035064697266,0.0,0.0,0.0,0.0,52.582035064697266,0.0,0.0,0.0,0.0,0.0
30,2011-04-15,52.582035064697266,0.0,0.0,0.0,0.0,52.582035064697266,0.0,0.0,0.0,0.0,0.0
31,2011-04-18,52.27246856689453,0.0,0.0,0.0,0.0,52.27246856689453,0.0,0.0,0.0,0.0,0.0
32,2011-04-19,51.94023513793945,0.0,0.0,0.0,0.0,51.94023513793945,0.0,0.0,0.0,0.0,0.0
33,2011-04-20,52.302650451660156,0.0,0.0,0.0,0.0,52.302650451660156,0.0,0.0,0.0,0.0,0.0
34,2011-04-21,52.49142837524414,0.0,0.0,0.0,0.0,52.49142837524414,0.0,0.0,0.0,0.0,0.0
35,2011-04-25,52.164161682128906,0.0,0.0,0.0,0.0,52.164161682128906,0.0,0.0,0.0,0.0,0.0
36,2011-04-26,52.179378509521484,0.0,0.0,0.0,0.0,52.72937850952148,0.0,0.0,0.0,0.0,0.55
37,2011-04-27,52.689308166503906,0.0,0.0,0.0,0.0,53.2393081665039,0.0,0.0,0.0,0.0,0.55
38,2011-04-28,53.11549377441406,0.0,0.0,0.0,0.0,53.66549377441406,0.0,0.0,0.0,0.0,0.55
39,2011-04-29,53.01656723022461,0.0,0.0,0.0,0.0,53.56656723022461,0.0,0.0,0.0,0.0,0.55
40,2011-05-02,53.267704010009766,0.0,0.0,0.0,0.0,53.81770401000976,0.0,0.0,0.0,0.0,0.55
41,2011-05-03,51.349796295166016,0.0,0.0,0.0,0.0,51.89979629516601,0.0,0.0,0.0,0.0,0.55
42,2011-05-04,51.66945266723633,0.0,0.0,0.0,0.0,52.219452667236325,0.0,0.0,0.0,0.0,0.55
43,2011-05-05,52.088050842285156,0.0,0.0,0.0,0.0,52.63805084228515,0.0,0.0,0.0,0.0,0.55
44,2011-05-06,52.23265838623047,0.0,0.0,0.0,0.0,52.782658386230466,0.0,0.0,0.0,0.0,0.55
45,2011-05-09,52.86434555053711,0.0,0.0,0.0,0.0,53.41434555053711,0.0,0.0,0.0,0.0,0.55
46,2011-05-10,52.910011291503906,0.0,0.0,0.0,0.0,53.4600112915039,0.0,0.0,0.0,0.0,0.55
47,2011-05-11,52.99373245239258,0.0,0.0,0.0,0.0,53.543732452392575,0.0,0.0,0.0,0.0,0.55
48,2011-05-12,53.907020568847656,0.0,0.0,0.0,0.0,54.45702056884765,0.0,0.0,0.0,0.0,0.55
49,2011-05-13,53.99074172973633,0.0,0.0,0.0,0.0,54.540741729736325,0.0,0.0,0.0,0.0,0.55
50,2011-05-16,53.8613395690918,0.0,0.0,0.0,0.0,54.411339569091794,0.0,0.0,0.0,0.0,0.55
51,2011-05-17,53.83091354370117,0.0,0.0,0.0,0.0,54.38091354370117,0.0,0.0,0.0,0.0,0.55
52,2011-05-18,53.54170227050781,0.0,0.0,0.0,0.0,54.09170227050781,0.0,0.0,0.0,0.0,0.55
53,2011-05-19,53.70914077758789,0.0,0.0,0.0,0.0,54.25914077758789,0.0,0.0,0.0,0.0,0.55
54,2011-05-20,53.237274169921875,0.0,0.0,0.0,0.0,53.78727416992187,0.0,0.0,0.0,0.0,0.55
55,2011-05-23,53.374271392822266,0.0,0.0,0.0,0.0,53.92427139282226,0.0,0.0,0.0,0.0,0.55
56,2011-05-24,53.54170227050781,0.0,0.0,0.0,0.0,54.09170227050781,0.0,0.0,0.0,0.0,0.55
57,2011-05-25,53.05461502075195,0.0,0.0,0.0,0.0,53.60461502075195,0.0,0.0,0.0,0.0,0.55
58,2011-05-26,52.84150695800781,0.0,0.0,0.0,0.0,53.39150695800781,0.0,0.0,0.0,0.0,0.55
59,2011-05-27,52.73496627807617,0.0,0.0,0.0,0.0,53.28496627807617,0.0,0.0,0.0,0.0,0.55
60,2011-05-31,53.6406364440918,0.0,0.0,0.0,0.0,54.190636444091794,0.0,0.0,0.0,0.0,0.55
61,2011-06-01,52.77302169799805,0.0,0.0,0.0,0.0,53.323021697998044,0.0,0.0,0.0,0.0,0.55
62,2011-06-02,52.209808349609375,0.0,0.0,0.0,0.0,52.75980834960937,0.0,0.0,0.0,0.0,0.55
63,2011-06-03,51.357418060302734,0.0,0.0,0.0,0.0,51.90741806030273,0.0,0.0,0.0,0.0,0.55
64,2011-06-06,51.19758987426758,0.0,0.0,0.0,0.0,51.747589874267575,0.0,0.0,0.0,0.0,0.55
65,2011-06-07,51.27369689941406,0.0,0.0,0.0,0.0,51.82369689941406,0.0,0.0,0.0,0.0,0.55
66,2011-06-08,50.870330810546875,0.0,0.0,0.0,0.0,51.42033081054687,0.0,0.0,0.0,0.0,0.55
67,2011-06-09,51.06820297241211,0.0,0.0,0.0,0.0,51.61820297241211,0.0,0.0,0.0,0.0,0.55
68,2011-06-10,50.70289611816406,0.0,0.0,0.0,0.0,51.25289611816406,0.0,0.0,0.0,0.0,0.55
69,2011-06-13,50.80943298339844,0.0,0.0,0.0,0.0,51.359432983398435,0.0,0.0,0.0,0.0,0.55
70,2011-06-14,51.022552490234375,0.0,0.0,0.0,0.0,51.57255249023437,0.0,0.0,0.0,0.0,0.55
71,2011-06-15,50.45934295654297,0.0,0.0,0.0,0.0,51.009342956542966,0.0,0.0,0.0,0.0,0.55
