count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,24.110736846923828,0.0,0.0,0.0,0.0,24.110736846923828,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,24.48421287536621,0.0,0.0,0.0,0.0,24.48421287536621,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,24.518953323364258,0.0,0.0,0.0,0.0,24.518953323364258,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,24.03257179260254,0.0,0.0,0.0,0.0,24.03257179260254,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,24.24102020263672,0.0,0.0,0.0,0.0,24.24102020263672,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,24.46684455871582,0.0,0.0,0.0,0.0,24.46684455871582,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,24.110736846923828,0.0,0.0,0.0,0.0,24.110736846923828,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,23.728580474853516,0.0,0.0,0.0,0.0,23.728580474853516,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,23.815431594848633,0.0,0.0,0.0,0.0,23.815431594848633,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,24.14548110961914,0.0,0.0,0.0,0.0,24.14548110961914,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,24.388671875,0.0,0.0,0.0,0.0,24.388671875,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,24.440784454345703,0.0,0.0,0.0,0.0,24.440784454345703,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,25.83913803100586,0.0,0.0,0.0,0.0,25.83913803100586,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,25.656747817993164,0.0,0.0,0.0,0.0,25.656747817993164,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,25.665428161621094,0.0,0.0,0.0,0.0,25.665428161621094,0.0,0.0,0.0,0.0,0.0
16,2011-03-28,25.595949172973633,0.0,0.0,0.0,0.0,25.595949172973633,0.0,0.0,0.0,0.0,0.0
17,2011-03-29,25.847824096679688,0.0,0.0,0.0,0.0,25.847824096679688,0.0,0.0,0.0,0.0,0.0
18,2011-03-30,25.882568359375,0.0,0.0,0.0,0.0,25.882568359375,0.0,0.0,0.0,0.0,0.0
19,2011-03-31,26.29946517944336,0.0,0.0,0.0,0.0,26.29946517944336,0.0,0.0,0.0,0.0,0.0
20,2011-04-01,26.464487075805664,0.0,0.0,0.0,0.0,26.464487075805664,0.0,0.0,0.0,0.0,0.0
21,2011-04-04,26.54265594482422,0.0,0.0,0.0,0.0,26.54265594482422,0.0,0.0,0.0,0.0,0.0
22,2011-04-05,26.368947982788086,0.0,0.0,0.0,0.0,26.368947982788086,0.0,0.0,0.0,0.0,0.0
23,2011-04-06,26.924816131591797,0.0,0.0,0.0,0.0,26.924816131591797,0.0,0.0,0.0,0.0,0.0
24,2011-04-07,26.6295108795166,0.0,0.0,0.0,0.0,26.6295108795166,0.0,0.0,0.0,0.0,0.0
25,2011-04-08,26.221298217773438,0.0,0.0,0.0,0.0,26.221298217773438,0.0,0.0,0.0,0.0,0.0
26,2011-04-11,26.091014862060547,0.0,0.0,0.0,0.0,26.091014862060547,0.0,0.0,0.0,0.0,0.0
27,2011-04-12,25.978103637695312,0.0,0.0,0.0,0.0,25.978103637695312,0.0,0.0,0.0,0.0,0.0
28,2011-04-13,25.93467903137207,0.0,0.0,0.0,0.0,25.93467903137207,0.0,0.0,0.0,0.0,0.0
29,2011-04-14,26.186553955078125,0.0,0.0,0.0,0.0,26.186553955078125,0.0,0.0,0.0,0.0,0.0
30,2011-04-15,26.351579666137695,0.0,0.0,0.0,0.0,26.351579666137695,0.0,0.0,0.0,0.0,0.0
31,2011-04-18,25.925992965698242,0.0,0.0,0.0,0.0,25.925992965698242,0.0,0.0,0.0,0.0,0.0
32,2011-04-19,26.134445190429688,0.0,0.0,0.0,0.0,26.134445190429688,0.0,0.0,0.0,0.0,0.0
33,2011-04-20,26.75979232788086,0.0,0.0,0.0,0.0,26.75979232788086,0.0,0.0,0.0,0.0,0.0
34,2011-04-21,26.655569076538086,0.0,0.0,0.0,0.0,26.655569076538086,0.0,0.0,0.0,0.0,0.0
35,2011-04-25,26.412376403808594,0.0,0.0,0.0,0.0,26.412376403808594,0.0,0.0,0.0,0.0,0.0
36,2011-04-26,26.594772338867188,0.0,0.0,0.0,0.0,26.594772338867188,0.0,0.0,0.0,0.0,0.0
37,2011-04-27,26.87270736694336,0.0,0.0,0.0,0.0,26.87270736694336,0.0,0.0,0.0,0.0,0.0
38,2011-04-28,26.855331420898438,0.0,0.0,0.0,0.0,26.855331420898438,0.0,0.0,0.0,0.0,0.0
39,2011-04-29,26.968246459960938,0.0,0.0,0.0,0.0,26.968246459960938,0.0,0.0,0.0,0.0,0.0
40,2011-05-02,26.994300842285156,0.0,0.0,0.0,0.0,26.994300842285156,0.0,0.0,0.0,0.0,0.0
41,2011-05-03,26.959558486938477,0.0,0.0,0.0,0.0,26.959558486938477,0.0,0.0,0.0,0.0,0.0
42,2011-05-04,26.994300842285156,0.0,0.0,0.0,0.0,26.994300842285156,0.0,0.0,0.0,0.0,0.0
43,2011-05-05,26.412376403808594,0.0,0.0,0.0,0.0,26.412376403808594,0.0,0.0,0.0,0.0,0.0
44,2011-05-06,26.66425323486328,0.0,0.0,0.0,0.0,26.66425323486328,0.0,0.0,0.0,0.0,0.0
45,2011-05-09,26.950870513916016,0.0,0.0,0.0,0.0,26.950870513916016,0.0,0.0,0.0,0.0,0.0
46,2011-05-10,27.61964988708496,0.0,0.0,0.0,0.0,27.61964988708496,0.0,0.0,0.0,0.0,0.0
47,2011-05-11,27.593597412109375,0.0,0.0,0.0,0.0,27.593597412109375,0.0,0.0,0.0,0.0,0.0
48,2011-05-12,27.83678436279297,0.0,0.0,0.0,0.0,27.83678436279297,0.0,0.0,0.0,0.0,0.0
49,2011-05-13,27.888900756835938,0.0,0.0,0.0,0.0,27.888900756835938,0.0,0.0,0.0,0.0,0.0
50,2011-05-16,27.610965728759766,0.0,0.0,0.0,0.0,27.610965728759766,0.0,0.0,0.0,0.0,0.0
51,2011-05-17,27.593597412109375,0.0,0.0,0.0,0.0,27.593597412109375,0.0,0.0,0.0,0.0,0.0
52,2011-05-18,27.77598762512207,0.0,0.0,0.0,0.0,27.77598762512207,0.0,0.0,0.0,0.0,0.0
53,2011-05-19,27.958383560180664,0.0,0.0,0.0,0.0,27.958383560180664,0.0,0.0,0.0,0.0,0.0
54,2011-05-20,27.845474243164062,0.0,0.0,0.0,0.0,27.845474243164062,0.0,0.0,0.0,0.0,0.0
55,2011-05-23,27.50674057006836,0.0,0.0,0.0,0.0,27.50674057006836,0.0,0.0,0.0,0.0,0.0
56,2011-05-24,27.515422821044922,0.0,0.0,0.0,0.0,27.515422821044922,0.0,0.0,0.0,0.0,0.0
57,2011-05-25,27.732561111450195,0.0,0.0,0.0,0.0,27.732561111450195,0.0,0.0,0.0,0.0,0.0
58,2011-05-26,27.958383560180664,0.0,0.0,0.0,0.0,27.958383560180664,0.0,0.0,0.0,0.0,0.0
59,2011-05-27,28.14946174621582,0.0,0.0,0.0,0.0,28.14946174621582,0.0,0.0,0.0,0.0,0.0
60,2011-05-31,28.5316162109375,0.0,0.0,0.0,0.0,28.5316162109375,0.0,0.0,0.0,0.0,0.0
61,2011-06-01,27.689130783081055,0.0,0.0,0.0,0.0,27.689130783081055,0.0,0.0,0.0,0.0,0.0
62,2011-06-02,27.78467559814453,0.0,0.0,0.0,0.0,27.78467559814453,0.0,0.0,0.0,0.0,0.0
63,2011-06-03,27.428571701049805,0.0,0.0,0.0,0.0,27.428571701049805,0.0,0.0,0.0,0.0,0.0
64,2011-06-06,27.367773056030273,0.0,0.0,0.0,0.0,27.367773056030273,0.0,0.0,0.0,0.0,0.0
65,2011-06-07,27.541481018066406,0.0,0.0,0.0,0.0,27.541481018066406,0.0,0.0,0.0,0.0,0.0
66,2011-06-08,27.367773056030273,0.0,0.0,0.0,0.0,27.367773056030273,0.0,0.0,0.0,0.0,0.0
67,2011-06-09,27.32434844970703,0.0,0.0,0.0,0.0,27.32434844970703,0.0,0.0,0.0,0.0,0.0
68,2011-06-10,27.194067001342773,0.0,0.0,0.0,0.0,27.194067001342773,0.0,0.0,0.0,0.0,0.0
69,2011-06-13,27.367773056030273,0.0,0.0,0.0,0.0,27.367773056030273,0.0,0.0,0.0,0.0,0.0
70,2011-06-14,28.036548614501953,0.0,0.0,0.0,0.0,28.036548614501953,0.0,0.0,0.0,0.0,0.0
71,2011-06-15,27.723875045776367,0.0,0.0,0.0,0.0,27.723875045776367,0.0,0.0,0.0,0.0,0.0
72,2011-06-16,27.810728073120117,0.0,0.0,0.0,0.0,27.810728073120117,0.0,0.0,0.0,0.0,0.0
73,2011-06-17,27.819416046142578,0.0,0.0,0.0,0.0,27.819416046142578,0.0,0.0,0.0,0.0,0.0
74,2011-06-20,28.045238494873047,0.0,0.0,0.0,0.0,28.045238494873047,0.0,0.0,0.0,0.0,0.0
75,2011-06-21,28.297119140625,0.0,0.0,0.0,0.0,28.297119140625,0.0,0.0,0.0,0.0,0.0
76,2011-06-22,28.114721298217773,0.0,0.0,0.0,0.0,28.114721298217773,0.0,0.0,0.0,0.0,0.0
77,2011-06-23,27.8975830078125,0.0,0.0,0.0,0.0,27.8975830078125,0.0,0.0,0.0,0.0,0.0
78,2011-06-24,27.576223373413086,0.0,0.0,0.0,0.0,27.576223373413086,0.0,0.0,0.0,0.0,0.0
79,2011-06-27,27.75861930847168,0.0,0.0,0.0,0.0,27.75861930847168,0.0,0.0,0.0,0.0,0.0
80,2011-06-28,28.13208770751953,0.0,0.0,0.0,0.0,28.13208770751953,0.0,0.0,0.0,0.0,0.0
81,2011-06-29,28.192890167236328,0.0,0.0,0.0,0.0,28.192890167236328,0.0,0.0,0.0,0.0,0.0
82,2011-06-30,28.687955856323242,0.0,0.0,0.0,0.0,28.687955856323242,0.0,0.0,0.0,0.0,0.0
83,2011-07-01,29.50438690185547,0.0,0.0,0.0,0.0,29.50438690185547,0.0,0.0,0.0,0.0,0.0
84,2011-07-05,29.37410545349121,0.0,0.0,0.0,0.0,29.37410545349121,0.0,0.0,0.0,0.0,0.0
85,2011-07-06,29.278564453125,0.0,0.0,0.0,0.0,29.278564453125,0.0,0.0,0.0,0.0,0.0
86,2011-07-07,29.634668350219727,0.0,0.0,0.0,0.0,29.634668350219727,0.0,0.0,0.0,0.0,0.0
87,2011-07-08,29.148283004760742,0.0,0.0,0.0,0.0,29.148283004760742,0.0,0.0,0.0,0.0,0.0
88,2011-07-11,28.601104736328125,0.0,0.0,0.0,0.0,28.601104736328125,0.0,0.0,0.0,0.0,0.0
89,2011-07-12,28.05392074584961,0.0,0.0,0.0,0.0,28.05392074584961,0.0,0.0,0.0,0.0,0.0
90,2011-07-13,27.419885635375977,0.0,0.0,0.0,0.0,27.419885635375977,0.0,0.0,0.0,0.0,0.0
91,2011-07-14,27.115896224975586,0.0,0.0,0.0,0.0,27.115896224975586,0.0,0.0,0.0,0.0,0.0
92,2011-07-15,26.9769287109375,0.0,0.0,0.0,0.0,26.9769287109375,0.0,0.0,0.0,0.0,0.0
93,2011-07-18,26.438432693481445,0.0,0.0,0.0,0.0,26.438432693481445,0.0,0.0,0.0,0.0,0.0
94,2011-07-19,26.80322265625,0.0,0.0,0.0,0.0,26.80322265625,0.0,0.0,0.0,0.0,0.0
95,2011-07-20,29.43490219116211,0.0,0.0,0.0,0.0,29.43490219116211,0.0,0.0,0.0,0.0,0.0
96,2011-07-21,29.68678092956543,0.0,0.0,0.0,0.0,29.68678092956543,0.0,0.0,0.0,0.0,0.0
97,2011-07-22,29.8518009185791,0.0,0.0,0.0,0.0,29.8518009185791,0.0,0.0,0.0,0.0,0.0
98,2011-07-25,29.460960388183594,0.0,0.0,0.0,0.0,29.460960388183594,0.0,0.0,0.0,0.0,0.0
99,2011-07-26,29.191713333129883,0.0,0.0,0.0,0.0,29.191713333129883,0.0,0.0,0.0,0.0,0.0
100,2011-07-27,28.357912063598633,0.0,0.0,0.0,0.0,28.357912063598633,0.0,0.0,0.0,0.0,0.0
101,2011-07-28,28.340545654296875,0.0,0.0,0.0,0.0,28.340545654296875,0.0,0.0,0.0,0.0,0.0
102,2011-07-29,28.271059036254883,0.0,0.0,0.0,0.0,28.271059036254883,0.0,0.0,0.0,0.0,0.0
103,2011-08-01,27.845474243164062,0.0,0.0,0.0,0.0,27.845474243164062,0.0,0.0,0.0,0.0,0.0
104,2011-08-02,26.82927894592285,0.0,0.0,0.0,0.0,26.82927894592285,0.0,0.0,0.0,0.0,0.0
105,2011-08-03,27.098527908325195,0.0,0.0,0.0,0.0,27.098527908325195,0.0,0.0,0.0,0.0,0.0
106,2011-08-04,25.90862274169922,0.0,0.0,0.0,0.0,25.90862274169922,0.0,0.0,0.0,0.0,0.0
107,2011-08-05,25.691484451293945,0.0,0.0,0.0,0.0,25.691484451293945,0.0,0.0,0.0,0.0,0.0
108,2011-08-08,23.66777992248535,0.0,0.0,0.0,0.0,23.66777992248535,0.0,0.0,0.0,0.0,0.0
109,2011-08-09,24.623178482055664,0.0,0.0,0.0,0.0,24.623178482055664,0.0,0.0,0.0,0.0,0.0
110,2011-08-10,23.65909767150879,0.0,0.0,0.0,0.0,23.65909767150879,0.0,0.0,0.0,0.0,0.0
111,2011-08-11,25.430923461914062,0.0,0.0,0.0,0.0,25.430923461914062,0.0,0.0,0.0,0.0,0.0
112,2011-08-12,25.90862274169922,0.0,0.0,0.0,0.0,25.90862274169922,0.0,0.0,0.0,0.0,0.0
113,2011-08-15,26.412376403808594,0.0,0.0,0.0,0.0,26.412376403808594,0.0,0.0,0.0,0.0,0.0
114,2011-08-16,26.325519561767578,0.0,0.0,0.0,0.0,26.325519561767578,0.0,0.0,0.0,0.0,0.0
115,2011-08-17,26.26472282409668,0.0,0.0,0.0,0.0,26.26472282409668,0.0,0.0,0.0,0.0,0.0
116,2011-08-18,25.066133499145508,0.0,0.0,0.0,0.0,25.066133499145508,0.0,0.0,0.0,0.0,0.0
117,2011-08-19,24.70134925842285,0.0,0.0,0.0,0.0,24.70134925842285,0.0,0.0,0.0,0.0,0.0
118,2011-08-22,25.057453155517578,0.0,0.0,0.0,0.0,25.057453155517578,0.0,0.0,0.0,0.0,0.0
119,2011-08-23,25.891250610351562,0.0,0.0,0.0,0.0,25.891250610351562,0.0,0.0,0.0,0.0,0.0
120,2011-08-24,26.473175048828125,0.0,0.0,0.0,0.0,26.473175048828125,0.0,0.0,0.0,0.0,0.0
121,2011-08-25,26.038902282714844,0.0,0.0,0.0,0.0,26.038902282714844,0.0,0.0,0.0,0.0,0.0
122,2011-08-26,26.560029983520508,0.0,0.0,0.0,0.0,26.560029983520508,0.0,0.0,0.0,0.0,0.0
123,2011-08-29,27.359088897705078,0.0,0.0,0.0,0.0,27.359088897705078,0.0,0.0,0.0,0.0,0.0
124,2011-08-30,27.524112701416016,0.0,0.0,0.0,0.0,27.524112701416016,0.0,0.0,0.0,0.0,0.0
125,2011-08-31,27.77598762512207,0.0,0.0,0.0,0.0,27.77598762512207,0.0,0.0,0.0,0.0,0.0
126,2011-09-01,27.402515411376953,0.0,0.0,0.0,0.0,27.402515411376953,0.0,0.0,0.0,0.0,0.0
127,2011-09-02,26.777162551879883,0.0,0.0,0.0,0.0,26.777162551879883,0.0,0.0,0.0,0.0,0.0
128,2011-09-06,26.2820987701416,0.0,0.0,0.0,0.0,26.2820987701416,0.0,0.0,0.0,0.0,0.0
129,2011-09-07,27.141952514648438,0.0,0.0,0.0,0.0,27.141952514648438,0.0,0.0,0.0,0.0,0.0
130,2011-09-08,26.75979232788086,0.0,0.0,0.0,0.0,26.75979232788086,0.0,0.0,0.0,0.0,0.0
131,2011-09-09,26.195240020751953,0.0,0.0,0.0,0.0,26.195240020751953,0.0,0.0,0.0,0.0,0.0
132,2011-09-12,26.507917404174805,0.0,0.0,0.0,0.0,26.507917404174805,0.0,0.0,0.0,0.0,0.0
133,2011-09-13,26.794536590576172,0.0,0.0,0.0,0.0,26.794536590576172,0.0,0.0,0.0,0.0,0.0
134,2011-09-14,27.089839935302734,0.0,0.0,0.0,0.0,27.089839935302734,0.0,0.0,0.0,0.0,0.0
135,2011-09-15,27.437257766723633,0.0,0.0,0.0,0.0,27.437257766723633,0.0,0.0,0.0,0.0,0.0
136,2011-09-16,27.350400924682617,0.0,0.0,0.0,0.0,27.350400924682617,0.0,0.0,0.0,0.0,0.0
137,2011-09-19,26.933502197265625,0.0,0.0,0.0,0.0,26.933502197265625,0.0,0.0,0.0,0.0,0.0
138,2011-09-20,26.777162551879883,0.0,0.0,0.0,0.0,26.777162551879883,0.0,0.0,0.0,0.0,0.0
139,2011-09-21,25.717548370361328,0.0,0.0,0.0,0.0,25.717548370361328,0.0,0.0,0.0,0.0,0.0
140,2011-09-22,24.987966537475586,0.0,0.0,0.0,0.0,24.987966537475586,0.0,0.0,0.0,0.0,0.0
141,2011-09-23,24.65791893005371,0.0,0.0,0.0,0.0,24.65791893005371,0.0,0.0,0.0,0.0,0.0
142,2011-09-26,25.109561920166016,0.0,0.0,0.0,0.0,25.109561920166016,0.0,0.0,0.0,0.0,0.0
143,2011-09-27,25.170358657836914,0.0,0.0,0.0,0.0,25.170358657836914,0.0,0.0,0.0,0.0,0.0
144,2011-09-28,24.67529296875,0.0,0.0,0.0,0.0,24.67529296875,0.0,0.0,0.0,0.0,0.0
145,2011-09-29,25.083505630493164,0.0,0.0,0.0,0.0,25.083505630493164,0.0,0.0,0.0,0.0,0.0
146,2011-09-30,24.440784454345703,0.0,0.0,0.0,0.0,24.440784454345703,0.0,0.0,0.0,0.0,0.0
147,2011-10-03,23.346420288085938,0.0,0.0,0.0,0.0,23.346420288085938,0.0,0.0,0.0,0.0,0.0
148,2011-10-04,23.832805633544922,0.0,0.0,0.0,0.0,23.832805633544922,0.0,0.0,0.0,0.0,0.0
149,2011-10-05,24.41472816467285,0.0,0.0,0.0,0.0,24.41472816467285,0.0,0.0,0.0,0.0,0.0
150,2011-10-06,24.753461837768555,0.0,0.0,0.0,0.0,24.753461837768555,0.0,0.0,0.0,0.0,0.0
151,2011-10-07,24.492897033691406,0.0,0.0,0.0,0.0,24.492897033691406,0.0,0.0,0.0,0.0,0.0
152,2011-10-10,25.135618209838867,0.0,0.0,0.0,0.0,25.135618209838867,0.0,0.0,0.0,0.0,0.0
153,2011-10-11,25.048763275146484,0.0,0.0,0.0,0.0,25.048763275146484,0.0,0.0,0.0,0.0,0.0
154,2011-10-12,25.53514862060547,0.0,0.0,0.0,0.0,25.53514862060547,0.0,0.0,0.0,0.0,0.0
155,2011-10-13,25.38749885559082,0.0,0.0,0.0,0.0,25.38749885559082,0.0,0.0,0.0,0.0,0.0
156,2011-10-14,25.674114227294922,0.0,0.0,0.0,0.0,25.674114227294922,0.0,0.0,0.0,0.0,0.0
157,2011-10-17,25.048763275146484,0.0,0.0,0.0,0.0,25.048763275146484,0.0,0.0,0.0,0.0,0.0
158,2011-10-18,25.404870986938477,0.0,0.0,0.0,0.0,25.404870986938477,0.0,0.0,0.0,0.0,0.0
159,2011-10-19,25.205102920532227,0.0,0.0,0.0,0.0,25.205102920532227,0.0,0.0,0.0,0.0,0.0
160,2011-10-20,25.19641876220703,0.0,0.0,0.0,0.0,25.19641876220703,0.0,0.0,0.0,0.0,0.0
161,2011-10-21,25.578577041625977,0.0,0.0,0.0,0.0,25.578577041625977,0.0,0.0,0.0,0.0,0.0
162,2011-10-24,26.12575340270996,0.0,0.0,0.0,0.0,26.12575340270996,0.0,0.0,0.0,0.0,0.0
163,2011-10-25,25.665428161621094,0.0,0.0,0.0,0.0,25.665428161621094,0.0,0.0,0.0,0.0,0.0
164,2011-10-26,25.63068962097168,0.0,0.0,0.0,0.0,25.63068962097168,0.0,0.0,0.0,0.0,0.0
165,2011-10-27,26.54265594482422,0.0,0.0,0.0,0.0,26.54265594482422,0.0,0.0,0.0,0.0,0.0
166,2011-10-28,26.3428955078125,0.0,0.0,0.0,0.0,26.3428955078125,0.0,0.0,0.0,0.0,0.0
167,2011-10-31,25.96073341369629,0.0,0.0,0.0,0.0,25.96073341369629,0.0,0.0,0.0,0.0,0.0
168,2011-11-01,24.649232864379883,0.0,0.0,0.0,0.0,24.649232864379883,0.0,0.0,0.0,0.0,0.0
169,2011-11-02,25.24852752685547,0.0,0.0,0.0,0.0,25.24852752685547,0.0,0.0,0.0,0.0,0.0
170,2011-11-03,25.75228500366211,0.0,0.0,0.0,0.0,25.75228500366211,0.0,0.0,0.0,0.0,0.0
171,2011-11-04,25.73491096496582,0.0,0.0,0.0,0.0,25.73491096496582,0.0,0.0,0.0,0.0,0.0
172,2011-11-07,25.847824096679688,0.0,0.0,0.0,0.0,25.847824096679688,0.0,0.0,0.0,0.0,0.0
173,2011-11-08,26.42281150817871,0.0,0.0,0.0,0.0,26.42281150817871,0.0,0.0,0.0,0.0,0.0
174,2011-11-09,25.34360694885254,0.0,0.0,0.0,0.0,25.883606948852538,0.0,0.0,0.0,0.0,0.54
175,2011-11-10,25.43206214904785,0.0,0.0,0.0,0.0,25.97206214904785,0.0,0.0,0.0,0.0,0.54
176,2011-11-11,25.980510711669922,0.0,0.0,0.0,0.0,26.52051071166992,0.0,0.0,0.0,0.0,0.54
177,2011-11-14,25.706287384033203,0.0,0.0,0.0,0.0,26.246287384033202,0.0,0.0,0.0,0.0,0.54
178,2011-11-15,25.777055740356445,0.0,0.0,0.0,0.0,26.317055740356444,0.0,0.0,0.0,0.0,0.54
179,2011-11-16,25.83013343811035,0.0,0.0,0.0,0.0,26.37013343811035,0.0,0.0,0.0,0.0,0.54
180,2011-11-17,25.794748306274414,0.0,0.0,0.0,0.0,26.334748306274413,0.0,0.0,0.0,0.0,0.54
181,2011-11-18,26.263580322265625,0.0,0.0,0.0,0.0,26.803580322265624,0.0,0.0,0.0,0.0,0.54
182,2011-11-21,25.440908432006836,0.0,0.0,0.0,0.0,25.980908432006835,0.0,0.0,0.0,0.0,0.54
183,2011-11-22,25.184375762939453,0.0,0.0,0.0,0.0,25.724375762939452,0.0,0.0,0.0,0.0,0.54
184,2011-11-23,24.697853088378906,0.0,0.0,0.0,0.0,25.237853088378905,0.0,0.0,0.0,0.0,0.54
185,2011-11-25,24.44131851196289,0.0,0.0,0.0,0.0,24.98131851196289,0.0,0.0,0.0,0.0,0.54
186,2011-11-28,25.46744728088379,0.0,0.0,0.0,0.0,26.007447280883788,0.0,0.0,0.0,0.0,0.54
187,2011-11-29,25.69744110107422,0.0,0.0,0.0,0.0,26.237441101074218,0.0,0.0,0.0,0.0,0.54
188,2011-11-30,26.891645431518555,0.0,0.0,0.0,0.0,27.431645431518554,0.0,0.0,0.0,0.0,0.54
189,2011-12-01,26.7324161529541,0.0,0.0,0.0,0.0,27.2724161529541,0.0,0.0,0.0,0.0,0.54
190,2011-12-02,26.847414016723633,0.0,0.0,0.0,0.0,27.387414016723632,0.0,0.0,0.0,0.0,0.54
191,2011-12-05,27.042022705078125,0.0,0.0,0.0,0.0,27.582022705078124,0.0,0.0,0.0,0.0,0.54
192,2011-12-06,26.99779510498047,0.0,0.0,0.0,0.0,27.537795104980468,0.0,0.0,0.0,0.0,0.54
193,2011-12-07,26.52011489868164,0.0,0.0,0.0,0.0,27.06011489868164,0.0,0.0,0.0,0.0,0.54
194,2011-12-08,25.980510711669922,0.0,0.0,0.0,0.0,26.52051071166992,0.0,0.0,0.0,0.0,0.54
195,2011-12-09,26.918184280395508,0.0,0.0,0.0,0.0,27.458184280395507,0.0,0.0,0.0,0.0,0.54
196,2011-12-12,26.59088134765625,0.0,0.0,0.0,0.0,27.13088134765625,0.0,0.0,0.0,0.0,0.54
