count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,69.19932556152344,0.0,0.0,0.0,0.0,69.19932556152344,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,69.70987701416016,0.0,0.0,0.0,0.0,69.70987701416016,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,68.6148910522461,0.0,0.0,0.0,0.0,68.6148910522461,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,66.55924987792969,0.0,0.0,0.0,0.0,66.55924987792969,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,67.1302719116211,0.0,0.0,0.0,0.0,67.1302719116211,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,67.71470642089844,0.0,0.0,0.0,0.0,67.71470642089844,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,68.00360107421875,0.0,0.0,0.0,0.0,68.00360107421875,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,66.84811401367188,0.0,0.0,0.0,0.0,66.84811401367188,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,68.68206024169922,0.0,0.0,0.0,0.0,68.68206024169922,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,69.05823516845703,0.0,0.0,0.0,0.0,69.05823516845703,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,70.66380310058594,0.0,0.0,0.0,0.0,70.66380310058594,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,70.69065856933594,0.0,0.0,0.0,0.0,70.69065856933594,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,70.8586196899414,0.0,0.0,0.0,0.0,70.8586196899414,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,70.79142761230469,0.0,0.0,0.0,0.0,70.79142761230469,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,71.73191833496094,0.0,0.0,0.0,0.0,71.73191833496094,0.0,0.0,0.0,0.0,0.0
16,2011-03-28,71.23479461669922,0.0,0.0,0.0,0.0,71.23479461669922,0.0,0.0,0.0,0.0,0.0
17,2011-03-29,72.12825775146484,0.0,0.0,0.0,0.0,72.12825775146484,0.0,0.0,0.0,0.0,0.0
18,2011-03-30,72.55818939208984,0.0,0.0,0.0,0.0,72.55818939208984,0.0,0.0,0.0,0.0,0.0
19,2011-03-31,72.20886993408203,0.0,0.0,0.0,0.0,72.20886993408203,0.0,0.0,0.0,0.0,0.0
20,2011-04-01,72.76643371582031,0.0,0.0,0.0,0.0,72.76643371582031,0.0,0.0,0.0,0.0,0.0
21,2011-04-04,72.70600128173828,0.0,0.0,0.0,0.0,72.70600128173828,0.0,0.0,0.0,0.0,0.0
22,2011-04-05,73.44495391845703,0.0,0.0,0.0,0.0,73.44495391845703,0.0,0.0,0.0,0.0,0.0
23,2011-04-06,72.99484252929688,0.0,0.0,0.0,0.0,72.99484252929688,0.0,0.0,0.0,0.0,0.0
24,2011-04-07,73.18292236328125,0.0,0.0,0.0,0.0,73.18292236328125,0.0,0.0,0.0,0.0,0.0
25,2011-04-08,73.6666030883789,0.0,0.0,0.0,0.0,73.6666030883789,0.0,0.0,0.0,0.0,0.0
26,2011-04-11,72.4036865234375,0.0,0.0,0.0,0.0,72.4036865234375,0.0,0.0,0.0,0.0,0.0
27,2011-04-12,69.98529815673828,0.0,0.0,0.0,0.0,69.98529815673828,0.0,0.0,0.0,0.0,0.0
28,2011-04-13,69.73675537109375,0.0,0.0,0.0,0.0,69.73675537109375,0.0,0.0,0.0,0.0,0.0
29,2011-04-14,70.45553588867188,0.0,0.0,0.0,0.0,70.45553588867188,0.0,0.0,0.0,0.0,0.0
30,2011-04-15,71.3691635131836,0.0,0.0,0.0,0.0,71.3691635131836,0.0,0.0,0.0,0.0,0.0
