count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,42.45774841308594,0.0,0.0,0.0,0.0,42.632748413085935,0.0,0.0,0.0,0.0,0.175
2,2011-03-08,42.93228530883789,0.0,0.0,0.0,0.0,43.10728530883789,0.0,0.0,0.0,0.0,0.175
3,2011-03-09,42.654720306396484,0.0,0.0,0.0,0.0,42.82972030639648,0.0,0.0,0.0,0.0,0.175
4,2011-03-10,42.96810531616211,0.0,0.0,0.0,0.0,43.14310531616211,0.0,0.0,0.0,0.0,0.175
5,2011-03-11,43.567996978759766,0.0,0.0,0.0,0.0,43.74299697875976,0.0,0.0,0.0,0.0,0.175
6,2011-03-14,43.711246490478516,0.0,0.0,0.0,0.0,43.88624649047851,0.0,0.0,0.0,0.0,0.175
7,2011-03-15,43.79183578491211,0.0,0.0,0.0,0.0,43.96683578491211,0.0,0.0,0.0,0.0,0.175
8,2011-03-16,43.10240936279297,0.0,0.0,0.0,0.0,43.277409362792966,0.0,0.0,0.0,0.0,0.175
9,2011-03-17,42.81589126586914,0.0,0.0,0.0,0.0,42.99089126586914,0.0,0.0,0.0,0.0,0.175
10,2011-03-18,42.744258880615234,0.0,0.0,0.0,0.0,42.91925888061523,0.0,0.0,0.0,0.0,0.175
11,2011-03-21,43.603797912597656,0.0,0.0,0.0,0.0,43.77879791259765,0.0,0.0,0.0,0.0,0.175
12,2011-03-22,43.66646957397461,0.0,0.0,0.0,0.0,43.84146957397461,0.0,0.0,0.0,0.0,0.175
13,2011-03-23,44.212650299072266,0.0,0.0,0.0,0.0,44.38765029907226,0.0,0.0,0.0,0.0,0.175
14,2011-03-24,44.45439529418945,0.0,0.0,0.0,0.0,44.62939529418945,0.0,0.0,0.0,0.0,0.175
15,2011-03-25,44.41858673095703,0.0,0.0,0.0,0.0,44.59358673095703,0.0,0.0,0.0,0.0,0.175
16,2011-03-28,44.74089431762695,0.0,0.0,0.0,0.0,44.91589431762695,0.0,0.0,0.0,0.0,0.175
17,2011-03-29,44.75880813598633,0.0,0.0,0.0,0.0,44.933808135986325,0.0,0.0,0.0,0.0,0.175
18,2011-03-30,45.0363655090332,0.0,0.0,0.0,0.0,45.2113655090332,0.0,0.0,0.0,0.0,0.175
19,2011-03-31,45.6810302734375,0.0,0.0,0.0,0.0,45.8560302734375,0.0,0.0,0.0,0.0,0.175
20,2011-04-01,46.17348098754883,0.0,0.0,0.0,0.0,46.348480987548825,0.0,0.0,0.0,0.0,0.175
21,2011-04-04,46.254058837890625,0.0,0.0,0.0,0.0,46.42905883789062,0.0,0.0,0.0,0.0,0.175
22,2011-04-05,46.56743240356445,0.0,0.0,0.0,0.0,46.74243240356445,0.0,0.0,0.0,0.0,0.175
23,2011-04-06,46.33463668823242,0.0,0.0,0.0,0.0,46.50963668823242,0.0,0.0,0.0,0.0,0.175
24,2011-04-07,46.08394241333008,0.0,0.0,0.0,0.0,46.258942413330075,0.0,0.0,0.0,0.0,0.175
25,2011-04-08,46.128700256347656,0.0,0.0,0.0,0.0,46.30370025634765,0.0,0.0,0.0,0.0,0.175
26,2011-04-11,45.93172836303711,0.0,0.0,0.0,0.0,46.10672836303711,0.0,0.0,0.0,0.0,0.175
27,2011-04-12,45.46614074707031,0.0,0.0,0.0,0.0,45.64114074707031,0.0,0.0,0.0,0.0,0.175
28,2011-04-13,45.17962646484375,0.0,0.0,0.0,0.0,45.35462646484375,0.0,0.0,0.0,0.0,0.175
29,2011-04-14,45.17962646484375,0.0,0.0,0.0,0.0,45.35462646484375,0.0,0.0,0.0,0.0,0.175
30,2011-04-15,45.60939407348633,0.0,0.0,0.0,0.0,45.784394073486325,0.0,0.0,0.0,0.0,0.175
31,2011-04-18,45.430335998535156,0.0,0.0,0.0,0.0,45.60533599853515,0.0,0.0,0.0,0.0,0.175
32,2011-04-19,45.994388580322266,0.0,0.0,0.0,0.0,46.16938858032226,0.0,0.0,0.0,0.0,0.175
33,2011-04-20,45.98546600341797,0.0,0.0,0.0,0.0,46.160466003417966,0.0,0.0,0.0,0.0,0.175
34,2011-04-21,46.33463668823242,0.0,0.0,0.0,0.0,46.50963668823242,0.0,0.0,0.0,0.0,0.175
35,2011-04-25,46.56743240356445,0.0,0.0,0.0,0.0,46.74243240356445,0.0,0.0,0.0,0.0,0.175
36,2011-04-26,46.31674575805664,0.0,0.0,0.0,0.0,46.49174575805664,0.0,0.0,0.0,0.0,0.175
37,2011-04-27,47.22998809814453,0.0,0.0,0.0,0.0,47.40498809814453,0.0,0.0,0.0,0.0,0.175
38,2011-04-28,47.36429977416992,0.0,0.0,0.0,0.0,47.53929977416992,0.0,0.0,0.0,0.0,0.175
39,2011-04-29,47.23893356323242,0.0,0.0,0.0,0.0,47.41393356323242,0.0,0.0,0.0,0.0,0.175
40,2011-05-02,47.077789306640625,0.0,0.0,0.0,0.0,47.25278930664062,0.0,0.0,0.0,0.0,0.175
41,2011-05-03,46.78230667114258,0.0,0.0,0.0,0.0,46.957306671142575,0.0,0.0,0.0,0.0,0.175
42,2011-05-04,46.71963882446289,0.0,0.0,0.0,0.0,46.89463882446289,0.0,0.0,0.0,0.0,0.175
43,2011-05-05,46.26300811767578,0.0,0.0,0.0,0.0,46.43800811767578,0.0,0.0,0.0,0.0,0.175
44,2011-05-06,46.45104217529297,0.0,0.0,0.0,0.0,46.626042175292966,0.0,0.0,0.0,0.0,0.175
45,2011-05-09,46.97929382324219,0.0,0.0,0.0,0.0,47.154293823242185,0.0,0.0,0.0,0.0,0.175
46,2011-05-10,47.21210479736328,0.0,0.0,0.0,0.0,47.38710479736328,0.0,0.0,0.0,0.0,0.175
47,2011-05-11,46.62115478515625,0.0,0.0,0.0,0.0,46.79615478515625,0.0,0.0,0.0,0.0,0.175
48,2011-05-12,47.176273345947266,0.0,0.0,0.0,0.0,47.35127334594726,0.0,0.0,0.0,0.0,0.175
49,2011-05-13,46.62115478515625,0.0,0.0,0.0,0.0,46.79615478515625,0.0,0.0,0.0,0.0,0.175
50,2011-05-16,46.7106819152832,0.0,0.0,0.0,0.0,46.8856819152832,0.0,0.0,0.0,0.0,0.175
51,2011-05-17,45.98546600341797,0.0,0.0,0.0,0.0,46.160466003417966,0.0,0.0,0.0,0.0,0.175
