count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,43.47935485839844,0.0,0.0,0.0,0.0,43.47935485839844,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,44.266815185546875,0.0,0.0,0.0,0.0,44.266815185546875,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,44.21528625488281,0.0,0.0,0.0,0.0,44.21528625488281,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,43.33952331542969,0.0,0.0,0.0,0.0,43.33952331542969,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,43.72221374511719,0.0,0.0,0.0,0.0,43.72221374511719,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,43.36159896850586,0.0,0.0,0.0,0.0,43.36159896850586,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,42.81699752807617,0.0,0.0,0.0,0.0,42.81699752807617,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,41.47023010253906,0.0,0.0,0.0,0.0,41.47023010253906,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,42.117862701416016,0.0,0.0,0.0,0.0,42.117862701416016,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,42.0516242980957,0.0,0.0,0.0,0.0,42.0516242980957,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,42.787567138671875,0.0,0.0,0.0,0.0,42.787567138671875,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,42.2576904296875,0.0,0.0,0.0,0.0,42.2576904296875,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,42.147300720214844,0.0,0.0,0.0,0.0,42.147300720214844,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,42.41223907470703,0.0,0.0,0.0,0.0,42.41223907470703,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,42.55207061767578,0.0,0.0,0.0,0.0,42.55207061767578,0.0,0.0,0.0,0.0,0.0
16,2011-03-28,42.1031379699707,0.0,0.0,0.0,0.0,42.1031379699707,0.0,0.0,0.0,0.0,0.0
17,2011-03-29,42.02954864501953,0.0,0.0,0.0,0.0,42.02954864501953,0.0,0.0,0.0,0.0,0.0
18,2011-03-30,42.25033950805664,0.0,0.0,0.0,0.0,42.25033950805664,0.0,0.0,0.0,0.0,0.0
19,2011-03-31,43.0009880065918,0.0,0.0,0.0,0.0,43.0009880065918,0.0,0.0,0.0,0.0,0.0
20,2011-04-01,43.42048263549805,0.0,0.0,0.0,0.0,43.42048263549805,0.0,0.0,0.0,0.0,0.0
21,2011-04-04,43.27329635620117,0.0,0.0,0.0,0.0,43.27329635620117,0.0,0.0,0.0,0.0,0.0
22,2011-04-05,43.376312255859375,0.0,0.0,0.0,0.0,43.376312255859375,0.0,0.0,0.0,0.0,0.0
23,2011-04-06,43.096649169921875,0.0,0.0,0.0,0.0,43.096649169921875,0.0,0.0,0.0,0.0,0.0
24,2011-04-07,42.890594482421875,0.0,0.0,0.0,0.0,42.890594482421875,0.0,0.0,0.0,0.0,0.0
25,2011-04-08,42.50053787231445,0.0,0.0,0.0,0.0,42.50053787231445,0.0,0.0,0.0,0.0,0.0
26,2011-04-11,42.41960144042969,0.0,0.0,0.0,0.0,42.41960144042969,0.0,0.0,0.0,0.0,0.0
27,2011-04-12,42.066349029541016,0.0,0.0,0.0,0.0,42.066349029541016,0.0,0.0,0.0,0.0,0.0
28,2011-04-13,42.12522888183594,0.0,0.0,0.0,0.0,42.12522888183594,0.0,0.0,0.0,0.0,0.0
29,2011-04-14,42.25033950805664,0.0,0.0,0.0,0.0,42.25033950805664,0.0,0.0,0.0,0.0,0.0
30,2011-04-15,42.353363037109375,0.0,0.0,0.0,0.0,42.353363037109375,0.0,0.0,0.0,0.0,0.0
31,2011-04-18,41.62478256225586,0.0,0.0,0.0,0.0,41.62478256225586,0.0,0.0,0.0,0.0,0.0
32,2011-04-19,41.74989318847656,0.0,0.0,0.0,0.0,41.74989318847656,0.0,0.0,0.0,0.0,0.0
33,2011-04-20,42.8979606628418,0.0,0.0,0.0,0.0,42.8979606628418,0.0,0.0,0.0,0.0,0.0
34,2011-04-21,43.52351379394531,0.0,0.0,0.0,0.0,43.52351379394531,0.0,0.0,0.0,0.0,0.0
35,2011-04-25,43.08930969238281,0.0,0.0,0.0,0.0,43.08930969238281,0.0,0.0,0.0,0.0,0.0
36,2011-04-26,43.84731674194336,0.0,0.0,0.0,0.0,43.84731674194336,0.0,0.0,0.0,0.0,0.0
37,2011-04-27,44.17848587036133,0.0,0.0,0.0,0.0,44.17848587036133,0.0,0.0,0.0,0.0,0.0
38,2011-04-28,44.19319152832031,0.0,0.0,0.0,0.0,44.19319152832031,0.0,0.0,0.0,0.0,0.0
39,2011-04-29,44.723087310791016,0.0,0.0,0.0,0.0,44.723087310791016,0.0,0.0,0.0,0.0,0.0
40,2011-05-02,44.75252914428711,0.0,0.0,0.0,0.0,44.75252914428711,0.0,0.0,0.0,0.0,0.0
41,2011-05-03,41.86764144897461,0.0,0.0,0.0,0.0,41.86764144897461,0.0,0.0,0.0,0.0,0.0
42,2011-05-04,41.094905853271484,0.0,0.0,0.0,0.0,41.094905853271484,0.0,0.0,0.0,0.0,0.0
43,2011-05-05,40.4987907409668,0.0,0.0,0.0,0.0,40.4987907409668,0.0,0.0,0.0,0.0,0.0
44,2011-05-06,40.96243667602539,0.0,0.0,0.0,0.0,40.96243667602539,0.0,0.0,0.0,0.0,0.0
45,2011-05-09,41.34511947631836,0.0,0.0,0.0,0.0,41.34511947631836,0.0,0.0,0.0,0.0,0.0
46,2011-05-10,40.7490119934082,0.0,0.0,0.0,0.0,40.7490119934082,0.0,0.0,0.0,0.0,0.0
47,2011-05-11,40.35282516479492,0.0,0.0,0.0,0.0,40.35282516479492,0.0,0.0,0.0,0.0,0.0
48,2011-05-12,40.16767501831055,0.0,0.0,0.0,0.0,40.512675018310546,0.0,0.0,0.0,0.0,0.345
49,2011-05-13,39.64189529418945,0.0,0.0,0.0,0.0,39.98689529418945,0.0,0.0,0.0,0.0,0.345
50,2011-05-16,39.382694244384766,0.0,0.0,0.0,0.0,39.727694244384764,0.0,0.0,0.0,0.0,0.345
51,2011-05-17,39.11609649658203,0.0,0.0,0.0,0.0,39.46109649658203,0.0,0.0,0.0,0.0,0.345
52,2011-05-18,40.04178237915039,0.0,0.0,0.0,0.0,40.38678237915039,0.0,0.0,0.0,0.0,0.345
53,2011-05-19,40.44168472290039,0.0,0.0,0.0,0.0,40.78668472290039,0.0,0.0,0.0,0.0,0.345
54,2011-05-20,40.05659484863281,0.0,0.0,0.0,0.0,40.40159484863281,0.0,0.0,0.0,0.0,0.345
55,2011-05-23,39.91588592529297,0.0,0.0,0.0,0.0,40.26088592529297,0.0,0.0,0.0,0.0,0.345
56,2011-05-24,39.50857925415039,0.0,0.0,0.0,0.0,39.85357925415039,0.0,0.0,0.0,0.0,0.345
57,2011-05-25,39.90849304199219,0.0,0.0,0.0,0.0,40.253493041992186,0.0,0.0,0.0,0.0,0.345
58,2011-05-26,40.019569396972656,0.0,0.0,0.0,0.0,40.364569396972655,0.0,0.0,0.0,0.0,0.345
59,2011-05-27,40.07880783081055,0.0,0.0,0.0,0.0,40.423807830810546,0.0,0.0,0.0,0.0,0.345
60,2011-05-31,40.397247314453125,0.0,0.0,0.0,0.0,40.742247314453124,0.0,0.0,0.0,0.0,0.345
61,2011-06-01,38.64213943481445,0.0,0.0,0.0,0.0,38.98713943481445,0.0,0.0,0.0,0.0,0.345
62,2011-06-02,38.4051628112793,0.0,0.0,0.0,0.0,38.750162811279296,0.0,0.0,0.0,0.0,0.345
63,2011-06-03,37.93120193481445,0.0,0.0,0.0,0.0,38.27620193481445,0.0,0.0,0.0,0.0,0.345
64,2011-06-06,38.027469635009766,0.0,0.0,0.0,0.0,38.372469635009764,0.0,0.0,0.0,0.0,0.345
65,2011-06-07,38.094120025634766,0.0,0.0,0.0,0.0,38.439120025634764,0.0,0.0,0.0,0.0,0.345
66,2011-06-08,38.086727142333984,0.0,0.0,0.0,0.0,38.43172714233398,0.0,0.0,0.0,0.0,0.345
67,2011-06-09,38.27925109863281,0.0,0.0,0.0,0.0,38.62425109863281,0.0,0.0,0.0,0.0,0.345
68,2011-06-10,38.042274475097656,0.0,0.0,0.0,0.0,38.387274475097655,0.0,0.0,0.0,0.0,0.345
69,2011-06-13,37.92379379272461,0.0,0.0,0.0,0.0,38.26879379272461,0.0,0.0,0.0,0.0,0.345
70,2011-06-14,38.997596740722656,0.0,0.0,0.0,0.0,39.342596740722655,0.0,0.0,0.0,0.0,0.345
71,2011-06-15,38.41996765136719,0.0,0.0,0.0,0.0,38.764967651367186,0.0,0.0,0.0,0.0,0.345
72,2011-06-16,38.879112243652344,0.0,0.0,0.0,0.0,39.22411224365234,0.0,0.0,0.0,0.0,0.345
73,2011-06-17,38.55326461791992,0.0,0.0,0.0,0.0,38.89826461791992,0.0,0.0,0.0,0.0,0.345
74,2011-06-20,39.12349319458008,0.0,0.0,0.0,0.0,39.46849319458008,0.0,0.0,0.0,0.0,0.345
75,2011-06-21,39.93069839477539,0.0,0.0,0.0,0.0,40.27569839477539,0.0,0.0,0.0,0.0,0.345
76,2011-06-22,39.54561233520508,0.0,0.0,0.0,0.0,39.89061233520508,0.0,0.0,0.0,0.0,0.345
77,2011-06-23,39.94551086425781,0.0,0.0,0.0,0.0,40.29051086425781,0.0,0.0,0.0,0.0,0.345
78,2011-06-24,39.6714973449707,0.0,0.0,0.0,0.0,40.0164973449707,0.0,0.0,0.0,0.0,0.345
79,2011-06-27,39.8936767578125,0.0,0.0,0.0,0.0,40.2386767578125,0.0,0.0,0.0,0.0,0.345
80,2011-06-28,40.567569732666016,0.0,0.0,0.0,0.0,40.912569732666014,0.0,0.0,0.0,0.0,0.345
81,2011-06-29,40.67865753173828,0.0,0.0,0.0,0.0,41.02365753173828,0.0,0.0,0.0,0.0,0.345
82,2011-06-30,41.656192779541016,0.0,0.0,0.0,0.0,42.001192779541014,0.0,0.0,0.0,0.0,0.345
83,2011-07-01,42.278255462646484,0.0,0.0,0.0,0.0,42.62325546264648,0.0,0.0,0.0,0.0,0.345
84,2011-07-05,42.330101013183594,0.0,0.0,0.0,0.0,42.67510101318359,0.0,0.0,0.0,0.0,0.345
85,2011-07-06,42.685569763183594,0.0,0.0,0.0,0.0,43.03056976318359,0.0,0.0,0.0,0.0,0.345
