count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,8.81313705444336,0.0,0.0,0.0,0.0,8.81313705444336,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,8.804667472839355,0.0,0.0,0.0,0.0,8.804667472839355,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,8.88938045501709,0.0,0.0,0.0,0.0,8.88938045501709,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,8.74536418914795,0.0,0.0,0.0,0.0,8.74536418914795,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,8.705832481384277,0.0,0.0,0.0,0.0,8.705832481384277,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,8.550521850585938,0.0,0.0,0.0,0.0,8.550521850585938,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,8.39803695678711,0.0,0.0,0.0,0.0,8.39803695678711,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,8.279436111450195,0.0,0.0,0.0,0.0,8.279436111450195,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,8.296379089355469,0.0,0.0,0.0,0.0,8.296379089355469,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,8.460161209106445,0.0,0.0,0.0,0.0,8.460161209106445,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,8.556169509887695,0.0,0.0,0.0,0.0,8.556169509887695,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,8.784900665283203,0.0,0.0,0.0,0.0,8.784900665283203,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,8.804667472839355,0.0,0.0,0.0,0.0,8.804667472839355,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,8.892203330993652,0.0,0.0,0.0,0.0,8.892203330993652,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,8.807490348815918,0.0,0.0,0.0,0.0,8.807490348815918,0.0,0.0,0.0,0.0,0.0
16,2011-03-28,8.804667472839355,0.0,0.0,0.0,0.0,8.804667472839355,0.0,0.0,0.0,0.0,0.0
17,2011-03-29,8.88938045501709,0.0,0.0,0.0,0.0,8.88938045501709,0.0,0.0,0.0,0.0,0.0
18,2011-03-30,9.024924278259277,0.0,0.0,0.0,0.0,9.024924278259277,0.0,0.0,0.0,0.0,0.0
19,2011-03-31,8.99103832244873,0.0,0.0,0.0,0.0,8.99103832244873,0.0,0.0,0.0,0.0,0.0
20,2011-04-01,9.050339698791504,0.0,0.0,0.0,0.0,9.050339698791504,0.0,0.0,0.0,0.0,0.0
