count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,68.37969207763672,0.0,0.0,0.0,0.0,68.37969207763672,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,69.02333068847656,0.0,0.0,0.0,0.0,69.02333068847656,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,69.47142791748047,0.0,0.0,0.0,0.0,69.47142791748047,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,69.18626403808594,0.0,0.0,0.0,0.0,69.18626403808594,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,69.02333068847656,0.0,0.0,0.0,0.0,69.02333068847656,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,68.84407806396484,0.0,0.0,0.0,0.0,68.84407806396484,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,68.56708526611328,0.0,0.0,0.0,0.0,68.56708526611328,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,68.1678695678711,0.0,0.0,0.0,0.0,68.1678695678711,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,68.69744110107422,0.0,0.0,0.0,0.0,68.69744110107422,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,69.26773834228516,0.0,0.0,0.0,0.0,69.26773834228516,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,69.3736572265625,0.0,0.0,0.0,0.0,69.3736572265625,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,69.17813873291016,0.0,0.0,0.0,0.0,69.17813873291016,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,69.50402069091797,0.0,0.0,0.0,0.0,69.50402069091797,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,70.11505889892578,0.0,0.0,0.0,0.0,70.11505889892578,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,70.6690444946289,0.0,0.0,0.0,0.0,70.6690444946289,0.0,0.0,0.0,0.0,0.0
16,2011-03-28,71.20677947998047,0.0,0.0,0.0,0.0,71.20677947998047,0.0,0.0,0.0,0.0,0.0
17,2011-03-29,70.97050476074219,0.0,0.0,0.0,0.0,70.97050476074219,0.0,0.0,0.0,0.0,0.0
18,2011-03-30,74.12348937988281,0.0,0.0,0.0,0.0,74.12348937988281,0.0,0.0,0.0,0.0,0.0
19,2011-03-31,74.22126007080078,0.0,0.0,0.0,0.0,74.22126007080078,0.0,0.0,0.0,0.0,0.0
20,2011-04-01,75.24779510498047,0.0,0.0,0.0,0.0,75.24779510498047,0.0,0.0,0.0,0.0,0.0
21,2011-04-04,75.59814453125,0.0,0.0,0.0,0.0,75.59814453125,0.0,0.0,0.0,0.0,0.0
22,2011-04-05,75.06040954589844,0.0,0.0,0.0,0.0,75.06040954589844,0.0,0.0,0.0,0.0,0.0
23,2011-04-06,75.35371398925781,0.0,0.0,0.0,0.0,75.35371398925781,0.0,0.0,0.0,0.0,0.0
24,2011-04-07,75.54924774169922,0.0,0.0,0.0,0.0,75.54924774169922,0.0,0.0,0.0,0.0,0.0
25,2011-04-08,75.98104858398438,0.0,0.0,0.0,0.0,75.98104858398438,0.0,0.0,0.0,0.0,0.0
26,2011-04-11,75.54109954833984,0.0,0.0,0.0,0.0,75.54109954833984,0.0,0.0,0.0,0.0,0.0
27,2011-04-12,74.48197937011719,0.0,0.0,0.0,0.0,74.48197937011719,0.0,0.0,0.0,0.0,0.0
28,2011-04-13,74.6204605102539,0.0,0.0,0.0,0.0,74.6204605102539,0.0,0.0,0.0,0.0,0.0
29,2011-04-14,74.9544906616211,0.0,0.0,0.0,0.0,74.9544906616211,0.0,0.0,0.0,0.0,0.0
30,2011-04-15,75.14188385009766,0.0,0.0,0.0,0.0,75.14188385009766,0.0,0.0,0.0,0.0,0.0
31,2011-04-18,75.15003967285156,0.0,0.0,0.0,0.0,75.15003967285156,0.0,0.0,0.0,0.0,0.0
32,2011-04-19,75.07670593261719,0.0,0.0,0.0,0.0,75.07670593261719,0.0,0.0,0.0,0.0,0.0
33,2011-04-20,76.64912414550781,0.0,0.0,0.0,0.0,76.64912414550781,0.0,0.0,0.0,0.0,0.0
34,2011-04-21,76.1277084350586,0.0,0.0,0.0,0.0,76.1277084350586,0.0,0.0,0.0,0.0,0.0
35,2011-04-25,76.2906494140625,0.0,0.0,0.0,0.0,76.2906494140625,0.0,0.0,0.0,0.0,0.0
36,2011-04-26,76.41287231445312,0.0,0.0,0.0,0.0,76.41287231445312,0.0,0.0,0.0,0.0,0.0
37,2011-04-27,78.70223236083984,0.0,0.0,0.0,0.0,78.70223236083984,0.0,0.0,0.0,0.0,0.0
38,2011-04-28,80.75534057617188,0.0,0.0,0.0,0.0,80.75534057617188,0.0,0.0,0.0,0.0,0.0
39,2011-04-29,82.01001739501953,0.0,0.0,0.0,0.0,82.01001739501953,0.0,0.0,0.0,0.0,0.0
40,2011-05-02,80.45388793945312,0.0,0.0,0.0,0.0,80.45388793945312,0.0,0.0,0.0,0.0,0.0
41,2011-05-03,79.92430877685547,0.0,0.0,0.0,0.0,79.92430877685547,0.0,0.0,0.0,0.0,0.0
42,2011-05-04,79.37031555175781,0.0,0.0,0.0,0.0,79.37031555175781,0.0,0.0,0.0,0.0,0.0
43,2011-05-05,80.8123550415039,0.0,0.0,0.0,0.0,80.8123550415039,0.0,0.0,0.0,0.0,0.0
44,2011-05-06,81.34193420410156,0.0,0.0,0.0,0.0,81.34193420410156,0.0,0.0,0.0,0.0,0.0
45,2011-05-09,81.86336517333984,0.0,0.0,0.0,0.0,81.86336517333984,0.0,0.0,0.0,0.0,0.0
46,2011-05-10,82.6129150390625,0.0,0.0,0.0,0.0,82.6129150390625,0.0,0.0,0.0,0.0,0.0
47,2011-05-11,82.3847885131836,0.0,0.0,0.0,0.0,82.3847885131836,0.0,0.0,0.0,0.0,0.0
48,2011-05-12,82.44181823730469,0.0,0.0,0.0,0.0,82.44181823730469,0.0,0.0,0.0,0.0,0.0
49,2011-05-13,81.80633544921875,0.0,0.0,0.0,0.0,81.80633544921875,0.0,0.0,0.0,0.0,0.0
50,2011-05-16,80.83680725097656,0.0,0.0,0.0,0.0,80.83680725097656,0.0,0.0,0.0,0.0,0.0
51,2011-05-17,80.77979278564453,0.0,0.0,0.0,0.0,80.77979278564453,0.0,0.0,0.0,0.0,0.0
52,2011-05-18,81.16268920898438,0.0,0.0,0.0,0.0,81.16268920898438,0.0,0.0,0.0,0.0,0.0
53,2011-05-19,81.83078002929688,0.0,0.0,0.0,0.0,81.83078002929688,0.0,0.0,0.0,0.0,0.0
54,2011-05-20,82.09149169921875,0.0,0.0,0.0,0.0,82.09149169921875,0.0,0.0,0.0,0.0,0.0
55,2011-05-23,80.25836181640625,0.0,0.0,0.0,0.0,80.25836181640625,0.0,0.0,0.0,0.0,0.0
56,2011-05-24,80.6820068359375,0.0,0.0,0.0,0.0,80.6820068359375,0.0,0.0,0.0,0.0,0.0
57,2011-05-25,80.7064437866211,0.0,0.0,0.0,0.0,80.7064437866211,0.0,0.0,0.0,0.0,0.0
58,2011-05-26,81.22787475585938,0.0,0.0,0.0,0.0,81.22787475585938,0.0,0.0,0.0,0.0,0.0
59,2011-05-27,81.96928405761719,0.0,0.0,0.0,0.0,81.96928405761719,0.0,0.0,0.0,0.0,0.0
60,2011-05-31,82.6129150390625,0.0,0.0,0.0,0.0,82.6129150390625,0.0,0.0,0.0,0.0,0.0
61,2011-06-01,81.12196350097656,0.0,0.0,0.0,0.0,81.12196350097656,0.0,0.0,0.0,0.0,0.0
62,2011-06-02,82.01001739501953,0.0,0.0,0.0,0.0,82.01001739501953,0.0,0.0,0.0,0.0,0.0
63,2011-06-03,80.4620132446289,0.0,0.0,0.0,0.0,80.4620132446289,0.0,0.0,0.0,0.0,0.0
64,2011-06-06,79.12589263916016,0.0,0.0,0.0,0.0,79.12589263916016,0.0,0.0,0.0,0.0,0.0
65,2011-06-07,79.71248626708984,0.0,0.0,0.0,0.0,79.71248626708984,0.0,0.0,0.0,0.0,0.0
66,2011-06-08,79.13404083251953,0.0,0.0,0.0,0.0,79.13404083251953,0.0,0.0,0.0,0.0,0.0
67,2011-06-09,79.72064208984375,0.0,0.0,0.0,0.0,79.72064208984375,0.0,0.0,0.0,0.0,0.0
68,2011-06-10,78.68595123291016,0.0,0.0,0.0,0.0,78.68595123291016,0.0,0.0,0.0,0.0,0.0
69,2011-06-13,78.408935546875,0.0,0.0,0.0,0.0,78.408935546875,0.0,0.0,0.0,0.0,0.0
70,2011-06-14,80.31539154052734,0.0,0.0,0.0,0.0,80.31539154052734,0.0,0.0,0.0,0.0,0.0
