count,date,close,ma200,deviation,average,sigma
1,2011-03-01,1.3821508884429932,0.0,0.0,0.0,0.0
2,2011-03-02,1.3771828413009644,0.0,0.0,0.0,0.0
3,2011-03-03,1.3866548538208008,0.0,0.0,0.0,0.0
4,2011-03-04,1.3958877325057983,0.0,0.0,0.0,0.0
5,2011-03-07,1.3990709781646729,0.0,0.0,0.0,0.0
6,2011-03-08,1.3963944911956787,0.0,0.0,0.0,0.0
7,2011-03-09,1.3897961378097534,0.0,0.0,0.0,0.0
8,2011-03-10,1.3902212381362915,0.0,0.0,0.0,0.0
9,2011-03-11,1.3801289796829224,0.0,0.0,0.0,0.0
10,2011-03-14,1.3934563398361206,0.0,0.0,0.0,0.0
11,2011-03-15,1.3992079496383667,0.0,0.0,0.0,0.0
12,2011-03-16,1.3986209630966187,0.0,0.0,0.0,0.0
13,2011-03-17,1.3884838819503784,0.0,0.0,0.0,0.0
14,2011-03-18,1.4032920598983765,0.0,0.0,0.0,0.0
15,2011-03-21,1.4170527458190918,0.0,0.0,0.0,0.0
16,2011-03-22,1.4217066764831543,0.0,0.0,0.0,0.0
17,2011-03-23,1.4168118238449097,0.0,0.0,0.0,0.0
18,2011-03-24,1.4105963706970215,0.0,0.0,0.0,0.0
19,2011-03-25,1.4171934127807617,0.0,0.0,0.0,0.0
20,2011-03-27,1.402603268623352,0.0,0.0,0.0,0.0
21,2011-03-28,1.4079747200012207,0.0,0.0,0.0,0.0
22,2011-03-29,1.411113977432251,0.0,0.0,0.0,0.0
23,2011-03-30,1.4121301174163818,0.0,0.0,0.0,0.0
24,2011-03-31,1.415869116783142,0.0,0.0,0.0,0.0
25,2011-04-03,1.4223334789276123,0.0,0.0,0.0,0.0
26,2011-04-04,1.422009825706482,0.0,0.0,0.0,0.0
27,2011-04-05,1.4219088554382324,0.0,0.0,0.0,0.0
28,2011-04-06,1.4335273504257202,0.0,0.0,0.0,0.0
29,2011-04-07,1.430206060409546,0.0,0.0,0.0,0.0
30,2011-04-10,1.446215271949768,0.0,0.0,0.0,0.0
31,2011-04-11,1.4437931776046753,0.0,0.0,0.0,0.0
32,2011-04-12,1.447638988494873,0.0,0.0,0.0,0.0
33,2011-04-13,1.444210171699524,0.0,0.0,0.0,0.0
34,2011-04-14,1.4432096481323242,0.0,0.0,0.0,0.0
35,2011-04-17,1.4412959814071655,0.0,0.0,0.0,0.0
36,2011-04-18,1.4223941564559937,0.0,0.0,0.0,0.0
37,2011-04-19,1.433794617652893,0.0,0.0,0.0,0.0
38,2011-04-20,1.4513999223709106,0.0,0.0,0.0,0.0
39,2011-04-21,1.455498218536377,0.0,0.0,0.0,0.0
40,2011-04-24,1.4557099342346191,0.0,0.0,0.0,0.0
41,2011-04-25,1.4578959941864014,0.0,0.0,0.0,0.0
42,2011-04-26,1.4687954187393188,0.0,0.0,0.0,0.0
43,2011-04-27,1.4779999256134033,0.0,0.0,0.0,0.0
44,2011-04-28,1.4844063520431519,0.0,0.0,0.0,0.0
45,2011-05-01,1.4793994426727295,0.0,0.0,0.0,0.0
46,2011-05-02,1.4823819398880005,0.0,0.0,0.0,0.0
47,2011-05-03,1.4833273887634277,0.0,0.0,0.0,0.0
48,2011-05-04,1.4829754829406738,0.0,0.0,0.0,0.0
49,2011-05-05,1.454439640045166,0.0,0.0,0.0,0.0
50,2011-05-08,1.4352967739105225,0.0,0.0,0.0,0.0
51,2011-05-09,1.4376078844070435,0.0,0.0,0.0,0.0
52,2011-05-10,1.44110906124115,0.0,0.0,0.0,0.0
53,2011-05-11,1.4211004972457886,0.0,0.0,0.0,0.0
54,2011-05-12,1.423791527748108,0.0,0.0,0.0,0.0
55,2011-05-15,1.4077963829040527,0.0,0.0,0.0,0.0
56,2011-05-16,1.415808916091919,0.0,0.0,0.0,0.0
57,2011-05-17,1.4268999099731445,0.0,0.0,0.0,0.0
58,2011-05-18,1.4255167245864868,0.0,0.0,0.0,0.0
59,2011-05-19,1.4316186904907227,0.0,0.0,0.0,0.0
60,2011-05-22,1.4105764627456665,0.0,0.0,0.0,0.0
61,2011-05-23,1.403666377067566,0.0,0.0,0.0,0.0
