count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,41.521183013916016,0.0,0.0,0.0,0.0,41.521183013916016,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,42.80157470703125,0.0,0.0,0.0,0.0,42.80157470703125,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,42.74930953979492,0.0,0.0,0.0,0.0,42.74930953979492,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,42.09605407714844,0.0,0.0,0.0,0.0,42.09605407714844,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,42.12218475341797,0.0,0.0,0.0,0.0,42.12218475341797,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,41.42536926269531,0.0,0.0,0.0,0.0,41.42536926269531,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,40.911468505859375,0.0,0.0,0.0,0.0,40.911468505859375,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,40.53693771362305,0.0,0.0,0.0,0.0,40.53693771362305,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,41.033424377441406,0.0,0.0,0.0,0.0,41.033424377441406,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,41.434078216552734,0.0,0.0,0.0,0.0,41.434078216552734,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,42.09605407714844,0.0,0.0,0.0,0.0,42.09605407714844,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,41.02470397949219,0.0,0.0,0.0,0.0,41.02470397949219,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,41.33827209472656,0.0,0.0,0.0,0.0,41.33827209472656,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,41.76506805419922,0.0,0.0,0.0,0.0,41.76506805419922,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,42.026363372802734,0.0,0.0,0.0,0.0,42.026363372802734,0.0,0.0,0.0,0.0,0.0
16,2011-03-28,42.21799087524414,0.0,0.0,0.0,0.0,42.21799087524414,0.0,0.0,0.0,0.0,0.0
17,2011-03-29,42.557682037353516,0.0,0.0,0.0,0.0,42.557682037353516,0.0,0.0,0.0,0.0,0.0
18,2011-03-30,43.36772918701172,0.0,0.0,0.0,0.0,43.36772918701172,0.0,0.0,0.0,0.0,0.0
19,2011-03-31,43.68129348754883,0.0,0.0,0.0,0.0,43.68129348754883,0.0,0.0,0.0,0.0,0.0
20,2011-04-01,44.25615310668945,0.0,0.0,0.0,0.0,44.25615310668945,0.0,0.0,0.0,0.0,0.0
21,2011-04-04,43.83807373046875,0.0,0.0,0.0,0.0,43.83807373046875,0.0,0.0,0.0,0.0,0.0
22,2011-04-05,44.047115325927734,0.0,0.0,0.0,0.0,44.047115325927734,0.0,0.0,0.0,0.0,0.0
23,2011-04-06,44.20390319824219,0.0,0.0,0.0,0.0,44.20390319824219,0.0,0.0,0.0,0.0,0.0
24,2011-04-07,44.38680648803711,0.0,0.0,0.0,0.0,44.38680648803711,0.0,0.0,0.0,0.0,0.0
25,2011-04-08,43.93387985229492,0.0,0.0,0.0,0.0,43.93387985229492,0.0,0.0,0.0,0.0,0.0
26,2011-04-11,43.82936477661133,0.0,0.0,0.0,0.0,43.82936477661133,0.0,0.0,0.0,0.0,0.0
27,2011-04-12,43.977439880371094,0.0,0.0,0.0,0.0,43.977439880371094,0.0,0.0,0.0,0.0,0.0
28,2011-04-13,43.99486541748047,0.0,0.0,0.0,0.0,43.99486541748047,0.0,0.0,0.0,0.0,0.0
29,2011-04-14,43.84678649902344,0.0,0.0,0.0,0.0,43.84678649902344,0.0,0.0,0.0,0.0,0.0
30,2011-04-15,44.79618453979492,0.0,0.0,0.0,0.0,44.79618453979492,0.0,0.0,0.0,0.0,0.0
31,2011-04-18,44.47391128540039,0.0,0.0,0.0,0.0,44.47391128540039,0.0,0.0,0.0,0.0,0.0
32,2011-04-19,44.55229568481445,0.0,0.0,0.0,0.0,44.55229568481445,0.0,0.0,0.0,0.0,0.0
33,2011-04-20,45.64106750488281,0.0,0.0,0.0,0.0,45.64106750488281,0.0,0.0,0.0,0.0,0.0
34,2011-04-21,46.512088775634766,0.0,0.0,0.0,0.0,46.512088775634766,0.0,0.0,0.0,0.0,0.0
35,2011-04-25,46.364013671875,0.0,0.0,0.0,0.0,46.364013671875,0.0,0.0,0.0,0.0,0.0
36,2011-04-26,46.834354400634766,0.0,0.0,0.0,0.0,46.834354400634766,0.0,0.0,0.0,0.0,0.0
