count,date,close,ma200,deviation,average,sigma
1,2011-03-01,2.1544792652130127,0.0,0.0,0.0,0.0
2,2011-03-02,2.1085641384124756,0.0,0.0,0.0,0.0
3,2011-03-03,2.112095832824707,0.0,0.0,0.0,0.0
4,2011-03-04,2.0767760276794434,0.0,0.0,0.0,0.0
5,2011-03-07,2.034393310546875,0.0,0.0,0.0,0.0
6,2011-03-08,2.027329206466675,0.0,0.0,0.0,0.0
7,2011-03-09,2.0379254817962646,0.0,0.0,0.0,0.0
8,2011-03-10,2.027329206466675,0.0,0.0,0.0,0.0
9,2011-03-11,1.995542287826538,0.0,0.0,0.0,0.0
10,2011-03-14,1.9531593322753906,0.0,0.0,0.0,0.0
11,2011-03-15,1.9143073558807373,0.0,0.0,0.0,0.0
12,2011-03-16,1.8860520124435425,0.0,0.0,0.0,0.0
13,2011-03-17,1.8966476917266846,0.0,0.0,0.0,0.0
14,2011-03-18,1.9814143180847168,0.0,0.0,0.0,0.0
15,2011-03-21,1.9778817892074585,0.0,0.0,0.0,0.0
16,2011-03-22,1.9778817892074585,0.0,0.0,0.0,0.0
17,2011-03-23,1.9637545347213745,0.0,0.0,0.0,0.0
18,2011-03-24,1.9849456548690796,0.0,0.0,0.0,0.0
19,2011-03-25,1.9814143180847168,0.0,0.0,0.0,0.0
20,2011-03-28,1.9814143180847168,0.0,0.0,0.0,0.0
21,2011-03-29,1.9778817892074585,0.0,0.0,0.0,0.0
22,2011-03-30,2.027329206466675,0.0,0.0,0.0,0.0
23,2011-03-31,2.0061378479003906,0.0,0.0,0.0,0.0
24,2011-04-01,1.9566911458969116,0.0,0.0,0.0,0.0
25,2011-04-04,1.9672861099243164,0.0,0.0,0.0,0.0
26,2011-04-05,1.9778817892074585,0.0,0.0,0.0,0.0
27,2011-04-06,2.0237972736358643,0.0,0.0,0.0,0.0
28,2011-04-07,1.9708181619644165,0.0,0.0,0.0,0.0
29,2011-04-08,1.9602227210998535,0.0,0.0,0.0,0.0
30,2011-04-11,1.9566911458969116,0.0,0.0,0.0,0.0
31,2011-04-12,1.921371340751648,0.0,0.0,0.0,0.0
32,2011-04-13,1.8931162357330322,0.0,0.0,0.0,0.0
33,2011-04-14,1.9178394079208374,0.0,0.0,0.0,0.0
34,2011-04-15,1.9037115573883057,0.0,0.0,0.0,0.0
35,2011-04-18,1.8295412063598633,0.0,0.0,0.0,0.0
36,2011-04-19,1.8366049528121948,0.0,0.0,0.0,0.0
37,2011-04-20,1.9001799821853638,0.0,0.0,0.0,0.0
38,2011-04-21,1.8648607730865479,0.0,0.0,0.0,0.0
39,2011-04-26,1.8860520124435425,0.0,0.0,0.0,0.0
40,2011-04-27,1.9107760190963745,0.0,0.0,0.0,0.0
41,2011-04-28,1.921371340751648,0.0,0.0,0.0,0.0
42,2011-04-29,1.9178394079208374,0.0,0.0,0.0,0.0
43,2011-05-02,1.8895841836929321,0.0,0.0,0.0,0.0
44,2011-05-03,1.8789881467819214,0.0,0.0,0.0,0.0
45,2011-05-04,1.8754560947418213,0.0,0.0,0.0,0.0
46,2011-05-05,1.871924877166748,0.0,0.0,0.0,0.0
47,2011-05-06,1.8789881467819214,0.0,0.0,0.0,0.0
48,2011-05-09,1.8472007513046265,0.0,0.0,0.0,0.0
49,2011-05-10,1.8577966690063477,0.0,0.0,0.0,0.0
50,2011-05-11,1.8436689376831055,0.0,0.0,0.0,0.0
51,2011-05-12,1.8330729007720947,0.0,0.0,0.0,0.0
52,2011-05-13,1.815413475036621,0.0,0.0,0.0,0.0
53,2011-05-16,1.7906898260116577,0.0,0.0,0.0,0.0
54,2011-05-17,1.7377111911773682,0.0,0.0,0.0,0.0
55,2011-05-18,1.7871580123901367,0.0,0.0,0.0,0.0
56,2011-05-19,1.801285743713379,0.0,0.0,0.0,0.0
57,2011-05-20,1.801285743713379,0.0,0.0,0.0,0.0
58,2011-05-23,1.8260091543197632,0.0,0.0,0.0,0.0
59,2011-05-24,1.7589025497436523,0.0,0.0,0.0,0.0
60,2011-05-25,1.769498348236084,0.0,0.0,0.0,0.0
61,2011-05-26,1.769498348236084,0.0,0.0,0.0,0.0
62,2011-05-27,1.7518390417099,0.0,0.0,0.0,0.0
63,2011-05-30,1.7553706169128418,0.0,0.0,0.0,0.0
