count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,59.910987854003906,0.0,0.0,0.0,0.0,59.910987854003906,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,60.62222671508789,0.0,0.0,0.0,0.0,60.62222671508789,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,60.783531188964844,0.0,0.0,0.0,0.0,60.783531188964844,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,60.299598693847656,0.0,0.0,0.0,0.0,60.299598693847656,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,60.387577056884766,0.0,0.0,0.0,0.0,60.387577056884766,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,59.72767639160156,0.0,0.0,0.0,0.0,59.72767639160156,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,59.51328659057617,0.0,0.0,0.0,0.0,59.51328659057617,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,58.914466857910156,0.0,0.0,0.0,0.0,59.58446685791016,0.0,0.0,0.0,0.0,0.67
9,2011-03-17,59.48371124267578,0.0,0.0,0.0,0.0,60.15371124267578,0.0,0.0,0.0,0.0,0.67
10,2011-03-18,60.06776809692383,0.0,0.0,0.0,0.0,60.73776809692383,0.0,0.0,0.0,0.0,0.67
11,2011-03-21,60.430023193359375,0.0,0.0,0.0,0.0,61.10002319335938,0.0,0.0,0.0,0.0,0.67
12,2011-03-22,59.87553024291992,0.0,0.0,0.0,0.0,60.545530242919924,0.0,0.0,0.0,0.0,0.67
13,2011-03-23,59.02534484863281,0.0,0.0,0.0,0.0,59.695344848632814,0.0,0.0,0.0,0.0,0.67
14,2011-03-24,59.43934631347656,0.0,0.0,0.0,0.0,60.109346313476564,0.0,0.0,0.0,0.0,0.67
15,2011-03-25,59.87553024291992,0.0,0.0,0.0,0.0,60.545530242919924,0.0,0.0,0.0,0.0,0.67
16,2011-03-28,59.57242965698242,0.0,0.0,0.0,0.0,60.242429656982424,0.0,0.0,0.0,0.0,0.67
17,2011-03-29,59.772037506103516,0.0,0.0,0.0,0.0,60.44203750610352,0.0,0.0,0.0,0.0,0.67
18,2011-03-30,59.964263916015625,0.0,0.0,0.0,0.0,60.63426391601563,0.0,0.0,0.0,0.0,0.67
19,2011-03-31,60.29694366455078,0.0,0.0,0.0,0.0,60.96694366455078,0.0,0.0,0.0,0.0,0.67
20,2011-04-01,60.319122314453125,0.0,0.0,0.0,0.0,60.98912231445313,0.0,0.0,0.0,0.0,0.67
21,2011-04-04,60.511348724365234,0.0,0.0,0.0,0.0,61.181348724365236,0.0,0.0,0.0,0.0,0.67
22,2011-04-05,60.274757385253906,0.0,0.0,0.0,0.0,60.94475738525391,0.0,0.0,0.0,0.0,0.67
23,2011-04-06,60.126914978027344,0.0,0.0,0.0,0.0,60.796914978027345,0.0,0.0,0.0,0.0,0.67
24,2011-04-07,59.29887771606445,0.0,0.0,0.0,0.0,59.968877716064455,0.0,0.0,0.0,0.0,0.67
25,2011-04-08,59.675941467285156,0.0,0.0,0.0,0.0,60.34594146728516,0.0,0.0,0.0,0.0,0.67
26,2011-04-11,60.21563720703125,0.0,0.0,0.0,0.0,60.88563720703125,0.0,0.0,0.0,0.0,0.67
27,2011-04-12,60.14906311035156,0.0,0.0,0.0,0.0,60.819063110351564,0.0,0.0,0.0,0.0,0.67
28,2011-04-13,59.95686340332031,0.0,0.0,0.0,0.0,60.626863403320314,0.0,0.0,0.0,0.0,0.67
29,2011-04-14,61.117576599121094,0.0,0.0,0.0,0.0,61.787576599121095,0.0,0.0,0.0,0.0,0.67
30,2011-04-15,61.834693908691406,0.0,0.0,0.0,0.0,62.50469390869141,0.0,0.0,0.0,0.0,0.67
31,2011-04-18,61.472434997558594,0.0,0.0,0.0,0.0,62.142434997558595,0.0,0.0,0.0,0.0,0.67
32,2011-04-19,61.7977294921875,0.0,0.0,0.0,0.0,62.4677294921875,0.0,0.0,0.0,0.0,0.67
33,2011-04-20,62.625736236572266,0.0,0.0,0.0,0.0,63.29573623657227,0.0,0.0,0.0,0.0,0.67
34,2011-04-21,63.07668685913086,0.0,0.0,0.0,0.0,63.74668685913086,0.0,0.0,0.0,0.0,0.67
35,2011-04-25,63.35762023925781,0.0,0.0,0.0,0.0,64.02762023925781,0.0,0.0,0.0,0.0,0.67
36,2011-04-26,63.54244613647461,0.0,0.0,0.0,0.0,64.21244613647461,0.0,0.0,0.0,0.0,0.67
37,2011-04-27,63.73466491699219,0.0,0.0,0.0,0.0,64.40466491699219,0.0,0.0,0.0,0.0,0.67
38,2011-04-28,65.14672088623047,0.0,0.0,0.0,0.0,65.81672088623047,0.0,0.0,0.0,0.0,0.67
39,2011-04-29,64.73271942138672,0.0,0.0,0.0,0.0,65.40271942138672,0.0,0.0,0.0,0.0,0.67
40,2011-05-02,64.81401824951172,0.0,0.0,0.0,0.0,65.48401824951172,0.0,0.0,0.0,0.0,0.67
41,2011-05-03,64.74749755859375,0.0,0.0,0.0,0.0,65.41749755859375,0.0,0.0,0.0,0.0,0.67
42,2011-05-04,64.74010467529297,0.0,0.0,0.0,0.0,65.41010467529297,0.0,0.0,0.0,0.0,0.67
43,2011-05-05,64.62183380126953,0.0,0.0,0.0,0.0,65.29183380126953,0.0,0.0,0.0,0.0,0.67
44,2011-05-06,65.05059051513672,0.0,0.0,0.0,0.0,65.72059051513672,0.0,0.0,0.0,0.0,0.67
45,2011-05-09,64.37047576904297,0.0,0.0,0.0,0.0,65.04047576904297,0.0,0.0,0.0,0.0,0.67
46,2011-05-10,64.47398376464844,0.0,0.0,0.0,0.0,65.14398376464844,0.0,0.0,0.0,0.0,0.67
47,2011-05-11,63.601585388183594,0.0,0.0,0.0,0.0,64.2715853881836,0.0,0.0,0.0,0.0,0.67
48,2011-05-12,63.291099548339844,0.0,0.0,0.0,0.0,63.961099548339845,0.0,0.0,0.0,0.0,0.67
49,2011-05-13,63.039710998535156,0.0,0.0,0.0,0.0,63.70971099853516,0.0,0.0,0.0,0.0,0.67
50,2011-05-16,63.35762023925781,0.0,0.0,0.0,0.0,64.02762023925781,0.0,0.0,0.0,0.0,0.67
51,2011-05-17,63.23196029663086,0.0,0.0,0.0,0.0,63.90196029663086,0.0,0.0,0.0,0.0,0.67
52,2011-05-18,63.7420768737793,0.0,0.0,0.0,0.0,64.4120768737793,0.0,0.0,0.0,0.0,0.67
53,2011-05-19,63.75685119628906,0.0,0.0,0.0,0.0,64.42685119628906,0.0,0.0,0.0,0.0,0.67
54,2011-05-20,62.77358627319336,0.0,0.0,0.0,0.0,63.44358627319336,0.0,0.0,0.0,0.0,0.67
55,2011-05-23,62.61833190917969,0.0,0.0,0.0,0.0,63.28833190917969,0.0,0.0,0.0,0.0,0.67
56,2011-05-24,62.61094284057617,0.0,0.0,0.0,0.0,63.280942840576174,0.0,0.0,0.0,0.0,0.67
57,2011-05-25,62.914039611816406,0.0,0.0,0.0,0.0,63.58403961181641,0.0,0.0,0.0,0.0,0.67
58,2011-05-26,63.03230667114258,0.0,0.0,0.0,0.0,63.70230667114258,0.0,0.0,0.0,0.0,0.67
59,2011-05-27,62.995384216308594,0.0,0.0,0.0,0.0,63.665384216308595,0.0,0.0,0.0,0.0,0.67
60,2011-05-31,64.76229858398438,0.0,0.0,0.0,0.0,65.43229858398438,0.0,0.0,0.0,0.0,0.67
61,2011-06-01,63.08409118652344,0.0,0.0,0.0,0.0,63.75409118652344,0.0,0.0,0.0,0.0,0.67
62,2011-06-02,62.766204833984375,0.0,0.0,0.0,0.0,63.43620483398438,0.0,0.0,0.0,0.0,0.67
