count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,59.53163146972656,0.0,0.0,0.0,0.0,59.53163146972656,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,60.40746307373047,0.0,0.0,0.0,0.0,60.40746307373047,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,60.73884963989258,0.0,0.0,0.0,0.0,60.73884963989258,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,59.4527587890625,0.0,0.0,0.0,0.0,59.4527587890625,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,60.06816864013672,0.0,0.0,0.0,0.0,60.06816864013672,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,59.55531311035156,0.0,0.0,0.0,0.0,59.55531311035156,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,59.042457580566406,0.0,0.0,0.0,0.0,59.042457580566406,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,58.19031524658203,0.0,0.0,0.0,0.0,58.19031524658203,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,58.356014251708984,0.0,0.0,0.0,0.0,58.356014251708984,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,58.68739700317383,0.0,0.0,0.0,0.0,58.68739700317383,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,59.736778259277344,0.0,0.0,0.0,0.0,59.736778259277344,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,59.997161865234375,0.0,0.0,0.0,0.0,59.997161865234375,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,60.14707946777344,0.0,0.0,0.0,0.0,60.14707946777344,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,60.63626480102539,0.0,0.0,0.0,0.0,60.63626480102539,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,60.368003845214844,0.0,0.0,0.0,0.0,60.368003845214844,0.0,0.0,0.0,0.0,0.0
16,2011-03-28,59.91037368774414,0.0,0.0,0.0,0.0,59.91037368774414,0.0,0.0,0.0,0.0,0.0
17,2011-03-29,60.17863082885742,0.0,0.0,0.0,0.0,60.17863082885742,0.0,0.0,0.0,0.0,0.0
18,2011-03-30,59.965614318847656,0.0,0.0,0.0,0.0,59.965614318847656,0.0,0.0,0.0,0.0,0.0
