count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,139.72000122070312,0.0,0.0,0.0,0.0,139.72000122070312,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,139.36000061035156,0.0,0.0,0.0,0.0,139.36000061035156,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,139.41000366210938,0.0,0.0,0.0,0.0,139.41000366210938,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,137.77000427246094,0.0,0.0,0.0,0.0,137.77000427246094,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,138.22000122070312,0.0,0.0,0.0,0.0,138.22000122070312,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,138.86000061035156,0.0,0.0,0.0,0.0,138.86000061035156,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,136.27000427246094,0.0,0.0,0.0,0.0,136.27000427246094,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,136.24000549316406,0.0,0.0,0.0,0.0,136.24000549316406,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,136.97000122070312,0.0,0.0,0.0,0.0,136.97000122070312,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,138.3699951171875,0.0,0.0,0.0,0.0,138.3699951171875,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,139.13999938964844,0.0,0.0,0.0,0.0,139.13999938964844,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,139.0500030517578,0.0,0.0,0.0,0.0,139.0500030517578,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,140.33999633789062,0.0,0.0,0.0,0.0,140.33999633789062,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,139.22000122070312,0.0,0.0,0.0,0.0,139.22000122070312,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,139.25999450683594,0.0,0.0,0.0,0.0,139.25999450683594,0.0,0.0,0.0,0.0,0.0
16,2011-03-28,138.5399932861328,0.0,0.0,0.0,0.0,138.5399932861328,0.0,0.0,0.0,0.0,0.0
17,2011-03-29,138.2100067138672,0.0,0.0,0.0,0.0,138.2100067138672,0.0,0.0,0.0,0.0,0.0
18,2011-03-30,138.6699981689453,0.0,0.0,0.0,0.0,138.6699981689453,0.0,0.0,0.0,0.0,0.0
19,2011-03-31,139.86000061035156,0.0,0.0,0.0,0.0,139.86000061035156,0.0,0.0,0.0,0.0,0.0
20,2011-04-01,139.1999969482422,0.0,0.0,0.0,0.0,139.1999969482422,0.0,0.0,0.0,0.0,0.0
21,2011-04-04,139.83999633789062,0.0,0.0,0.0,0.0,139.83999633789062,0.0,0.0,0.0,0.0,0.0
22,2011-04-05,142.0500030517578,0.0,0.0,0.0,0.0,142.0500030517578,0.0,0.0,0.0,0.0,0.0
23,2011-04-06,142.3800048828125,0.0,0.0,0.0,0.0,142.3800048828125,0.0,0.0,0.0,0.0,0.0
24,2011-04-07,142.50999450683594,0.0,0.0,0.0,0.0,142.50999450683594,0.0,0.0,0.0,0.0,0.0
25,2011-04-08,143.66000366210938,0.0,0.0,0.0,0.0,143.66000366210938,0.0,0.0,0.0,0.0,0.0
26,2011-04-11,142.63999938964844,0.0,0.0,0.0,0.0,142.63999938964844,0.0,0.0,0.0,0.0,0.0
27,2011-04-12,141.61000061035156,0.0,0.0,0.0,0.0,141.61000061035156,0.0,0.0,0.0,0.0,0.0
28,2011-04-13,141.89999389648438,0.0,0.0,0.0,0.0,141.89999389648438,0.0,0.0,0.0,0.0,0.0
29,2011-04-14,143.80999755859375,0.0,0.0,0.0,0.0,143.80999755859375,0.0,0.0,0.0,0.0,0.0
30,2011-04-15,145.0500030517578,0.0,0.0,0.0,0.0,145.0500030517578,0.0,0.0,0.0,0.0,0.0
31,2011-04-18,145.92999267578125,0.0,0.0,0.0,0.0,145.92999267578125,0.0,0.0,0.0,0.0,0.0
32,2011-04-19,145.92999267578125,0.0,0.0,0.0,0.0,145.92999267578125,0.0,0.0,0.0,0.0,0.0
33,2011-04-20,146.5,0.0,0.0,0.0,0.0,146.5,0.0,0.0,0.0,0.0,0.0
34,2011-04-21,146.74000549316406,0.0,0.0,0.0,0.0,146.74000549316406,0.0,0.0,0.0,0.0,0.0
35,2011-04-25,146.8699951171875,0.0,0.0,0.0,0.0,146.8699951171875,0.0,0.0,0.0,0.0,0.0
36,2011-04-26,146.3800048828125,0.0,0.0,0.0,0.0,146.3800048828125,0.0,0.0,0.0,0.0,0.0
37,2011-04-27,149.1999969482422,0.0,0.0,0.0,0.0,149.1999969482422,0.0,0.0,0.0,0.0,0.0
38,2011-04-28,149.82000732421875,0.0,0.0,0.0,0.0,149.82000732421875,0.0,0.0,0.0,0.0,0.0
