count,date,close,ma200,deviation,average,sigma
1,2011-03-01,299.25830078125,0.0,0.0,0.0,0.0
2,2011-03-02,299.27325439453125,0.0,0.0,0.0,0.0
3,2011-03-03,303.6418762207031,0.0,0.0,0.0,0.0
4,2011-03-04,299.1885681152344,0.0,0.0,0.0,0.0
5,2011-03-07,294.7253112792969,0.0,0.0,0.0,0.0
6,2011-03-08,295.049072265625,0.0,0.0,0.0,0.0
7,2011-03-09,294.78009033203125,0.0,0.0,0.0,0.0
8,2011-03-10,289.0664978027344,0.0,0.0,0.0,0.0
9,2011-03-11,287.2781982421875,0.0,0.0,0.0,0.0
10,2011-03-14,283.9307556152344,0.0,0.0,0.0,0.0
11,2011-03-15,283.716552734375,0.0,0.0,0.0,0.0
12,2011-03-16,277.50982666015625,0.0,0.0,0.0,0.0
13,2011-03-17,279.6318664550781,0.0,0.0,0.0,0.0
14,2011-03-18,279.482421875,0.0,0.0,0.0,0.0
15,2011-03-21,287.1736145019531,0.0,0.0,0.0,0.0
16,2011-03-22,287.5820617675781,0.0,0.0,0.0,0.0
17,2011-03-23,289.9930419921875,0.0,0.0,0.0,0.0
18,2011-03-24,292.3492126464844,0.0,0.0,0.0,0.0
19,2011-03-25,288.7875671386719,0.0,0.0,0.0,0.0
20,2011-03-28,286.6057434082031,0.0,0.0,0.0,0.0
21,2011-03-29,289.7788391113281,0.0,0.0,0.0,0.0
22,2011-03-30,289.8336181640625,0.0,0.0,0.0,0.0
23,2011-03-31,292.2844543457031,0.0,0.0,0.0,0.0
24,2011-04-01,294.7950439453125,0.0,0.0,0.0,0.0
25,2011-04-04,292.74273681640625,0.0,0.0,0.0,0.0
26,2011-04-05,283.4824523925781,0.0,0.0,0.0,0.0
27,2011-04-06,286.0179443359375,0.0,0.0,0.0,0.0
28,2011-04-07,288.91705322265625,0.0,0.0,0.0,0.0
29,2011-04-08,288.00048828125,0.0,0.0,0.0,0.0
30,2011-04-11,287.6069641113281,0.0,0.0,0.0,0.0
31,2011-04-12,284.2395935058594,0.0,0.0,0.0,0.0
32,2011-04-13,287.06402587890625,0.0,0.0,0.0,0.0
33,2011-04-14,288.1748352050781,0.0,0.0,0.0,0.0
34,2011-04-15,264.359130859375,0.0,0.0,0.0,0.0
35,2011-04-18,262.4363098144531,0.0,0.0,0.0,0.0
36,2011-04-19,259.7912292480469,0.0,0.0,0.0,0.0
37,2011-04-20,261.8833923339844,0.0,0.0,0.0,0.0
38,2011-04-21,261.569580078125,0.0,0.0,0.0,0.0
39,2011-04-25,261.544677734375,0.0,0.0,0.0,0.0
40,2011-04-26,265.4151611328125,0.0,0.0,0.0,0.0
41,2011-04-27,267.8759460449219,0.0,0.0,0.0,0.0
42,2011-04-28,267.98052978515625,0.0,0.0,0.0,0.0
43,2011-04-29,271.0340881347656,0.0,0.0,0.0,0.0
44,2011-05-02,268.2744445800781,0.0,0.0,0.0,0.0
45,2011-05-03,265.9481506347656,0.0,0.0,0.0,0.0
46,2011-05-04,266.8946228027344,0.0,0.0,0.0,0.0
47,2011-05-05,266.137451171875,0.0,0.0,0.0,0.0
48,2011-05-06,266.6505432128906,0.0,0.0,0.0,0.0
49,2011-05-09,267.8360900878906,0.0,0.0,0.0,0.0
50,2011-05-10,270.3167724609375,0.0,0.0,0.0,0.0
51,2011-05-11,266.7252502441406,0.0,0.0,0.0,0.0
52,2011-05-12,266.5260009765625,0.0,0.0,0.0,0.0
53,2011-05-13,263.7862548828125,0.0,0.0,0.0,0.0
54,2011-05-16,258.2420349121094,0.0,0.0,0.0,0.0
55,2011-05-17,264.23956298828125,0.0,0.0,0.0,0.0
56,2011-05-18,263.915771484375,0.0,0.0,0.0,0.0
57,2011-05-19,264.6330871582031,0.0,0.0,0.0,0.0
58,2011-05-20,261.03656005859375,0.0,0.0,0.0,0.0
59,2011-05-23,258.22711181640625,0.0,0.0,0.0,0.0
60,2011-05-24,258.162353515625,0.0,0.0,0.0,0.0
61,2011-05-25,258.8647155761719,0.0,0.0,0.0,0.0
62,2011-05-26,258.09759521484375,0.0,0.0,0.0,0.0
63,2011-05-27,259.4774169921875,0.0,0.0,0.0,0.0
64,2011-05-31,263.5222473144531,0.0,0.0,0.0,0.0
65,2011-06-01,261.8186340332031,0.0,0.0,0.0,0.0
66,2011-06-02,263.0440368652344,0.0,0.0,0.0,0.0
67,2011-06-03,260.5633544921875,0.0,0.0,0.0,0.0
68,2011-06-06,259.55712890625,0.0,0.0,0.0,0.0
69,2011-06-07,258.5458984375,0.0,0.0,0.0,0.0
70,2011-06-08,258.6156311035156,0.0,0.0,0.0,0.0
71,2011-06-09,257.40020751953125,0.0,0.0,0.0,0.0
72,2011-06-10,253.80368041992188,0.0,0.0,0.0,0.0
73,2011-06-13,251.422607421875,0.0,0.0,0.0,0.0
74,2011-06-14,253.23580932617188,0.0,0.0,0.0,0.0
75,2011-06-15,250.5359344482422,0.0,0.0,0.0,0.0
76,2011-06-16,249.25074768066406,0.0,0.0,0.0,0.0
77,2011-06-17,241.60440063476562,0.0,0.0,0.0,0.0
78,2011-06-20,241.38522338867188,0.0,0.0,0.0,0.0
79,2011-06-21,245.5795135498047,0.0,0.0,0.0,0.0
80,2011-06-22,242.59568786621094,0.0,0.0,0.0,0.0
