count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,38.684452056884766,0.0,0.0,0.0,0.0,38.684452056884766,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,39.40481185913086,0.0,0.0,0.0,0.0,39.40481185913086,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,39.50966262817383,0.0,0.0,0.0,0.0,39.50966262817383,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,39.022830963134766,0.0,0.0,0.0,0.0,39.47283096313477,0.0,0.0,0.0,0.0,0.45
5,2011-03-11,38.93293380737305,0.0,0.0,0.0,0.0,39.38293380737305,0.0,0.0,0.0,0.0,0.45
6,2011-03-14,38.63334274291992,0.0,0.0,0.0,0.0,39.083342742919925,0.0,0.0,0.0,0.0,0.45
7,2011-03-15,38.543460845947266,0.0,0.0,0.0,0.0,38.99346084594727,0.0,0.0,0.0,0.0,0.45
8,2011-03-16,38.01167297363281,0.0,0.0,0.0,0.0,38.461672973632815,0.0,0.0,0.0,0.0,0.45
9,2011-03-17,38.3562126159668,0.0,0.0,0.0,0.0,38.8062126159668,0.0,0.0,0.0,0.0,0.45
10,2011-03-18,38.77564239501953,0.0,0.0,0.0,0.0,39.225642395019534,0.0,0.0,0.0,0.0,0.45
11,2011-03-21,39.502174377441406,0.0,0.0,0.0,0.0,39.95217437744141,0.0,0.0,0.0,0.0,0.45
12,2011-03-22,39.17263412475586,0.0,0.0,0.0,0.0,39.62263412475586,0.0,0.0,0.0,0.0,0.45
13,2011-03-23,39.22505569458008,0.0,0.0,0.0,0.0,39.67505569458008,0.0,0.0,0.0,0.0,0.45
14,2011-03-24,39.41230773925781,0.0,0.0,0.0,0.0,39.862307739257815,0.0,0.0,0.0,0.0,0.45
15,2011-03-25,39.532127380371094,0.0,0.0,0.0,0.0,39.9821273803711,0.0,0.0,0.0,0.0,0.45
16,2011-03-28,39.299949645996094,0.0,0.0,0.0,0.0,39.7499496459961,0.0,0.0,0.0,0.0,0.45
17,2011-03-29,39.599552154541016,0.0,0.0,0.0,0.0,40.04955215454102,0.0,0.0,0.0,0.0,0.45
18,2011-03-30,40.086395263671875,0.0,0.0,0.0,0.0,40.53639526367188,0.0,0.0,0.0,0.0,0.45
19,2011-03-31,40.17627716064453,0.0,0.0,0.0,0.0,40.626277160644534,0.0,0.0,0.0,0.0,0.45
20,2011-04-01,40.513336181640625,0.0,0.0,0.0,0.0,40.96333618164063,0.0,0.0,0.0,0.0,0.45
21,2011-04-04,40.820411682128906,0.0,0.0,0.0,0.0,41.27041168212891,0.0,0.0,0.0,0.0,0.45
22,2011-04-05,40.52082061767578,0.0,0.0,0.0,0.0,40.970820617675784,0.0,0.0,0.0,0.0,0.45
23,2011-04-06,40.468387603759766,0.0,0.0,0.0,0.0,40.91838760375977,0.0,0.0,0.0,0.0,0.45
24,2011-04-07,40.356040954589844,0.0,0.0,0.0,0.0,40.80604095458985,0.0,0.0,0.0,0.0,0.45
25,2011-04-08,39.891658782958984,0.0,0.0,0.0,0.0,40.34165878295899,0.0,0.0,0.0,0.0,0.45
26,2011-04-11,40.62567901611328,0.0,0.0,0.0,0.0,41.075679016113284,0.0,0.0,0.0,0.0,0.45
27,2011-04-12,40.400970458984375,0.0,0.0,0.0,0.0,40.85097045898438,0.0,0.0,0.0,0.0,0.45
28,2011-04-13,40.18376541137695,0.0,0.0,0.0,0.0,40.633765411376956,0.0,0.0,0.0,0.0,0.45
29,2011-04-14,40.453407287597656,0.0,0.0,0.0,0.0,40.90340728759766,0.0,0.0,0.0,0.0,0.45
30,2011-04-15,39.05278015136719,0.0,0.0,0.0,0.0,39.50278015136719,0.0,0.0,0.0,0.0,0.45
31,2011-04-18,38.8130989074707,0.0,0.0,0.0,0.0,39.263098907470706,0.0,0.0,0.0,0.0,0.45
32,2011-04-19,38.73820495605469,0.0,0.0,0.0,0.0,39.18820495605469,0.0,0.0,0.0,0.0,0.45
33,2011-04-20,39.59204864501953,0.0,0.0,0.0,0.0,40.042048645019534,0.0,0.0,0.0,0.0,0.45
34,2011-04-21,39.16514205932617,0.0,0.0,0.0,0.0,39.615142059326175,0.0,0.0,0.0,0.0,0.45
35,2011-04-25,39.00784683227539,0.0,0.0,0.0,0.0,39.45784683227539,0.0,0.0,0.0,0.0,0.45
36,2011-04-26,39.44974136352539,0.0,0.0,0.0,0.0,39.89974136352539,0.0,0.0,0.0,0.0,0.45
37,2011-04-27,39.73436737060547,0.0,0.0,0.0,0.0,40.18436737060547,0.0,0.0,0.0,0.0,0.45
38,2011-04-28,40.25117492675781,0.0,0.0,0.0,0.0,40.701174926757815,0.0,0.0,0.0,0.0,0.45
39,2011-04-29,40.22121810913086,0.0,0.0,0.0,0.0,40.67121810913086,0.0,0.0,0.0,0.0,0.45
40,2011-05-02,40.3185920715332,0.0,0.0,0.0,0.0,40.768592071533206,0.0,0.0,0.0,0.0,0.45
41,2011-05-03,40.01898956298828,0.0,0.0,0.0,0.0,40.468989562988284,0.0,0.0,0.0,0.0,0.45
42,2011-05-04,39.81676483154297,0.0,0.0,0.0,0.0,40.26676483154297,0.0,0.0,0.0,0.0,0.45
43,2011-05-05,39.7568359375,0.0,0.0,0.0,0.0,40.2068359375,0.0,0.0,0.0,0.0,0.45
44,2011-05-06,40.153812408447266,0.0,0.0,0.0,0.0,40.60381240844727,0.0,0.0,0.0,0.0,0.45
45,2011-05-09,40.715545654296875,0.0,0.0,0.0,0.0,41.16554565429688,0.0,0.0,0.0,0.0,0.45
46,2011-05-10,41.35969543457031,0.0,0.0,0.0,0.0,41.809695434570315,0.0,0.0,0.0,0.0,0.45
47,2011-05-11,41.31475067138672,0.0,0.0,0.0,0.0,41.76475067138672,0.0,0.0,0.0,0.0,0.45
48,2011-05-12,41.8690185546875,0.0,0.0,0.0,0.0,42.3190185546875,0.0,0.0,0.0,0.0,0.45
49,2011-05-13,41.5544319152832,0.0,0.0,0.0,0.0,42.004431915283206,0.0,0.0,0.0,0.0,0.45
50,2011-05-16,41.374671936035156,0.0,0.0,0.0,0.0,41.82467193603516,0.0,0.0,0.0,0.0,0.45
51,2011-05-17,41.172447204589844,0.0,0.0,0.0,0.0,41.62244720458985,0.0,0.0,0.0,0.0,0.45
52,2011-05-18,41.47954177856445,0.0,0.0,0.0,0.0,41.929541778564456,0.0,0.0,0.0,0.0,0.45
53,2011-05-19,41.38964080810547,0.0,0.0,0.0,0.0,41.83964080810547,0.0,0.0,0.0,0.0,0.45
54,2011-05-20,40.76049041748047,0.0,0.0,0.0,0.0,41.21049041748047,0.0,0.0,0.0,0.0,0.45
55,2011-05-23,40.371028900146484,0.0,0.0,0.0,0.0,40.82102890014649,0.0,0.0,0.0,0.0,0.45
56,2011-05-24,40.34855651855469,0.0,0.0,0.0,0.0,40.79855651855469,0.0,0.0,0.0,0.0,0.45
57,2011-05-25,40.12384033203125,0.0,0.0,0.0,0.0,40.57384033203125,0.0,0.0,0.0,0.0,0.45
58,2011-05-26,40.21372604370117,0.0,0.0,0.0,0.0,40.663726043701175,0.0,0.0,0.0,0.0,0.45
59,2011-05-27,40.34105682373047,0.0,0.0,0.0,0.0,40.79105682373047,0.0,0.0,0.0,0.0,0.45
60,2011-05-31,41.04511642456055,0.0,0.0,0.0,0.0,41.49511642456055,0.0,0.0,0.0,0.0,0.45
61,2011-06-01,39.4422607421875,0.0,0.0,0.0,0.0,39.8922607421875,0.0,0.0,0.0,0.0,0.45
62,2011-06-02,39.135169982910156,0.0,0.0,0.0,0.0,39.58516998291016,0.0,0.0,0.0,0.0,0.45
63,2011-06-03,38.700740814208984,0.0,0.0,0.0,0.0,39.15074081420899,0.0,0.0,0.0,0.0,0.45
64,2011-06-06,38.58839797973633,0.0,0.0,0.0,0.0,39.03839797973633,0.0,0.0,0.0,0.0,0.45
65,2011-06-07,38.26633071899414,0.0,0.0,0.0,0.0,38.71633071899414,0.0,0.0,0.0,0.0,0.45
66,2011-06-08,38.16053771972656,0.0,0.0,0.0,0.0,38.610537719726565,0.0,0.0,0.0,0.0,0.45
67,2011-06-09,38.36457443237305,0.0,0.0,0.0,0.0,39.264574432373045,0.0,0.0,0.0,0.0,0.9
68,2011-06-10,37.646690368652344,0.0,0.0,0.0,0.0,38.54669036865234,0.0,0.0,0.0,0.0,0.9
69,2011-06-13,37.81294631958008,0.0,0.0,0.0,0.0,38.71294631958008,0.0,0.0,0.0,0.0,0.9
70,2011-06-14,38.52325439453125,0.0,0.0,0.0,0.0,39.42325439453125,0.0,0.0,0.0,0.0,0.9
71,2011-06-15,38.16053771972656,0.0,0.0,0.0,0.0,39.06053771972656,0.0,0.0,0.0,0.0,0.9
72,2011-06-16,38.35700225830078,0.0,0.0,0.0,0.0,39.25700225830078,0.0,0.0,0.0,0.0,0.9
73,2011-06-17,38.7197265625,0.0,0.0,0.0,0.0,39.6197265625,0.0,0.0,0.0,0.0,0.9
74,2011-06-20,39.13533020019531,0.0,0.0,0.0,0.0,40.03533020019531,0.0,0.0,0.0,0.0,0.9
75,2011-06-21,39.65673065185547,0.0,0.0,0.0,0.0,40.55673065185547,0.0,0.0,0.0,0.0,0.9
76,2011-06-22,39.40737533569336,0.0,0.0,0.0,0.0,40.30737533569336,0.0,0.0,0.0,0.0,0.9
