count,date,close,ma200,deviation,average,sigma
1,2011-03-02,5.21382999420166,0.0,0.0,0.0,0.0
2,2011-03-03,5.311094760894775,0.0,0.0,0.0,0.0
3,2011-03-04,5.333715438842773,0.0,0.0,0.0,0.0
4,2011-03-07,5.376691818237305,0.0,0.0,0.0,0.0
5,2011-03-08,5.363119602203369,0.0,0.0,0.0,0.0
6,2011-03-09,5.453598499298096,0.0,0.0,0.0,0.0
7,2011-03-10,5.455860614776611,0.0,0.0,0.0,0.0
8,2011-03-11,5.421931743621826,0.0,0.0,0.0,0.0
9,2011-03-14,5.383478164672852,0.0,0.0,0.0,0.0
10,2011-03-15,5.311094760894775,0.0,0.0,0.0,0.0
11,2011-03-16,5.372168064117432,0.0,0.0,0.0,0.0
12,2011-03-17,5.320143222808838,0.0,0.0,0.0,0.0
13,2011-03-18,5.338238716125488,0.0,0.0,0.0,0.0
14,2011-03-21,5.487528324127197,0.0,0.0,0.0,0.0
15,2011-03-22,5.501100063323975,0.0,0.0,0.0,0.0
16,2011-03-23,5.564435005187988,0.0,0.0,0.0,0.0
17,2011-03-24,5.58705472946167,0.0,0.0,0.0,0.0
18,2011-03-25,5.573482036590576,0.0,0.0,0.0,0.0
19,2011-03-28,5.591578483581543,0.0,0.0,0.0,0.0
20,2011-03-29,5.575745582580566,0.0,0.0,0.0,0.0
21,2011-03-30,5.6413421630859375,0.0,0.0,0.0,0.0
22,2011-03-31,5.564435005187988,0.0,0.0,0.0,0.0
23,2011-04-01,5.645865440368652,0.0,0.0,0.0,0.0
24,2011-04-04,5.66848611831665,0.0,0.0,0.0,0.0
25,2011-04-05,5.58705472946167,0.0,0.0,0.0,0.0
26,2011-04-06,5.661700248718262,0.0,0.0,0.0,0.0
27,2011-04-07,5.648127555847168,0.0,0.0,0.0,0.0
28,2011-04-08,5.677534103393555,0.0,0.0,0.0,0.0
29,2011-04-11,5.817775726318359,0.0,0.0,0.0,0.0
30,2011-04-12,5.722772598266602,0.0,0.0,0.0,0.0
31,2011-04-13,5.774798393249512,0.0,0.0,0.0,0.0
32,2011-04-14,5.872063159942627,0.0,0.0,0.0,0.0
33,2011-04-15,6.007780075073242,0.0,0.0,0.0,0.0
34,2011-04-18,5.933135509490967,0.0,0.0,0.0,0.0
35,2011-04-19,5.881111145019531,0.0,0.0,0.0,0.0
36,2011-04-20,6.05754280090332,0.0,0.0,0.0,0.0
37,2011-04-21,6.005517482757568,0.0,0.0,0.0,0.0
38,2011-04-26,5.944445610046387,0.0,0.0,0.0,0.0
39,2011-04-27,5.930872917175293,0.0,0.0,0.0,0.0
40,2011-04-28,6.050758361816406,0.0,0.0,0.0,0.0
41,2011-04-29,6.048495769500732,0.0,0.0,0.0,0.0
42,2011-05-02,6.367432594299316,0.0,0.0,0.0,0.0
43,2011-05-03,6.188737392425537,0.0,0.0,0.0,0.0
44,2011-05-04,6.095997333526611,0.0,0.0,0.0,0.0
45,2011-05-05,6.053019046783447,0.0,0.0,0.0,0.0
46,2011-05-06,6.138975620269775,0.0,0.0,0.0,0.0
47,2011-05-09,6.021353244781494,0.0,0.0,0.0,0.0
48,2011-05-10,6.053019046783447,0.0,0.0,0.0,0.0
49,2011-05-11,6.193261623382568,0.0,0.0,0.0,0.0
50,2011-05-12,6.2023091316223145,0.0,0.0,0.0,0.0
51,2011-05-13,6.193261623382568,0.0,0.0,0.0,0.0
52,2011-05-16,6.157070636749268,0.0,0.0,0.0,0.0
53,2011-05-17,5.976112365722656,0.0,0.0,0.0,0.0
54,2011-05-18,6.0552825927734375,0.0,0.0,0.0,0.0
55,2011-05-19,6.1140923500061035,0.0,0.0,0.0,0.0
56,2011-05-20,6.109568119049072,0.0,0.0,0.0,0.0
57,2011-05-23,6.062066555023193,0.0,0.0,0.0,0.0
58,2011-05-24,6.107306957244873,0.0,0.0,0.0,0.0
59,2011-05-25,6.1525468826293945,0.0,0.0,0.0,0.0
60,2011-05-26,6.197785377502441,0.0,0.0,0.0,0.0
61,2011-05-27,6.270168781280518,0.0,0.0,0.0,0.0
62,2011-05-30,6.349337577819824,0.0,0.0,0.0,0.0
63,2011-05-31,6.417195796966553,0.0,0.0,0.0,0.0
64,2011-06-01,6.45338773727417,0.0,0.0,0.0,0.0
65,2011-06-02,6.4126715660095215,0.0,0.0,0.0,0.0
66,2011-06-03,6.365170001983643,0.0,0.0,0.0,0.0
67,2011-06-06,6.267906665802002,0.0,0.0,0.0,0.0
68,2011-06-07,6.1525468826293945,0.0,0.0,0.0,0.0
69,2011-06-08,6.095997333526611,0.0,0.0,0.0,0.0
70,2011-06-09,6.111832141876221,0.0,0.0,0.0,0.0
71,2011-06-10,6.028138637542725,0.0,0.0,0.0,0.0
72,2011-06-13,6.028138637542725,0.0,0.0,0.0,0.0
73,2011-06-14,6.107306957244873,0.0,0.0,0.0,0.0
74,2011-06-15,6.0756402015686035,0.0,0.0,0.0,0.0
75,2011-06-16,5.969326496124268,0.0,0.0,0.0,0.0
76,2011-06-17,6.021353244781494,0.0,0.0,0.0,0.0
77,2011-06-20,5.969326496124268,0.0,0.0,0.0,0.0
78,2011-06-21,6.014565467834473,0.0,0.0,0.0,0.0
79,2011-06-22,5.971589088439941,0.0,0.0,0.0,0.0
80,2011-06-23,5.881111145019531,0.0,0.0,0.0,0.0
81,2011-06-24,5.874324321746826,0.0,0.0,0.0,0.0
82,2011-06-27,5.890158653259277,0.0,0.0,0.0,0.0
83,2011-06-28,5.94896936416626,0.0,0.0,0.0,0.0
84,2011-06-29,6.102783203125,0.0,0.0,0.0,0.0
85,2011-06-30,6.261120319366455,0.0,0.0,0.0,0.0
86,2011-07-01,6.315408229827881,0.0,0.0,0.0,0.0
87,2011-07-04,6.371956825256348,0.0,0.0,0.0,0.0
88,2011-07-05,6.3787431716918945,0.0,0.0,0.0,0.0
89,2011-07-06,6.410410404205322,0.0,0.0,0.0,0.0
90,2011-07-07,6.3991007804870605,0.0,0.0,0.0,0.0
91,2011-07-08,6.514459609985352,0.0,0.0,0.0,0.0
92,2011-07-11,6.442078113555908,0.0,0.0,0.0,0.0
93,2011-07-12,6.419457912445068,0.0,0.0,0.0,0.0
94,2011-07-13,6.469221591949463,0.0,0.0,0.0,0.0
95,2011-07-14,6.4239821434021,0.0,0.0,0.0,0.0
96,2011-07-15,6.498626708984375,0.0,0.0,0.0,0.0
97,2011-07-18,6.582320213317871,0.0,0.0,0.0,0.0
98,2011-07-19,6.720299243927002,0.0,0.0,0.0,0.0
99,2011-07-20,6.799468517303467,0.0,0.0,0.0,0.0
100,2011-07-21,6.776848316192627,0.0,0.0,0.0,0.0
101,2011-07-22,6.738396167755127,0.0,0.0,0.0,0.0
102,2011-07-25,6.77232551574707,0.0,0.0,0.0,0.0
103,2011-07-26,6.715775489807129,0.0,0.0,0.0,0.0
104,2011-07-27,6.604939937591553,0.0,0.0,0.0,0.0
105,2011-07-28,6.876375198364258,0.0,0.0,0.0,0.0
106,2011-07-29,6.89673376083374,0.0,0.0,0.0,0.0
107,2011-08-01,6.867327690124512,0.0,0.0,0.0,0.0
108,2011-08-02,6.785897254943848,0.0,0.0,0.0,0.0
109,2011-08-03,6.679584503173828,0.0,0.0,0.0,0.0
110,2011-08-04,6.446601867675781,0.0,0.0,0.0,0.0
111,2011-08-05,6.3335041999816895,0.0,0.0,0.0,0.0
112,2011-08-08,6.07337760925293,0.0,0.0,0.0,0.0
113,2011-08-09,6.025876045227051,0.0,0.0,0.0,0.0
114,2011-08-10,5.881111145019531,0.0,0.0,0.0,0.0
115,2011-08-11,6.039448261260986,0.0,0.0,0.0,0.0
116,2011-08-12,6.200047492980957,0.0,0.0,0.0,0.0
117,2011-08-15,6.480532169342041,0.0,0.0,0.0,0.0
118,2011-08-16,6.532556056976318,0.0,0.0,0.0,0.0
119,2011-08-17,6.4873175621032715,0.0,0.0,0.0,0.0
120,2011-08-18,6.290525913238525,0.0,0.0,0.0,0.0
121,2011-08-19,6.243025302886963,0.0,0.0,0.0,0.0
122,2011-08-22,6.28826379776001,0.0,0.0,0.0,0.0
123,2011-08-23,6.193261623382568,0.0,0.0,0.0,0.0
124,2011-08-24,6.243025302886963,0.0,0.0,0.0,0.0
125,2011-08-25,6.175166130065918,0.0,0.0,0.0,0.0
126,2011-08-26,6.129926681518555,0.0,0.0,0.0,0.0
127,2011-08-29,6.272429943084717,0.0,0.0,0.0,0.0
128,2011-08-30,6.274692535400391,0.0,0.0,0.0,0.0
129,2011-08-31,6.482791900634766,0.0,0.0,0.0,0.0
130,2011-09-01,6.5506510734558105,0.0,0.0,0.0,0.0
131,2011-09-02,6.4239821434021,0.0,0.0,0.0,0.0
132,2011-09-05,6.299572944641113,0.0,0.0,0.0,0.0
133,2011-09-06,6.342552185058594,0.0,0.0,0.0,0.0
134,2011-09-07,6.469221591949463,0.0,0.0,0.0,0.0
135,2011-09-08,6.530294418334961,0.0,0.0,0.0,0.0
136,2011-09-09,6.4873175621032715,0.0,0.0,0.0,0.0
137,2011-09-12,6.322194576263428,0.0,0.0,0.0,0.0
138,2011-09-13,6.286002159118652,0.0,0.0,0.0,0.0
139,2011-09-14,6.317669868469238,0.0,0.0,0.0,0.0
140,2011-09-15,6.281478404998779,0.0,0.0,0.0,0.0
141,2011-09-16,6.265644073486328,0.0,0.0,0.0,0.0
142,2011-09-19,6.3335041999816895,0.0,0.0,0.0,0.0
143,2011-09-20,6.446601867675781,0.0,0.0,0.0,0.0
144,2011-09-21,6.4556498527526855,0.0,0.0,0.0,0.0
145,2011-09-22,6.222668170928955,0.0,0.0,0.0,0.0
146,2011-09-23,6.1140923500061035,0.0,0.0,0.0,0.0
147,2011-09-26,6.107306957244873,0.0,0.0,0.0,0.0
148,2011-09-27,6.220404624938965,0.0,0.0,0.0,0.0
149,2011-09-28,6.360647678375244,0.0,0.0,0.0,0.0
150,2011-09-29,6.35838508605957,0.0,0.0,0.0,0.0
151,2011-09-30,6.35159969329834,0.0,0.0,0.0,0.0
152,2011-10-03,6.28826379776001,0.0,0.0,0.0,0.0
153,2011-10-04,6.136711597442627,0.0,0.0,0.0,0.0
154,2011-10-05,6.127664566040039,0.0,0.0,0.0,0.0
155,2011-10-06,6.163856029510498,0.0,0.0,0.0,0.0
156,2011-10-07,6.2271904945373535,0.0,0.0,0.0,0.0
157,2011-10-10,6.304097652435303,0.0,0.0,0.0,0.0
158,2011-10-11,6.446601867675781,0.0,0.0,0.0,0.0
159,2011-10-12,6.446601867675781,0.0,0.0,0.0,0.0
160,2011-10-13,6.414934158325195,0.0,0.0,0.0,0.0
161,2011-10-14,6.485055446624756,0.0,0.0,0.0,0.0
162,2011-10-17,6.367432594299316,0.0,0.0,0.0,0.0
163,2011-10-18,6.331241607666016,0.0,0.0,0.0,0.0
164,2011-10-19,6.272429943084717,0.0,0.0,0.0,0.0
165,2011-10-20,6.143498420715332,0.0,0.0,0.0,0.0
166,2011-10-21,6.172903060913086,0.0,0.0,0.0,0.0
167,2011-10-24,6.143498420715332,0.0,0.0,0.0,0.0
168,2011-10-25,6.071115493774414,0.0,0.0,0.0,0.0
169,2011-10-26,6.091473579406738,0.0,0.0,0.0,0.0
170,2011-10-27,6.084686756134033,0.0,0.0,0.0,0.0
171,2011-10-28,6.197785377502441,0.0,0.0,0.0,0.0
172,2011-10-31,6.100520133972168,0.0,0.0,0.0,0.0
173,2011-11-01,5.858490943908691,0.0,0.0,0.0,0.0
174,2011-11-02,5.817775726318359,0.0,0.0,0.0,0.0
175,2011-11-03,5.813251495361328,0.0,0.0,0.0,0.0
176,2011-11-04,5.808728218078613,0.0,0.0,0.0,0.0
177,2011-11-07,5.779322147369385,0.0,0.0,0.0,0.0
178,2011-11-08,5.740869045257568,0.0,0.0,0.0,0.0
179,2011-11-09,5.611935615539551,0.0,0.0,0.0,0.0
180,2011-11-10,5.609674453735352,0.0,0.0,0.0,0.0
181,2011-11-11,5.57800817489624,0.0,0.0,0.0,0.0
182,2011-11-14,5.473956108093262,0.0,0.0,0.0,0.0
183,2011-11-15,5.385739326477051,0.0,0.0,0.0,0.0
184,2011-11-16,5.406098365783691,0.0,0.0,0.0,0.0
185,2011-11-17,5.394786834716797,0.0,0.0,0.0,0.0
186,2011-11-18,5.428716659545898,0.0,0.0,0.0,0.0
187,2011-11-21,5.238712310791016,0.0,0.0,0.0,0.0
188,2011-11-22,5.1866865158081055,0.0,0.0,0.0,0.0
189,2011-11-23,5.161804676055908,0.0,0.0,0.0,0.0
190,2011-11-24,5.023825168609619,0.0,0.0,0.0,0.0
191,2011-11-25,5.048707485198975,0.0,0.0,0.0,0.0
192,2011-11-28,5.157280921936035,0.0,0.0,0.0,0.0
193,2011-11-29,5.152757167816162,0.0,0.0,0.0,0.0
194,2011-11-30,5.430980205535889,0.0,0.0,0.0,0.0
195,2011-12-01,5.519196510314941,0.0,0.0,0.0,0.0
196,2011-12-02,5.820037364959717,0.0,0.0,0.0,0.0
197,2011-12-05,5.962541103363037,0.0,0.0,0.0,0.0
198,2011-12-06,5.600625991821289,0.0,0.0,0.0,0.0
199,2011-12-07,5.593840599060059,0.0,0.0,0.0,0.0
200,2011-12-08,5.609674453735352,6.042445082664489,0.9283782271897286,0.9283782271897286,0.0
201,2011-12-09,5.634556293487549,6.0445487141609195,0.9321715416549035,0.9302748844223161,0.0018966572325874176
202,2011-12-12,5.505624294281006,6.04552136182785,0.9106947051819518,0.9237481580088613,0.009359194469831588
203,2011-12-13,5.532766819000244,6.046516618728638,0.9150337570995685,0.9215695577815382,0.008940625688092129
204,2011-12-14,5.473956108093262,6.047002940177918,0.9052345702898243,0.9183025602831953,0.010326709096918022
205,2011-12-15,5.464908599853516,6.047511885166168,0.9036623166063205,0.9158625196703829,0.010892034930987234
206,2011-12-16,5.473956108093262,6.047613673210144,0.9051431529665852,0.9143311815698404,0.010759105097612838
207,2011-12-19,5.648127555847168,6.048575007915497,0.9337947447879407,0.9167641269721029,0.011946677906494625
208,2011-12-20,5.654914379119873,6.049739921092987,0.9347367742873511,0.9187610877849082,0.012600309886575508
209,2011-12-21,5.70015287399292,6.051323294639587,0.9419679955031087,0.9210817785567282,0.013833346639177947
210,2011-12-22,5.709200859069824,6.053313825130463,0.9431529611711116,0.9230882497034905,0.014636401393609312
211,2011-12-23,5.772536277770996,6.05531566619873,0.9533006363307809,0.925605948589098,0.016312544551349485
212,2011-12-27,5.795156002044678,6.05769073009491,0.956660922495441,0.9279947927357397,0.017723116648474212
213,2011-12-28,5.725034236907959,6.059624707698822,0.9447836315067892,0.9291939955051003,0.017617254354532683
214,2011-12-29,5.912777900695801,6.061750955581665,0.9754240885220318,0.9322760017062292,0.020558675672149373
215,2011-12-30,5.881111145019531,6.063651010990143,0.9698960468470621,0.9346272545275311,0.021889924537348244
216,2012-01-02,5.944445610046387,6.065551064014435,0.9800338909540239,0.9372982331408541,0.023772429924528375
217,2012-01-03,5.94896936416626,6.067360637187957,0.9804871870816355,0.9396976194708978,0.025131699740883844
218,2012-01-04,5.892420291900635,6.068955328464508,0.9709117917319491,0.9413404706425321,0.02543504242912756
219,2012-01-05,5.84265661239624,6.070210719108582,0.9625129806456277,0.942399096142687,0.025216807594240092
220,2012-01-06,5.820037364959717,6.071432178020477,0.9585938200922596,0.9431702734736188,0.024849573901406526
221,2012-01-09,5.876586437225342,6.072608399391174,0.9677203025004074,0.9442861838839274,0.024810954396067713
222,2012-01-10,5.890158653259277,6.074237017631531,0.9696952285796662,0.9453909249576552,0.024812676646172677
223,2012-01-11,6.003256797790527,6.07602397441864,0.9880238825695096,0.9471672981914824,0.0257408739847305
224,2012-01-12,5.985159873962402,6.077607343196869,0.9847888381045298,0.9486721597880045,0.026276215327751037
225,2012-01-13,5.872063159942627,6.079032385349274,0.9659535905902638,0.9493368302034758,0.025979391753953793
226,2012-01-16,5.849442481994629,6.0799710965156555,0.9620839292059893,0.9498089449813466,0.02560715982971709
227,2012-01-17,5.953493118286133,6.08149792432785,0.9789517635894178,0.950849759931635,0.025720746717546067
