count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,112.56316375732422,0.0,0.0,0.0,0.0,112.56316375732422,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,113.33415985107422,0.0,0.0,0.0,0.0,113.33415985107422,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,113.64918518066406,0.0,0.0,0.0,0.0,113.64918518066406,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,111.43559265136719,0.0,0.0,0.0,0.0,111.43559265136719,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,113.15180206298828,0.0,0.0,0.0,0.0,113.15180206298828,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,112.36419677734375,0.0,0.0,0.0,0.0,112.36419677734375,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,111.41902160644531,0.0,0.0,0.0,0.0,111.41902160644531,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,110.3660888671875,0.0,0.0,0.0,0.0,110.3660888671875,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,111.55168914794922,0.0,0.0,0.0,0.0,111.55168914794922,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,112.36419677734375,0.0,0.0,0.0,0.0,112.36419677734375,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,113.19326782226562,0.0,0.0,0.0,0.0,113.19326782226562,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,112.49681091308594,0.0,0.0,0.0,0.0,112.49681091308594,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,111.9579086303711,0.0,0.0,0.0,0.0,111.9579086303711,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,112.52996063232422,0.0,0.0,0.0,0.0,112.52996063232422,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,112.67922973632812,0.0,0.0,0.0,0.0,112.67922973632812,0.0,0.0,0.0,0.0,0.0
