count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,11.254656791687012,0.0,0.0,0.0,0.0,11.254656791687012,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,11.428892135620117,0.0,0.0,0.0,0.0,11.428892135620117,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,11.520155906677246,0.0,0.0,0.0,0.0,11.520155906677246,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,11.437188148498535,0.0,0.0,0.0,0.0,11.437188148498535,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,11.507712364196777,0.0,0.0,0.0,0.0,11.507712364196777,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,11.428892135620117,0.0,0.0,0.0,0.0,11.428892135620117,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,11.291994094848633,0.0,0.0,0.0,0.0,11.291994094848633,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,11.167540550231934,0.0,0.0,0.0,0.0,11.167540550231934,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,11.221470832824707,0.0,0.0,0.0,0.0,11.221470832824707,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,11.47037410736084,0.0,0.0,0.0,0.0,11.47037410736084,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,11.586532592773438,0.0,0.0,0.0,0.0,11.586532592773438,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,11.433036804199219,0.0,0.0,0.0,0.0,11.433036804199219,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,11.374961853027344,0.0,0.0,0.0,0.0,11.374961853027344,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,11.433036804199219,0.0,0.0,0.0,0.0,11.433036804199219,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,11.636308670043945,0.0,0.0,0.0,0.0,11.636308670043945,0.0,0.0,0.0,0.0,0.0
16,2011-03-28,11.553343772888184,0.0,0.0,0.0,0.0,11.553343772888184,0.0,0.0,0.0,0.0,0.0
17,2011-03-29,11.65705394744873,0.0,0.0,0.0,0.0,11.65705394744873,0.0,0.0,0.0,0.0,0.0
18,2011-03-30,11.594827651977539,0.0,0.0,0.0,0.0,11.594827651977539,0.0,0.0,0.0,0.0,0.0
19,2011-03-31,11.549195289611816,0.0,0.0,0.0,0.0,11.549195289611816,0.0,0.0,0.0,0.0,0.0
20,2011-04-01,11.710981369018555,0.0,0.0,0.0,0.0,11.710981369018555,0.0,0.0,0.0,0.0,0.0
21,2011-04-04,11.644606590270996,0.0,0.0,0.0,0.0,11.644606590270996,0.0,0.0,0.0,0.0,0.0
22,2011-04-05,11.61971664428711,0.0,0.0,0.0,0.0,11.61971664428711,0.0,0.0,0.0,0.0,0.0
23,2011-04-06,11.594827651977539,0.0,0.0,0.0,0.0,11.594827651977539,0.0,0.0,0.0,0.0,0.0
24,2011-04-07,11.549195289611816,0.0,0.0,0.0,0.0,11.549195289611816,0.0,0.0,0.0,0.0,0.0
25,2011-04-08,11.503560066223145,0.0,0.0,0.0,0.0,11.503560066223145,0.0,0.0,0.0,0.0,0.0
26,2011-04-11,11.449633598327637,0.0,0.0,0.0,0.0,11.449633598327637,0.0,0.0,0.0,0.0,0.0
27,2011-04-12,11.457928657531738,0.0,0.0,0.0,0.0,11.457928657531738,0.0,0.0,0.0,0.0,0.0
28,2011-04-13,11.781506538391113,0.0,0.0,0.0,0.0,11.781506538391113,0.0,0.0,0.0,0.0,0.0
29,2011-04-14,11.773205757141113,0.0,0.0,0.0,0.0,11.773205757141113,0.0,0.0,0.0,0.0,0.0
30,2011-04-15,11.85617446899414,0.0,0.0,0.0,0.0,11.85617446899414,0.0,0.0,0.0,0.0,0.0
31,2011-04-18,11.73587417602539,0.0,0.0,0.0,0.0,11.73587417602539,0.0,0.0,0.0,0.0,0.0
32,2011-04-19,11.797550201416016,0.0,0.0,0.0,0.0,11.797550201416016,0.0,0.0,0.0,0.0,0.0
33,2011-04-20,11.860057830810547,0.0,0.0,0.0,0.0,11.924057830810547,0.0,0.0,0.0,0.0,0.064
34,2011-04-21,11.855892181396484,0.0,0.0,0.0,0.0,11.919892181396484,0.0,0.0,0.0,0.0,0.064
35,2011-04-25,11.805885314941406,0.0,0.0,0.0,0.0,11.869885314941406,0.0,0.0,0.0,0.0,0.064
36,2011-04-26,11.985075950622559,0.0,0.0,0.0,0.0,12.049075950622559,0.0,0.0,0.0,0.0,0.064
37,2011-04-27,12.089258193969727,0.0,0.0,0.0,0.0,12.153258193969727,0.0,0.0,0.0,0.0,0.064
38,2011-04-28,12.189271926879883,0.0,0.0,0.0,0.0,12.253271926879883,0.0,0.0,0.0,0.0,0.064
39,2011-04-29,12.255948066711426,0.0,0.0,0.0,0.0,12.319948066711426,0.0,0.0,0.0,0.0,0.064
40,2011-05-02,12.247612953186035,0.0,0.0,0.0,0.0,12.311612953186035,0.0,0.0,0.0,0.0,0.064
41,2011-05-03,12.247612953186035,0.0,0.0,0.0,0.0,12.311612953186035,0.0,0.0,0.0,0.0,0.064
42,2011-05-04,12.1434326171875,0.0,0.0,0.0,0.0,12.2074326171875,0.0,0.0,0.0,0.0,0.064
43,2011-05-05,12.026748657226562,0.0,0.0,0.0,0.0,12.090748657226563,0.0,0.0,0.0,0.0,0.064
44,2011-05-06,12.080924034118652,0.0,0.0,0.0,0.0,12.144924034118652,0.0,0.0,0.0,0.0,0.064
45,2011-05-09,12.11426067352295,0.0,0.0,0.0,0.0,12.17826067352295,0.0,0.0,0.0,0.0,0.064
46,2011-05-10,12.176774024963379,0.0,0.0,0.0,0.0,12.240774024963379,0.0,0.0,0.0,0.0,0.064
47,2011-05-11,12.085088729858398,0.0,0.0,0.0,0.0,12.149088729858398,0.0,0.0,0.0,0.0,0.064
48,2011-05-12,12.418471336364746,0.0,0.0,0.0,0.0,12.482471336364746,0.0,0.0,0.0,0.0,0.064
49,2011-05-13,12.435140609741211,0.0,0.0,0.0,0.0,12.499140609741211,0.0,0.0,0.0,0.0,0.064
50,2011-05-16,12.330963134765625,0.0,0.0,0.0,0.0,12.394963134765625,0.0,0.0,0.0,0.0,0.064
51,2011-05-17,12.426807403564453,0.0,0.0,0.0,0.0,12.490807403564453,0.0,0.0,0.0,0.0,0.064
52,2011-05-18,12.539323806762695,0.0,0.0,0.0,0.0,12.603323806762695,0.0,0.0,0.0,0.0,0.064
53,2011-05-19,12.610167503356934,0.0,0.0,0.0,0.0,12.674167503356934,0.0,0.0,0.0,0.0,0.064
54,2011-05-20,12.535157203674316,0.0,0.0,0.0,0.0,12.599157203674316,0.0,0.0,0.0,0.0,0.064
55,2011-05-23,12.522655487060547,0.0,0.0,0.0,0.0,12.586655487060547,0.0,0.0,0.0,0.0,0.064
56,2011-05-24,12.510156631469727,0.0,0.0,0.0,0.0,12.574156631469727,0.0,0.0,0.0,0.0,0.064
