count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,114.31449127197266,0.0,0.0,0.0,0.0,114.31449127197266,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,115.99423217773438,0.0,0.0,0.0,0.0,115.99423217773438,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,118.5531234741211,0.0,0.0,0.0,0.0,118.5531234741211,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,115.80834197998047,0.0,0.0,0.0,0.0,115.80834197998047,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,116.1014175415039,0.0,0.0,0.0,0.0,116.1014175415039,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,115.35808563232422,0.0,0.0,0.0,0.0,115.35808563232422,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,113.66409301757812,0.0,0.0,0.0,0.0,113.66409301757812,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,109.36105346679688,0.0,0.0,0.0,0.0,109.36105346679688,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,110.20449829101562,0.0,0.0,0.0,0.0,110.20449829101562,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,111.42680358886719,0.0,0.0,0.0,0.0,111.42680358886719,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,112.7062759399414,0.0,0.0,0.0,0.0,112.7062759399414,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,112.93499755859375,0.0,0.0,0.0,0.0,112.93499755859375,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,114.02860260009766,0.0,0.0,0.0,0.0,114.02860260009766,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,114.39309692382812,0.0,0.0,0.0,0.0,114.39309692382812,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,115.92277526855469,0.0,0.0,0.0,0.0,115.92277526855469,0.0,0.0,0.0,0.0,0.0
16,2011-03-28,115.34374237060547,0.0,0.0,0.0,0.0,115.34374237060547,0.0,0.0,0.0,0.0,0.0
17,2011-03-29,116.42310333251953,0.0,0.0,0.0,0.0,116.42310333251953,0.0,0.0,0.0,0.0,0.0
18,2011-03-30,116.9377670288086,0.0,0.0,0.0,0.0,116.9377670288086,0.0,0.0,0.0,0.0,0.0
19,2011-03-31,116.55889892578125,0.0,0.0,0.0,0.0,116.55889892578125,0.0,0.0,0.0,0.0,0.0
20,2011-04-01,117.41661834716797,0.0,0.0,0.0,0.0,117.41661834716797,0.0,0.0,0.0,0.0,0.0
21,2011-04-04,117.4023666381836,0.0,0.0,0.0,0.0,117.4023666381836,0.0,0.0,0.0,0.0,0.0
22,2011-04-05,117.21649932861328,0.0,0.0,0.0,0.0,117.21649932861328,0.0,0.0,0.0,0.0,0.0
23,2011-04-06,117.25227355957031,0.0,0.0,0.0,0.0,117.25227355957031,0.0,0.0,0.0,0.0,0.0
24,2011-04-07,117.49525451660156,0.0,0.0,0.0,0.0,117.49525451660156,0.0,0.0,0.0,0.0,0.0
25,2011-04-08,117.25936889648438,0.0,0.0,0.0,0.0,117.25936889648438,0.0,0.0,0.0,0.0,0.0
26,2011-04-11,117.1878662109375,0.0,0.0,0.0,0.0,117.1878662109375,0.0,0.0,0.0,0.0,0.0
27,2011-04-12,116.68758392333984,0.0,0.0,0.0,0.0,116.68758392333984,0.0,0.0,0.0,0.0,0.0
28,2011-04-13,117.1878662109375,0.0,0.0,0.0,0.0,117.1878662109375,0.0,0.0,0.0,0.0,0.0
