count,date,close,ma200,deviation,average,sigma
1,2011-03-01,12058.01953125,0.0,0.0,0.0,0.0
2,2011-03-02,12066.7998046875,0.0,0.0,0.0,0.0
3,2011-03-03,12258.2001953125,0.0,0.0,0.0,0.0
4,2011-03-04,12169.8798828125,0.0,0.0,0.0,0.0
5,2011-03-07,12090.0302734375,0.0,0.0,0.0,0.0
6,2011-03-08,12214.3798828125,0.0,0.0,0.0,0.0
7,2011-03-09,12213.08984375,0.0,0.0,0.0,0.0
8,2011-03-10,11984.6103515625,0.0,0.0,0.0,0.0
9,2011-03-11,12044.400390625,0.0,0.0,0.0,0.0
10,2011-03-14,11993.16015625,0.0,0.0,0.0,0.0
11,2011-03-15,11855.419921875,0.0,0.0,0.0,0.0
12,2011-03-16,11613.2998046875,0.0,0.0,0.0,0.0
13,2011-03-17,11774.58984375,0.0,0.0,0.0,0.0
14,2011-03-18,11858.51953125,0.0,0.0,0.0,0.0
15,2011-03-21,12036.5302734375,0.0,0.0,0.0,0.0
16,2011-03-22,12018.6298828125,0.0,0.0,0.0,0.0
17,2011-03-23,12086.01953125,0.0,0.0,0.0,0.0
18,2011-03-24,12170.5595703125,0.0,0.0,0.0,0.0
19,2011-03-25,12220.58984375,0.0,0.0,0.0,0.0
20,2011-03-28,12197.8798828125,0.0,0.0,0.0,0.0
21,2011-03-29,12279.009765625,0.0,0.0,0.0,0.0
22,2011-03-30,12350.6103515625,0.0,0.0,0.0,0.0
23,2011-03-31,12319.73046875,0.0,0.0,0.0,0.0
24,2011-04-01,12376.7197265625,0.0,0.0,0.0,0.0
25,2011-04-04,12400.0302734375,0.0,0.0,0.0,0.0
26,2011-04-05,12393.900390625,0.0,0.0,0.0,0.0
27,2011-04-06,12426.75,0.0,0.0,0.0,0.0
28,2011-04-07,12409.490234375,0.0,0.0,0.0,0.0
29,2011-04-08,12380.0498046875,0.0,0.0,0.0,0.0
30,2011-04-11,12381.1103515625,0.0,0.0,0.0,0.0
31,2011-04-12,12263.580078125,0.0,0.0,0.0,0.0
32,2011-04-13,12270.990234375,0.0,0.0,0.0,0.0
