count,date,close,ma200,deviation,average,sigma
1,2011-03-01,1306.3299560546875,0.0,0.0,0.0,0.0
2,2011-03-02,1308.43994140625,0.0,0.0,0.0,0.0
3,2011-03-03,1330.969970703125,0.0,0.0,0.0,0.0
4,2011-03-04,1321.1500244140625,0.0,0.0,0.0,0.0
5,2011-03-07,1310.1300048828125,0.0,0.0,0.0,0.0
6,2011-03-08,1321.8199462890625,0.0,0.0,0.0,0.0
7,2011-03-09,1320.02001953125,0.0,0.0,0.0,0.0
8,2011-03-10,1295.1099853515625,0.0,0.0,0.0,0.0
9,2011-03-11,1304.280029296875,0.0,0.0,0.0,0.0
10,2011-03-14,1296.3900146484375,0.0,0.0,0.0,0.0
11,2011-03-15,1281.8699951171875,0.0,0.0,0.0,0.0
12,2011-03-16,1256.8800048828125,0.0,0.0,0.0,0.0
13,2011-03-17,1273.719970703125,0.0,0.0,0.0,0.0
14,2011-03-18,1279.2099609375,0.0,0.0,0.0,0.0
15,2011-03-21,1298.3800048828125,0.0,0.0,0.0,0.0
16,2011-03-22,1293.77001953125,0.0,0.0,0.0,0.0
17,2011-03-23,1297.5400390625,0.0,0.0,0.0,0.0
18,2011-03-24,1309.6600341796875,0.0,0.0,0.0,0.0
19,2011-03-25,1313.800048828125,0.0,0.0,0.0,0.0
20,2011-03-28,1310.18994140625,0.0,0.0,0.0,0.0
21,2011-03-29,1319.43994140625,0.0,0.0,0.0,0.0
22,2011-03-30,1328.260009765625,0.0,0.0,0.0,0.0
23,2011-03-31,1325.8299560546875,0.0,0.0,0.0,0.0
24,2011-04-01,1332.4100341796875,0.0,0.0,0.0,0.0
25,2011-04-04,1332.8699951171875,0.0,0.0,0.0,0.0
26,2011-04-05,1332.6300048828125,0.0,0.0,0.0,0.0
27,2011-04-06,1335.5400390625,0.0,0.0,0.0,0.0
28,2011-04-07,1333.510009765625,0.0,0.0,0.0,0.0
29,2011-04-08,1328.1700439453125,0.0,0.0,0.0,0.0
30,2011-04-11,1324.4599609375,0.0,0.0,0.0,0.0
31,2011-04-12,1314.1600341796875,0.0,0.0,0.0,0.0
32,2011-04-13,1314.4100341796875,0.0,0.0,0.0,0.0
33,2011-04-14,1314.52001953125,0.0,0.0,0.0,0.0
34,2011-04-15,1319.6800537109375,0.0,0.0,0.0,0.0
35,2011-04-18,1305.1400146484375,0.0,0.0,0.0,0.0
36,2011-04-19,1312.6199951171875,0.0,0.0,0.0,0.0
37,2011-04-20,1330.3599853515625,0.0,0.0,0.0,0.0
38,2011-04-21,1337.3800048828125,0.0,0.0,0.0,0.0
39,2011-04-25,1335.25,0.0,0.0,0.0,0.0
40,2011-04-26,1347.239990234375,0.0,0.0,0.0,0.0
41,2011-04-27,1355.6600341796875,0.0,0.0,0.0,0.0
42,2011-04-28,1360.47998046875,0.0,0.0,0.0,0.0
43,2011-04-29,1363.6099853515625,0.0,0.0,0.0,0.0
44,2011-05-02,1361.219970703125,0.0,0.0,0.0,0.0
45,2011-05-03,1356.6199951171875,0.0,0.0,0.0,0.0
46,2011-05-04,1347.3199462890625,0.0,0.0,0.0,0.0
47,2011-05-05,1335.0999755859375,0.0,0.0,0.0,0.0
48,2011-05-06,1340.199951171875,0.0,0.0,0.0,0.0
49,2011-05-09,1346.2900390625,0.0,0.0,0.0,0.0
50,2011-05-10,1357.1600341796875,0.0,0.0,0.0,0.0
51,2011-05-11,1342.0799560546875,0.0,0.0,0.0,0.0
52,2011-05-12,1348.6500244140625,0.0,0.0,0.0,0.0
53,2011-05-13,1337.77001953125,0.0,0.0,0.0,0.0
54,2011-05-16,1329.469970703125,0.0,0.0,0.0,0.0
