count,date,close,ma200,deviation,average,sigma
1,2011-03-01,10761.8896484375,0.0,0.0,0.0,0.0
2,2011-03-02,10643.7890625,0.0,0.0,0.0,0.0
3,2011-03-03,10566.8896484375,0.0,0.0,0.0,0.0
4,2011-03-04,10498.689453125,0.0,0.0,0.0,0.0
5,2011-03-07,10495.689453125,0.0,0.0,0.0,0.0
6,2011-03-08,10568.689453125,0.0,0.0,0.0,0.0
7,2011-03-09,10559.4892578125,0.0,0.0,0.0,0.0
8,2011-03-10,10435.5888671875,0.0,0.0,0.0,0.0
9,2011-03-11,10398.3896484375,0.0,0.0,0.0,0.0
10,2011-03-14,10415.8896484375,0.0,0.0,0.0,0.0
11,2011-03-15,10329.689453125,0.0,0.0,0.0,0.0
12,2011-03-16,10092.58984375,0.0,0.0,0.0,0.0
13,2011-03-17,10325.5888671875,0.0,0.0,0.0,0.0
14,2011-03-18,10328.3896484375,0.0,0.0,0.0,0.0
15,2011-03-21,10574.3896484375,0.0,0.0,0.0,0.0
16,2011-03-22,10576.0888671875,0.0,0.0,0.0,0.0
17,2011-03-23,10637.9892578125,0.0,0.0,0.0,0.0
18,2011-03-24,10755.5888671875,0.0,0.0,0.0,0.0
19,2011-03-25,10710.3896484375,0.0,0.0,0.0,0.0
20,2011-03-28,10750.9892578125,0.0,0.0,0.0,0.0
21,2011-03-29,10734.9892578125,0.0,0.0,0.0,0.0
22,2011-03-30,10732.2890625,0.0,0.0,0.0,0.0
23,2011-03-31,10576.4892578125,0.0,0.0,0.0,0.0
24,2011-04-01,10729.8896484375,0.0,0.0,0.0,0.0
25,2011-04-04,10756.0888671875,0.0,0.0,0.0,0.0
26,2011-04-05,10678.5888671875,0.0,0.0,0.0,0.0
27,2011-04-06,10845.0888671875,0.0,0.0,0.0,0.0
28,2011-04-07,10849.0888671875,0.0,0.0,0.0,0.0
29,2011-04-08,10913.189453125,0.0,0.0,0.0,0.0
30,2011-04-11,10878.2890625,0.0,0.0,0.0,0.0
31,2011-04-12,10784.4892578125,0.0,0.0,0.0,0.0
32,2011-04-13,10785.9892578125,0.0,0.0,0.0,0.0
33,2011-04-14,10622.689453125,0.0,0.0,0.0,0.0
34,2011-04-15,10558.5888671875,0.0,0.0,0.0,0.0
35,2011-04-18,10344.8896484375,0.0,0.0,0.0,0.0
36,2011-04-19,10376.4892578125,0.0,0.0,0.0,0.0
37,2011-04-20,10535.3896484375,0.0,0.0,0.0,0.0
38,2011-04-21,10584.0888671875,0.0,0.0,0.0,0.0
39,2011-04-26,10650.5888671875,0.0,0.0,0.0,0.0
40,2011-04-27,10740.8896484375,0.0,0.0,0.0,0.0
41,2011-04-28,10867.7890625,0.0,0.0,0.0,0.0
42,2011-04-29,10878.8896484375,0.0,0.0,0.0,0.0
43,2011-05-02,10877.2890625,0.0,0.0,0.0,0.0
44,2011-05-03,10825.5888671875,0.0,0.0,0.0,0.0
45,2011-05-04,10712.5888671875,0.0,0.0,0.0,0.0
46,2011-05-05,10627.2890625,0.0,0.0,0.0,0.0
47,2011-05-06,10610.4892578125,0.0,0.0,0.0,0.0
48,2011-05-09,10396.2890625,0.0,0.0,0.0,0.0
49,2011-05-10,10474.3896484375,0.0,0.0,0.0,0.0
50,2011-05-11,10531.4892578125,0.0,0.0,0.0,0.0
51,2011-05-12,10487.5888671875,0.0,0.0,0.0,0.0
52,2011-05-13,10356.4892578125,0.0,0.0,0.0,0.0
53,2011-05-16,10363.8896484375,0.0,0.0,0.0,0.0
54,2011-05-17,10306.3896484375,0.0,0.0,0.0,0.0
55,2011-05-18,10343.689453125,0.0,0.0,0.0,0.0
56,2011-05-19,10376.7890625,0.0,0.0,0.0,0.0
57,2011-05-20,10226.5888671875,0.0,0.0,0.0,0.0
58,2011-05-23,10082.6904296875,0.0,0.0,0.0,0.0
59,2011-05-24,10115.890625,0.0,0.0,0.0,0.0
60,2011-05-25,10217.3896484375,0.0,0.0,0.0,0.0
61,2011-05-26,10203.189453125,0.0,0.0,0.0,0.0
62,2011-05-27,10261.189453125,0.0,0.0,0.0,0.0
63,2011-05-30,10257.5888671875,0.0,0.0,0.0,0.0
64,2011-05-31,10475.9892578125,0.0,0.0,0.0,0.0
65,2011-06-01,10339.2890625,0.0,0.0,0.0,0.0
66,2011-06-02,10260.9892578125,0.0,0.0,0.0,0.0
67,2011-06-03,10285.689453125,0.0,0.0,0.0,0.0
68,2011-06-06,10157.689453125,0.0,0.0,0.0,0.0
69,2011-06-07,10168.0888671875,0.0,0.0,0.0,0.0
70,2011-06-08,10082.490234375,0.0,0.0,0.0,0.0
71,2011-06-09,10121.689453125,0.0,0.0,0.0,0.0
72,2011-06-10,9950.7900390625,0.0,0.0,0.0,0.0
73,2011-06-13,9946.1904296875,0.0,0.0,0.0,0.0
74,2011-06-14,10132.5888671875,0.0,0.0,0.0,0.0
75,2011-06-15,9933.08984375,0.0,0.0,0.0,0.0
76,2011-06-16,9918.490234375,0.0,0.0,0.0,0.0
77,2011-06-17,10135.189453125,0.0,0.0,0.0,0.0
78,2011-06-20,10038.08984375,0.0,0.0,0.0,0.0
79,2011-06-21,10231.8896484375,0.0,0.0,0.0,0.0
80,2011-06-22,10226.189453125,0.0,0.0,0.0,0.0
81,2011-06-23,9942.58984375,0.0,0.0,0.0,0.0
82,2011-06-24,9812.6904296875,0.0,0.0,0.0,0.0
83,2011-06-27,9872.1904296875,0.0,0.0,0.0,0.0
84,2011-06-28,9936.6904296875,0.0,0.0,0.0,0.0
85,2011-06-29,10143.5888671875,0.0,0.0,0.0,0.0
86,2011-06-30,10359.8896484375,0.0,0.0,0.0,0.0
87,2011-07-01,10491.9892578125,0.0,0.0,0.0,0.0
88,2011-07-04,10467.9892578125,0.0,0.0,0.0,0.0
89,2011-07-05,10330.0888671875,0.0,0.0,0.0,0.0
90,2011-07-06,10204.4892578125,0.0,0.0,0.0,0.0
