count,date,close,ma200,deviation,average,sigma
1,2011-03-01,2737.409912109375,0.0,0.0,0.0,0.0
2,2011-03-02,2748.070068359375,0.0,0.0,0.0,0.0
3,2011-03-03,2798.739990234375,0.0,0.0,0.0,0.0
4,2011-03-04,2784.669921875,0.0,0.0,0.0,0.0
5,2011-03-07,2745.6298828125,0.0,0.0,0.0,0.0
6,2011-03-08,2765.77001953125,0.0,0.0,0.0,0.0
7,2011-03-09,2751.719970703125,0.0,0.0,0.0,0.0
8,2011-03-10,2701.02001953125,0.0,0.0,0.0,0.0
9,2011-03-11,2715.610107421875,0.0,0.0,0.0,0.0
10,2011-03-14,2700.969970703125,0.0,0.0,0.0,0.0
11,2011-03-15,2667.330078125,0.0,0.0,0.0,0.0
12,2011-03-16,2616.820068359375,0.0,0.0,0.0,0.0
13,2011-03-17,2636.050048828125,0.0,0.0,0.0,0.0
14,2011-03-18,2643.669921875,0.0,0.0,0.0,0.0
15,2011-03-21,2692.090087890625,0.0,0.0,0.0,0.0
16,2011-03-22,2683.8701171875,0.0,0.0,0.0,0.0
17,2011-03-23,2698.300048828125,0.0,0.0,0.0,0.0
18,2011-03-24,2736.419921875,0.0,0.0,0.0,0.0
19,2011-03-25,2743.06005859375,0.0,0.0,0.0,0.0
20,2011-03-28,2730.679931640625,0.0,0.0,0.0,0.0
21,2011-03-29,2756.889892578125,0.0,0.0,0.0,0.0
22,2011-03-30,2776.7900390625,0.0,0.0,0.0,0.0
23,2011-03-31,2781.070068359375,0.0,0.0,0.0,0.0
24,2011-04-01,2789.60009765625,0.0,0.0,0.0,0.0
25,2011-04-04,2789.18994140625,0.0,0.0,0.0,0.0
26,2011-04-05,2791.18994140625,0.0,0.0,0.0,0.0
27,2011-04-06,2799.820068359375,0.0,0.0,0.0,0.0
28,2011-04-07,2796.139892578125,0.0,0.0,0.0,0.0
29,2011-04-08,2780.419921875,0.0,0.0,0.0,0.0
30,2011-04-11,2771.510009765625,0.0,0.0,0.0,0.0
31,2011-04-12,2744.7900390625,0.0,0.0,0.0,0.0
32,2011-04-13,2761.52001953125,0.0,0.0,0.0,0.0
33,2011-04-14,2760.219970703125,0.0,0.0,0.0,0.0
34,2011-04-15,2764.64990234375,0.0,0.0,0.0,0.0
35,2011-04-18,2735.3798828125,0.0,0.0,0.0,0.0
36,2011-04-19,2744.969970703125,0.0,0.0,0.0,0.0
37,2011-04-20,2802.510009765625,0.0,0.0,0.0,0.0
38,2011-04-21,2820.159912109375,0.0,0.0,0.0,0.0
39,2011-04-25,2825.8798828125,0.0,0.0,0.0,0.0
40,2011-04-26,2847.5400390625,0.0,0.0,0.0,0.0
41,2011-04-27,2869.8798828125,0.0,0.0,0.0,0.0
42,2011-04-28,2872.530029296875,0.0,0.0,0.0,0.0
43,2011-04-29,2873.5400390625,0.0,0.0,0.0,0.0
44,2011-05-02,2864.080078125,0.0,0.0,0.0,0.0
45,2011-05-03,2841.6201171875,0.0,0.0,0.0,0.0
46,2011-05-04,2828.22998046875,0.0,0.0,0.0,0.0
47,2011-05-05,2814.719970703125,0.0,0.0,0.0,0.0
48,2011-05-06,2827.56005859375,0.0,0.0,0.0,0.0
49,2011-05-09,2843.25,0.0,0.0,0.0,0.0
50,2011-05-10,2871.889892578125,0.0,0.0,0.0,0.0
51,2011-05-11,2845.06005859375,0.0,0.0,0.0,0.0
52,2011-05-12,2863.0400390625,0.0,0.0,0.0,0.0
53,2011-05-13,2828.469970703125,0.0,0.0,0.0,0.0
54,2011-05-16,2782.31005859375,0.0,0.0,0.0,0.0
55,2011-05-17,2783.2099609375,0.0,0.0,0.0,0.0
56,2011-05-18,2815.0,0.0,0.0,0.0,0.0
57,2011-05-19,2823.31005859375,0.0,0.0,0.0,0.0
58,2011-05-20,2803.320068359375,0.0,0.0,0.0,0.0
59,2011-05-23,2758.89990234375,0.0,0.0,0.0,0.0
60,2011-05-24,2746.159912109375,0.0,0.0,0.0,0.0
61,2011-05-25,2761.3798828125,0.0,0.0,0.0,0.0
62,2011-05-26,2782.919921875,0.0,0.0,0.0,0.0
63,2011-05-27,2796.860107421875,0.0,0.0,0.0,0.0
64,2011-05-31,2835.300048828125,0.0,0.0,0.0,0.0
65,2011-06-01,2769.18994140625,0.0,0.0,0.0,0.0
66,2011-06-02,2773.31005859375,0.0,0.0,0.0,0.0
67,2011-06-03,2732.780029296875,0.0,0.0,0.0,0.0
68,2011-06-06,2702.56005859375,0.0,0.0,0.0,0.0
69,2011-06-07,2701.56005859375,0.0,0.0,0.0,0.0
70,2011-06-08,2675.3798828125,0.0,0.0,0.0,0.0
71,2011-06-09,2684.8701171875,0.0,0.0,0.0,0.0
72,2011-06-10,2643.72998046875,0.0,0.0,0.0,0.0
73,2011-06-13,2639.68994140625,0.0,0.0,0.0,0.0
74,2011-06-14,2678.719970703125,0.0,0.0,0.0,0.0
75,2011-06-15,2631.4599609375,0.0,0.0,0.0,0.0
76,2011-06-16,2623.699951171875,0.0,0.0,0.0,0.0
77,2011-06-17,2616.47998046875,0.0,0.0,0.0,0.0
78,2011-06-20,2629.659912109375,0.0,0.0,0.0,0.0
79,2011-06-21,2687.260009765625,0.0,0.0,0.0,0.0
80,2011-06-22,2669.18994140625,0.0,0.0,0.0,0.0
81,2011-06-23,2686.75,0.0,0.0,0.0,0.0
82,2011-06-24,2652.889892578125,0.0,0.0,0.0,0.0
83,2011-06-27,2688.280029296875,0.0,0.0,0.0,0.0
84,2011-06-28,2729.31005859375,0.0,0.0,0.0,0.0
85,2011-06-29,2740.489990234375,0.0,0.0,0.0,0.0
86,2011-06-30,2773.52001953125,0.0,0.0,0.0,0.0
87,2011-07-01,2816.030029296875,0.0,0.0,0.0,0.0
88,2011-07-05,2825.77001953125,0.0,0.0,0.0,0.0
89,2011-07-06,2834.02001953125,0.0,0.0,0.0,0.0
90,2011-07-07,2872.659912109375,0.0,0.0,0.0,0.0
91,2011-07-08,2859.81005859375,0.0,0.0,0.0,0.0
92,2011-07-11,2802.6201171875,0.0,0.0,0.0,0.0
93,2011-07-12,2781.909912109375,0.0,0.0,0.0,0.0
94,2011-07-13,2796.919921875,0.0,0.0,0.0,0.0
95,2011-07-14,2762.669921875,0.0,0.0,0.0,0.0
96,2011-07-15,2789.800048828125,0.0,0.0,0.0,0.0
97,2011-07-18,2765.110107421875,0.0,0.0,0.0,0.0
98,2011-07-19,2826.52001953125,0.0,0.0,0.0,0.0
99,2011-07-20,2814.22998046875,0.0,0.0,0.0,0.0
100,2011-07-21,2834.429931640625,0.0,0.0,0.0,0.0
101,2011-07-22,2858.830078125,0.0,0.0,0.0,0.0
102,2011-07-25,2842.800048828125,0.0,0.0,0.0,0.0
103,2011-07-26,2839.9599609375,0.0,0.0,0.0,0.0
104,2011-07-27,2764.7900390625,0.0,0.0,0.0,0.0
105,2011-07-28,2766.25,0.0,0.0,0.0,0.0
106,2011-07-29,2756.3798828125,0.0,0.0,0.0,0.0
107,2011-08-01,2744.610107421875,0.0,0.0,0.0,0.0
108,2011-08-02,2669.239990234375,0.0,0.0,0.0,0.0
109,2011-08-03,2693.070068359375,0.0,0.0,0.0,0.0
110,2011-08-04,2556.389892578125,0.0,0.0,0.0,0.0
111,2011-08-05,2532.409912109375,0.0,0.0,0.0,0.0
112,2011-08-08,2357.68994140625,0.0,0.0,0.0,0.0
113,2011-08-09,2482.52001953125,0.0,0.0,0.0,0.0
114,2011-08-10,2381.050048828125,0.0,0.0,0.0,0.0
115,2011-08-11,2492.679931640625,0.0,0.0,0.0,0.0
116,2011-08-12,2507.97998046875,0.0,0.0,0.0,0.0
117,2011-08-15,2555.199951171875,0.0,0.0,0.0,0.0
118,2011-08-16,2523.449951171875,0.0,0.0,0.0,0.0
119,2011-08-17,2511.47998046875,0.0,0.0,0.0,0.0
120,2011-08-18,2380.429931640625,0.0,0.0,0.0,0.0
121,2011-08-19,2341.840087890625,0.0,0.0,0.0,0.0
122,2011-08-22,2345.3798828125,0.0,0.0,0.0,0.0
123,2011-08-23,2446.06005859375,0.0,0.0,0.0,0.0
124,2011-08-24,2467.68994140625,0.0,0.0,0.0,0.0
125,2011-08-25,2419.6298828125,0.0,0.0,0.0,0.0
126,2011-08-26,2479.85009765625,0.0,0.0,0.0,0.0
127,2011-08-29,2562.110107421875,0.0,0.0,0.0,0.0
128,2011-08-30,2576.110107421875,0.0,0.0,0.0,0.0
129,2011-08-31,2579.4599609375,0.0,0.0,0.0,0.0
130,2011-09-01,2546.0400390625,0.0,0.0,0.0,0.0
131,2011-09-02,2480.330078125,0.0,0.0,0.0,0.0
132,2011-09-06,2473.830078125,0.0,0.0,0.0,0.0
133,2011-09-07,2548.93994140625,0.0,0.0,0.0,0.0
134,2011-09-08,2529.139892578125,0.0,0.0,0.0,0.0
135,2011-09-09,2467.989990234375,0.0,0.0,0.0,0.0
136,2011-09-12,2495.090087890625,0.0,0.0,0.0,0.0
137,2011-09-13,2532.14990234375,0.0,0.0,0.0,0.0
138,2011-09-14,2572.550048828125,0.0,0.0,0.0,0.0
139,2011-09-15,2607.070068359375,0.0,0.0,0.0,0.0
140,2011-09-16,2622.31005859375,0.0,0.0,0.0,0.0
141,2011-09-19,2612.830078125,0.0,0.0,0.0,0.0
142,2011-09-20,2590.239990234375,0.0,0.0,0.0,0.0
143,2011-09-21,2538.18994140625,0.0,0.0,0.0,0.0
144,2011-09-22,2455.669921875,0.0,0.0,0.0,0.0
145,2011-09-23,2483.22998046875,0.0,0.0,0.0,0.0
146,2011-09-26,2516.68994140625,0.0,0.0,0.0,0.0
147,2011-09-27,2546.830078125,0.0,0.0,0.0,0.0
148,2011-09-28,2491.580078125,0.0,0.0,0.0,0.0
149,2011-09-29,2480.760009765625,0.0,0.0,0.0,0.0
150,2011-09-30,2415.39990234375,0.0,0.0,0.0,0.0
151,2011-10-03,2335.830078125,0.0,0.0,0.0,0.0
152,2011-10-04,2404.820068359375,0.0,0.0,0.0,0.0
153,2011-10-05,2460.510009765625,0.0,0.0,0.0,0.0
154,2011-10-06,2506.820068359375,0.0,0.0,0.0,0.0
155,2011-10-07,2479.35009765625,0.0,0.0,0.0,0.0
156,2011-10-10,2566.050048828125,0.0,0.0,0.0,0.0
157,2011-10-11,2583.030029296875,0.0,0.0,0.0,0.0
158,2011-10-12,2604.72998046875,0.0,0.0,0.0,0.0
159,2011-10-13,2620.239990234375,0.0,0.0,0.0,0.0
160,2011-10-14,2667.85009765625,0.0,0.0,0.0,0.0
161,2011-10-17,2614.919921875,0.0,0.0,0.0,0.0
162,2011-10-18,2657.429931640625,0.0,0.0,0.0,0.0
163,2011-10-19,2604.0400390625,0.0,0.0,0.0,0.0
164,2011-10-20,2598.6201171875,0.0,0.0,0.0,0.0
165,2011-10-21,2637.4599609375,0.0,0.0,0.0,0.0
166,2011-10-24,2699.43994140625,0.0,0.0,0.0,0.0
167,2011-10-25,2638.419921875,0.0,0.0,0.0,0.0
168,2011-10-26,2650.669921875,0.0,0.0,0.0,0.0
169,2011-10-27,2738.6298828125,0.0,0.0,0.0,0.0
170,2011-10-28,2737.14990234375,0.0,0.0,0.0,0.0
171,2011-10-31,2684.409912109375,0.0,0.0,0.0,0.0
172,2011-11-01,2606.9599609375,0.0,0.0,0.0,0.0
173,2011-11-02,2639.97998046875,0.0,0.0,0.0,0.0
174,2011-11-03,2697.969970703125,0.0,0.0,0.0,0.0
175,2011-11-04,2686.14990234375,0.0,0.0,0.0,0.0
176,2011-11-07,2695.25,0.0,0.0,0.0,0.0
177,2011-11-08,2727.489990234375,0.0,0.0,0.0,0.0
178,2011-11-09,2621.64990234375,0.0,0.0,0.0,0.0
179,2011-11-10,2625.14990234375,0.0,0.0,0.0,0.0
