count,date,close,ma200,deviation,average,sigma
1,2011-03-01,807.0800170898438,0.0,0.0,0.0,0.0
2,2011-03-02,810.9000244140625,0.0,0.0,0.0,0.0
3,2011-03-03,828.8900146484375,0.0,0.0,0.0,0.0
4,2011-03-04,824.989990234375,0.0,0.0,0.0,0.0
5,2011-03-07,812.25,0.0,0.0,0.0,0.0
6,2011-03-08,824.6599731445312,0.0,0.0,0.0,0.0
7,2011-03-09,821.1900024414062,0.0,0.0,0.0,0.0
8,2011-03-10,799.530029296875,0.0,0.0,0.0,0.0
9,2011-03-11,802.8300170898438,0.0,0.0,0.0,0.0
10,2011-03-14,798.1699829101562,0.0,0.0,0.0,0.0
11,2011-03-15,791.3300170898438,0.0,0.0,0.0,0.0
12,2011-03-16,781.9000244140625,0.0,0.0,0.0,0.0
13,2011-03-17,785.52001953125,0.0,0.0,0.0,0.0
14,2011-03-18,794.6599731445312,0.0,0.0,0.0,0.0
15,2011-03-21,813.02001953125,0.0,0.0,0.0,0.0
16,2011-03-22,808.6599731445312,0.0,0.0,0.0,0.0
17,2011-03-23,811.239990234375,0.0,0.0,0.0,0.0
18,2011-03-24,817.0999755859375,0.0,0.0,0.0,0.0
19,2011-03-25,823.8499755859375,0.0,0.0,0.0,0.0
20,2011-03-28,821.77001953125,0.0,0.0,0.0,0.0
21,2011-03-29,829.489990234375,0.0,0.0,0.0,0.0
22,2011-03-30,840.3699951171875,0.0,0.0,0.0,0.0
23,2011-03-31,843.5499877929688,0.0,0.0,0.0,0.0
24,2011-04-01,846.77001953125,0.0,0.0,0.0,0.0
25,2011-04-04,849.3599853515625,0.0,0.0,0.0,0.0
26,2011-04-05,853.3099975585938,0.0,0.0,0.0,0.0
27,2011-04-06,854.1699829101562,0.0,0.0,0.0,0.0
28,2011-04-07,849.4400024414062,0.0,0.0,0.0,0.0
29,2011-04-08,840.8900146484375,0.0,0.0,0.0,0.0
30,2011-04-11,833.8599853515625,0.0,0.0,0.0,0.0
31,2011-04-12,822.27001953125,0.0,0.0,0.0,0.0
32,2011-04-13,823.9199829101562,0.0,0.0,0.0,0.0
33,2011-04-14,827.469970703125,0.0,0.0,0.0,0.0
34,2011-04-15,834.97998046875,0.0,0.0,0.0,0.0
35,2011-04-18,821.510009765625,0.0,0.0,0.0,0.0
36,2011-04-19,823.010009765625,0.0,0.0,0.0,0.0
37,2011-04-20,839.4500122070312,0.0,0.0,0.0,0.0
38,2011-04-21,845.6400146484375,0.0,0.0,0.0,0.0
39,2011-04-25,844.22998046875,0.0,0.0,0.0,0.0
40,2011-04-26,853.0399780273438,0.0,0.0,0.0,0.0
41,2011-04-27,858.3099975585938,0.0,0.0,0.0,0.0
42,2011-04-28,861.5499877929688,0.0,0.0,0.0,0.0
43,2011-04-29,865.2899780273438,0.0,0.0,0.0,0.0
44,2011-05-02,854.77001953125,0.0,0.0,0.0,0.0
45,2011-05-03,843.77001953125,0.0,0.0,0.0,0.0
46,2011-05-04,832.9000244140625,0.0,0.0,0.0,0.0
47,2011-05-05,829.239990234375,0.0,0.0,0.0,0.0
48,2011-05-06,833.3400268554688,0.0,0.0,0.0,0.0
49,2011-05-09,842.7999877929688,0.0,0.0,0.0,0.0
50,2011-05-10,855.9099731445312,0.0,0.0,0.0,0.0
51,2011-05-11,840.6599731445312,0.0,0.0,0.0,0.0
52,2011-05-12,847.530029296875,0.0,0.0,0.0,0.0
53,2011-05-13,835.6699829101562,0.0,0.0,0.0,0.0
54,2011-05-16,822.9099731445312,0.0,0.0,0.0,0.0
55,2011-05-17,820.3599853515625,0.0,0.0,0.0,0.0
56,2011-05-18,833.4500122070312,0.0,0.0,0.0,0.0
57,2011-05-19,835.1599731445312,0.0,0.0,0.0,0.0
58,2011-05-20,829.0599975585938,0.0,0.0,0.0,0.0
59,2011-05-23,814.0399780273438,0.0,0.0,0.0,0.0
60,2011-05-24,810.3300170898438,0.0,0.0,0.0,0.0
61,2011-05-25,820.8699951171875,0.0,0.0,0.0,0.0
62,2011-05-26,830.8699951171875,0.0,0.0,0.0,0.0
63,2011-05-27,836.260009765625,0.0,0.0,0.0,0.0
64,2011-05-31,848.2999877929688,0.0,0.0,0.0,0.0
65,2011-06-01,821.4000244140625,0.0,0.0,0.0,0.0
66,2011-06-02,820.6900024414062,0.0,0.0,0.0,0.0
67,2011-06-03,808.1300048828125,0.0,0.0,0.0,0.0
68,2011-06-06,795.3200073242188,0.0,0.0,0.0,0.0
69,2011-06-07,797.5499877929688,0.0,0.0,0.0,0.0
70,2011-06-08,788.0399780273438,0.0,0.0,0.0,0.0
71,2011-06-09,792.6400146484375,0.0,0.0,0.0,0.0
72,2011-06-10,779.5399780273438,0.0,0.0,0.0,0.0
73,2011-06-13,777.2000122070312,0.0,0.0,0.0,0.0
74,2011-06-14,793.989990234375,0.0,0.0,0.0,0.0
75,2011-06-15,779.4600219726562,0.0,0.0,0.0,0.0
76,2011-06-16,781.5399780273438,0.0,0.0,0.0,0.0
77,2011-06-17,781.75,0.0,0.0,0.0,0.0
78,2011-06-20,788.47998046875,0.0,0.0,0.0,0.0
79,2011-06-21,806.3699951171875,0.0,0.0,0.0,0.0
80,2011-06-22,799.8699951171875,0.0,0.0,0.0,0.0
81,2011-06-23,802.6799926757812,0.0,0.0,0.0,0.0
82,2011-06-24,797.7899780273438,0.0,0.0,0.0,0.0
83,2011-06-27,805.1400146484375,0.0,0.0,0.0,0.0
84,2011-06-28,817.3099975585938,0.0,0.0,0.0,0.0
85,2011-06-29,819.9199829101562,0.0,0.0,0.0,0.0
86,2011-06-30,827.4299926757812,0.0,0.0,0.0,0.0
87,2011-07-01,840.0399780273438,0.0,0.0,0.0,0.0
88,2011-07-05,841.6199951171875,0.0,0.0,0.0,0.0
89,2011-07-06,845.22998046875,0.0,0.0,0.0,0.0
90,2011-07-07,858.1099853515625,0.0,0.0,0.0,0.0
91,2011-07-08,852.5700073242188,0.0,0.0,0.0,0.0
92,2011-07-11,833.5399780273438,0.0,0.0,0.0,0.0
93,2011-07-12,829.77001953125,0.0,0.0,0.0,0.0
94,2011-07-13,836.97998046875,0.0,0.0,0.0,0.0
95,2011-07-14,823.3200073242188,0.0,0.0,0.0,0.0
96,2011-07-15,828.780029296875,0.0,0.0,0.0,0.0
97,2011-07-18,815.969970703125,0.0,0.0,0.0,0.0
98,2011-07-19,834.6199951171875,0.0,0.0,0.0,0.0
99,2011-07-20,832.3400268554688,0.0,0.0,0.0,0.0
100,2011-07-21,841.260009765625,0.0,0.0,0.0,0.0
101,2011-07-22,841.8200073242188,0.0,0.0,0.0,0.0
102,2011-07-25,831.4000244140625,0.0,0.0,0.0,0.0
103,2011-07-26,824.8300170898438,0.0,0.0,0.0,0.0
104,2011-07-27,800.530029296875,0.0,0.0,0.0,0.0
105,2011-07-28,799.3400268554688,0.0,0.0,0.0,0.0
106,2011-07-29,797.030029296875,0.0,0.0,0.0,0.0
107,2011-08-01,792.8499755859375,0.0,0.0,0.0,0.0
108,2011-08-02,767.010009765625,0.0,0.0,0.0,0.0
109,2011-08-03,772.780029296875,0.0,0.0,0.0,0.0
110,2011-08-04,726.7999877929688,0.0,0.0,0.0,0.0
111,2011-08-05,714.6300048828125,0.0,0.0,0.0,0.0
112,2011-08-08,650.9600219726562,0.0,0.0,0.0,0.0
113,2011-08-09,696.1599731445312,0.0,0.0,0.0,0.0
114,2011-08-10,660.2100219726562,0.0,0.0,0.0,0.0
115,2011-08-11,695.8900146484375,0.0,0.0,0.0,0.0
116,2011-08-12,697.5,0.0,0.0,0.0,0.0
117,2011-08-15,718.6300048828125,0.0,0.0,0.0,0.0
118,2011-08-16,704.760009765625,0.0,0.0,0.0,0.0
119,2011-08-17,704.030029296875,0.0,0.0,0.0,0.0
120,2011-08-18,662.510009765625,0.0,0.0,0.0,0.0
121,2011-08-19,651.7000122070312,0.0,0.0,0.0,0.0
122,2011-08-22,651.3400268554688,0.0,0.0,0.0,0.0
123,2011-08-23,683.0700073242188,0.0,0.0,0.0,0.0
124,2011-08-24,692.5700073242188,0.0,0.0,0.0,0.0
125,2011-08-25,674.4199829101562,0.0,0.0,0.0,0.0
126,2011-08-26,691.7899780273438,0.0,0.0,0.0,0.0
127,2011-08-29,724.6500244140625,0.0,0.0,0.0,0.0
128,2011-08-30,728.0800170898438,0.0,0.0,0.0,0.0
129,2011-08-31,726.8099975585938,0.0,0.0,0.0,0.0
130,2011-09-01,708.9199829101562,0.0,0.0,0.0,0.0
131,2011-09-02,683.3599853515625,0.0,0.0,0.0,0.0
132,2011-09-06,680.8699951171875,0.0,0.0,0.0,0.0
133,2011-09-07,709.469970703125,0.0,0.0,0.0,0.0
134,2011-09-08,694.9199829101562,0.0,0.0,0.0,0.0
135,2011-09-09,673.9600219726562,0.0,0.0,0.0,0.0
136,2011-09-12,679.760009765625,0.0,0.0,0.0,0.0
137,2011-09-13,691.739990234375,0.0,0.0,0.0,0.0
138,2011-09-14,704.1199951171875,0.0,0.0,0.0,0.0
139,2011-09-15,713.510009765625,0.0,0.0,0.0,0.0
140,2011-09-16,714.3099975585938,0.0,0.0,0.0,0.0
141,2011-09-19,702.22998046875,0.0,0.0,0.0,0.0
142,2011-09-20,689.9500122070312,0.0,0.0,0.0,0.0
143,2011-09-21,664.5800170898438,0.0,0.0,0.0,0.0
144,2011-09-22,643.4199829101562,0.0,0.0,0.0,0.0
145,2011-09-23,652.4299926757812,0.0,0.0,0.0,0.0
146,2011-09-26,665.6199951171875,0.0,0.0,0.0,0.0
147,2011-09-27,680.22998046875,0.0,0.0,0.0,0.0
148,2011-09-28,651.969970703125,0.0,0.0,0.0,0.0
149,2011-09-29,662.7999877929688,0.0,0.0,0.0,0.0
150,2011-09-30,644.1599731445312,0.0,0.0,0.0,0.0
151,2011-10-03,609.489990234375,0.0,0.0,0.0,0.0
152,2011-10-04,648.6400146484375,0.0,0.0,0.0,0.0
153,2011-10-05,658.1099853515625,0.0,0.0,0.0,0.0
154,2011-10-06,673.7999877929688,0.0,0.0,0.0,0.0
155,2011-10-07,656.2100219726562,0.0,0.0,0.0,0.0
156,2011-10-10,684.9000244140625,0.0,0.0,0.0,0.0
157,2011-10-11,688.969970703125,0.0,0.0,0.0,0.0
158,2011-10-12,700.3800048828125,0.0,0.0,0.0,0.0
159,2011-10-13,698.8200073242188,0.0,0.0,0.0,0.0
160,2011-10-14,712.4600219726562,0.0,0.0,0.0,0.0
161,2011-10-17,688.5999755859375,0.0,0.0,0.0,0.0
162,2011-10-18,709.3400268554688,0.0,0.0,0.0,0.0
163,2011-10-19,694.3699951171875,0.0,0.0,0.0,0.0
164,2011-10-20,696.4199829101562,0.0,0.0,0.0,0.0
165,2011-10-21,712.4199829101562,0.0,0.0,0.0,0.0
166,2011-10-24,736.030029296875,0.0,0.0,0.0,0.0
167,2011-10-25,713.6500244140625,0.0,0.0,0.0,0.0
168,2011-10-26,727.1500244140625,0.0,0.0,0.0,0.0
169,2011-10-27,765.4299926757812,0.0,0.0,0.0,0.0
170,2011-10-28,761.0,0.0,0.0,0.0,0.0
171,2011-10-31,741.0599975585938,0.0,0.0,0.0,0.0
172,2011-11-01,713.8900146484375,0.0,0.0,0.0,0.0
173,2011-11-02,733.260009765625,0.0,0.0,0.0,0.0
174,2011-11-03,751.530029296875,0.0,0.0,0.0,0.0
175,2011-11-04,746.489990234375,0.0,0.0,0.0,0.0
176,2011-11-07,745.27001953125,0.0,0.0,0.0,0.0
177,2011-11-08,755.27001953125,0.0,0.0,0.0,0.0
178,2011-11-09,718.8599853515625,0.0,0.0,0.0,0.0
179,2011-11-10,725.47998046875,0.0,0.0,0.0,0.0
180,2011-11-11,744.6400146484375,0.0,0.0,0.0,0.0
181,2011-11-14,732.8900146484375,0.0,0.0,0.0,0.0
182,2011-11-15,743.0800170898438,0.0,0.0,0.0,0.0
183,2011-11-16,729.8599853515625,0.0,0.0,0.0,0.0
184,2011-11-17,718.75,0.0,0.0,0.0,0.0
185,2011-11-18,719.4199829101562,0.0,0.0,0.0,0.0
186,2011-11-21,701.9000244140625,0.0,0.0,0.0,0.0
187,2011-11-22,696.260009765625,0.0,0.0,0.0,0.0
188,2011-11-23,674.3400268554688,0.0,0.0,0.0,0.0
189,2011-11-25,666.1599731445312,0.0,0.0,0.0,0.0
190,2011-11-28,697.9000244140625,0.0,0.0,0.0,0.0
191,2011-11-29,696.0999755859375,0.0,0.0,0.0,0.0
192,2011-11-30,737.4199829101562,0.0,0.0,0.0,0.0
193,2011-12-01,730.75,0.0,0.0,0.0,0.0
194,2011-12-02,735.02001953125,0.0,0.0,0.0,0.0
195,2011-12-05,747.030029296875,0.0,0.0,0.0,0.0
