count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,8.856966018676758,0.0,0.0,0.0,0.0,8.856966018676758,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,8.742308616638184,0.0,0.0,0.0,0.0,8.742308616638184,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,8.684146881103516,0.0,0.0,0.0,0.0,8.684146881103516,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,8.807114601135254,0.0,0.0,0.0,0.0,8.807114601135254,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,8.752280235290527,0.0,0.0,0.0,0.0,8.752280235290527,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,8.680824279785156,0.0,0.0,0.0,0.0,8.680824279785156,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,8.6243257522583,0.0,0.0,0.0,0.0,8.6243257522583,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,8.516314506530762,0.0,0.0,0.0,0.0,8.516314506530762,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,8.571152687072754,0.0,0.0,0.0,0.0,8.571152687072754,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,8.748954772949219,0.0,0.0,0.0,0.0,8.748954772949219,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,8.87192440032959,0.0,0.0,0.0,0.0,8.87192440032959,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,8.973287582397461,0.0,0.0,0.0,0.0,8.973287582397461,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,9.513348579406738,0.0,0.0,0.0,0.0,9.513348579406738,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,9.593107223510742,0.0,0.0,0.0,0.0,9.593107223510742,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,9.435243606567383,0.0,0.0,0.0,0.0,9.435243606567383,0.0,0.0,0.0,0.0,0.0
16,2011-03-28,9.438570976257324,0.0,0.0,0.0,0.0,9.438570976257324,0.0,0.0,0.0,0.0,0.0
17,2011-03-29,9.561537742614746,0.0,0.0,0.0,0.0,9.561537742614746,0.0,0.0,0.0,0.0,0.0
18,2011-03-30,9.486761093139648,0.0,0.0,0.0,0.0,9.486761093139648,0.0,0.0,0.0,0.0,0.0
19,2011-03-31,9.408658981323242,0.0,0.0,0.0,0.0,9.408658981323242,0.0,0.0,0.0,0.0,0.0
20,2011-04-01,9.566524505615234,0.0,0.0,0.0,0.0,9.566524505615234,0.0,0.0,0.0,0.0,0.0
21,2011-04-04,9.729371070861816,0.0,0.0,0.0,0.0,9.729371070861816,0.0,0.0,0.0,0.0,0.0
22,2011-04-05,9.774234771728516,0.0,0.0,0.0,0.0,9.774234771728516,0.0,0.0,0.0,0.0,0.0
23,2011-04-06,9.890558242797852,0.0,0.0,0.0,0.0,9.890558242797852,0.0,0.0,0.0,0.0,0.0
24,2011-04-07,9.762604713439941,0.0,0.0,0.0,0.0,9.762604713439941,0.0,0.0,0.0,0.0,0.0
25,2011-04-08,9.779223442077637,0.0,0.0,0.0,0.0,9.779223442077637,0.0,0.0,0.0,0.0,0.0
26,2011-04-11,9.744325637817383,0.0,0.0,0.0,0.0,9.744325637817383,0.0,0.0,0.0,0.0,0.0
27,2011-04-12,9.7958402633667,0.0,0.0,0.0,0.0,9.7958402633667,0.0,0.0,0.0,0.0,0.0
28,2011-04-13,9.76925277709961,0.0,0.0,0.0,0.0,9.76925277709961,0.0,0.0,0.0,0.0,0.0
29,2011-04-14,9.706106185913086,0.0,0.0,0.0,0.0,9.706106185913086,0.0,0.0,0.0,0.0,0.0
30,2011-04-15,9.852338790893555,0.0,0.0,0.0,0.0,9.852338790893555,0.0,0.0,0.0,0.0,0.0
31,2011-04-18,9.664563179016113,0.0,0.0,0.0,0.0,9.664563179016113,0.0,0.0,0.0,0.0,0.0
32,2011-04-19,9.754294395446777,0.0,0.0,0.0,0.0,9.754294395446777,0.0,0.0,0.0,0.0,0.0
33,2011-04-20,9.893879890441895,0.0,0.0,0.0,0.0,9.893879890441895,0.0,0.0,0.0,0.0,0.0
34,2011-04-21,9.910496711730957,0.0,0.0,0.0,0.0,9.910496711730957,0.0,0.0,0.0,0.0,0.0
35,2011-04-26,9.983613967895508,0.0,0.0,0.0,0.0,9.983613967895508,0.0,0.0,0.0,0.0,0.0
36,2011-04-27,9.920465469360352,0.0,0.0,0.0,0.0,9.920465469360352,0.0,0.0,0.0,0.0,0.0
37,2011-04-28,10.035126686096191,0.0,0.0,0.0,0.0,10.035126686096191,0.0,0.0,0.0,0.0,0.0
38,2011-04-29,10.060053825378418,0.0,0.0,0.0,0.0,10.060053825378418,0.0,0.0,0.0,0.0,0.0
39,2011-05-02,10.139198303222656,0.0,0.0,0.0,0.0,10.139198303222656,0.0,0.0,0.0,0.0,0.0
40,2011-05-03,10.14425277709961,0.0,0.0,0.0,0.0,10.30425277709961,0.0,0.0,0.0,0.0,0.16
41,2011-05-04,10.262128829956055,0.0,0.0,0.0,0.0,10.422128829956055,0.0,0.0,0.0,0.0,0.16
42,2011-05-05,10.272233963012695,0.0,0.0,0.0,0.0,10.432233963012695,0.0,0.0,0.0,0.0,0.16
43,2011-05-06,10.390111923217773,0.0,0.0,0.0,0.0,10.550111923217774,0.0,0.0,0.0,0.0,0.16
44,2011-05-09,10.108888626098633,0.0,0.0,0.0,0.0,10.268888626098633,0.0,0.0,0.0,0.0,0.16
45,2011-05-10,10.150988578796387,0.0,0.0,0.0,0.0,10.310988578796387,0.0,0.0,0.0,0.0,0.16
46,2011-05-11,10.386744499206543,0.0,0.0,0.0,0.0,10.546744499206543,0.0,0.0,0.0,0.0,0.16
47,2011-05-12,10.341277122497559,0.0,0.0,0.0,0.0,10.501277122497559,0.0,0.0,0.0,0.0,0.16
48,2011-05-13,10.390111923217773,0.0,0.0,0.0,0.0,10.550111923217774,0.0,0.0,0.0,0.0,0.16
49,2011-05-16,10.440630912780762,0.0,0.0,0.0,0.0,10.600630912780762,0.0,0.0,0.0,0.0,0.16
50,2011-05-17,10.396845817565918,0.0,0.0,0.0,0.0,10.556845817565918,0.0,0.0,0.0,0.0,0.16
51,2011-05-18,10.386744499206543,0.0,0.0,0.0,0.0,10.546744499206543,0.0,0.0,0.0,0.0,0.16
52,2011-05-19,10.539983749389648,0.0,0.0,0.0,0.0,10.699983749389649,0.0,0.0,0.0,0.0,0.16
53,2011-05-20,10.289073944091797,0.0,0.0,0.0,0.0,10.449073944091797,0.0,0.0,0.0,0.0,0.16
54,2011-05-23,10.25202465057373,0.0,0.0,0.0,0.0,10.41202465057373,0.0,0.0,0.0,0.0,0.16
55,2011-05-24,10.204875946044922,0.0,0.0,0.0,0.0,10.364875946044922,0.0,0.0,0.0,0.0,0.16
56,2011-05-25,10.4827299118042,0.0,0.0,0.0,0.0,10.6427299118042,0.0,0.0,0.0,0.0,0.16
57,2011-05-26,10.556825637817383,0.0,0.0,0.0,0.0,10.716825637817383,0.0,0.0,0.0,0.0,0.16
58,2011-05-27,10.541668891906738,0.0,0.0,0.0,0.0,10.701668891906738,0.0,0.0,0.0,0.0,0.16
59,2011-05-30,10.583767890930176,0.0,0.0,0.0,0.0,10.743767890930176,0.0,0.0,0.0,0.0,0.16
60,2011-05-31,10.637655258178711,0.0,0.0,0.0,0.0,10.797655258178711,0.0,0.0,0.0,0.0,0.16
61,2011-06-01,10.531564712524414,0.0,0.0,0.0,0.0,10.691564712524414,0.0,0.0,0.0,0.0,0.16
62,2011-06-02,10.388427734375,0.0,0.0,0.0,0.0,10.548427734375,0.0,0.0,0.0,0.0,0.16
63,2011-06-03,10.462522506713867,0.0,0.0,0.0,0.0,10.622522506713867,0.0,0.0,0.0,0.0,0.16
64,2011-06-06,10.381690979003906,0.0,0.0,0.0,0.0,10.541690979003906,0.0,0.0,0.0,0.0,0.16
65,2011-06-07,10.361483573913574,0.0,0.0,0.0,0.0,10.521483573913574,0.0,0.0,0.0,0.0,0.16
66,2011-06-08,10.230133056640625,0.0,0.0,0.0,0.0,10.390133056640625,0.0,0.0,0.0,0.0,0.16
67,2011-06-09,10.243606567382812,0.0,0.0,0.0,0.0,10.403606567382813,0.0,0.0,0.0,0.0,0.16
68,2011-06-10,10.156037330627441,0.0,0.0,0.0,0.0,10.316037330627442,0.0,0.0,0.0,0.0,0.16
69,2011-06-13,10.290755271911621,0.0,0.0,0.0,0.0,10.450755271911621,0.0,0.0,0.0,0.0,0.16
70,2011-06-14,10.398530006408691,0.0,0.0,0.0,0.0,10.558530006408692,0.0,0.0,0.0,0.0,0.16
71,2011-06-15,10.233502388000488,0.0,0.0,0.0,0.0,10.393502388000488,0.0,0.0,0.0,0.0,0.16
72,2011-06-16,10.209927558898926,0.0,0.0,0.0,0.0,10.369927558898926,0.0,0.0,0.0,0.0,0.16
73,2011-06-17,10.201504707336426,0.0,0.0,0.0,0.0,10.361504707336426,0.0,0.0,0.0,0.0,0.16
74,2011-06-20,10.157723426818848,0.0,0.0,0.0,0.0,10.317723426818848,0.0,0.0,0.0,0.0,0.16
75,2011-06-21,10.475994110107422,0.0,0.0,0.0,0.0,10.635994110107422,0.0,0.0,0.0,0.0,0.16
76,2011-06-22,10.53325080871582,0.0,0.0,0.0,0.0,10.69325080871582,0.0,0.0,0.0,0.0,0.16
77,2011-06-23,10.492834091186523,0.0,0.0,0.0,0.0,10.652834091186524,0.0,0.0,0.0,0.0,0.16
78,2011-06-24,10.423789978027344,0.0,0.0,0.0,0.0,10.583789978027344,0.0,0.0,0.0,0.0,0.16
79,2011-06-27,10.538299560546875,0.0,0.0,0.0,0.0,10.698299560546875,0.0,0.0,0.0,0.0,0.16
80,2011-06-28,10.53325080871582,0.0,0.0,0.0,0.0,10.69325080871582,0.0,0.0,0.0,0.0,0.16
81,2011-06-29,10.566927909851074,0.0,0.0,0.0,0.0,10.726927909851074,0.0,0.0,0.0,0.0,0.16
82,2011-06-30,10.582085609436035,0.0,0.0,0.0,0.0,10.742085609436035,0.0,0.0,0.0,0.0,0.16
83,2011-07-01,10.504622459411621,0.0,0.0,0.0,0.0,10.664622459411621,0.0,0.0,0.0,0.0,0.16
84,2011-07-04,10.817839622497559,0.0,0.0,0.0,0.0,10.977839622497559,0.0,0.0,0.0,0.0,0.16
85,2011-07-05,10.763955116271973,0.0,0.0,0.0,0.0,10.923955116271973,0.0,0.0,0.0,0.0,0.16
86,2011-07-06,10.711750030517578,0.0,0.0,0.0,0.0,10.871750030517578,0.0,0.0,0.0,0.0,0.16
