count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,45.16476821899414,0.0,0.0,0.0,0.0,45.16476821899414,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,45.39658737182617,0.0,0.0,0.0,0.0,45.39658737182617,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,45.16476821899414,0.0,0.0,0.0,0.0,45.16476821899414,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,44.57405090332031,0.0,0.0,0.0,0.0,44.57405090332031,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,44.63386154174805,0.0,0.0,0.0,0.0,44.63386154174805,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,44.215110778808594,0.0,0.0,0.0,0.0,44.215110778808594,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,43.72907638549805,0.0,0.0,0.0,0.0,43.72907638549805,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,43.115909576416016,0.0,0.0,0.0,0.0,43.115909576416016,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,43.46735382080078,0.0,0.0,0.0,0.0,43.46735382080078,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,43.79637908935547,0.0,0.0,0.0,0.0,43.79637908935547,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,43.99079132080078,0.0,0.0,0.0,0.0,43.99079132080078,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,43.96088409423828,0.0,0.0,0.0,0.0,43.96088409423828,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,43.90852737426758,0.0,0.0,0.0,0.0,43.90852737426758,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,44.140342712402344,0.0,0.0,0.0,0.0,44.140342712402344,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,44.10294723510742,0.0,0.0,0.0,0.0,44.10294723510742,0.0,0.0,0.0,0.0,0.0
16,2011-03-28,44.29737091064453,0.0,0.0,0.0,0.0,44.29737091064453,0.0,0.0,0.0,0.0,0.0
17,2011-03-29,44.28242492675781,0.0,0.0,0.0,0.0,44.28242492675781,0.0,0.0,0.0,0.0,0.0
18,2011-03-30,44.40205383300781,0.0,0.0,0.0,0.0,44.40205383300781,0.0,0.0,0.0,0.0,0.0
19,2011-03-31,44.30483627319336,0.0,0.0,0.0,0.0,44.30483627319336,0.0,0.0,0.0,0.0,0.0
20,2011-04-01,44.484317779541016,0.0,0.0,0.0,0.0,44.484317779541016,0.0,0.0,0.0,0.0,0.0
21,2011-04-04,44.97783660888672,0.0,0.0,0.0,0.0,44.97783660888672,0.0,0.0,0.0,0.0,0.0
22,2011-04-05,44.716102600097656,0.0,0.0,0.0,0.0,44.716102600097656,0.0,0.0,0.0,0.0,0.0
23,2011-04-06,44.611427307128906,0.0,0.0,0.0,0.0,44.611427307128906,0.0,0.0,0.0,0.0,0.0
24,2011-04-07,44.476837158203125,0.0,0.0,0.0,0.0,44.476837158203125,0.0,0.0,0.0,0.0,0.0
25,2011-04-08,44.461875915527344,0.0,0.0,0.0,0.0,44.461875915527344,0.0,0.0,0.0,0.0,0.0
26,2011-04-11,44.760986328125,0.0,0.0,0.0,0.0,44.760986328125,0.0,0.0,0.0,0.0,0.0
27,2011-04-12,44.820804595947266,0.0,0.0,0.0,0.0,44.820804595947266,0.0,0.0,0.0,0.0,0.0
28,2011-04-13,44.56657028198242,0.0,0.0,0.0,0.0,44.56657028198242,0.0,0.0,0.0,0.0,0.0
29,2011-04-14,44.88062286376953,0.0,0.0,0.0,0.0,44.88062286376953,0.0,0.0,0.0,0.0,0.0
30,2011-04-15,45.28441619873047,0.0,0.0,0.0,0.0,45.28441619873047,0.0,0.0,0.0,0.0,0.0
31,2011-04-18,45.20964431762695,0.0,0.0,0.0,0.0,45.20964431762695,0.0,0.0,0.0,0.0,0.0
32,2011-04-19,46.87715148925781,0.0,0.0,0.0,0.0,46.87715148925781,0.0,0.0,0.0,0.0,0.0
33,2011-04-20,48.14833450317383,0.0,0.0,0.0,0.0,48.14833450317383,0.0,0.0,0.0,0.0,0.0
34,2011-04-21,47.9090461730957,0.0,0.0,0.0,0.0,47.9090461730957,0.0,0.0,0.0,0.0,0.0
35,2011-04-25,47.938961029052734,0.0,0.0,0.0,0.0,47.938961029052734,0.0,0.0,0.0,0.0,0.0
