count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,23.901567459106445,0.0,0.0,0.0,0.0,23.901567459106445,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,24.05548667907715,0.0,0.0,0.0,0.0,24.05548667907715,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,24.048154830932617,0.0,0.0,0.0,0.0,24.048154830932617,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,23.927223205566406,0.0,0.0,0.0,0.0,23.927223205566406,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,23.923524856567383,0.0,0.0,0.0,0.0,23.923524856567383,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,23.602378845214844,0.0,0.0,0.0,0.0,23.837378845214843,0.0,0.0,0.0,0.0,0.235
7,2011-03-15,23.2664737701416,0.0,0.0,0.0,0.0,23.5014737701416,0.0,0.0,0.0,0.0,0.235
8,2011-03-16,22.738609313964844,0.0,0.0,0.0,0.0,22.973609313964843,0.0,0.0,0.0,0.0,0.235
9,2011-03-17,22.989622116088867,0.0,0.0,0.0,0.0,23.224622116088867,0.0,0.0,0.0,0.0,0.235
10,2011-03-18,23.144657135009766,0.0,0.0,0.0,0.0,23.379657135009765,0.0,0.0,0.0,0.0,0.235
11,2011-03-21,23.465803146362305,0.0,0.0,0.0,0.0,23.700803146362304,0.0,0.0,0.0,0.0,0.235
12,2011-03-22,23.44365119934082,0.0,0.0,0.0,0.0,23.67865119934082,0.0,0.0,0.0,0.0,0.235
13,2011-03-23,23.724199295043945,0.0,0.0,0.0,0.0,23.959199295043945,0.0,0.0,0.0,0.0,0.235
14,2011-03-24,23.879230499267578,0.0,0.0,0.0,0.0,24.114230499267578,0.0,0.0,0.0,0.0,0.235
15,2011-03-25,24.074872970581055,0.0,0.0,0.0,0.0,24.309872970581054,0.0,0.0,0.0,0.0,0.235
16,2011-03-28,24.004732131958008,0.0,0.0,0.0,0.0,24.239732131958007,0.0,0.0,0.0,0.0,0.235
17,2011-03-29,24.259437561035156,0.0,0.0,0.0,0.0,24.494437561035156,0.0,0.0,0.0,0.0,0.235
18,2011-03-30,24.377561569213867,0.0,0.0,0.0,0.0,24.612561569213867,0.0,0.0,0.0,0.0,0.235
19,2011-03-31,24.488292694091797,0.0,0.0,0.0,0.0,24.723292694091796,0.0,0.0,0.0,0.0,0.235
20,2011-04-01,24.81313705444336,0.0,0.0,0.0,0.0,25.04813705444336,0.0,0.0,0.0,0.0,0.235
21,2011-04-04,24.975555419921875,0.0,0.0,0.0,0.0,25.210555419921874,0.0,0.0,0.0,0.0,0.235
22,2011-04-05,24.905424118041992,0.0,0.0,0.0,0.0,25.14042411804199,0.0,0.0,0.0,0.0,0.235
23,2011-04-06,24.964475631713867,0.0,0.0,0.0,0.0,25.199475631713867,0.0,0.0,0.0,0.0,0.235
24,2011-04-07,24.894346237182617,0.0,0.0,0.0,0.0,25.129346237182617,0.0,0.0,0.0,0.0,0.235
25,2011-04-08,24.831592559814453,0.0,0.0,0.0,0.0,25.066592559814453,0.0,0.0,0.0,0.0,0.235
26,2011-04-11,24.87958526611328,0.0,0.0,0.0,0.0,25.11458526611328,0.0,0.0,0.0,0.0,0.235
27,2011-04-12,24.69502067565918,0.0,0.0,0.0,0.0,24.93002067565918,0.0,0.0,0.0,0.0,0.235
28,2011-04-13,24.835285186767578,0.0,0.0,0.0,0.0,25.070285186767578,0.0,0.0,0.0,0.0,0.235
29,2011-04-14,25.215492248535156,0.0,0.0,0.0,0.0,25.450492248535156,0.0,0.0,0.0,0.0,0.235
30,2011-04-15,25.10474967956543,0.0,0.0,0.0,0.0,25.33974967956543,0.0,0.0,0.0,0.0,0.235
31,2011-04-18,24.84636116027832,0.0,0.0,0.0,0.0,25.08136116027832,0.0,0.0,0.0,0.0,0.235
32,2011-04-19,24.765151977539062,0.0,0.0,0.0,0.0,25.000151977539062,0.0,0.0,0.0,0.0,0.235
33,2011-04-20,25.045696258544922,0.0,0.0,0.0,0.0,25.28069625854492,0.0,0.0,0.0,0.0,0.235
34,2011-04-21,25.056766510009766,0.0,0.0,0.0,0.0,25.291766510009765,0.0,0.0,0.0,0.0,0.235
35,2011-04-25,25.005081176757812,0.0,0.0,0.0,0.0,25.240081176757812,0.0,0.0,0.0,0.0,0.235
36,2011-04-26,24.70608901977539,0.0,0.0,0.0,0.0,24.94108901977539,0.0,0.0,0.0,0.0,0.235
37,2011-04-27,24.731931686401367,0.0,0.0,0.0,0.0,24.966931686401367,0.0,0.0,0.0,0.0,0.235
38,2011-04-28,24.883275985717773,0.0,0.0,0.0,0.0,25.118275985717773,0.0,0.0,0.0,0.0,0.235
