count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,78.74435424804688,0.0,0.0,0.0,0.0,78.74435424804688,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,79.41870880126953,0.0,0.0,0.0,0.0,79.41870880126953,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,79.40247344970703,0.0,0.0,0.0,0.0,79.40247344970703,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,78.5168685913086,0.0,0.0,0.0,0.0,78.5168685913086,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,79.60557556152344,0.0,0.0,0.0,0.0,79.60557556152344,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,79.74369812011719,0.0,0.0,0.0,0.0,79.74369812011719,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,79.02059936523438,0.0,0.0,0.0,0.0,79.02059936523438,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,77.34690856933594,0.0,0.0,0.0,0.0,77.34690856933594,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,78.38687133789062,0.0,0.0,0.0,0.0,78.38687133789062,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,78.92310333251953,0.0,0.0,0.0,0.0,78.92310333251953,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,79.56494140625,0.0,0.0,0.0,0.0,79.56494140625,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,79.53245544433594,0.0,0.0,0.0,0.0,79.53245544433594,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,80.22303009033203,0.0,0.0,0.0,0.0,80.22303009033203,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,80.88114929199219,0.0,0.0,0.0,0.0,80.88114929199219,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,81.1411361694336,0.0,0.0,0.0,0.0,81.1411361694336,0.0,0.0,0.0,0.0,0.0
16,2011-03-28,80.79989624023438,0.0,0.0,0.0,0.0,80.79989624023438,0.0,0.0,0.0,0.0,0.0
17,2011-03-29,81.99422454833984,0.0,0.0,0.0,0.0,81.99422454833984,0.0,0.0,0.0,0.0,0.0
18,2011-03-30,82.0754623413086,0.0,0.0,0.0,0.0,82.0754623413086,0.0,0.0,0.0,0.0,0.0
19,2011-03-31,82.54669189453125,0.0,0.0,0.0,0.0,82.54669189453125,0.0,0.0,0.0,0.0,0.0
20,2011-04-01,82.85543060302734,0.0,0.0,0.0,0.0,82.85543060302734,0.0,0.0,0.0,0.0,0.0
21,2011-04-04,83.18856048583984,0.0,0.0,0.0,0.0,83.18856048583984,0.0,0.0,0.0,0.0,0.0
22,2011-04-05,83.7004165649414,0.0,0.0,0.0,0.0,83.7004165649414,0.0,0.0,0.0,0.0,0.0
23,2011-04-06,83.78977966308594,0.0,0.0,0.0,0.0,83.78977966308594,0.0,0.0,0.0,0.0,0.0
24,2011-04-07,83.294189453125,0.0,0.0,0.0,0.0,83.294189453125,0.0,0.0,0.0,0.0,0.0
25,2011-04-08,83.10733795166016,0.0,0.0,0.0,0.0,83.10733795166016,0.0,0.0,0.0,0.0,0.0
26,2011-04-11,82.35984802246094,0.0,0.0,0.0,0.0,82.35984802246094,0.0,0.0,0.0,0.0,0.0
27,2011-04-12,81.67737579345703,0.0,0.0,0.0,0.0,81.67737579345703,0.0,0.0,0.0,0.0,0.0
28,2011-04-13,82.36796569824219,0.0,0.0,0.0,0.0,82.36796569824219,0.0,0.0,0.0,0.0,0.0
29,2011-04-14,82.74980926513672,0.0,0.0,0.0,0.0,82.74980926513672,0.0,0.0,0.0,0.0,0.0
30,2011-04-15,83.80603790283203,0.0,0.0,0.0,0.0,83.80603790283203,0.0,0.0,0.0,0.0,0.0
31,2011-04-18,83.6029052734375,0.0,0.0,0.0,0.0,83.6029052734375,0.0,0.0,0.0,0.0,0.0
32,2011-04-19,85.99158477783203,0.0,0.0,0.0,0.0,85.99158477783203,0.0,0.0,0.0,0.0,0.0
33,2011-04-20,86.30843353271484,0.0,0.0,0.0,0.0,86.30843353271484,0.0,0.0,0.0,0.0,0.0
34,2011-04-21,86.53591918945312,0.0,0.0,0.0,0.0,86.53591918945312,0.0,0.0,0.0,0.0,0.0
35,2011-04-25,86.77969360351562,0.0,0.0,0.0,0.0,86.77969360351562,0.0,0.0,0.0,0.0,0.0
36,2011-04-26,87.84397888183594,0.0,0.0,0.0,0.0,87.84397888183594,0.0,0.0,0.0,0.0,0.0
37,2011-04-27,86.20281219482422,0.0,0.0,0.0,0.0,86.20281219482422,0.0,0.0,0.0,0.0,0.0
38,2011-04-28,87.08026885986328,0.0,0.0,0.0,0.0,87.08026885986328,0.0,0.0,0.0,0.0,0.0
39,2011-04-29,86.46279907226562,0.0,0.0,0.0,0.0,86.46279907226562,0.0,0.0,0.0,0.0,0.0
40,2011-05-02,85.65031433105469,0.0,0.0,0.0,0.0,85.65031433105469,0.0,0.0,0.0,0.0,0.0
41,2011-05-03,85.28472900390625,0.0,0.0,0.0,0.0,85.28472900390625,0.0,0.0,0.0,0.0,0.0
42,2011-05-04,83.92790985107422,0.0,0.0,0.0,0.0,83.92790985107422,0.0,0.0,0.0,0.0,0.0
43,2011-05-05,83.6029052734375,0.0,0.0,0.0,0.0,83.6029052734375,0.0,0.0,0.0,0.0,0.0
44,2011-05-06,84.1716537475586,0.0,0.0,0.0,0.0,84.1716537475586,0.0,0.0,0.0,0.0,0.0
45,2011-05-09,84.8378677368164,0.0,0.0,0.0,0.0,84.8378677368164,0.0,0.0,0.0,0.0,0.0
46,2011-05-10,85.43909454345703,0.0,0.0,0.0,0.0,85.43909454345703,0.0,0.0,0.0,0.0,0.0
47,2011-05-11,84.15540313720703,0.0,0.0,0.0,0.0,84.15540313720703,0.0,0.0,0.0,0.0,0.0
48,2011-05-12,84.6185073852539,0.0,0.0,0.0,0.0,84.6185073852539,0.0,0.0,0.0,0.0,0.0
49,2011-05-13,83.56229400634766,0.0,0.0,0.0,0.0,83.56229400634766,0.0,0.0,0.0,0.0,0.0
50,2011-05-16,83.70852661132812,0.0,0.0,0.0,0.0,83.70852661132812,0.0,0.0,0.0,0.0,0.0
51,2011-05-17,83.04229736328125,0.0,0.0,0.0,0.0,83.04229736328125,0.0,0.0,0.0,0.0,0.0
52,2011-05-18,84.91909790039062,0.0,0.0,0.0,0.0,84.91909790039062,0.0,0.0,0.0,0.0,0.0
53,2011-05-19,85.35784912109375,0.0,0.0,0.0,0.0,85.35784912109375,0.0,0.0,0.0,0.0,0.0
54,2011-05-20,84.87847137451172,0.0,0.0,0.0,0.0,84.87847137451172,0.0,0.0,0.0,0.0,0.0
55,2011-05-23,83.92790985107422,0.0,0.0,0.0,0.0,83.92790985107422,0.0,0.0,0.0,0.0,0.0
56,2011-05-24,83.69229125976562,0.0,0.0,0.0,0.0,83.69229125976562,0.0,0.0,0.0,0.0,0.0
57,2011-05-25,84.9678726196289,0.0,0.0,0.0,0.0,84.9678726196289,0.0,0.0,0.0,0.0,0.0
58,2011-05-26,84.72410583496094,0.0,0.0,0.0,0.0,84.72410583496094,0.0,0.0,0.0,0.0,0.0
59,2011-05-27,85.32534790039062,0.0,0.0,0.0,0.0,85.32534790039062,0.0,0.0,0.0,0.0,0.0
60,2011-05-31,85.99158477783203,0.0,0.0,0.0,0.0,85.99158477783203,0.0,0.0,0.0,0.0,0.0
61,2011-06-01,84.00103759765625,0.0,0.0,0.0,0.0,84.00103759765625,0.0,0.0,0.0,0.0,0.0
62,2011-06-02,83.80603790283203,0.0,0.0,0.0,0.0,83.80603790283203,0.0,0.0,0.0,0.0,0.0
63,2011-06-03,82.34461212158203,0.0,0.0,0.0,0.0,82.34461212158203,0.0,0.0,0.0,0.0,0.0
64,2011-06-06,81.78945922851562,0.0,0.0,0.0,0.0,82.28945922851562,0.0,0.0,0.0,0.0,0.5
65,2011-06-07,81.71600341796875,0.0,0.0,0.0,0.0,82.21600341796875,0.0,0.0,0.0,0.0,0.5
66,2011-06-08,81.64249420166016,0.0,0.0,0.0,0.0,82.14249420166016,0.0,0.0,0.0,0.0,0.5
67,2011-06-09,82.98960876464844,0.0,0.0,0.0,0.0,83.48960876464844,0.0,0.0,0.0,0.0,0.5
68,2011-06-10,81.6588363647461,0.0,0.0,0.0,0.0,82.1588363647461,0.0,0.0,0.0,0.0,0.5
69,2011-06-13,82.01806640625,0.0,0.0,0.0,0.0,82.51806640625,0.0,0.0,0.0,0.0,0.5
70,2011-06-14,83.38150024414062,0.0,0.0,0.0,0.0,83.88150024414062,0.0,0.0,0.0,0.0,0.5
71,2011-06-15,82.02622985839844,0.0,0.0,0.0,0.0,82.52622985839844,0.0,0.0,0.0,0.0,0.5
72,2011-06-16,82.52427673339844,0.0,0.0,0.0,0.0,83.02427673339844,0.0,0.0,0.0,0.0,0.5
73,2011-06-17,82.50791931152344,0.0,0.0,0.0,0.0,83.00791931152344,0.0,0.0,0.0,0.0,0.5
74,2011-06-20,83.37332916259766,0.0,0.0,0.0,0.0,83.87332916259766,0.0,0.0,0.0,0.0,0.5
75,2011-06-21,84.75308990478516,0.0,0.0,0.0,0.0,85.25308990478516,0.0,0.0,0.0,0.0,0.5
76,2011-06-22,84.76941680908203,0.0,0.0,0.0,0.0,85.26941680908203,0.0,0.0,0.0,0.0,0.5
77,2011-06-23,84.50814056396484,0.0,0.0,0.0,0.0,85.00814056396484,0.0,0.0,0.0,0.0,0.5
78,2011-06-24,84.32855987548828,0.0,0.0,0.0,0.0,84.82855987548828,0.0,0.0,0.0,0.0,0.5
79,2011-06-27,84.76941680908203,0.0,0.0,0.0,0.0,85.26941680908203,0.0,0.0,0.0,0.0,0.5
80,2011-06-28,86.62269592285156,0.0,0.0,0.0,0.0,87.12269592285156,0.0,0.0,0.0,0.0,0.5
81,2011-06-29,88.1575698852539,0.0,0.0,0.0,0.0,88.6575698852539,0.0,0.0,0.0,0.0,0.5
82,2011-06-30,88.49231719970703,0.0,0.0,0.0,0.0,88.99231719970703,0.0,0.0,0.0,0.0,0.5
83,2011-07-01,88.99847412109375,0.0,0.0,0.0,0.0,89.49847412109375,0.0,0.0,0.0,0.0,0.5
84,2011-07-05,88.5086441040039,0.0,0.0,0.0,0.0,89.0086441040039,0.0,0.0,0.0,0.0,0.5
85,2011-07-06,89.34954071044922,0.0,0.0,0.0,0.0,89.84954071044922,0.0,0.0,0.0,0.0,0.5
86,2011-07-07,90.86811065673828,0.0,0.0,0.0,0.0,91.36811065673828,0.0,0.0,0.0,0.0,0.5
