count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,57.16292953491211,0.0,0.0,0.0,0.0,57.16292953491211,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,56.600948333740234,0.0,0.0,0.0,0.0,56.600948333740234,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,56.78078079223633,0.0,0.0,0.0,0.0,56.78078079223633,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,57.45514678955078,0.0,0.0,0.0,0.0,57.45514678955078,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,57.492610931396484,0.0,0.0,0.0,0.0,57.492610931396484,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,56.698360443115234,0.0,0.0,0.0,0.0,56.698360443115234,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,56.28623962402344,0.0,0.0,0.0,0.0,56.28623962402344,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,54.98249435424805,0.0,0.0,0.0,0.0,54.98249435424805,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,54.99748229980469,0.0,0.0,0.0,0.0,54.99748229980469,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,54.69027328491211,0.0,0.0,0.0,0.0,54.69027328491211,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,55.26721954345703,0.0,0.0,0.0,0.0,55.26721954345703,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,55.34965133666992,0.0,0.0,0.0,0.0,55.34965133666992,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,55.84416961669922,0.0,0.0,0.0,0.0,55.84416961669922,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,56.14387893676758,0.0,0.0,0.0,0.0,56.14387893676758,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,56.383663177490234,0.0,0.0,0.0,0.0,56.383663177490234,0.0,0.0,0.0,0.0,0.0
16,2011-03-28,56.19634246826172,0.0,0.0,0.0,0.0,56.19634246826172,0.0,0.0,0.0,0.0,0.0
17,2011-03-29,56.47357177734375,0.0,0.0,0.0,0.0,56.47357177734375,0.0,0.0,0.0,0.0,0.0
18,2011-03-30,56.80325698852539,0.0,0.0,0.0,0.0,56.80325698852539,0.0,0.0,0.0,0.0,0.0
19,2011-03-31,57.013031005859375,0.0,0.0,0.0,0.0,57.013031005859375,0.0,0.0,0.0,0.0,0.0
20,2011-04-01,56.93811798095703,0.0,0.0,0.0,0.0,56.93811798095703,0.0,0.0,0.0,0.0,0.0
21,2011-04-04,57.23783874511719,0.0,0.0,0.0,0.0,57.23783874511719,0.0,0.0,0.0,0.0,0.0
22,2011-04-05,57.39518356323242,0.0,0.0,0.0,0.0,57.39518356323242,0.0,0.0,0.0,0.0,0.0
23,2011-04-06,57.48512268066406,0.0,0.0,0.0,0.0,57.48512268066406,0.0,0.0,0.0,0.0,0.0
24,2011-04-07,56.9531135559082,0.0,0.0,0.0,0.0,56.9531135559082,0.0,0.0,0.0,0.0,0.0
25,2011-04-08,56.97559356689453,0.0,0.0,0.0,0.0,56.97559356689453,0.0,0.0,0.0,0.0,0.0
26,2011-04-11,57.132930755615234,0.0,0.0,0.0,0.0,57.132930755615234,0.0,0.0,0.0,0.0,0.0
27,2011-04-12,57.44016647338867,0.0,0.0,0.0,0.0,57.44016647338867,0.0,0.0,0.0,0.0,0.0
28,2011-04-13,57.61248016357422,0.0,0.0,0.0,0.0,57.61248016357422,0.0,0.0,0.0,0.0,0.0
29,2011-04-14,57.74735641479492,0.0,0.0,0.0,0.0,57.74735641479492,0.0,0.0,0.0,0.0,0.0
30,2011-04-15,57.979637145996094,0.0,0.0,0.0,0.0,57.979637145996094,0.0,0.0,0.0,0.0,0.0
31,2011-04-18,57.694908142089844,0.0,0.0,0.0,0.0,57.694908142089844,0.0,0.0,0.0,0.0,0.0
32,2011-04-19,57.39518356323242,0.0,0.0,0.0,0.0,57.39518356323242,0.0,0.0,0.0,0.0,0.0
33,2011-04-20,58.743896484375,0.0,0.0,0.0,0.0,58.743896484375,0.0,0.0,0.0,0.0,0.0
34,2011-04-21,57.62748336791992,0.0,0.0,0.0,0.0,57.62748336791992,0.0,0.0,0.0,0.0,0.0
35,2011-04-25,57.79231262207031,0.0,0.0,0.0,0.0,57.79231262207031,0.0,0.0,0.0,0.0,0.0
36,2011-04-26,57.64994430541992,0.0,0.0,0.0,0.0,57.64994430541992,0.0,0.0,0.0,0.0,0.0
37,2011-04-27,58.34677505493164,0.0,0.0,0.0,0.0,58.34677505493164,0.0,0.0,0.0,0.0,0.0
38,2011-04-28,58.46665954589844,0.0,0.0,0.0,0.0,58.46665954589844,0.0,0.0,0.0,0.0,0.0
39,2011-04-29,58.67646026611328,0.0,0.0,0.0,0.0,58.67646026611328,0.0,0.0,0.0,0.0,0.0
40,2011-05-02,58.92373275756836,0.0,0.0,0.0,0.0,58.92373275756836,0.0,0.0,0.0,0.0,0.0
41,2011-05-03,59.14850616455078,0.0,0.0,0.0,0.0,59.14850616455078,0.0,0.0,0.0,0.0,0.0
42,2011-05-04,59.24591064453125,0.0,0.0,0.0,0.0,59.24591064453125,0.0,0.0,0.0,0.0,0.0
43,2011-05-05,58.893768310546875,0.0,0.0,0.0,0.0,58.893768310546875,0.0,0.0,0.0,0.0,0.0
44,2011-05-06,58.96867370605469,0.0,0.0,0.0,0.0,58.96867370605469,0.0,0.0,0.0,0.0,0.0
45,2011-05-09,59.42575454711914,0.0,0.0,0.0,0.0,59.42575454711914,0.0,0.0,0.0,0.0,0.0
46,2011-05-10,59.7254524230957,0.0,0.0,0.0,0.0,59.7254524230957,0.0,0.0,0.0,0.0,0.0
47,2011-05-11,59.575599670410156,0.0,0.0,0.0,0.0,59.575599670410156,0.0,0.0,0.0,0.0,0.0
48,2011-05-12,60.43728256225586,0.0,0.0,0.0,0.0,60.43728256225586,0.0,0.0,0.0,0.0,0.0
49,2011-05-13,60.49722671508789,0.0,0.0,0.0,0.0,60.49722671508789,0.0,0.0,0.0,0.0,0.0
50,2011-05-16,60.79695510864258,0.0,0.0,0.0,0.0,60.79695510864258,0.0,0.0,0.0,0.0,0.0
51,2011-05-17,60.639591217041016,0.0,0.0,0.0,0.0,60.639591217041016,0.0,0.0,0.0,0.0,0.0
52,2011-05-18,61.06667709350586,0.0,0.0,0.0,0.0,61.06667709350586,0.0,0.0,0.0,0.0,0.0
53,2011-05-19,61.82345962524414,0.0,0.0,0.0,0.0,61.82345962524414,0.0,0.0,0.0,0.0,0.0
54,2011-05-20,61.688594818115234,0.0,0.0,0.0,0.0,61.688594818115234,0.0,0.0,0.0,0.0,0.0
55,2011-05-23,61.81599807739258,0.0,0.0,0.0,0.0,61.81599807739258,0.0,0.0,0.0,0.0,0.0
56,2011-05-24,61.920875549316406,0.0,0.0,0.0,0.0,61.920875549316406,0.0,0.0,0.0,0.0,0.0
57,2011-05-25,61.980804443359375,0.0,0.0,0.0,0.0,61.980804443359375,0.0,0.0,0.0,0.0,0.0
58,2011-05-26,61.763519287109375,0.0,0.0,0.0,0.0,61.763519287109375,0.0,0.0,0.0,0.0,0.0
59,2011-05-27,61.61255645751953,0.0,0.0,0.0,0.0,61.61255645751953,0.0,0.0,0.0,0.0,0.0
60,2011-05-31,61.552154541015625,0.0,0.0,0.0,0.0,62.162154541015624,0.0,0.0,0.0,0.0,0.61
61,2011-06-01,61.129425048828125,0.0,0.0,0.0,0.0,61.739425048828124,0.0,0.0,0.0,0.0,0.61
62,2011-06-02,60.95579528808594,0.0,0.0,0.0,0.0,61.56579528808594,0.0,0.0,0.0,0.0,0.61
63,2011-06-03,60.79729080200195,0.0,0.0,0.0,0.0,61.40729080200195,0.0,0.0,0.0,0.0,0.61
64,2011-06-06,60.91804504394531,0.0,0.0,0.0,0.0,61.52804504394531,0.0,0.0,0.0,0.0,0.61
65,2011-06-07,61.250221252441406,0.0,0.0,0.0,0.0,61.860221252441406,0.0,0.0,0.0,0.0,0.61
66,2011-06-08,61.25773620605469,0.0,0.0,0.0,0.0,61.86773620605469,0.0,0.0,0.0,0.0,0.61
67,2011-06-09,61.34078598022461,0.0,0.0,0.0,0.0,61.95078598022461,0.0,0.0,0.0,0.0,0.61
68,2011-06-10,60.66142272949219,0.0,0.0,0.0,0.0,61.27142272949219,0.0,0.0,0.0,0.0,0.61
69,2011-06-13,60.940711975097656,0.0,0.0,0.0,0.0,61.550711975097656,0.0,0.0,0.0,0.0,0.61
70,2011-06-14,61.499298095703125,0.0,0.0,0.0,0.0,62.109298095703124,0.0,0.0,0.0,0.0,0.61
71,2011-06-15,61.325687408447266,0.0,0.0,0.0,0.0,61.935687408447265,0.0,0.0,0.0,0.0,0.61
72,2011-06-16,61.7559700012207,0.0,0.0,0.0,0.0,62.3659700012207,0.0,0.0,0.0,0.0,0.61
73,2011-06-17,62.291934967041016,0.0,0.0,0.0,0.0,62.901934967041015,0.0,0.0,0.0,0.0,0.61
74,2011-06-20,62.420249938964844,0.0,0.0,0.0,0.0,63.03024993896484,0.0,0.0,0.0,0.0,0.61
75,2011-06-21,62.503292083740234,0.0,0.0,0.0,0.0,63.113292083740234,0.0,0.0,0.0,0.0,0.61
76,2011-06-22,62.39004898071289,0.0,0.0,0.0,0.0,63.00004898071289,0.0,0.0,0.0,0.0,0.61
77,2011-06-23,62.118309020996094,0.0,0.0,0.0,0.0,62.72830902099609,0.0,0.0,0.0,0.0,0.61
78,2011-06-24,61.77862548828125,0.0,0.0,0.0,0.0,62.38862548828125,0.0,0.0,0.0,0.0,0.61
79,2011-06-27,62.14094161987305,0.0,0.0,0.0,0.0,62.750941619873046,0.0,0.0,0.0,0.0,0.61
80,2011-06-28,63.673336029052734,0.0,0.0,0.0,0.0,64.28333602905273,0.0,0.0,0.0,0.0,0.61
81,2011-06-29,63.83940887451172,0.0,0.0,0.0,0.0,64.44940887451172,0.0,0.0,0.0,0.0,0.61
82,2011-06-30,63.65071105957031,0.0,0.0,0.0,0.0,64.26071105957031,0.0,0.0,0.0,0.0,0.61
83,2011-07-01,64.65467834472656,0.0,0.0,0.0,0.0,65.26467834472656,0.0,0.0,0.0,0.0,0.61
84,2011-07-05,64.64713287353516,0.0,0.0,0.0,0.0,65.25713287353516,0.0,0.0,0.0,0.0,0.61
85,2011-07-06,64.81321716308594,0.0,0.0,0.0,0.0,65.42321716308594,0.0,0.0,0.0,0.0,0.61
86,2011-07-07,64.96417999267578,0.0,0.0,0.0,0.0,65.57417999267578,0.0,0.0,0.0,0.0,0.61
87,2011-07-08,64.61692810058594,0.0,0.0,0.0,0.0,65.22692810058594,0.0,0.0,0.0,0.0,0.61
88,2011-07-11,64.42820739746094,0.0,0.0,0.0,0.0,65.03820739746094,0.0,0.0,0.0,0.0,0.61
89,2011-07-12,64.15644836425781,0.0,0.0,0.0,0.0,64.76644836425781,0.0,0.0,0.0,0.0,0.61
90,2011-07-13,64.13380432128906,0.0,0.0,0.0,0.0,64.74380432128906,0.0,0.0,0.0,0.0,0.61
91,2011-07-14,64.77545166015625,0.0,0.0,0.0,0.0,65.38545166015625,0.0,0.0,0.0,0.0,0.61
92,2011-07-15,64.52633666992188,0.0,0.0,0.0,0.0,65.13633666992187,0.0,0.0,0.0,0.0,0.61
93,2011-07-18,64.46595764160156,0.0,0.0,0.0,0.0,65.07595764160156,0.0,0.0,0.0,0.0,0.61
94,2011-07-19,65.07740783691406,0.0,0.0,0.0,0.0,65.68740783691406,0.0,0.0,0.0,0.0,0.61
95,2011-07-20,65.12268829345703,0.0,0.0,0.0,0.0,65.73268829345703,0.0,0.0,0.0,0.0,0.61
96,2011-07-21,65.32650756835938,0.0,0.0,0.0,0.0,65.93650756835937,0.0,0.0,0.0,0.0,0.61
97,2011-07-22,66.85136413574219,0.0,0.0,0.0,0.0,67.46136413574219,0.0,0.0,0.0,0.0,0.61
98,2011-07-25,66.51920318603516,0.0,0.0,0.0,0.0,67.12920318603516,0.0,0.0,0.0,0.0,0.61
99,2011-07-26,66.4437255859375,0.0,0.0,0.0,0.0,67.0537255859375,0.0,0.0,0.0,0.0,0.61
100,2011-07-27,65.74169158935547,0.0,0.0,0.0,0.0,66.35169158935547,0.0,0.0,0.0,0.0,0.61
101,2011-07-28,65.5076675415039,0.0,0.0,0.0,0.0,66.1176675415039,0.0,0.0,0.0,0.0,0.61
102,2011-07-29,65.28124237060547,0.0,0.0,0.0,0.0,65.89124237060547,0.0,0.0,0.0,0.0,0.61
103,2011-08-01,65.2132797241211,0.0,0.0,0.0,0.0,65.8232797241211,0.0,0.0,0.0,0.0,0.61
104,2011-08-02,64.20931243896484,0.0,0.0,0.0,0.0,64.81931243896484,0.0,0.0,0.0,0.0,0.61
105,2011-08-03,64.57166290283203,0.0,0.0,0.0,0.0,65.18166290283203,0.0,0.0,0.0,0.0,0.61
106,2011-08-04,63.62047576904297,0.0,0.0,0.0,0.0,64.23047576904297,0.0,0.0,0.0,0.0,0.61
107,2011-08-05,64.22441864013672,0.0,0.0,0.0,0.0,64.83441864013672,0.0,0.0,0.0,0.0,0.61
108,2011-08-08,61.982418060302734,0.0,0.0,0.0,0.0,62.592418060302734,0.0,0.0,0.0,0.0,0.61
109,2011-08-09,64.88870239257812,0.0,0.0,0.0,0.0,65.49870239257812,0.0,0.0,0.0,0.0,0.61
