count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,27.99715232849121,0.0,0.0,0.0,0.0,27.99715232849121,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,28.410682678222656,0.0,0.0,0.0,0.0,28.410682678222656,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,28.49867057800293,0.0,0.0,0.0,0.0,28.49867057800293,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,27.944355010986328,0.0,0.0,0.0,0.0,27.944355010986328,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,28.472278594970703,0.0,0.0,0.0,0.0,28.472278594970703,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,28.102733612060547,0.0,0.0,0.0,0.0,28.102733612060547,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,27.873971939086914,0.0,0.0,0.0,0.0,27.873971939086914,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,27.636409759521484,0.0,0.0,0.0,0.0,27.636409759521484,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,27.66280746459961,0.0,0.0,0.0,0.0,27.66280746459961,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,28.384288787841797,0.0,0.0,0.0,0.0,28.384288787841797,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,29.09697914123535,0.0,0.0,0.0,0.0,29.09697914123535,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,28.322694778442383,0.0,0.0,0.0,0.0,28.322694778442383,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,28.81542205810547,0.0,0.0,0.0,0.0,28.81542205810547,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,28.7098388671875,0.0,0.0,0.0,0.0,28.7098388671875,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,29.061771392822266,0.0,0.0,0.0,0.0,29.061771392822266,0.0,0.0,0.0,0.0,0.0
16,2011-03-28,29.369735717773438,0.0,0.0,0.0,0.0,29.369735717773438,0.0,0.0,0.0,0.0,0.0
17,2011-03-29,29.519309997558594,0.0,0.0,0.0,0.0,29.519309997558594,0.0,0.0,0.0,0.0,0.0
18,2011-03-30,30.311182022094727,0.0,0.0,0.0,0.0,30.311182022094727,0.0,0.0,0.0,0.0,0.0
19,2011-03-31,29.8360595703125,0.0,0.0,0.0,0.0,29.8360595703125,0.0,0.0,0.0,0.0,0.0
20,2011-04-01,30.41676902770996,0.0,0.0,0.0,0.0,30.41676902770996,0.0,0.0,0.0,0.0,0.0
21,2011-04-04,30.434358596801758,0.0,0.0,0.0,0.0,30.434358596801758,0.0,0.0,0.0,0.0,0.0
