count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,19.725664138793945,0.0,0.0,0.0,0.0,19.725664138793945,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,19.990381240844727,0.0,0.0,0.0,0.0,19.990381240844727,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,20.193056106567383,0.0,0.0,0.0,0.0,20.193056106567383,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,20.006927490234375,0.0,0.0,0.0,0.0,20.006927490234375,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,20.209598541259766,0.0,0.0,0.0,0.0,20.209598541259766,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,20.02761459350586,0.0,0.0,0.0,0.0,20.02761459350586,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,19.87456703186035,0.0,0.0,0.0,0.0,19.87456703186035,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,19.634666442871094,0.0,0.0,0.0,0.0,19.634666442871094,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,19.82079315185547,0.0,0.0,0.0,0.0,19.82079315185547,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,20.209598541259766,0.0,0.0,0.0,0.0,20.209598541259766,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,20.44122314453125,0.0,0.0,0.0,0.0,20.44122314453125,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,20.238557815551758,0.0,0.0,0.0,0.0,20.238557815551758,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,20.292329788208008,0.0,0.0,0.0,0.0,20.292329788208008,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,20.37918472290039,0.0,0.0,0.0,0.0,20.37918472290039,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,20.519819259643555,0.0,0.0,0.0,0.0,20.519819259643555,0.0,0.0,0.0,0.0,0.0
16,2011-03-28,20.519819259643555,0.0,0.0,0.0,0.0,20.519819259643555,0.0,0.0,0.0,0.0,0.0
17,2011-03-29,20.17237663269043,0.0,0.0,0.0,0.0,20.17237663269043,0.0,0.0,0.0,0.0,0.0
18,2011-03-30,19.605712890625,0.0,0.0,0.0,0.0,19.605712890625,0.0,0.0,0.0,0.0,0.0
19,2011-03-31,19.7835693359375,0.0,0.0,0.0,0.0,19.7835693359375,0.0,0.0,0.0,0.0,0.0
20,2011-04-01,19.816659927368164,0.0,0.0,0.0,0.0,19.816659927368164,0.0,0.0,0.0,0.0,0.0
21,2011-04-04,19.824934005737305,0.0,0.0,0.0,0.0,19.824934005737305,0.0,0.0,0.0,0.0,0.0
22,2011-04-05,19.733930587768555,0.0,0.0,0.0,0.0,19.733930587768555,0.0,0.0,0.0,0.0,0.0
23,2011-04-06,19.66775131225586,0.0,0.0,0.0,0.0,19.66775131225586,0.0,0.0,0.0,0.0,0.0
24,2011-04-07,19.680238723754883,0.0,0.0,0.0,0.0,19.680238723754883,0.0,0.0,0.0,0.0,0.0
25,2011-04-08,19.538768768310547,0.0,0.0,0.0,0.0,19.678768768310547,0.0,0.0,0.0,0.0,0.14
26,2011-04-11,19.813377380371094,0.0,0.0,0.0,0.0,19.953377380371094,0.0,0.0,0.0,0.0,0.14
27,2011-04-12,19.759292602539062,0.0,0.0,0.0,0.0,19.899292602539063,0.0,0.0,0.0,0.0,0.14
28,2011-04-13,19.792572021484375,0.0,0.0,0.0,0.0,19.932572021484376,0.0,0.0,0.0,0.0,0.14
29,2011-04-14,19.86330795288086,0.0,0.0,0.0,0.0,20.00330795288086,0.0,0.0,0.0,0.0,0.14
30,2011-04-15,19.975648880004883,0.0,0.0,0.0,0.0,20.115648880004883,0.0,0.0,0.0,0.0,0.14
31,2011-04-18,19.62615203857422,0.0,0.0,0.0,0.0,19.76615203857422,0.0,0.0,0.0,0.0,0.14
32,2011-04-19,19.642791748046875,0.0,0.0,0.0,0.0,19.782791748046876,0.0,0.0,0.0,0.0,0.14
33,2011-04-20,20.054704666137695,0.0,0.0,0.0,0.0,20.194704666137696,0.0,0.0,0.0,0.0,0.14
34,2011-04-21,19.938209533691406,0.0,0.0,0.0,0.0,20.078209533691407,0.0,0.0,0.0,0.0,0.14
35,2011-04-25,19.946521759033203,0.0,0.0,0.0,0.0,20.086521759033204,0.0,0.0,0.0,0.0,0.14
36,2011-04-26,20.096315383911133,0.0,0.0,0.0,0.0,20.236315383911133,0.0,0.0,0.0,0.0,0.14
37,2011-04-27,20.271068572998047,0.0,0.0,0.0,0.0,20.411068572998047,0.0,0.0,0.0,0.0,0.14
38,2011-04-28,20.37092399597168,0.0,0.0,0.0,0.0,20.51092399597168,0.0,0.0,0.0,0.0,0.14
39,2011-04-29,20.4374942779541,0.0,0.0,0.0,0.0,20.577494277954102,0.0,0.0,0.0,0.0,0.14
40,2011-05-02,20.420846939086914,0.0,0.0,0.0,0.0,20.560846939086915,0.0,0.0,0.0,0.0,0.14
41,2011-05-03,20.47492790222168,0.0,0.0,0.0,0.0,20.61492790222168,0.0,0.0,0.0,0.0,0.14
42,2011-05-04,20.408363342285156,0.0,0.0,0.0,0.0,20.548363342285157,0.0,0.0,0.0,0.0,0.14
43,2011-05-05,20.316822052001953,0.0,0.0,0.0,0.0,20.456822052001954,0.0,0.0,0.0,0.0,0.14
44,2011-05-06,20.2918701171875,0.0,0.0,0.0,0.0,20.4318701171875,0.0,0.0,0.0,0.0,0.14
45,2011-05-09,20.41252326965332,0.0,0.0,0.0,0.0,20.55252326965332,0.0,0.0,0.0,0.0,0.14
46,2011-05-10,20.5872802734375,0.0,0.0,0.0,0.0,20.7272802734375,0.0,0.0,0.0,0.0,0.14
47,2011-05-11,20.508228302001953,0.0,0.0,0.0,0.0,20.648228302001954,0.0,0.0,0.0,0.0,0.14
48,2011-05-12,20.91181182861328,0.0,0.0,0.0,0.0,21.051811828613282,0.0,0.0,0.0,0.0,0.14
49,2011-05-13,20.674650192260742,0.0,0.0,0.0,0.0,20.814650192260743,0.0,0.0,0.0,0.0,0.14
50,2011-05-16,20.807790756225586,0.0,0.0,0.0,0.0,20.947790756225587,0.0,0.0,0.0,0.0,0.14
51,2011-05-17,20.828598022460938,0.0,0.0,0.0,0.0,20.968598022460938,0.0,0.0,0.0,0.0,0.14
52,2011-05-18,20.93678092956543,0.0,0.0,0.0,0.0,21.07678092956543,0.0,0.0,0.0,0.0,0.14
53,2011-05-19,21.011669158935547,0.0,0.0,0.0,0.0,21.151669158935547,0.0,0.0,0.0,0.0,0.14
54,2011-05-20,20.9326114654541,0.0,0.0,0.0,0.0,21.072611465454102,0.0,0.0,0.0,0.0,0.14
55,2011-05-23,20.749542236328125,0.0,0.0,0.0,0.0,20.889542236328126,0.0,0.0,0.0,0.0,0.14
56,2011-05-24,20.866046905517578,0.0,0.0,0.0,0.0,21.00604690551758,0.0,0.0,0.0,0.0,0.14
57,2011-05-25,20.570634841918945,0.0,0.0,0.0,0.0,20.710634841918946,0.0,0.0,0.0,0.0,0.14
58,2011-05-26,20.633041381835938,0.0,0.0,0.0,0.0,20.773041381835938,0.0,0.0,0.0,0.0,0.14
59,2011-05-27,20.720420837402344,0.0,0.0,0.0,0.0,20.860420837402344,0.0,0.0,0.0,0.0,0.14
60,2011-05-31,20.8826904296875,0.0,0.0,0.0,0.0,21.0226904296875,0.0,0.0,0.0,0.0,0.14
61,2011-06-01,20.670495986938477,0.0,0.0,0.0,0.0,20.810495986938477,0.0,0.0,0.0,0.0,0.14
62,2011-06-02,20.387563705444336,0.0,0.0,0.0,0.0,20.527563705444337,0.0,0.0,0.0,0.0,0.14
63,2011-06-03,20.0505428314209,0.0,0.0,0.0,0.0,20.1905428314209,0.0,0.0,0.0,0.0,0.14
64,2011-06-06,20.183687210083008,0.0,0.0,0.0,0.0,20.32368721008301,0.0,0.0,0.0,0.0,0.14
65,2011-06-07,20.254425048828125,0.0,0.0,0.0,0.0,20.394425048828126,0.0,0.0,0.0,0.0,0.14
66,2011-06-08,20.300188064575195,0.0,0.0,0.0,0.0,20.440188064575196,0.0,0.0,0.0,0.0,0.14
67,2011-06-09,20.354272842407227,0.0,0.0,0.0,0.0,20.494272842407227,0.0,0.0,0.0,0.0,0.14
68,2011-06-10,20.075511932373047,0.0,0.0,0.0,0.0,20.215511932373047,0.0,0.0,0.0,0.0,0.14
69,2011-06-13,20.296030044555664,0.0,0.0,0.0,0.0,20.436030044555665,0.0,0.0,0.0,0.0,0.14
70,2011-06-14,20.53318214416504,0.0,0.0,0.0,0.0,20.67318214416504,0.0,0.0,0.0,0.0,0.14
71,2011-06-15,20.37092399597168,0.0,0.0,0.0,0.0,20.51092399597168,0.0,0.0,0.0,0.0,0.14
72,2011-06-16,20.583114624023438,0.0,0.0,0.0,0.0,20.723114624023438,0.0,0.0,0.0,0.0,0.14
73,2011-06-17,20.699613571166992,0.0,0.0,0.0,0.0,20.839613571166993,0.0,0.0,0.0,0.0,0.14
74,2011-06-20,20.9326114654541,0.0,0.0,0.0,0.0,21.072611465454102,0.0,0.0,0.0,0.0,0.14
75,2011-06-21,21.061601638793945,0.0,0.0,0.0,0.0,21.201601638793946,0.0,0.0,0.0,0.0,0.14
76,2011-06-22,20.982540130615234,0.0,0.0,0.0,0.0,21.122540130615235,0.0,0.0,0.0,0.0,0.14
77,2011-06-23,20.7828311920166,0.0,0.0,0.0,0.0,20.922831192016602,0.0,0.0,0.0,0.0,0.14
78,2011-06-24,20.803632736206055,0.0,0.0,0.0,0.0,20.943632736206055,0.0,0.0,0.0,0.0,0.14
79,2011-06-27,20.965904235839844,0.0,0.0,0.0,0.0,21.105904235839844,0.0,0.0,0.0,0.0,0.14
80,2011-06-28,21.128171920776367,0.0,0.0,0.0,0.0,21.268171920776368,0.0,0.0,0.0,0.0,0.14
81,2011-06-29,21.219701766967773,0.0,0.0,0.0,0.0,21.359701766967774,0.0,0.0,0.0,0.0,0.14
82,2011-06-30,20.62472152709961,0.0,0.0,0.0,0.0,20.76472152709961,0.0,0.0,0.0,0.0,0.14
83,2011-07-01,20.753707885742188,0.0,0.0,0.0,0.0,20.893707885742188,0.0,0.0,0.0,0.0,0.14
84,2011-07-05,20.645526885986328,0.0,0.0,0.0,0.0,20.78552688598633,0.0,0.0,0.0,0.0,0.14
