count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,70.38355255126953,0.0,0.0,0.0,0.0,70.38355255126953,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,71.41188049316406,0.0,0.0,0.0,0.0,71.41188049316406,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,70.97007751464844,0.0,0.0,0.0,0.0,70.97007751464844,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,68.56301879882812,0.0,0.0,0.0,0.0,68.56301879882812,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,69.78176879882812,0.0,0.0,0.0,0.0,69.78176879882812,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,69.33234405517578,0.0,0.0,0.0,0.0,69.33234405517578,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,68.17453002929688,0.0,0.0,0.0,0.0,68.17453002929688,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,66.68917846679688,0.0,0.0,0.0,0.0,66.68917846679688,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,67.55756378173828,0.0,0.0,0.0,0.0,67.55756378173828,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,67.7784423828125,0.0,0.0,0.0,0.0,67.7784423828125,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,69.27903747558594,0.0,0.0,0.0,0.0,69.27903747558594,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,69.08860778808594,0.0,0.0,0.0,0.0,69.08860778808594,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,70.18547058105469,0.0,0.0,0.0,0.0,70.18547058105469,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,70.52064514160156,0.0,0.0,0.0,0.0,70.52064514160156,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,70.28453063964844,0.0,0.0,0.0,0.0,70.28453063964844,0.0,0.0,0.0,0.0,0.0
16,2011-03-28,70.17027282714844,0.0,0.0,0.0,0.0,70.17027282714844,0.0,0.0,0.0,0.0,0.0
17,2011-03-29,70.71871185302734,0.0,0.0,0.0,0.0,70.71871185302734,0.0,0.0,0.0,0.0,0.0
18,2011-03-30,70.43684387207031,0.0,0.0,0.0,0.0,70.43684387207031,0.0,0.0,0.0,0.0,0.0
19,2011-03-31,71.22144317626953,0.0,0.0,0.0,0.0,71.22144317626953,0.0,0.0,0.0,0.0,0.0
20,2011-04-01,70.93959045410156,0.0,0.0,0.0,0.0,70.93959045410156,0.0,0.0,0.0,0.0,0.0
21,2011-04-04,71.32809448242188,0.0,0.0,0.0,0.0,71.32809448242188,0.0,0.0,0.0,0.0,0.0
22,2011-04-05,71.13764953613281,0.0,0.0,0.0,0.0,71.13764953613281,0.0,0.0,0.0,0.0,0.0
23,2011-04-06,71.46520233154297,0.0,0.0,0.0,0.0,71.46520233154297,0.0,0.0,0.0,0.0,0.0
24,2011-04-07,70.98530578613281,0.0,0.0,0.0,0.0,70.98530578613281,0.0,0.0,0.0,0.0,0.0
25,2011-04-08,71.00816345214844,0.0,0.0,0.0,0.0,71.00816345214844,0.0,0.0,0.0,0.0,0.0
26,2011-04-11,71.44996643066406,0.0,0.0,0.0,0.0,71.44996643066406,0.0,0.0,0.0,0.0,0.0
27,2011-04-12,70.3607177734375,0.0,0.0,0.0,0.0,70.3607177734375,0.0,0.0,0.0,0.0,0.0
28,2011-04-13,70.73394012451172,0.0,0.0,0.0,0.0,70.73394012451172,0.0,0.0,0.0,0.0,0.0
29,2011-04-14,70.79487609863281,0.0,0.0,0.0,0.0,70.79487609863281,0.0,0.0,0.0,0.0,0.0
30,2011-04-15,70.70346069335938,0.0,0.0,0.0,0.0,70.70346069335938,0.0,0.0,0.0,0.0,0.0
31,2011-04-18,69.65989685058594,0.0,0.0,0.0,0.0,69.65989685058594,0.0,0.0,0.0,0.0,0.0
32,2011-04-19,69.97222900390625,0.0,0.0,0.0,0.0,69.97222900390625,0.0,0.0,0.0,0.0,0.0
33,2011-04-20,71.41950225830078,0.0,0.0,0.0,0.0,71.41950225830078,0.0,0.0,0.0,0.0,0.0
34,2011-04-21,71.5413818359375,0.0,0.0,0.0,0.0,71.5413818359375,0.0,0.0,0.0,0.0,0.0
35,2011-04-25,71.6937255859375,0.0,0.0,0.0,0.0,71.6937255859375,0.0,0.0,0.0,0.0,0.0
36,2011-04-26,73.08006286621094,0.0,0.0,0.0,0.0,73.08006286621094,0.0,0.0,0.0,0.0,0.0
37,2011-04-27,73.48377227783203,0.0,0.0,0.0,0.0,73.48377227783203,0.0,0.0,0.0,0.0,0.0
38,2011-04-28,74.06268310546875,0.0,0.0,0.0,0.0,74.06268310546875,0.0,0.0,0.0,0.0,0.0
39,2011-04-29,74.04743957519531,0.0,0.0,0.0,0.0,74.04743957519531,0.0,0.0,0.0,0.0,0.0
40,2011-05-02,73.82654571533203,0.0,0.0,0.0,0.0,73.82654571533203,0.0,0.0,0.0,0.0,0.0
41,2011-05-03,73.75797271728516,0.0,0.0,0.0,0.0,73.75797271728516,0.0,0.0,0.0,0.0,0.0
42,2011-05-04,73.27810668945312,0.0,0.0,0.0,0.0,73.27810668945312,0.0,0.0,0.0,0.0,0.0
43,2011-05-05,72.3031005859375,0.0,0.0,0.0,0.0,72.3031005859375,0.0,0.0,0.0,0.0,0.0
44,2011-05-06,72.8210678100586,0.0,0.0,0.0,0.0,72.8210678100586,0.0,0.0,0.0,0.0,0.0
45,2011-05-09,73.11811828613281,0.0,0.0,0.0,0.0,73.11811828613281,0.0,0.0,0.0,0.0,0.0
46,2011-05-10,72.90485382080078,0.0,0.0,0.0,0.0,72.90485382080078,0.0,0.0,0.0,0.0,0.0
47,2011-05-11,72.76012420654297,0.0,0.0,0.0,0.0,72.76012420654297,0.0,0.0,0.0,0.0,0.0
48,2011-05-12,73.6208724975586,0.0,0.0,0.0,0.0,73.6208724975586,0.0,0.0,0.0,0.0,0.0
49,2011-05-13,73.13336944580078,0.0,0.0,0.0,0.0,73.13336944580078,0.0,0.0,0.0,0.0,0.0
50,2011-05-16,72.71442413330078,0.0,0.0,0.0,0.0,72.71442413330078,0.0,0.0,0.0,0.0,0.0
51,2011-05-17,71.49567413330078,0.0,0.0,0.0,0.0,71.49567413330078,0.0,0.0,0.0,0.0,0.0
52,2011-05-18,71.97838592529297,0.0,0.0,0.0,0.0,71.97838592529297,0.0,0.0,0.0,0.0,0.0
53,2011-05-19,72.56836700439453,0.0,0.0,0.0,0.0,73.11836700439453,0.0,0.0,0.0,0.0,0.55
54,2011-05-20,71.68724060058594,0.0,0.0,0.0,0.0,72.23724060058593,0.0,0.0,0.0,0.0,0.55
55,2011-05-23,70.86735534667969,0.0,0.0,0.0,0.0,71.41735534667968,0.0,0.0,0.0,0.0,0.55
56,2011-05-24,70.46892547607422,0.0,0.0,0.0,0.0,71.01892547607422,0.0,0.0,0.0,0.0,0.55
57,2011-05-25,71.02059936523438,0.0,0.0,0.0,0.0,71.57059936523437,0.0,0.0,0.0,0.0,0.55
58,2011-05-26,71.1202163696289,0.0,0.0,0.0,0.0,71.6702163696289,0.0,0.0,0.0,0.0,0.55
59,2011-05-27,71.61825561523438,0.0,0.0,0.0,0.0,72.16825561523437,0.0,0.0,0.0,0.0,0.55
60,2011-05-31,72.31551361083984,0.0,0.0,0.0,0.0,72.86551361083984,0.0,0.0,0.0,0.0,0.55
61,2011-06-01,70.06285858154297,0.0,0.0,0.0,0.0,70.61285858154297,0.0,0.0,0.0,0.0,0.55
62,2011-06-02,70.07811737060547,0.0,0.0,0.0,0.0,70.62811737060547,0.0,0.0,0.0,0.0,0.55
63,2011-06-03,69.49583435058594,0.0,0.0,0.0,0.0,70.04583435058593,0.0,0.0,0.0,0.0,0.55
64,2011-06-06,69.43453979492188,0.0,0.0,0.0,0.0,69.98453979492187,0.0,0.0,0.0,0.0,0.55
65,2011-06-07,69.61077117919922,0.0,0.0,0.0,0.0,70.16077117919922,0.0,0.0,0.0,0.0,0.55
66,2011-06-08,69.6567611694336,0.0,0.0,0.0,0.0,70.20676116943359,0.0,0.0,0.0,0.0,0.55
67,2011-06-09,70.4612808227539,0.0,0.0,0.0,0.0,71.0112808227539,0.0,0.0,0.0,0.0,0.55
68,2011-06-10,69.51882934570312,0.0,0.0,0.0,0.0,70.06882934570312,0.0,0.0,0.0,0.0,0.55
69,2011-06-13,69.95559692382812,0.0,0.0,0.0,0.0,70.50559692382812,0.0,0.0,0.0,0.0,0.55
70,2011-06-14,70.9439697265625,0.0,0.0,0.0,0.0,71.4939697265625,0.0,0.0,0.0,0.0,0.55
71,2011-06-15,69.74869537353516,0.0,0.0,0.0,0.0,70.29869537353515,0.0,0.0,0.0,0.0,0.55
