count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,14.96862506866455,0.0,0.0,0.0,0.0,14.96862506866455,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,15.133757591247559,0.0,0.0,0.0,0.0,15.133757591247559,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,15.2222318649292,0.0,0.0,0.0,0.0,15.2222318649292,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,15.121963500976562,0.0,0.0,0.0,0.0,15.121963500976562,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,14.996247291564941,0.0,0.0,0.0,0.0,14.996247291564941,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,14.960326194763184,0.0,0.0,0.0,0.0,15.340326194763184,0.0,0.0,0.0,0.0,0.38
7,2011-03-15,14.792705535888672,0.0,0.0,0.0,0.0,15.172705535888673,0.0,0.0,0.0,0.0,0.38
8,2011-03-16,14.54127025604248,0.0,0.0,0.0,0.0,14.921270256042481,0.0,0.0,0.0,0.0,0.38
9,2011-03-17,14.631071090698242,0.0,0.0,0.0,0.0,15.011071090698243,0.0,0.0,0.0,0.0,0.38
10,2011-03-18,14.846590042114258,0.0,0.0,0.0,0.0,15.226590042114259,0.0,0.0,0.0,0.0,0.38
11,2011-03-21,15.056116104125977,0.0,0.0,0.0,0.0,15.436116104125977,0.0,0.0,0.0,0.0,0.38
12,2011-03-22,15.223739624023438,0.0,0.0,0.0,0.0,15.603739624023438,0.0,0.0,0.0,0.0,0.38
13,2011-03-23,15.331497192382812,0.0,0.0,0.0,0.0,15.711497192382813,0.0,0.0,0.0,0.0,0.38
14,2011-03-24,15.523067474365234,0.0,0.0,0.0,0.0,15.903067474365235,0.0,0.0,0.0,0.0,0.38
15,2011-03-25,15.4572114944458,0.0,0.0,0.0,0.0,15.837211494445802,0.0,0.0,0.0,0.0,0.38
16,2011-03-28,15.594900131225586,0.0,0.0,0.0,0.0,15.974900131225587,0.0,0.0,0.0,0.0,0.38
17,2011-03-29,15.547008514404297,0.0,0.0,0.0,0.0,15.927008514404298,0.0,0.0,0.0,0.0,0.38
18,2011-03-30,15.63082218170166,0.0,0.0,0.0,0.0,16.01082218170166,0.0,0.0,0.0,0.0,0.38
19,2011-03-31,15.582930564880371,0.0,0.0,0.0,0.0,15.962930564880372,0.0,0.0,0.0,0.0,0.38
20,2011-04-01,15.552997589111328,0.0,0.0,0.0,0.0,15.932997589111329,0.0,0.0,0.0,0.0,0.38
21,2011-04-04,15.529050827026367,0.0,0.0,0.0,0.0,15.909050827026368,0.0,0.0,0.0,0.0,0.38
22,2011-04-05,15.63082218170166,0.0,0.0,0.0,0.0,16.01082218170166,0.0,0.0,0.0,0.0,0.38
23,2011-04-06,15.732589721679688,0.0,0.0,0.0,0.0,16.112589721679687,0.0,0.0,0.0,0.0,0.38
24,2011-04-07,15.624833106994629,0.0,0.0,0.0,0.0,16.004833106994628,0.0,0.0,0.0,0.0,0.38
25,2011-04-08,15.708645820617676,0.0,0.0,0.0,0.0,16.088645820617675,0.0,0.0,0.0,0.0,0.38
26,2011-04-11,15.876273155212402,0.0,0.0,0.0,0.0,16.2562731552124,0.0,0.0,0.0,0.0,0.38
27,2011-04-12,15.984028816223145,0.0,0.0,0.0,0.0,16.364028816223144,0.0,0.0,0.0,0.0,0.38
28,2011-04-13,15.972049713134766,0.0,0.0,0.0,0.0,16.352049713134765,0.0,0.0,0.0,0.0,0.38
29,2011-04-14,16.097776412963867,0.0,0.0,0.0,0.0,16.477776412963866,0.0,0.0,0.0,0.0,0.38
30,2011-04-15,16.16960906982422,0.0,0.0,0.0,0.0,16.549609069824218,0.0,0.0,0.0,0.0,0.38
31,2011-04-18,15.894227981567383,0.0,0.0,0.0,0.0,16.274227981567382,0.0,0.0,0.0,0.0,0.38
32,2011-04-19,15.79245662689209,0.0,0.0,0.0,0.0,16.17245662689209,0.0,0.0,0.0,0.0,0.38
