count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-04,13.28308391571045,0.0,0.0,0.0,0.0,13.28308391571045,0.0,0.0,0.0,0.0,0.0
2,2011-03-07,13.075955390930176,0.0,0.0,0.0,0.0,13.075955390930176,0.0,0.0,0.0,0.0,0.0
3,2011-03-08,13.256068229675293,0.0,0.0,0.0,0.0,13.256068229675293,0.0,0.0,0.0,0.0,0.0
4,2011-03-09,13.039936065673828,0.0,0.0,0.0,0.0,13.039936065673828,0.0,0.0,0.0,0.0,0.0
5,2011-03-10,12.9859037399292,0.0,0.0,0.0,0.0,12.9859037399292,0.0,0.0,0.0,0.0,0.0
6,2011-03-11,12.976900100708008,0.0,0.0,0.0,0.0,12.976900100708008,0.0,0.0,0.0,0.0,0.0
7,2011-03-14,12.967891693115234,0.0,0.0,0.0,0.0,12.967891693115234,0.0,0.0,0.0,0.0,0.0
8,2011-03-15,13.012918472290039,0.0,0.0,0.0,0.0,13.012918472290039,0.0,0.0,0.0,0.0,0.0
9,2011-03-16,13.184025764465332,0.0,0.0,0.0,0.0,13.184025764465332,0.0,0.0,0.0,0.0,0.0
10,2011-03-17,12.841815948486328,0.0,0.0,0.0,0.0,12.841815948486328,0.0,0.0,0.0,0.0,0.0
11,2011-03-18,12.805792808532715,0.0,0.0,0.0,0.0,12.805792808532715,0.0,0.0,0.0,0.0,0.0
12,2011-03-21,13.039936065673828,0.0,0.0,0.0,0.0,13.039936065673828,0.0,0.0,0.0,0.0,0.0
13,2011-03-22,12.751761436462402,0.0,0.0,0.0,0.0,12.751761436462402,0.0,0.0,0.0,0.0,0.0
14,2011-03-23,12.69772720336914,0.0,0.0,0.0,0.0,12.69772720336914,0.0,0.0,0.0,0.0,0.0
15,2011-03-24,13.28308391571045,0.0,0.0,0.0,0.0,13.28308391571045,0.0,0.0,0.0,0.0,0.0
16,2011-03-25,13.292092323303223,0.0,0.0,0.0,0.0,13.292092323303223,0.0,0.0,0.0,0.0,0.0
17,2011-03-28,13.057948112487793,0.0,0.0,0.0,0.0,13.057948112487793,0.0,0.0,0.0,0.0,0.0
18,2011-03-29,12.967891693115234,0.0,0.0,0.0,0.0,12.967891693115234,0.0,0.0,0.0,0.0,0.0
19,2011-03-30,12.83281135559082,0.0,0.0,0.0,0.0,12.83281135559082,0.0,0.0,0.0,0.0,0.0
20,2011-03-31,12.83281135559082,0.0,0.0,0.0,0.0,12.83281135559082,0.0,0.0,0.0,0.0,0.0
21,2011-04-01,12.841815948486328,0.0,0.0,0.0,0.0,12.841815948486328,0.0,0.0,0.0,0.0,0.0
