count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,34.11984634399414,0.0,0.0,0.0,0.0,34.11984634399414,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,34.35273742675781,0.0,0.0,0.0,0.0,34.35273742675781,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,33.690433502197266,0.0,0.0,0.0,0.0,33.690433502197266,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,32.802490234375,0.0,0.0,0.0,0.0,32.802490234375,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,34.27267837524414,0.0,0.0,0.0,0.0,34.27267837524414,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,34.0980110168457,0.0,0.0,0.0,0.0,34.0980110168457,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,33.89420700073242,0.0,0.0,0.0,0.0,33.89420700073242,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,32.59870910644531,0.0,0.0,0.0,0.0,32.59870910644531,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,32.926212310791016,0.0,0.0,0.0,0.0,32.926212310791016,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,33.02083969116211,0.0,0.0,0.0,0.0,33.02083969116211,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,33.224632263183594,0.0,0.0,0.0,0.0,33.224632263183594,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,33.26102066040039,0.0,0.0,0.0,0.0,33.26102066040039,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,33.52303695678711,0.0,0.0,0.0,0.0,33.52303695678711,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,33.7486572265625,0.0,0.0,0.0,0.0,33.7486572265625,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,33.88694763183594,0.0,0.0,0.0,0.0,33.88694763183594,0.0,0.0,0.0,0.0,0.0
16,2011-03-28,33.654048919677734,0.0,0.0,0.0,0.0,33.654048919677734,0.0,0.0,0.0,0.0,0.0
17,2011-03-29,34.19908905029297,0.0,0.0,0.0,0.0,34.19908905029297,0.0,0.0,0.0,0.0,0.0
18,2011-03-30,34.206424713134766,0.0,0.0,0.0,0.0,34.569424713134765,0.0,0.0,0.0,0.0,0.363
19,2011-03-31,33.75894546508789,0.0,0.0,0.0,0.0,34.12194546508789,0.0,0.0,0.0,0.0,0.363
20,2011-04-01,33.89098358154297,0.0,0.0,0.0,0.0,34.25398358154297,0.0,0.0,0.0,0.0,0.363
21,2011-04-04,34.382476806640625,0.0,0.0,0.0,0.0,34.745476806640625,0.0,0.0,0.0,0.0,0.363
22,2011-04-05,34.81528854370117,0.0,0.0,0.0,0.0,35.17828854370117,0.0,0.0,0.0,0.0,0.363
23,2011-04-06,34.947322845458984,0.0,0.0,0.0,0.0,35.310322845458984,0.0,0.0,0.0,0.0,0.363
24,2011-04-07,34.8226203918457,0.0,0.0,0.0,0.0,35.1856203918457,0.0,0.0,0.0,0.0,0.363
25,2011-04-08,34.0523681640625,0.0,0.0,0.0,0.0,34.4153681640625,0.0,0.0,0.0,0.0,0.363
26,2011-04-11,33.93500518798828,0.0,0.0,0.0,0.0,34.29800518798828,0.0,0.0,0.0,0.0,0.363
27,2011-04-12,33.16474533081055,0.0,0.0,0.0,0.0,33.527745330810546,0.0,0.0,0.0,0.0,0.363
28,2011-04-13,32.90066909790039,0.0,0.0,0.0,0.0,33.26366909790039,0.0,0.0,0.0,0.0,0.363
29,2011-04-14,32.98869323730469,0.0,0.0,0.0,0.0,33.35169323730469,0.0,0.0,0.0,0.0,0.363
