count,date,close,ma200,deviation,average,sigma,closeTR,ma200TR,deviationTR,averageTR,sigmaTR,accumulatedDividends
1,2011-03-07,22.112285614013672,0.0,0.0,0.0,0.0,22.112285614013672,0.0,0.0,0.0,0.0,0.0
2,2011-03-08,22.31485366821289,0.0,0.0,0.0,0.0,22.31485366821289,0.0,0.0,0.0,0.0,0.0
3,2011-03-09,21.9666748046875,0.0,0.0,0.0,0.0,21.9666748046875,0.0,0.0,0.0,0.0,0.0
4,2011-03-10,21.745113372802734,0.0,0.0,0.0,0.0,21.745113372802734,0.0,0.0,0.0,0.0,0.0
5,2011-03-11,21.86539649963379,0.0,0.0,0.0,0.0,21.86539649963379,0.0,0.0,0.0,0.0,0.0
6,2011-03-14,21.751441955566406,0.0,0.0,0.0,0.0,21.751441955566406,0.0,0.0,0.0,0.0,0.0
7,2011-03-15,21.776765823364258,0.0,0.0,0.0,0.0,21.776765823364258,0.0,0.0,0.0,0.0,0.0
8,2011-03-16,21.68180274963379,0.0,0.0,0.0,0.0,21.68180274963379,0.0,0.0,0.0,0.0,0.0
9,2011-03-17,21.8780574798584,0.0,0.0,0.0,0.0,21.8780574798584,0.0,0.0,0.0,0.0,0.0
10,2011-03-18,21.9287052154541,0.0,0.0,0.0,0.0,21.9287052154541,0.0,0.0,0.0,0.0,0.0
11,2011-03-21,22.004667282104492,0.0,0.0,0.0,0.0,22.004667282104492,0.0,0.0,0.0,0.0,0.0
12,2011-03-22,21.795761108398438,0.0,0.0,0.0,0.0,21.795761108398438,0.0,0.0,0.0,0.0,0.0
13,2011-03-23,21.66283416748047,0.0,0.0,0.0,0.0,21.66283416748047,0.0,0.0,0.0,0.0,0.0
14,2011-03-24,21.78309440612793,0.0,0.0,0.0,0.0,21.78309440612793,0.0,0.0,0.0,0.0,0.0
15,2011-03-25,21.916034698486328,0.0,0.0,0.0,0.0,21.916034698486328,0.0,0.0,0.0,0.0,0.0
16,2011-03-28,21.935035705566406,0.0,0.0,0.0,0.0,21.935035705566406,0.0,0.0,0.0,0.0,0.0
17,2011-03-29,22.01099967956543,0.0,0.0,0.0,0.0,22.01099967956543,0.0,0.0,0.0,0.0,0.0
18,2011-03-30,22.141307830810547,0.0,0.0,0.0,0.0,22.141307830810547,0.0,0.0,0.0,0.0,0.0
19,2011-03-31,22.21761131286621,0.0,0.0,0.0,0.0,22.36261131286621,0.0,0.0,0.0,0.0,0.145
20,2011-04-01,22.18581199645996,0.0,0.0,0.0,0.0,22.33081199645996,0.0,0.0,0.0,0.0,0.145
21,2011-04-04,22.274816513061523,0.0,0.0,0.0,0.0,22.419816513061523,0.0,0.0,0.0,0.0,0.145
22,2011-04-05,22.249372482299805,0.0,0.0,0.0,0.0,22.394372482299804,0.0,0.0,0.0,0.0,0.145
23,2011-04-06,22.281166076660156,0.0,0.0,0.0,0.0,22.426166076660156,0.0,0.0,0.0,0.0,0.145
24,2011-04-07,22.065021514892578,0.0,0.0,0.0,0.0,22.210021514892578,0.0,0.0,0.0,0.0,0.145
25,2011-04-08,22.020532608032227,0.0,0.0,0.0,0.0,22.165532608032226,0.0,0.0,0.0,0.0,0.145
26,2011-04-11,21.988740921020508,0.0,0.0,0.0,0.0,22.133740921020507,0.0,0.0,0.0,0.0,0.145
27,2011-04-12,22.033233642578125,0.0,0.0,0.0,0.0,22.178233642578125,0.0,0.0,0.0,0.0,0.145
28,2011-04-13,21.956958770751953,0.0,0.0,0.0,0.0,22.101958770751953,0.0,0.0,0.0,0.0,0.145
29,2011-04-14,22.204879760742188,0.0,0.0,0.0,0.0,22.349879760742187,0.0,0.0,0.0,0.0,0.145
30,2011-04-15,22.29387855529785,0.0,0.0,0.0,0.0,22.43887855529785,0.0,0.0,0.0,0.0,0.145
31,2011-04-18,22.039600372314453,0.0,0.0,0.0,0.0,22.184600372314453,0.0,0.0,0.0,0.0,0.145
32,2011-04-19,22.230308532714844,0.0,0.0,0.0,0.0,22.375308532714843,0.0,0.0,0.0,0.0,0.145
33,2011-04-20,22.433731079101562,0.0,0.0,0.0,0.0,22.578731079101562,0.0,0.0,0.0,0.0,0.145
34,2011-04-21,22.57357406616211,0.0,0.0,0.0,0.0,22.71857406616211,0.0,0.0,0.0,0.0,0.145
